Label (Grouping),Total:,Population of one race:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Population of two or more races:,Population of two races:,White; Black or African American,White; American Indian and Alaska Native,White; Asian,White; Native Hawaiian and Other Pacific Islander,White; Some Other Race,Black or African American; American Indian and Alaska Native,Black or African American; Asian,Black or African American; Native Hawaiian and Other Pacific Islander,Black or African American; Some Other Race,American Indian and Alaska Native; Asian,American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,American Indian and Alaska Native; Some Other Race,Asian; Native Hawaiian and Other Pacific Islander,Asian; Some Other Race,Native Hawaiian and Other Pacific Islander; Some Other Race,Population of three races:,White; Black or African American; American Indian and Alaska Native,White; Black or African American; Asian,White; Black or African American; Native Hawaiian and Other Pacific Islander,White; Black or African American; Some Other Race,White; American Indian and Alaska Native; Asian,White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,White; American Indian and Alaska Native; Some Other Race,White; Asian; Native Hawaiian and Other Pacific Islander,White; Asian; Some Other Race,White; Native Hawaiian and Other Pacific Islander; Some Other Race,Black or African American; American Indian and Alaska Native; Asian,Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,Black or African American; American Indian and Alaska Native; Some Other Race,Black or African American; Asian; Native Hawaiian and Other Pacific Islander,Black or African American; Asian; Some Other Race,Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,American Indian and Alaska Native; Asian; Some Other Race,American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,Population of four races:,White; Black or African American; American Indian and Alaska Native; Asian,White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,White; Black or African American; American Indian and Alaska Native; Some Other Race,White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander,White; Black or African American; Asian; Some Other Race,White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,White; American Indian and Alaska Native; Asian; Some Other Race,White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,Black or African American; American Indian and Alaska Native; Asian; Some Other Race,Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,Population of five races:,White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race,White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,Population of six races:,White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
Clarke,15615,15203,9988,5115,25,8,6,61,412,392,136,116,13,9,77,25,2,0,7,7,0,0,0,0,0,11,4,0,0,1,0,0,0,2,1,0,0,1,0,0,2,0,0,0,0,0,9,0,0,5,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clay,18636,18248,7212,10803,39,57,1,136,388,352,128,94,6,2,85,23,3,0,7,0,0,0,2,2,0,36,13,4,0,2,1,0,9,0,0,0,3,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coahoma,21390,20964,4312,16281,31,116,2,222,426,382,177,35,10,0,54,52,20,5,24,0,0,3,0,0,2,37,7,2,0,9,5,0,7,1,0,0,6,0,0,0,0,0,0,0,0,0,7,0,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Copiah,28368,27553,12305,14342,60,122,26,698,815,760,270,158,7,0,219,58,3,0,35,1,1,8,0,0,0,52,24,4,3,5,0,0,8,4,4,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Covington,18340,17909,11118,6416,35,83,4,253,431,403,138,98,25,6,93,13,2,0,12,0,2,9,3,2,0,23,7,6,0,0,3,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0
DeSoto,185314,176004,110064,56205,526,3045,140,6024,9310,8855,1683,2399,939,50,3085,237,109,21,230,0,0,53,17,25,7,416,148,36,1,47,41,2,75,32,15,4,2,0,6,6,0,0,1,0,0,0,33,8,0,23,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0
Forrest,78158,75109,43597,28330,227,796,29,2130,3049,2827,790,782,210,28,754,120,27,6,75,1,0,26,7,1,0,201,64,21,0,33,13,2,45,4,11,2,0,0,6,0,0,0,0,0,0,0,21,0,0,9,1,0,0,0,0,0,0,6,0,4,0,1,0,0,0,0,0,0,0,0,0
Franklin,7675,7539,4921,2585,4,10,0,19,136,107,27,48,2,0,8,7,3,1,4,0,0,7,0,0,0,17,7,0,0,4,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,12,0,0,6,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0
George,24350,23433,21112,1782,96,79,1,363,917,883,124,474,31,0,228,5,5,2,9,0,0,0,0,5,0,28,9,1,1,3,6,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greene,13530,13169,9848,3149,64,21,3,84,361,352,77,137,17,0,107,0,2,0,6,1,0,3,2,0,0,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0
Grenada,21629,20977,11339,9409,41,90,2,96,652,607,210,182,31,2,126,37,2,2,12,0,0,2,0,1,0,37,5,2,0,1,6,0,9,4,1,0,0,0,6,0,3,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hancock,46053,43112,37847,3957,293,429,9,577,2941,2762,442,895,212,20,1082,43,10,4,52,0,0,2,0,0,0,157,46,11,0,16,5,0,45,12,10,0,0,2,3,4,0,2,0,1,0,0,20,9,0,3,0,0,1,0,0,4,0,3,0,0,0,0,2,0,1,1,0,0,0,0,0
Harrison,208621,193162,128098,51706,1055,6008,275,6020,15459,14377,2950,3225,1683,127,5058,333,251,63,428,29,1,92,64,63,10,982,289,121,4,131,83,11,187,35,73,3,3,0,22,14,0,0,0,0,0,6,88,30,9,28,4,8,0,7,0,0,0,0,1,0,0,1,12,7,5,0,0,0,0,0,0
Hinds,227742,222036,58644,158112,386,2186,47,2661,5706,5298,1940,855,311,15,1141,482,121,26,351,4,0,27,4,16,5,379,210,20,3,61,12,2,28,6,13,3,9,0,2,7,3,0,0,0,0,0,23,7,2,5,0,0,0,1,1,0,0,0,0,2,5,0,6,1,4,0,0,0,1,0,0
Holmes,17000,16720,2378,14256,36,20,2,28,280,244,158,20,6,0,19,29,0,1,11,0,0,0,0,0,0,34,21,3,1,2,0,0,0,0,2,0,0,0,3,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Humphreys,7785,7607,1438,6110,13,10,1,35,178,148,88,20,0,3,2,16,7,1,8,0,3,0,0,0,0,16,12,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,11,0,0,9,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,0,0,0,2,0,0
Issaquena,1338,1307,530,757,3,5,0,12,31,18,8,2,0,0,2,0,0,0,1,0,0,1,0,0,4,6,2,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Itawamba,23863,23144,21217,1625,60,51,0,191,719,693,151,289,25,4,199,6,2,0,9,3,0,5,0,0,0,21,9,0,0,4,4,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,1
Jackson,143252,133596,94709,30070,734,3204,115,4764,9656,9057,1492,2392,938,67,3478,186,103,21,272,4,0,15,30,34,25,553,175,52,0,99,35,3,117,28,24,0,2,0,7,5,4,0,0,0,0,2,42,14,0,26,0,0,2,0,0,0,0,0,0,0,0,0,4,0,3,1,0,0,0,0,0
Jasper,16367,16044,7561,8341,29,8,0,105,323,302,120,74,15,4,47,28,0,0,9,0,0,3,1,0,1,21,5,3,0,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson,7260,7126,894,6191,12,15,5,9,134,104,59,9,6,0,10,16,0,0,1,0,0,2,1,0,0,27,18,4,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson Davis,11321,11074,4357,6643,11,21,0,42,247,223,116,51,0,3,18,22,5,0,7,0,0,1,0,0,0,16,6,0,0,0,3,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,8,4,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jones,67246,65107,42076,19239,458,279,30,3025,2139,2026,526,484,115,4,740,64,23,4,29,2,3,19,1,10,2,96,42,7,0,14,8,0,13,2,6,0,0,0,0,0,0,0,0,0,1,3,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,2,0,0,2,2
Kemper,8988,8821,2820,5495,465,6,9,26,167,162,57,37,2,5,11,32,0,1,15,0,0,0,0,2,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lafayette,55813,53378,39274,11381,84,1685,24,930,2435,2348,323,673,354,19,852,33,14,5,49,2,4,14,2,4,0,80,34,6,0,9,9,0,14,0,0,0,3,0,5,0,0,0,0,0,0,0,5,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
Lamar,64222,61320,44456,14372,149,1102,50,1191,2902,2724,558,786,280,23,878,59,38,8,64,0,0,15,15,0,0,147,65,7,0,20,8,1,36,0,0,0,5,0,4,0,0,0,0,0,1,0,27,11,0,12,0,0,0,3,0,0,0,0,0,0,1,0,4,3,0,1,0,0,0,0,0
Lauderdale,72984,70808,36919,32133,137,587,36,996,2176,2009,639,526,148,11,405,113,33,5,109,1,0,6,5,8,0,134,62,2,0,9,19,3,22,1,2,0,1,0,6,6,1,0,0,0,0,0,27,8,11,3,4,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,5,5
Lawrence,12016,11697,7847,3703,17,36,4,90,319,293,58,129,15,2,74,7,0,0,7,0,0,0,0,0,1,23,7,2,0,4,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leake,21275,20779,10145,8235,1430,78,7,884,496,463,137,95,7,10,120,48,0,3,20,0,2,19,0,0,2,23,18,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,5,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,2,2
Lee,83343,80400,53394,24246,180,924,25,1631,2943,2754,728,820,200,8,785,110,12,3,67,2,2,8,0,6,3,179,88,14,0,19,0,0,32,8,1,0,7,0,1,0,5,0,0,4,0,0,8,2,0,3,2,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
Leflore,28339,27754,6022,20895,34,212,0,591,585,547,284,84,15,4,80,28,14,0,31,0,0,6,0,0,1,33,19,10,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln,34907,34073,23091,10542,79,164,9,188,834,766,216,260,51,5,165,38,7,0,21,0,0,3,0,0,0,58,20,7,6,9,1,0,5,5,0,0,0,0,0,4,1,0,0,0,0,0,7,2,0,4,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,1,1
Lowndes,58879,56963,29775,25997,130,534,16,511,1916,1789,503,436,208,7,454,69,33,3,54,0,0,13,3,3,3,117,60,9,0,8,2,0,7,19,4,0,2,0,4,0,0,0,1,0,0,1,9,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Madison,109145,105563,60827,38647,305,3196,20,2568,3582,3407,698,827,427,15,1135,90,58,5,104,16,0,16,4,11,1,165,68,2,2,14,16,5,35,2,8,0,6,1,0,0,3,0,0,0,0,3,10,2,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
Marion,24441,23784,15820,7623,49,69,2,221,657,611,200,207,40,3,127,11,4,1,13,0,0,0,1,4,0,35,17,0,0,2,7,0,1,0,0,0,0,0,0,2,6,0,0,0,0,0,11,1,5,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall,33752,32679,16500,14912,97,78,20,1072,1073,1013,333,261,28,13,291,39,11,3,22,0,0,0,12,0,0,44,19,6,0,0,0,0,9,4,3,0,0,0,3,0,0,0,0,0,0,0,11,6,0,1,1,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,4,4
Monroe,34180,33297,22629,10337,53,67,3,208,883,840,257,272,41,0,216,37,1,0,10,3,0,3,0,0,0,35,24,0,0,4,0,0,0,3,0,0,3,0,0,0,1,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,1,0,0,0,0
Montgomery,9822,9582,5114,4373,11,28,1,55,240,222,88,51,5,1,34,17,9,0,4,3,1,4,5,0,0,9,5,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,5,5,0,0,0,0,0,0,0
Neshoba,29087,28235,16523,6404,4997,126,0,185,852,764,253,230,27,4,100,121,0,2,7,4,0,13,1,0,2,79,51,1,3,5,1,0,11,0,0,0,1,0,4,0,1,1,0,0,0,0,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,1,1
Newton,21291,20752,12857,6472,1180,77,0,166,539,501,190,154,26,0,81,19,0,0,10,2,0,6,0,10,3,30,20,0,0,7,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,1,1
Noxubee,10285,10000,2661,7227,13,15,0,84,285,264,161,26,4,0,39,10,0,0,15,0,0,0,0,4,5,13,1,0,0,2,0,3,4,1,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,4,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Oktibbeha,51788,50186,29606,18330,111,1507,12,620,1602,1507,316,396,203,6,459,50,23,8,34,1,2,1,0,8,0,81,24,2,10,12,4,2,17,2,1,0,4,0,0,2,0,0,0,1,0,0,14,5,1,3,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panola,33208,32330,15765,16092,62,64,9,338,878,841,291,201,33,7,194,53,6,2,49,0,2,0,3,0,0,30,14,2,1,2,4,0,0,0,1,0,3,0,2,1,0,0,0,0,0,0,6,1,0,1,1,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Pearl River,56145,52818,44833,6710,296,283,2,694,3327,3160,491,1110,163,17,1247,55,8,6,41,4,0,13,0,2,3,149,42,14,2,19,12,0,41,2,10,0,0,0,3,4,0,0,0,0,0,0,16,1,0,0,0,3,0,7,0,0,0,1,1,0,3,0,2,0,2,0,0,0,0,0,0
Perry,11511,11174,8942,2097,49,29,3,54,337,317,91,118,18,6,58,10,1,0,4,0,0,0,7,4,0,12,2,1,0,2,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7,4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Pike,40324,39175,16889,21562,130,255,7,332,1149,1098,343,299,51,5,271,83,4,6,34,0,0,0,2,0,0,44,21,0,0,7,3,0,4,2,0,2,0,2,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0
Pontotoc,31184,29946,24126,4226,142,55,5,1392,1238,1174,307,351,44,7,397,9,0,3,23,8,0,21,0,4,0,49,22,0,0,7,1,0,13,1,0,0,0,1,4,0,0,0,0,0,0,0,8,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0
Prentiss,25008,24218,20303,3570,67,85,5,188,790,769,284,292,15,2,135,7,0,0,17,2,0,6,2,1,6,18,4,5,0,0,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Quitman,6176,6060,1490,4546,1,12,3,8,116,106,65,10,3,0,5,6,0,0,12,3,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Rankin,157031,150939,112872,32566,343,2269,94,2795,6092,5812,1054,1915,494,24,1969,114,52,0,137,6,0,24,14,9,0,251,99,20,0,15,31,1,61,4,7,0,0,0,6,0,7,0,0,0,0,0,29,8,2,14,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Scott,27990,26849,13451,10012,259,103,1,3023,1141,1103,286,85,30,6,556,44,11,0,48,0,0,24,5,8,0,35,15,2,0,0,0,0,0,0,9,4,0,3,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Sharkey,3800,3698,970,2689,1,20,5,13,102,91,38,9,9,0,21,6,2,0,6,0,0,0,0,0,0,10,5,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Simpson,25949,25186,15986,8838,41,84,2,235,763,704,200,251,23,5,149,36,14,1,20,0,0,2,3,0,0,53,27,10,0,2,2,0,4,0,1,0,0,0,1,4,1,1,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Smith,14209,13881,10613,3112,20,21,3,112,328,302,70,126,8,0,76,5,0,0,6,0,0,3,5,3,0,26,9,0,0,4,1,0,6,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stone,18333,17636,13933,3253,84,101,9,256,697,682,145,252,58,4,191,11,6,0,5,2,0,2,5,0,1,8,2,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sunflower,25971,25533,6894,18164,23,84,1,367,438,394,184,64,6,0,49,30,0,7,37,0,2,6,6,3,0,33,7,0,0,8,5,0,8,2,3,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,1,0,0,0,0,0,0,1,0,1,0,5,5,0,0,0,0,0,0,0
Tallahatchie,12715,12530,5029,7454,17,10,3,17,185,164,69,40,1,4,29,14,0,1,4,1,0,0,1,0,0,16,1,0,4,4,0,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
Tate,28064,27063,18168,8262,72,70,3,488,1001,957,308,257,28,10,269,31,4,2,43,0,0,4,0,1,0,40,10,4,7,5,0,0,4,8,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0
