date,Custody Population,Custody Population %,Community Corrections,Community Corrections %,Other Custody,Other Custody %,At Large,At Large %,Off-Grounds Medical,Off-Grounds Medical %,INMATE TOTAL,INMATE TOTAL %,Parolees,PAROLEES %,TVC Parole,TVC Parole %,Probationers,PROBATIONERS %,TVC Probation,TVC Probation %,PAROLEE AND PROBATIONER TOTAL,PAROLEE AND PROBATIONER TOTAL %,"TOTAL INMATES, PAROLEES, & PROBATIONERS","TOTAL INMATES, PAROLEES, & PROBATIONERS %"
2004-03-01,20878,47.48%,2533,5.76%,216,0.49%,47,0.11%,0,0.00%,23674,53.84%,1910,4.34%,,,18384,41.81%,,,20294,46.16%,43968,100.00%
2004-04-01,20967,47.21%,2505,5.64%,220,0.50%,46,0.10%,0,0.00%,23738,53.44%,1934,4.35%,,,18744,42.20%,,,20678,46.56%,44416,100.00%
2004-05-01,21158,47.08%,2580,5.74%,226,0.50%,45,0.10%,0,0.00%,24009,53.42%,1927,4.29%,,,19005,42.29%,,,20932,46.58%,44941,100.00%
2004-06-01,21226,46.86%,2598,5.74%,228,0.50%,44,0.10%,0,0.00%,24096,53.20%,1935,4.27%,,,19262,42.53%,,,21197,46.80%,45293,100.00%
2004-07-06,21277,46.52%,2580,5.64%,225,0.49%,44,0.10%,0,0.00%,24126,52.75%,1958,4.28%,,,19650,42.97%,,,21608,47.25%,45734,100.00%
2004-08-02,21130,46.19%,2572,5.62%,226,0.49%,45,0.10%,0,0.00%,23973,52.41%,1991,4.35%,,,19777,43.24%,,,21768,47.59%,45741,100.00%
2004-09-01,21176,45.74%,2668,5.76%,233,0.50%,46,0.10%,0,0.00%,24123,52.11%,2032,4.39%,,,20139,43.50%,,,22171,47.89%,46294,100.00%
2004-10-01,21360,45.38%,2704,5.74%,240,0.51%,70,0.15%,7,0.01%,24381,51.80%,2067,4.39%,,,20622,43.81%,,,22689,48.20%,47070,100.00%
2004-11-01,21289,44.87%,2827,5.96%,248,0.52%,80,0.17%,9,0.02%,24453,51.54%,2098,4.42%,,,20897,44.04%,,,22995,48.46%,47448,100.00%
2004-12-01,21150,44.21%,3043,6.36%,247,0.52%,104,0.22%,8,0.02%,24552,51.32%,2136,4.46%,,,21151,44.21%,,,23287,48.68%,47839,100.00%
2005-01-04,21134,43.79%,3158,6.54%,249,0.52%,96,0.20%,14,0.03%,24651,51.08%,2174,4.50%,,,21436,44.42%,,,23610,48.92%,48261,100.00%
2005-02-01,20964,43.31%,3142,6.49%,251,0.52%,106,0.22%,9,0.02%,24472,50.55%,2230,4.61%,,,21706,44.84%,,,23936,49.45%,48408,100.00%
2005-03-01,20915,42.92%,3234,6.64%,262,0.54%,105,0.22%,9,0.02%,24525,50.33%,2293,4.71%,,,21911,44.97%,,,24204,49.67%,48729,100.00%
2005-04-01,21019,42.57%,3386,6.86%,267,0.54%,107,0.22%,11,0.02%,24790,50.20%,2362,4.78%,,,22227,45.01%,,,24589,49.80%,49379,100.00%
2005-05-01,21001,42.28%,3430,6.91%,273,0.55%,110,0.22%,11,0.02%,24825,49.98%,2412,4.86%,,,22435,45.17%,,,24847,50.02%,49672,100.00%
2005-06-01,21069,42.09%,3405,6.80%,285,0.57%,101,0.20%,9,0.02%,24869,49.68%,2447,4.89%,,,22738,45.43%,,,25185,50.32%,50054,100.00%
2005-07-01,20811,41.07%,3530,6.97%,293,0.58%,107,0.21%,4,0.01%,24745,48.83%,2428,4.79%,,,23504,46.38%,,,25932,51.17%,50677,100.00%
2005-08-01,20767,40.58%,3545,6.93%,294,0.57%,105,0.21%,7,0.01%,24718,48.30%,2479,4.84%,,,23980,46.86%,,,26459,51.70%,51177,100.00%
2005-09-06,20735,40.20%,3544,6.87%,295,0.57%,112,0.22%,7,0.01%,24693,47.87%,2499,4.84%,,,24388,47.28%,,,26887,52.13%,51580,100.00%
2005-10-01,20787,40.06%,3538,6.82%,302,0.58%,114,0.22%,4,0.01%,24745,47.69%,2493,4.80%,,,24646,47.50%,,,27139,52.31%,51884,100.00%
2005-11-01,20783,39.78%,3497,6.69%,303,0.58%,117,0.22%,6,0.01%,24706,47.29%,2481,4.75%,,,25061,47.97%,,,27542,52.71%,52248,100.00%
2005-12-01,20701,39.65%,3441,6.59%,307,0.59%,121,0.23%,5,0.01%,24575,47.08%,2497,4.78%,,,25131,48.14%,,,27628,52.92%,52203,100.00%
2006-01-01,20433,39.38%,3433,6.62%,305,0.59%,123,0.24%,6,0.01%,24300,46.84%,2481,4.78%,,,25103,48.38%,,,27584,53.16%,51884,100.00%
2006-02-01,20706,39.58%,3432,6.56%,304,0.58%,131,0.25%,7,0.01%,24580,46.98%,2479,4.74%,,,25256,48.28%,,,27735,53.02%,52315,100.00%
2006-03-02,20762,40.42%,3408,6.63%,303,0.59%,135,0.26%,6,0.01%,24614,47.92%,2488,4.84%,,,24262,47.24%,,,26750,52.08%,51364,100.00%
2006-04-01,20891,40.49%,3363,6.52%,302,0.59%,139,0.27%,13,0.03%,24708,47.88%,2501,4.85%,,,24390,47.27%,,,26891,52.12%,51599,100.00%
2006-05-01,21001,40.87%,3174,6.18%,315,0.61%,139,0.27%,6,0.01%,24635,47.95%,2503,4.87%,,,24242,47.18%,,,26745,52.05%,51380,100.00%
2006-06-01,20975,40.47%,3241,6.25%,318,0.61%,131,0.25%,7,0.01%,24672,47.60%,2459,4.74%,,,24697,47.65%,,,27156,52.40%,51828,100.00%
2006-07-03,21094,40.69%,3256,6.28%,311,0.60%,124,0.24%,7,0.01%,24792,47.82%,2439,4.70%,,,24612,47.47%,,,27051,52.18%,51843,100.00%
2006-08-01,21168,40.74%,3265,6.28%,298,0.57%,131,0.25%,9,0.02%,24871,47.86%,2452,4.72%,,,24639,47.42%,,,27091,52.14%,51962,100.00%
2006-09-01,21389,40.96%,3244,6.21%,307,0.59%,127,0.24%,5,0.01%,25072,48.02%,2396,4.59%,,,24749,47.40%,,,27145,51.98%,52217,100.00%
2006-10-01,21532,41.21%,3217,6.16%,309,0.59%,127,0.24%,6,0.01%,25191,48.21%,2405,4.60%,,,24659,47.19%,,,27064,51.79%,52255,100.00%
2006-11-01,21687,41.28%,3175,6.04%,313,0.60%,126,0.24%,5,0.01%,25306,48.17%,2397,4.56%,,,24834,47.27%,,,27231,51.83%,52537,100.00%
2006-12-01,21637,41.02%,3203,6.07%,310,0.59%,129,0.24%,8,0.02%,25287,47.93%,2375,4.50%,,,25091,47.56%,,,27466,52.07%,52753,100.00%
2007-01-01,21724,41.12%,3157,5.98%,281,0.53%,123,0.23%,4,0.01%,25289,47.87%,2342,4.43%,,,25201,47.70%,,,27543,52.13%,52832,100.00%
2007-02-01,21626,40.88%,3209,6.07%,293,0.55%,111,0.21%,12,0.02%,25251,47.73%,2355,4.45%,,,25294,47.81%,,,27649,52.27%,52900,100.00%
2007-03-01,21765,41.09%,3119,5.89%,297,0.56%,106,0.20%,7,0.01%,25294,47.75%,2354,4.44%,,,25319,47.80%,,,27673,52.25%,52967,100.00%
2007-04-02,21991,41.18%,3171,5.94%,294,0.55%,104,0.19%,9,0.02%,25569,47.88%,2375,4.45%,,,25460,47.67%,,,27835,52.12%,53404,100.00%
2007-05-01,21961,41.05%,3127,5.84%,299,0.56%,93,0.17%,12,0.02%,25492,47.65%,2411,4.51%,,,25596,47.84%,,,28007,52.35%,53499,100.00%
2007-06-01,21925,41.14%,2867,5.38%,306,0.57%,86,0.16%,10,0.02%,25194,47.27%,2427,4.55%,,,25673,48.17%,,,28100,52.73%,53294,100.00%
2007-07-01,22059,42.03%,2839,5.41%,316,0.60%,85,0.16%,15,0.03%,25314,48.23%,2466,4.70%,,,24707,47.07%,,,27173,51.77%,52487,100.00%
2007-08-01,22028,42.41%,2818,5.43%,320,0.62%,81,0.16%,7,0.01%,25254,48.63%,2426,4.67%,,,24256,46.70%,,,26682,51.37%,51936,100.00%
2007-09-01,22012,43.32%,2809,5.53%,314,0.62%,79,0.16%,9,0.02%,25223,49.64%,2438,4.80%,,,23154,45.57%,,,25592,50.36%,50815,100.00%
2007-10-01,22205,43.79%,2845,5.61%,315,0.62%,77,0.15%,10,0.02%,25452,50.19%,2452,4.84%,,,22807,44.97%,,,25259,49.81%,50711,100.00%
2007-11-01,22300,43.77%,2907,5.71%,319,0.63%,75,0.15%,10,0.02%,25611,50.27%,2457,4.82%,,,22881,44.91%,,,25338,49.73%,50949,100.00%
2007-12-01,22300,43.77%,2906,5.70%,327,0.64%,70,0.14%,11,0.02%,25614,50.27%,2458,4.82%,,,22876,44.90%,,,25334,49.73%,50948,100.00%
2008-01-01,22335,43.75%,2953,5.78%,323,0.63%,74,0.14%,5,0.01%,25690,50.32%,2493,4.88%,,,22867,44.79%,,,25360,49.68%,51050,100.00%
2008-02-01,22303,43.58%,2956,5.78%,323,0.63%,72,0.14%,9,0.02%,25663,50.14%,2553,4.99%,,,22965,44.87%,,,25518,49.86%,51181,100.00%
2008-03-01,22463,44.01%,2929,5.74%,324,0.63%,68,0.13%,4,0.01%,25788,50.53%,2557,5.01%,,,22692,44.46%,,,25249,49.47%,51037,100.00%
2008-04-01,22571,44.27%,2897,5.68%,309,0.61%,66,0.13%,4,0.01%,25847,50.69%,2602,5.10%,,,22539,44.20%,,,25141,49.31%,50988,100.00%
2008-05-01,22739,44.39%,2955,5.77%,300,0.59%,63,0.12%,6,0.01%,26063,50.88%,2628,5.13%,,,22533,43.99%,,,25161,49.12%,51224,100.00%
2008-06-01,22766,44.58%,2969,5.81%,305,0.60%,63,0.12%,4,0.01%,26107,51.12%,2580,5.05%,,,22385,43.83%,,,24965,48.88%,51072,100.00%
2008-07-01,22827,44.16%,3003,5.81%,306,0.59%,61,0.12%,11,0.02%,26208,50.70%,2637,5.10%,,,22844,44.20%,,,25481,49.30%,51689,100.00%
2008-08-01,22823,44.51%,2999,5.85%,316,0.62%,60,0.12%,7,0.01%,26205,51.11%,2705,5.28%,,,22363,43.62%,,,25068,48.89%,51273,100.00%
2008-09-01,22829,44.16%,3069,5.94%,314,0.61%,59,0.11%,3,0.01%,26274,50.82%,2822,5.46%,,,22600,43.72%,,,25422,49.18%,51696,100.00%
2008-10-01,22938,43.91%,3086,5.91%,312,0.60%,58,0.11%,5,0.01%,26399,50.53%,2935,5.62%,,,22910,43.85%,,,25845,49.47%,52244,100.00%
2008-11-01,22987,43.75%,3115,5.93%,321,0.61%,58,0.11%,3,0.01%,26484,50.41%,3005,5.72%,,,23052,43.87%,,,26057,49.59%,52541,100.00%
2008-12-01,23029,43.58%,3117,5.90%,322,0.61%,56,0.11%,4,0.01%,26528,50.20%,3076,5.82%,,,23245,43.98%,,,26321,49.80%,52849,100.00%
2009-01-01,22831,42.92%,3021,5.68%,322,0.61%,55,0.10%,5,0.01%,26234,49.32%,3399,6.39%,,,23557,44.29%,,,26956,50.68%,53190,100.00%
2009-02-01,22699,42.69%,2970,5.59%,324,0.61%,53,0.10%,7,0.01%,26053,48.99%,3544,6.66%,,,23578,44.34%,,,27122,51.01%,53175,100.00%
2009-03-01,22757,42.61%,2946,5.52%,317,0.59%,52,0.10%,9,0.02%,26081,48.84%,3634,6.80%,,,23689,44.36%,,,27323,51.16%,53404,100.00%
2009-04-01,22627,42.00%,2956,5.49%,320,0.59%,49,0.09%,10,0.02%,25962,48.18%,3924,7.28%,,,23994,44.53%,,,27918,51.82%,53880,100.00%
2009-05-01,22541,41.62%,2885,5.33%,326,0.60%,49,0.09%,7,0.01%,25808,47.65%,4180,7.72%,,,24173,44.63%,,,28353,52.35%,54161,100.00%
2009-06-01,22247,40.93%,2801,5.15%,330,0.61%,50,0.09%,9,0.02%,25437,46.79%,4537,8.35%,,,24386,44.86%,,,28923,53.21%,54360,100.00%
2009-07-01,22055,40.26%,2894,5.28%,340,0.62%,53,0.10%,7,0.01%,25349,46.27%,4738,8.65%,,,24693,45.08%,,,29431,53.73%,54780,100.00%
2009-08-01,21741,39.70%,2839,5.18%,349,0.64%,47,0.09%,8,0.01%,24984,45.63%,5109,9.33%,,,24664,45.04%,,,29773,54.37%,54757,100.00%
2009-09-01,21560,39.39%,2814,5.14%,353,0.64%,48,0.09%,9,0.02%,24784,45.28%,5343,9.76%,,,24602,44.95%,,,29945,54.72%,54729,100.00%
2009-10-01,21585,39.27%,2860,5.20%,357,0.65%,46,0.08%,9,0.02%,24857,45.22%,5500,10.01%,,,24612,44.77%,,,30112,54.78%,54969,100.00%
2009-11-01,21516,39.12%,2844,5.17%,351,0.64%,44,0.08%,10,0.02%,24765,45.02%,5595,10.17%,,,24645,44.81%,,,30240,54.98%,55005,100.00%
2009-12-01,21489,38.97%,2873,5.21%,359,0.65%,44,0.08%,8,0.01%,24773,44.92%,5592,10.14%,,,24784,44.94%,,,30376,55.08%,55149,100.00%
2010-01-01,21521,39.23%,2863,5.22%,354,0.65%,45,0.08%,10,0.02%,24793,45.20%,5611,10.23%,,,24448,44.57%,,,30059,54.80%,54852,100.00%
2010-02-01,21299,39.00%,2824,5.17%,349,0.64%,43,0.08%,17,0.03%,24532,44.92%,5720,10.47%,,,24362,44.61%,,,30082,55.08%,54614,100.00%
2010-03-01,21313,38.94%,2929,5.35%,350,0.64%,44,0.08%,9,0.02%,24645,45.03%,5663,10.35%,,,24419,44.62%,,,30082,54.97%,54727,100.00%
2010-04-01,21253,38.45%,2991,5.41%,351,0.64%,43,0.08%,8,0.01%,24646,44.59%,6081,11.00%,,,24547,44.41%,,,30628,55.41%,55274,100.00%
2010-05-01,21144,38.06%,3014,5.42%,353,0.64%,42,0.08%,11,0.02%,24564,44.21%,6308,11.35%,,,24689,44.44%,,,30997,55.79%,55561,100.00%
2010-06-01,20975,37.60%,3025,5.42%,355,0.64%,42,0.08%,12,0.02%,24409,43.76%,6426,11.52%,,,24943,44.72%,,,31369,56.24%,55778,100.00%
2010-07-01,20951,37.36%,3059,5.45%,359,0.64%,43,0.08%,8,0.01%,24420,43.54%,6553,11.68%,,,25108,44.77%,,,31661,56.46%,56081,100.00%
2010-08-01,21026,37.36%,3091,5.49%,361,0.64%,42,0.07%,7,0.01%,24527,43.58%,6558,11.65%,,,25196,44.77%,,,31754,56.42%,56281,100.00%
2010-09-01,21128,37.24%,3058,5.39%,362,0.64%,42,0.07%,9,0.02%,24599,43.36%,6552,11.55%,,,25586,45.10%,,,32138,56.64%,56737,100.00%
2010-10-01,21082,36.95%,3044,5.33%,374,0.66%,40,0.07%,9,0.02%,24549,43.02%,6605,11.58%,,,25905,45.40%,,,32510,56.98%,57059,100.00%
2010-11-01,21063,36.56%,3101,5.38%,367,0.64%,39,0.07%,7,0.01%,24577,42.65%,6647,11.54%,,,26396,45.81%,,,33043,57.35%,57620,100.00%
2010-12-01,21112,36.61%,3086,5.35%,368,0.64%,39,0.07%,8,0.01%,24613,42.68%,6564,11.38%,,,26490,45.94%,,,33054,57.32%,57667,100.00%
2011-01-03,21157,36.28%,3142,5.39%,371,0.64%,39,0.07%,9,0.02%,24718,42.39%,6582,11.29%,,,27013,46.32%,,,33595,57.61%,58313,100.00%
2011-02-01,20897,35.81%,3149,5.40%,375,0.64%,39,0.07%,8,0.01%,24468,41.93%,6658,11.41%,,,27223,46.66%,,,33881,58.07%,58349,100.00%
2011-03-02,21054,35.92%,3127,5.33%,380,0.65%,39,0.07%,13,0.02%,24613,41.99%,6664,11.37%,,,27340,46.64%,,,34004,58.01%,58617,100.00%
2011-04-01,21042,35.91%,3144,5.37%,389,0.66%,38,0.06%,9,0.02%,24622,42.02%,6698,11.43%,,,27273,46.55%,,,33971,57.98%,58593,100.00%
2011-05-01,21091,35.91%,3140,5.35%,387,0.66%,38,0.06%,12,0.02%,24668,42.00%,6829,11.63%,,,27235,46.37%,,,34064,58.00%,58732,100.00%
2011-06-01,21087,35.76%,3125,5.30%,386,0.65%,38,0.06%,10,0.02%,24646,41.79%,6817,11.56%,,,27513,46.65%,,,34330,58.21%,58976,100.00%
2011-07-01,21357,35.91%,3011,5.06%,394,0.66%,37,0.06%,17,0.03%,24816,41.72%,6858,11.53%,,,27802,46.74%,,,34660,58.28%,59476,100.00%
2011-08-01,21414,35.88%,3010,5.04%,398,0.67%,37,0.06%,10,0.02%,24869,41.67%,6831,11.45%,,,27977,46.88%,,,34808,58.33%,59677,100.00%
2011-09-01,21432,35.95%,3102,5.20%,400,0.67%,37,0.06%,13,0.02%,24984,41.91%,6757,11.33%,,,27878,46.76%,,,34635,58.09%,59619,100.00%
2011-10-01,21488,35.90%,3142,5.25%,409,0.68%,37,0.06%,8,0.01%,25084,41.91%,6832,11.41%,,,27943,46.68%,,,34775,58.09%,59859,100.00%
2011-11-01,21577,35.74%,3205,5.31%,412,0.68%,37,0.06%,3,0.00%,25234,41.79%,6860,11.36%,,,28283,46.84%,,,35143,58.21%,60377,100.00%
2011-12-01,21535,35.61%,3235,5.35%,407,0.67%,38,0.06%,10,0.02%,25225,41.71%,6912,11.43%,,,28337,46.86%,,,35249,58.29%,60474,100.00%
2012-01-01,21481,35.41%,3321,5.48%,408,0.67%,37,0.06%,11,0.02%,25258,41.64%,6968,11.49%,,,28430,46.87%,,,35398,58.36%,60656,100.00%
2012-02-01,21408,35.32%,3294,5.43%,430,0.71%,38,0.06%,17,0.03%,25187,41.56%,6959,11.48%,,,28464,46.96%,,,35423,58.44%,60610,100.00%
2012-03-01,21619,35.59%,3233,5.32%,434,0.71%,38,0.06%,10,0.02%,25334,41.71%,6961,11.46%,,,28443,46.83%,,,35404,58.29%,60738,100.00%
2012-04-02,21711,35.86%,3207,5.30%,437,0.72%,37,0.06%,7,0.01%,25399,41.95%,7019,11.59%,,,28128,46.46%,,,35147,58.05%,60546,100.00%
2012-05-01,21901,36.01%,3190,5.25%,438,0.72%,38,0.06%,5,0.01%,25572,42.05%,6949,11.43%,,,28293,46.52%,,,35242,57.95%,60814,100.00%
2012-06-01,21829,35.90%,3223,5.30%,437,0.72%,36,0.06%,8,0.01%,25533,41.99%,6908,11.36%,,,28372,46.65%,,,35280,58.01%,60813,100.00%
2012-07-02,22031,36.03%,3244,5.31%,446,0.73%,36,0.06%,14,0.02%,25771,42.15%,6802,11.12%,,,28571,46.73%,,,35373,57.85%,61144,100.00%
2012-08-01,21962,35.86%,3191,5.21%,449,0.73%,35,0.06%,12,0.02%,25649,41.89%,6796,11.10%,,,28791,47.02%,,,35587,58.11%,61236,100.00%
2012-10-01,22167,35.86%,3269,5.29%,454,0.73%,34,0.06%,18,0.03%,25942,41.97%,6758,10.93%,,,29108,47.09%,,,35866,58.03%,61808,100.00%
2012-11-01,22245,35.78%,3307,5.32%,449,0.72%,34,0.05%,12,0.02%,26047,41.90%,6700,10.78%,,,29421,47.32%,,,36121,58.10%,62168,100.00%
2012-12-01,22280,35.82%,3301,5.31%,456,0.73%,34,0.05%,8,0.01%,26079,41.93%,6646,10.68%,,,29475,47.39%,,,36121,58.07%,62200,100.00%
2013-01-02,22346,35.83%,3286,5.27%,458,0.73%,34,0.05%,11,0.02%,26135,41.90%,6565,10.53%,,,29668,47.57%,,,36233,58.10%,62368,100.00%
2013-02-01,22179,35.50%,3198,5.12%,467,0.75%,34,0.05%,10,0.02%,25888,41.44%,6604,10.57%,,,29978,47.99%,,,36582,58.56%,62470,100.00%
2013-03-01,22281,35.57%,3217,5.14%,478,0.76%,34,0.05%,11,0.02%,26021,41.54%,6515,10.40%,,,30107,48.06%,,,36622,58.46%,62643,100.00%
2013-04-01,22529,35.96%,3301,5.27%,480,0.77%,33,0.05%,12,0.02%,26355,42.06%,6447,10.29%,,,29854,47.65%,,,36301,57.94%,62656,100.00%
2013-05-01,22629,35.98%,3314,5.27%,482,0.77%,33,0.05%,9,0.01%,26467,42.09%,6483,10.31%,,,29936,47.60%,,,36419,57.91%,62886,100.00%
2013-06-03,22529,35.82%,3311,5.26%,498,0.79%,32,0.05%,9,0.01%,26379,41.94%,6480,10.30%,,,30042,47.76%,,,36522,58.06%,62901,100.00%
2013-07-01,22626,36.01%,3323,5.29%,487,0.77%,32,0.05%,12,0.02%,26480,42.14%,6508,10.36%,,,29853,47.51%,,,36361,57.86%,62841,100.00%
2013-08-01,22521,35.89%,3229,5.15%,483,0.77%,32,0.05%,9,0.01%,26274,41.87%,6562,10.46%,,,29921,47.68%,,,36483,58.13%,62757,100.00%
2013-09-03,22523,35.81%,3211,5.11%,479,0.76%,31,0.05%,8,0.01%,26252,41.74%,6669,10.60%,,,29976,47.66%,,,36645,58.26%,62897,100.00%
2013-10-01,22481,35.62%,3235,5.13%,474,0.75%,31,0.05%,7,0.01%,26228,41.55%,6723,10.65%,,,30170,47.80%,,,36893,58.45%,63121,100.00%
2013-11-01,22331,35.18%,3224,5.08%,487,0.77%,31,0.05%,9,0.01%,26082,41.08%,6848,10.79%,,,30554,48.13%,,,37402,58.92%,63484,100.00%
2013-12-02,22216,34.99%,3236,5.10%,488,0.77%,32,0.05%,8,0.01%,25980,40.92%,6822,10.75%,,,30684,48.33%,,,37506,59.08%,63486,100.00%
2014-01-02,22008,34.76%,3222,5.09%,486,0.77%,31,0.05%,13,0.02%,25760,40.68%,6976,11.02%,,,30585,48.30%,,,37561,59.32%,63321,100.00%
2014-02-03,21767,34.29%,3064,4.83%,483,0.76%,31,0.05%,8,0.01%,25353,39.94%,7343,11.57%,,,30777,48.49%,,,38120,60.06%,63473,100.00%
2014-03-03,21517,33.81%,3076,4.83%,484,0.76%,31,0.05%,6,0.01%,25114,39.46%,7609,11.96%,,,30914,48.58%,,,38523,60.54%,63637,100.00%
2014-04-01,21505,33.80%,3055,4.80%,488,0.77%,30,0.05%,10,0.02%,25088,39.43%,7774,12.22%,,,30762,48.35%,,,38536,60.57%,63624,100.00%
