municipality,county,region,2010_pop
Poplarville,Pearl River Cnty,Southern MS,2894
Macon,Noxubee Cnty,Golden Triangle,2768
Hollandale,Washington Cnty,South Delta,2702
Okolona,Chickasaw Cnty,Three Rivers,2692
Durant,Holmes Cnty,North Central MS,2673
Collins,Covington Cnty,Southern MS,2582
Mendenhall,Simpson Cnty,Central MS,2504
Magnolia,Pike Cnty,Southwest MS,2420
Moorhead,Sunflower Cnty,South Delta,2405
Quitman,Clarke Cnty,East Central MS,2323
Belzoni,Humphreys Cnty,South Delta,2235
Shelby,Bolivar Cnty,South Delta,2229
Eupora,Webster Cnty,Golden Triangle,2197
Charleston,Tallahatchie Cnty,North Delta,2193
Farmington,Alcorn Cnty,Northeast MS,2186
Purvis,Lamar Cnty,Southern MS,2175
Rolling Fork,Sharkey Cnty,South Delta,2143
Tchula,Holmes Cnty,North Central MS,2096
Lumberton,"Lamar Cnty,Pearl River Cnty",Southern MS,2086
Guntown,Lee Cnty,Three Rivers,2083
Itta Bena,Leflore Cnty,North Central MS,2049
Belmont,Tishomingo Cnty,Northeast MS,2021
Nettleton,"Lee Cnty, Monroe Cnty",Three Rivers,1992
Union,"Neshoba Cnty,Newton Cnty",East Central MS,1988
Shaw,"Bolivar Cnty,Sunflower Cnty",South Delta,1952
Bruce,Calhoun Cnty,Three Rivers,1939
Raymond,Hinds Cnty,Central MS,1933
Drew,Sunflower Cnty,South Delta,1927
Wesson,Copiah Cnty,Central MS,1925
Walnut Grove,Leake Cnty,East Central MS,1911
Flora,Madison Cnty,Central MS,1886
Rosedale,Bolivar Cnty,South Delta,1873
Decatur,Newton Cnty,East Central MS,1841
Bay Springs,Jasper Cnty,Southern MS,1786
Calhoun City,Calhoun Cnty,Three Rivers,1774
Shannon,Lee Cnty,Three Rivers,1753
Marks,Quitman Cnty,North Delta,1735
Summit,Pike Cnty,Southwest MS,1705
Sardis,Panola Cnty,North Delta,1703
Centreville,Wilkinson Cnty,Southwest MS,1680
Coldwater,Tate Cnty,North Delta,1677
Lambert,Quitman Cnty,North Delta,1638
Fayette,Jefferson Cnty,Southwest MS,1614
Tylertown,Walthall Cnty,Southwest MS,1609
Monticello,Lawrence Cnty,Southwest MS,1571
Port Gibson,Claiborne Cnty,Southwest MS,1567
Mound Bayou,Bolivar Cnty,South Delta,1533
Ackerman,Choctaw Cnty,Golden Triangle,1510
Marion,Lauderdale Cnty,East Central MS,1479
Raleigh,Smith Cnty,East Central MS,1462
Sumrall,Lamar Cnty,Southern MS,1421
Goodman,Holmes Cnty,North Central MS,1386
Taylorsville,Smith Cnty,East Central MS,1353
Pelahatchie,Rankin Cnty,Central MS,1334
Vardaman,Calhoun Cnty,Three Rivers,1316
Edwards,Hinds Cnty,Central MS,1304
Tunica,Tunica Cnty,North Delta,1303
Byhalia,Marshall Cnty,Northeast MS,1302
Jonestown,Coahoma Cnty,North Delta,1298
Como,Panola Cnty,North Delta,1279
Brooksville,Noxubee Cnty,Golden Triangle,1223
Friars Point,Coahoma Cnty,North Delta,1200
DeKalb,Kemper Cnty,East Central MS,1164
Walls,Desoto Cnty,North Delta,1162
Sunflower,Sunflower Cnty,South Delta,1159
Pickens,Holmes Cnty,North Central MS,1157
Plantersville,Lee Cnty,Three Rivers,1155
Mantachie,Itawamba Cnty,Three Rivers,1144
Woodville,Wilkinson Cnty,Southwest MS,1096
Prentiss,Jefferson Davis Cnty,Southern MS,1081
Richton,Perry Cnty,Southern MS,1068
Metcalfe,Washington Cnty,South Delta,1067
Bude,Franklin Cnty,Southwest MS,1063
Terry,Hinds Cnty,Central MS,1063
Caledonia,Lowndes Cnty,Golden Triangle,1041
Derma,Calhoun Cnty,Three Rivers,1025
Inverness,Sunflower Cnty,South Delta,1019
Mount Olive,Covington Cnty,Southern MS,982
Beaumont,Perry Cnty,Southern MS,951
Burnsville,Tishomingo Cnty,Northeast MS,936
Blue Mountain,Tippah Cnty,Northeast MS,920
Leakesville,Greene Cnty,Southern MS,898
Ecru,Pontotoc Cnty,Three Rivers,895
Crenshaw,"Panola Cnty,Quitman Cnty",North Delta,885
Maben,"Oktibbeha Cnty,Webster Cnty",Golden Triangle,871
Polkville,Smith Cnty,East Central MS,833
Utica,Hinds Cnty,Central MS,820
Walnut,Tippah Cnty,Northeast MS,771
Vaiden,Carroll Cnty,North Central MS,734
Scooba,Kemper Cnty,East Central MS,732
Duck Hill,Montgomery Cnty,North Central MS,732
Sandersville,Jones Cnty,Southern MS,731
Liberty,Amite Cnty,Southwest MS,728
Anguilla,Sharkey Cnty,South Delta,726
Heidelberg,Jasper Cnty,Southern MS,718
Isola,Humphreys Cnty,South Delta,713
Crowder,"Panola Cnty,Quitman Cnty",North Delta,712
Kilmichael,Montgomery Cnty,North Central MS,699
Mathiston,"Choctaw Cnty,Webster Cnty",Golden Triangle,698
Renova,Bolivar Cnty,South Delta,668
Sherman,"Lee Cnty,Pontotc Cnty,Union Cnty",Three Rivers,650
Boyle,Bolivar Cnty,South Delta,650
New Augusta,Perry Cnty,Southern MS,644
Thaxton,Pontotoc Cnty,Three Rivers,643
Crawford,Lowndes Cnty,Golden Triangle,641
Smithville,Monroe Cnty,Three Rivers,640
New Houlka,Chickasaw Cnty,Three Rivers,626
Hickory Flat,Benton Cnty,Northeast MS,601
Algoma,Pontotoc Cnty,Three Rivers,590
Ashland,Benton Cnty,Northeast MS,569
Bolton,Hinds Cnty,Central MS,567
State Line,"Green Cnty,Wayne Cnty",Southern MS,565
Webb,Tallahatchie Cnty,North Delta,565
Mayersville,Issaquena Cnty,South Delta,547
Sledge,Quitman Cnty,North Delta,545
Hickory,Newton Cnty,East Central MS,530
Oakland,Yalobusha Cnty,North Central MS,527
Enterprise,Clarke Cnty,East Central MS,526
Potts Camp,Marshall Cnty,Northeast MS,523
Falkner,Tippah Cnty,Northeast MS,514
Courtland,Panola Cnty,North Delta,511
Sidon,Leflore Cnty,North Central MS,509
Shuqualak,Noxubee Cnty,Golden Triangle,501
Roxie,Franklin Cnty,Southwest MS,497
Myrtle,Union Cnty,Three Rivers,490
Hatley,Monroe Cnty,Three Rivers,482
Jumpertown,Prentiss Cnty,Northeast MS,480
Benoit,Bolivar Cnty,South Delta,477
North Carrollton,Carroll Cnty,North Central MS,473
Noxapater,Winston Cnty,Golden Triangle,472
Dumas,Tippah Cnty,Northeast MS,470
Tremont,Itawamba Cnty,Three Rivers,465
Weir,Choctaw Cnty,Golden Triangle,459
D’Lo,Simpson Cnty,Central MS,452
Gunnison,Bolivar Cnty,South Delta,452
Meadville,Franklin Cnty,Southwest MS,449
New Hebron,Lawrence Cnty,Southwest MS,447
McLain,Greene Cnty,Southern MS,441
Shubuta,Clarke Cnty,East Central MS,441
Artesia,Lowndes Cnty,Golden Triangle,440
Bentonia,Yazoo Cnty,Central MS,440
Osyka,Pike Cnty,Southwest MS,440
Merigold,Bolivar Cnty,South Delta,439
Blue Springs,Union Cnty,Three Rivers,428
Duncan,Bolivar Cnty,South Delta,423
Abbeville,Lafayette Cnty,Three Rivers,419
Ethel,Attala Cnty,North Central MS,418
Glen,Alcorn Cnty,Northeast MS,412
Soso,Jones Cnty,Southern MS,408
Cruger,Holmes Cnty,North Central MS,386
Arcola,Washington Cnty,South Delta,379
Coahoma,Coahoma Cnty,North Delta,377
Lyon,Coahoma Cnty,North Delta,350
Beulah,Bolivar Cnty,South Delta,348
Mize,Smith Cnty,East Central MS,340
Tishomingo,Tishomingo Cnty,Northeast MS,339
Silver City,Humphreys Cnty,South Delta,337
Beauregard,Copiah Cnty,Central MS,326
Chunky,Newton Cnty,East Central MS,326
Lake,"Newton Cnty,Scott Cnty",East Central MS,324
Taylor,Lafayette Cnty,Three Rivers,322
Snow Lake Shores,Benton Cnty,Northeast MS,319
Crosby,"Amite Cnty,Wilkinson Cnty",Southwest MS,318
Rienzi,Alcorn Cnty,Northeast MS,317
Puckett,Rankin Cnty,Central MS,316
Sumner,Tallahatchie Cnty,North Delta,316
Seminary,Covington Cnty,Southern MS,314
Cary,Sharkey Cnty,South Delta,313
Schlater,Leflore Cnty,North Central MS,310
Lula,Coahoma Cnty,North Delta,298
Georgetown,Copiah Cnty,Central MS,286
Louin,Jasper Cnty,East Central MS,277
Pace,Bolivar Cnty,South Delta,274
Sebastopol,Scott Cnty,East Central MS,272
Pachuta,Clarke Cnty,East Central MS,261
Marietta,Prentiss Cnty,Northeast MS,256
Morgan City,Leflore Cnty,North Central MS,255
Bassfield,Jefferson Davis Cnty,Southern MS,254
Sturgis,Oktibbeha Cnty,Golden Triangle,254
Toccopola,Pontotoc Cnty,Three Rivers,246
Mantee,Webster Cnty,Golden Triangle,232
Pope,Panola Cnty,North Delta,215
Silver Creek,Lawrence Cnty,Southwest MS,210
Kossuth,Alcorn Cnty,Northeast MS,209
Alligator,Bolivar Cnty,South Delta,208
Pittsboro,Calhoun Cnty,Three Rivers,202
Louise,Humphreys Cnty,South Delta,199
Golden,Tishomingo Cnty,Northeast MS,191
Winstonville,Bolivar Cnty,South Delta,191
Carrollton,Carroll Cnty,North Central MS,190
West,Holmes Cnty,North Central MS,185
Braxton,Simpson Cnty,Central MS,183
French Camp,Choctaw Cnty,Golden Triangle,174
Falcon,Quitman Cnty,North Delta,167
Big Creek,Calhoun Cnty,Three Rivers,154
Glendora,Tallahatchie Cnty,North Delta,151
Lena,Leake Cnty,East Central MS,148
Walthall,Webster Cnty,Golden Triangle,144
Montrose,Jasper Cnty,East Central MS,140
McCool,Attala Cnty,North Central MS,135
Sallis,Attala Cnty,North Central MS,134
Woodland,Chickasaw Cnty,Three Rivers,125
Paden,Tishomingo Cnty,Northeast MS,116
Sylvarena,Smith Cnty,East Central MS,112
Slate Springs,Calhoun Cnty,Three Rivers,110
Eden,Yazoo Cnty,Central MS,103
Doddsville,Sunflower Cnty,South Delta,98
Learned,Hinds Cnty,Central MS,94
Gattman,Monroe Cnty,Three Rivers,90
Satartia,Yazoo Cnty,Central MS,55
