Location,Capacity_x_x,1-May-16,2-May-16,3-May-16,4-May-16,5-May-16,6-May-16,7-May-16,8-May-16,9-May-16,Capacity_y_x,10-May-16,11-May-16,12-May-16,13-May-16,14-May-16,15-May-16,16-May-16,17-May-16,18-May-16,Capacity_x_y,19-May-16,20-May-16,21-May-16,22-May-16,23-May-16,24-May-16,25-May-16,26-May-16,27-May-16,Capacity_y_y,28-May-16,29-May-16,30-May-16,31-May-16,Avg Population
George Satellite Facility,102,87,85,84,83,83,83,83,83,82,102,82,84,84,81,81,81,89,89,88,102,87,84,84,83,86,86,84,84,89,102,89,89,89,90,82
Harrison Satellite Facility,102,79,79,79,79,79,79,79,79,79,102,79,78,80,79,78,78,80,79,78,102,77,74,74,74,77,75,76,76,78,102,78,78,78,78,75
Jackson Satellite Facility,102,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0
Jefferson Satellite Facility,102,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0
Lefore TVC,82,79,78,72,69,67,80,77,75,73,82,71,71,71,77,77,78,76,76,73,82,70,75,75,74,75,72,72,71,82,82,80,79,79,79,72
Lefore TVC Support,20,18,17,17,17,17,17,17,17,17,20,17,20,20,19,19,19,19,19,20,20,19,18,18,18,19,19,19,19,19,20,19,19,19,19,18
Madison Satellite Facility,102,86,87,87,89,92,92,92,92,92,102,90,94,94,94,94,94,93,93,93,102,93,91,91,91,91,91,91,91,93,102,93,93,93,95,89
Noxubee Satellite Facility,92,87,89,89,91,91,89,89,89,90,92,89,88,92,92,92,92,92,92,92,92,92,86,86,86,90,90,90,92,92,92,90,89,89,89,87
Pike Satellite Facility,93,81,82,81,80,79,77,77,77,79,93,79,80,80,79,79,79,86,86,86,93,86,85,85,85,85,85,85,90,90,93,90,90,90,90,80
Quitman Satellite Facility,93,91,90,90,90,90,89,89,89,90,93,89,87,88,87,87,87,86,85,85,93,85,81,81,80,84,84,86,85,85,93,85,85,85,83,84
Rankin Satellite Facility,260,168,166,165,165,166,166,166,166,166,260,165,170,168,163,163,163,170,170,170,260,170,166,166,166,169,173,173,173,172,260,172,172,172,171,163
Flowood TVC,,27,26,26,24,24,27,27,27,27,,27,27,27,33,33,33,32,32,32,,30,34,34,34,34,34,34,33,34,,34,34,33,31,29
Simpson TVC support,20,16,15,15,15,15,15,15,15,77,20,75,15,15,13,13,13,15,15,15,20,15,15,15,15,14,14,14,14,14,20,14,14,14,14,18
Simpson TVC,82,82,81,80,80,80,78,77,77,15,82,15,73,72,79,79,79,79,79,77,82,76,81,81,79,77,75,74,73,76,82,76,75,75,74,71
Washington Satellite Facility,102,99,99,98,97,98,100,100,100,100,102,100,99,96,95,95,95,97,98,98,102,101,101,101,101,101,99,99,99,99,102,99,99,99,98,96
Wilkinson Satellite Facility,102,67,65,63,63,62,62,62,62,62,102,61,60,66,64,64,64,65,63,63,102,66,65,65,65,64,64,64,67,67,102,67,67,67,67,62
Yazoo Satellite Facility,102,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0
REGIONAL CORRECTIONAL FACILITIES,"4,378","3,415","3,411","3,414","3,417","3,409","3,407","3,405","3,403","3,407","4,378","3,412","3,410","3,403","3,407","3,405","3,403","3,407","3,406","3,415","4,378","3,410","3,413","3,413","3,411","3,413","3,413","3,410","3,408","3,407","4,378","3,407","3,406","3,405","3,405","3,299"
Alcorn County,240,239,239,239,238,239,239,239,239,240,240,240,239,239,239,238,238,238,238,240,240,240,240,240,240,239,239,240,240,240,240,240,240,240,239,232
Bolivar County,369,292,293,293,291,290,290,290,290,293,369,293,293,293,294,294,294,293,293,293,369,291,290,290,290,292,292,293,292,291,369,291,291,291,293,282
Carroll County,280,240,240,240,238,240,240,240,240,240,280,240,240,240,239,239,239,238,238,240,280,240,240,240,240,240,239,238,239,239,280,239,239,238,237,232
Chickasaw County,300,240,240,239,240,240,240,240,240,240,300,240,240,240,239,239,239,238,238,240,300,240,240,240,240,240,240,238,240,240,300,240,240,240,240,232
George County,280,200,199,199,199,200,200,200,200,200,280,200,199,196,196,196,196,197,199,199,280,199,200,200,200,200,200,199,200,199,280,199,199,199,198,193
Holmes County,280,200,200,200,208,198,198,198,198,199,280,199,196,199,198,198,198,198,198,200,280,200,198,198,198,200,200,200,199,199,280,199,199,199,199,193
Issaquena County,274,240,240,240,240,240,240,240,239,238,274,240,240,239,239,239,239,238,238,240,274,240,240,240,239,240,240,240,240,240,274,240,240,240,240,232
Jefferson County,280,240,239,239,239,240,240,240,240,239,280,238,238,238,241,240,240,240,240,240,280,238,239,239,238,239,240,240,240,240,280,240,240,240,240,232
Kemper County,355,258,257,260,260,260,260,259,259,259,355,260,259,258,259,259,258,259,257,259,355,259,260,260,260,259,259,259,259,259,355,259,259,259,259,251
Leake County,280,199,199,198,198,198,198,198,198,199,280,198,199,197,197,197,197,199,199,198,280,197,199,199,199,199,199,200,197,197,280,197,197,197,197,192
Marion County,280,200,199,198,199,201,201,201,201,201,280,201,201,200,201,201,201,203,203,203,280,203,203,203,203,203,203,203,203,202,280,202,202,202,201,195
Stone County,280,200,199,201,201,201,200,200,200,200,280,200,200,200,200,200,200,199,199,199,280,199,200,200,200,200,200,199,199,198,280,198,197,197,199,193
Washington County,300,232,231,231,231,230,230,230,230,229,300,229,229,227,227,227,227,227,226,225,300,225,225,225,225,224,224,224,227,227,300,227,227,227,226,220
Winston County,280,200,199,200,198,199,199,199,198,200,280,200,199,199,199,199,199,200,200,199,280,199,200,200,200,199,200,199,198,198,280,198,198,198,197,193
Yazoo County,300,235,237,237,237,233,232,231,231,230,300,234,238,238,239,239,238,240,240,240,300,240,239,239,239,239,238,238,235,238,300,238,238,238,240,229
PRIVATE PRISONS,"5,972","3,925","3,918","3,917","3,898","3,903","3,919","3,918","3,917","3,911","5,972","3,916","3,921","3,916","3,927","3,925","3,924","3,919","3,924","3,919","5,972","3,920","3,910","3,909","3,907","3,902","3,924","3,927","3,925","3,925","5,972","3,924","3,923","3,921","3,914","3,791"
Delta,972,0,0,0,0,0,0,0,0,0,972,0,0,0,0,0,0,0,0,0,972,0,0,0,0,0,0,0,0,0,972,0,0,0,0,0
East Mississippi,"1,500","1,097","1,097","1,096","1,094","1,093","1,096","1,095","1,095","1,095","1,500","1,095","1,098","1,100","1,100","1,099","1,099","1,097","1,097","1,094","1,500","1,094","1,094","1,093","1,092","1,090","1,090","1,089","1,088","1,096","1,500","1,096","1,096","1,095","1,094","1,060"
Marshall County,"1,000",997,996,996,996,996,995,995,995,995,"1,000",996,995,993,991,991,990,999,998,997,"1,000",998,996,996,996,995,994,999,999,999,"1,000",999,999,999,999,964
Walnut Grove,"1,500",938,937,934,919,915,931,931,930,927,"1,500",931,928,924,938,938,938,925,932,931,"1,500",930,926,926,925,923,939,939,938,928,"1,500",927,927,927,922,900
Wilkinson County,"1,000",893,888,891,889,899,897,897,897,894,"1,000",894,900,899,898,897,897,898,897,897,"1,000",898,894,894,894,894,901,900,900,902,"1,000",902,901,900,899,868
RESTITUTION CENTERS,16,16,16,16,14,14,14,14,14,14,16,14,13,13,12,12,12,13,13,13,16,13,13,13,13,13,13,14,14,14,16,14,14,14,14,13
Greenwood,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Hinds,6,6,6,6,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,5,5,5,6,5,5,5,5,4
Pascagoula,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,2,2,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3
TOTALS,"24,436","19,263","19,247","19,235","19,269","19,266","19,260","19,249","19,242","19,254","24,436","19,325","19,344","19,340","19,335","19,327","19,318","19,321","19,337","19,329","24,436","19,336","19,306","19,305","19,296","19,308","19,322","19,337","19,359","19,387","24,436","19,381","19,375","19,368","19,389","18,688"
