Location,Capacity_x_x,1-Jan-07,2-Jan-07,3-Jan-07,4-Jan-07,5-Jan-07,6-Jan-07,7-Jan-07,8-Jan-07,9-Jan-07,Capacity_y_x,10-Jan-07,11-Jan-07,12-Jan-07,13-Jan-07,14-Jan-07,15-Jan-07,16-Jan-07,17-Jan-07,18-Jan-07,Capacity_x_y,19-Jan-07,20-Jan-07,21-Jan-07,22-Jan-07,23-Jan-07,24-Jan-07,25-Jan-07,26-Jan-07,27-Jan-07,Capacity_y_y,28-Jan-07,29-Jan-07,30-Jan-07,31-Jan-07,Unnamed: 6,Avg Population
Jackson Satellite Facility,102,100,101,100,101,101,101,101,99,99,102,98,98,92,91,92,98,101,98,96,102,87,87,87,96,95,95,100,93,94,102,94,101,101,0,,97
Jefferson Satellite Facility,102,100,100,100,99,99,99,99,99,99,102,98,97,90,90,91,95,99,96,96,102,91,91,91,94,102,102,102,100,100,102,100,101,100,0,,97
Leflore Satellite Facility,102,101,101,100,100,99,99,99,99,99,102,99,99,94,94,94,99,98,102,102,102,96,96,96,102,101,101,102,97,97,102,97,98,100,0,,99
Madison Satellite Facility,102,102,102,101,102,102,101,101,97,97,102,97,96,84,84,83,89,96,94,93,102,97,97,97,102,100,97,97,95,92,102,92,98,102,0,,96
Noxubee Satellite Facility,92,92,92,92,92,92,92,92,92,92,92,92,92,85,85,85,92,90,90,88,92,79,79,79,88,91,91,92,82,82,92,82,91,90,0,,88
Pike Satellite Facility,93,87,87,86,86,86,85,85,85,85,93,86,86,77,77,77,85,89,90,90,93,88,88,87,90,88,88,88,88,88,93,88,90,90,0,,86
Quitman Satellite Facility,93,78,78,78,78,77,77,75,75,75,93,75,75,73,73,73,83,91,90,89,93,82,82,82,88,88,86,86,83,81,93,82,83,82,0,,81
Rankin Satellite Facility,228,214,213,214,214,213,209,209,208,205,228,204,205,202,202,202,208,206,206,208,228,209,209,209,208,206,206,206,205,204,228,205,208,207,0,,207
Simpson Satellite Facility,102,98,98,96,98,97,97,97,96,95,102,92,92,85,85,85,91,99,99,100,102,98,98,98,100,101,100,99,97,97,102,97,102,102,0,,96
Washington Satellite Facility,102,100,101,101,101,102,102,102,102,101,102,100,100,97,97,97,101,101,101,99,102,96,96,96,101,99,99,99,95,95,102,95,99,99,0,,99
Wilkinson Satellite Facility,102,99,99,99,97,99,99,99,99,99,102,98,98,89,88,88,95,95,92,91,102,92,91,91,93,92,92,102,101,101,102,101,100,98,0,,96
Yazoo Satellite Facility,102,102,102,102,102,102,102,102,101,101,102,101,101,90,90,90,96,95,95,94,102,88,88,88,94,98,100,99,92,92,102,92,102,102,0,,97
REGIONAL CORRECTIONAL FACILITIES,"3,082","3,074","3,074","3,079","3,077","3,075","3,075","3,074","3,065","3,060","3,082","3,054","3,050","3,060","3,056","3,054","3,049","3,050","3,046","3,056","3,082","3,065","3,061","3,060","3,072","3,056","3,051","3,057","3,054","3,051","3,082","3,052","3,055","3,074",0,,"3,061"
Bolivar County,294,293,293,294,293,293,293,293,292,291,294,290,290,292,291,291,291,291,291,293,294,294,293,293,293,293,292,292,289,289,294,289,294,294,0,,292
Carroll County,280,277,279,279,279,279,279,279,278,278,280,277,277,278,278,278,276,276,275,279,280,279,279,279,278,277,279,279,280,280,280,280,280,280,0,,278
George County,280,279,279,280,280,278,278,278,277,277,280,277,276,278,278,278,278,278,278,278,280,278,277,277,280,278,274,272,280,279,280,279,274,276,0,,278
Holmes County,280,280,280,280,280,280,280,280,279,279,280,279,279,279,279,279,279,279,278,279,280,280,279,279,279,280,279,279,280,279,280,280,280,280,0,,279
Issaquena County,274,272,272,274,274,274,274,274,272,271,274,270,269,270,269,269,268,271,271,275,274,273,273,273,273,273,273,272,273,273,274,273,267,274,0,,272
Jefferson County,274,273,273,274,274,273,273,273,273,273,274,273,272,273,273,272,272,272,272,272,274,274,274,274,273,265,266,269,263,263,274,263,266,275,0,,271
Kemper County,280,280,280,280,279,280,280,279,279,279,280,279,279,279,278,278,277,276,275,275,280,275,275,275,279,277,278,280,275,274,280,274,275,280,0,,278
Leake County,280,280,280,280,279,280,280,279,279,278,280,277,277,279,278,277,277,277,276,277,280,276,276,276,280,280,279,280,280,280,280,280,280,279,0,,279
Marion County,280,280,279,279,280,280,280,280,279,279,280,279,278,277,277,277,276,275,275,275,280,280,280,279,279,277,277,280,280,280,280,280,279,279,0,,279
Stone County,280,280,279,279,279,278,278,279,277,276,280,275,275,275,275,275,275,275,275,273,280,277,276,276,280,280,279,278,278,278,280,278,280,279,0,,277
Winston County,280,280,280,280,280,280,280,280,280,279,280,278,278,280,280,280,280,280,280,280,280,279,279,279,278,276,275,276,276,276,280,276,280,278,0,,279
PRIVATE PRISONS,"5,100","4,849","4,855","4,860","4,861","4,869","4,868","4,865","4,862","4,854","5,100","4,849","4,841","4,854","4,846","4,844","4,843","4,844","4,851","4,845","5,100","4,847","4,843","4,842","4,853","4,851","4,847","4,843","4,840","4,835","5,100","4,837","4,836","4,828",0,,"4,849"
Delta,972,969,966,966,969,971,971,970,969,968,972,967,963,965,963,963,963,962,968,971,972,970,969,968,968,968,970,971,969,969,972,969,969,968,0,,968
East Mississippi,"1,000",857,857,856,855,857,857,856,856,855,"1,000",855,855,855,853,853,853,853,854,854,"1,000",854,854,854,854,852,851,848,849,848,"1,000",850,847,852,0,,853
Marshall County,"1,000",988,993,993,996,996,996,996,994,993,"1,000",992,992,995,993,992,992,991,993,993,"1,000",993,991,991,995,994,994,992,992,991,"1,000",991,988,993,0,,993
Tallahatchie County,128,128,128,128,128,128,128,128,128,128,128,128,127,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,0,,128
Walnut Grove,"1,000",947,948,949,946,951,950,949,949,944,"1,000",942,942,950,949,949,948,946,945,946,"1,000",941,941,941,949,947,943,942,942,939,"1,000",939,951,934,0,,945
Wilkinson County,"1,000",960,963,968,967,966,966,966,966,966,"1,000",965,962,961,960,959,959,964,963,953,"1,000",961,960,960,959,962,961,962,960,960,"1,000",960,953,953,0,,962
RESTITUTION CENTERS,16,13,14,14,13,12,12,12,13,13,16,12,12,10,10,10,12,12,12,12,16,11,11,11,12,12,12,12,12,12,16,12,12,12,0,,12
Greenwood,6,4,4,4,4,3,3,3,4,4,6,3,3,2,2,2,3,3,3,3,6,2,2,2,3,3,3,3,3,3,6,3,3,3,0,,3
Hinds,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,,6
Pascagoula,4,3,4,4,3,3,3,3,3,3,4,3,3,2,2,2,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,0,,3
GOVERNOR'S MANSION,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,0,,5
E-CODE,,3,3,4,3,3,4,6,6,4,,3,5,125,125,123,8,8,9,10,,97,96,96,8,8,8,10,81,79,,80,5,8,0,,34
TOTALS,"22,083","21,692","21,698","21,698","21,721","21,729","21,715","21,709","21,693","21,721","22,083","21,695","21,703","21,698","21,681","21,673","21,658","21,663","21,681","21,698","22,083","21,673","21,654","21,649","21,655","21,641","21,638","21,646","21,656","21,635","22,083","21,646","21,639","21,655",0,,"21,677"
