Location,Capacity_x_x,1-Jan-08,2-Jan-08,3-Jan-08,4-Jan-08,5-Jan-08,6-Jan-08,7-Jan-08,8-Jan-08,9-Jan-08,Capacity_y_x,10-Jan-08,11-Jan-08,12-Jan-08,13-Jan-08,14-Jan-08,15-Jan-08,16-Jan-08,17-Jan-08,18-Jan-08,Capacity_x_y,19-Jan-08,20-Jan-08,21-Jan-08,22-Jan-08,23-Jan-08,24-Jan-08,25-Jan-08,26-Jan-08,27-Jan-08,Capacity_y_y,28-Jan-08,29-Jan-08,30-Jan-08,31-Jan-08,Unnamed: 6,Avg Population
Jefferson County,280,279,280,279,279,279,279,280,280,280,280,280,279,278,278,278,278,277,277,276,280,276,276,276,276,0,0,0,0,0,280,0,0,0,0,,278
Kemper County,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,279,279,0,0,0,0,0,280,0,0,0,0,,280
Leake County,280,278,280,280,280,279,279,279,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,279,0,0,0,0,0,280,0,0,0,0,,280
Marion County,280,280,279,279,280,280,280,280,280,280,280,280,280,280,280,279,279,279,279,278,280,278,278,278,277,0,0,0,0,0,280,0,0,0,0,,279
Stone County,280,279,279,279,280,279,279,279,279,278,280,278,279,279,279,279,279,279,279,279,280,279,278,278,278,0,0,0,0,0,280,0,0,0,0,,279
Winston County,280,278,278,279,280,280,280,280,279,279,280,279,279,279,279,279,279,278,278,278,280,278,278,278,277,0,0,0,0,0,280,0,0,0,0,,279
PRIVATE PRISONS,"4,972","4,783","4,779","4,786","4,793","4,792","4,788","4,788","4,791","4,784","4,972","4,798","4,798","4,796","4,794","4,786","4,785","4,781","4,773","4,769","4,972","4,764","4,760","4,759","4,767",0,0,0,0,0,"4,972",0,0,0,0,,"4,782"
Delta,972,971,969,969,969,968,967,969,970,971,972,971,973,973,972,970,969,969,967,966,972,965,963,963,967,0,0,0,0,0,972,0,0,0,0,,969
East Mississippi,"1,000",875,875,875,875,875,874,872,872,869,"1,000",876,875,875,875,874,874,873,872,872,"1,000",871,870,869,869,0,0,0,0,0,"1,000",0,0,0,0,,873
Marshall County,"1,000",994,996,"1,000","1,000","1,000",999,997,"1,000",999,"1,000","1,000","1,000",999,998,996,996,996,995,993,"1,000",992,992,992,997,0,0,0,0,0,"1,000",0,0,0,0,,997
Tallahatchie County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Walnut Grove,"1,000",947,945,948,956,956,955,954,953,949,"1,000",955,954,953,953,951,951,949,946,945,"1,000",944,943,943,952,0,0,0,0,0,"1,000",0,0,0,0,,950
Wilkinson County,"1,000",996,994,994,993,993,993,996,996,996,"1,000",996,996,996,996,995,995,994,993,993,"1,000",992,992,992,982,0,0,0,0,0,"1,000",0,0,0,0,,994
RESTITUTION CENTERS,16,12,12,12,12,12,12,13,13,13,16,13,12,12,12,13,13,12,12,12,16,12,12,12,12,0,0,0,0,0,16,0,0,0,0,,12
Greenwood,6,5,5,5,5,5,5,6,6,6,6,6,5,5,5,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,6,0,0,0,0,,6
Hinds,6,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,6,4,4,4,4,0,0,0,0,0,6,0,0,0,0,,4
Pascagoula,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,2,2,2,4,2,2,2,2,0,0,0,0,0,4,0,0,0,0,,3
GOVERNOR'S MANSION,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,0,0,0,0,0,6,0,0,0,0,,5
E-CODE,0,5,0,5,4,4,4,6,9,8,0,8,122,121,121,6,6,3,3,107,0,108,106,5,7,0,0,0,0,0,0,0,0,0,0,,35
TOTALS,"22,912","22,341","22,327","22,342","22,378","22,370","22,354","22,380","22,411","22,410","22,912","22,414","22,381","22,370","22,361","22,327","22,332","22,317","22,348","22,345","22,912","22,330","22,322","22,309","22,306",0,0,0,0,0,"22,912",0,0,0,0,,"22,353"
