Location,Capacity_x,1-Jul-03,2-Jul-03,3-Jul-03,4-Jul-03,5-Jul-03,6-Jul-03,7-Jul-03,8-Jul-03,9-Jul-03,10-Jul-03,11-Jul-03,12-Jul-03,13-Jul-03,Capacity_y,14-Jul-03,15-Jul-03,16-Jul-03,17-Jul-03,18-Jul-03,19-Jul-03,20-Jul-03,21-Jul-03,22-Jul-03,23-Jul-03,24-Jul-03,25-Jul-03,26-Jul-03,Capacity,27-Jul-03,28-Jul-03,29-Jul-03,30-Jul-03,31-Jul-03
Wilkinson Satellite Facility,102,70,68,68,68,68,68,68,68,68,63,59,59,59,102,63,63,63,63,62,62,62,62,62,62,62,61,61,102,61,62,62,60,59
Yazoo Satellite Facility,102,99,99,99,98,98,98,98,93,92,91,88,88,88,102,88,88,89,88,83,83,84,86,85,88,88,86,86,102,86,88,88,88,88
REGIONAL CORRECTIONAL FACILITIES,"2,750","2,576","2,573","2,578","2,578","2,578","2,578","2,575","2,575","2,572","2,573","2,581","2,581","2,580","2,750","2,575","2,575","2,586","2,583","2,587","2,586","2,586","2,583","2,583","2,583","2,581","2,583","2,583","2,750","2,581","2,582","2,586","2,583","2,579"
Bolivar County,250,235,235,233,233,233,233,231,234,233,232,234,234,233,250,233,233,234,237,237,237,237,236,236,236,236,236,236,250,236,236,236,236,235
Carroll County,250,235,236,235,235,235,235,234,234,234,234,236,235,235,250,234,234,235,235,235,235,235,235,235,234,232,234,234,250,234,234,235,234,234
George County (opened on May 10th),250,234,233,234,234,234,234,233,233,233,234,234,235,235,250,233,233,235,235,237,236,236,236,236,236,235,234,234,250,234,235,235,235,235
Holmes County,250,233,232,234,234,234,234,234,232,232,233,233,233,233,250,232,232,236,235,236,236,236,236,236,236,236,236,236,250,235,234,234,235,235
Issaquena County,250,233,233,233,233,233,233,235,235,235,234,236,236,236,250,235,235,234,235,236,236,236,234,234,234,234,235,235,250,235,235,236,235,234
Jefferson County,250,235,235,235,235,235,235,235,234,233,233,233,233,233,250,235,235,235,235,234,234,234,234,235,235,235,235,235,250,235,235,235,234,234
Kemper County,250,235,234,234,234,234,234,234,234,235,235,235,235,235,250,235,235,235,235,234,234,234,235,235,235,235,235,235,250,235,235,235,234,234
Leake County,250,234,234,235,235,235,235,235,236,236,236,236,236,236,250,236,236,235,234,234,234,234,234,234,235,235,235,235,250,235,235,235,235,235
Marion County,250,232,232,235,235,235,235,234,235,234,234,234,234,234,250,234,234,235,234,233,233,233,233,233,233,235,235,235,250,235,235,235,235,234
Stone County,250,235,234,235,235,235,235,235,235,234,235,235,235,235,250,233,233,237,233,236,236,236,235,234,234,234,234,234,250,234,235,236,236,236
Winston County,250,235,235,235,235,235,235,235,233,233,233,235,235,235,250,235,235,235,235,235,235,235,235,235,235,234,234,234,250,233,233,234,234,233
PRIVATE PRISONS,"3,750","3,386","3,392","3,392","3,392","3,390","3,389","3,385","3,399","3,407","3,420","3,430","3,430","3,430","3,750","3,434","3,432","3,429","3,426","3,436","3,435","3,435","3,456","3,455","3,461","3,454","3,449","3,448","3,750","3,448","3,448","3,457","3,455","3,463"
East MS,"1,000",678,683,681,681,681,681,681,701,712,731,729,729,729,"1,000",727,727,725,724,724,724,724,728,728,728,727,727,727,"1,000",727,727,729,728,728
Marshall County,"1,000",993,992,995,995,994,993,991,990,988,987,993,993,993,"1,000",991,990,988,983,994,993,993,995,995,994,994,994,994,"1,000",994,991,995,995,994
Walnut Grove,750,723,723,723,723,723,723,722,717,717,713,716,716,716,750,725,724,724,729,731,731,731,748,747,747,742,737,736,750,736,739,738,738,748
Wilkinson County,"1,000",992,994,993,993,992,992,991,991,990,989,992,992,992,"1,000",991,991,992,990,987,987,987,985,985,992,991,991,991,"1,000",991,991,995,994,993
RESITITUTION CENTERS,24,18,18,18,18,18,18,18,17,17,17,13,13,13,24,16,16,16,16,13,13,13,16,16,16,16,16,16,24,16,16,16,16,16
Greenwood,6,6,6,6,6,6,6,6,5,5,5,2,2,2,6,5,5,5,5,3,3,3,5,5,5,5,5,5,6,5,5,5,5,5
Hinds,12,9,9,9,9,9,9,9,9,9,9,8,8,8,12,8,8,8,8,8,8,8,8,8,8,8,8,8,12,8,8,8,8,8
Pascagoula,6,3,3,3,3,3,3,3,3,3,3,3,3,3,6,3,3,3,3,2,2,2,3,3,3,3,3,3,6,3,3,3,3,3
GOVERNOR'S MANSION,6,6,6,6,6,6,6,6,6,6,6,5,5,5,6,6,6,6,6,5,5,5,6,6,6,6,5,5,6,5,6,6,6,6
E-CODE,,4,7,6,7,6,5,6,0,3,5,87,89,87,,5,6,5,5,54,53,50,8,5,4,6,51,51,,49,4,5,6,6
TOTALS,"21,737","20,480","20,480","20,484","20,476","20,473","20,465","20,481","20,432","20,458","20,470","20,451","20,445","20,443","21,737","20,414","20,448","20,458","20,474","20,480","20,472","20,468","20,473","20,471","20,471","20,449","20,443","20,440","21,737","20,434","20,450","20,460","20,471","20,466"
