Location,Capacity_x_x,1-Jul-09,2-Jul-09,3-Jul-09,4-Jul-09,5-Jul-09,6-Jul-09,7-Jul-09,8-Jul-09,9-Jul-09,Capacity_y_x,10-Jul-09,11-Jul-09,12-Jul-09,13-Jul-09,14-Jul-09,15-Jul-09,16-Jul-09,17-Jul-09,18-Jul-09,Capacity_x_y,19-Jul-09,20-Jul-09,21-Jul-09,22-Jul-09,23-Jul-09,24-Jul-09,25-Jul-09,26-Jul-09,27-Jul-09,Capacity_y_y,28-Jul-09,29-Jul-09,30-Jul-09,31-Jul-09,Unnamed: 6,Avg Population
Jefferson Satellite Facility,102,96,96,95,95,95,95,94,92,89,102,85,85,85,89,89,88,88,87,87,102,87,93,98,98,100,97,97,97,97,102,98,98,94,93,,93
Leflore Satellite Facility,102,83,83,83,82,82,82,82,94,93,102,91,91,91,93,93,91,91,89,89,102,89,88,88,87,87,86,86,86,86,102,87,83,74,71,,86
Madison Satellite Facility,102,93,92,92,92,92,92,96,98,97,102,96,96,96,97,96,95,95,94,94,102,94,96,94,94,95,93,93,93,98,102,98,98,94,91,,95
Noxubee Satellite Facility,92,82,81,81,81,81,81,86,85,84,92,76,76,76,84,84,84,85,82,82,92,82,83,84,81,88,86,86,87,91,92,90,90,86,83,,83
Pike Satellite Facility,93,85,86,86,86,86,85,85,84,84,93,78,78,78,82,84,82,81,80,80,93,80,83,84,84,84,85,86,86,86,93,88,88,87,86,,84
Quitman Satellite Facility,93,85,85,85,85,85,85,82,80,78,93,71,71,71,75,75,76,78,69,69,93,69,75,74,74,75,73,73,73,68,93,69,72,69,67,,75
Rankin Satellite Facility,260,251,250,249,249,249,249,247,249,246,260,240,240,240,241,244,236,247,248,248,260,247,246,244,241,248,249,249,249,249,260,248,250,249,244,,246
Simpson Satellite Facility,102,89,102,101,101,101,101,99,99,96,102,92,92,91,96,98,97,98,96,96,102,96,95,96,96,96,95,95,95,99,102,96,98,97,98,,97
Washington Satellite Facility,102,96,95,94,94,94,94,93,94,89,102,85,85,85,88,86,84,84,88,88,102,88,89,89,88,86,88,88,88,87,102,87,86,84,79,,88
Wilkinson Satellite Facility,102,92,90,90,90,90,90,93,97,97,102,93,93,93,96,95,95,95,95,94,102,94,92,91,89,87,90,90,90,97,102,97,96,92,90,,93
Yazoo Satellite Facility,102,97,93,92,91,91,91,91,96,96,102,92,92,92,97,97,94,94,92,92,102,92,99,99,101,101,100,100,100,101,102,101,101,101,101,,96
REGIONAL CORRECTIONAL FACILITIES,"3,088","2,908","2,913","2,915","2,913","2,912","2,909","2,912","2,913","2,913","3,088","2,913","2,913","2,913","2,909","2,911","2,906","2,907","2,915","2,912","3,088","2,911","2,902","2,902","2,909","2,905","2,899","2,891","2,891","2,895","3,088","2,907","2,906","2,900","2,903",,"2,907"
Bolivar County,294,278,280,279,278,278,277,280,280,280,294,280,280,280,279,280,279,279,280,278,294,278,277,279,278,277,278,278,278,278,294,279,280,280,280,,279
Carroll County,280,266,266,266,266,266,265,265,265,265,280,266,266,266,266,266,265,266,266,266,280,265,265,265,266,265,265,265,265,266,280,265,265,263,262,,265
George County,280,265,265,265,265,265,265,265,266,266,280,266,266,266,266,266,266,266,266,265,280,265,265,265,265,264,262,260,260,260,280,260,261,262,265,,264
Holmes County,280,250,250,250,250,249,249,250,250,250,280,250,250,250,250,250,249,249,250,250,280,250,250,249,249,250,250,249,249,250,280,250,249,248,250,,250
Issaquena County,274,259,260,260,260,260,260,260,259,259,274,259,259,259,257,257,258,256,258,258,274,258,255,252,260,255,257,256,256,253,274,259,259,257,260,,258
Jefferson County,280,265,265,266,265,265,265,265,265,265,280,265,265,265,264,265,264,264,269,269,280,269,266,265,265,266,265,265,265,265,280,263,263,264,261,,265
Kemper County,280,266,266,266,266,266,266,265,266,266,280,266,266,266,266,266,266,266,266,266,280,266,264,264,266,266,267,266,266,266,280,266,266,266,266,,266
Leake County,280,264,264,266,266,266,265,266,266,266,280,265,265,265,265,266,266,266,266,266,280,266,266,266,266,266,262,261,261,265,280,269,269,266,266,,265
Marion County,280,265,266,266,266,266,266,265,265,265,280,265,265,265,266,264,264,264,264,264,280,264,264,266,264,266,263,261,261,261,280,265,264,265,266,,265
Stone County,280,265,265,265,265,265,265,265,265,265,280,265,265,265,265,265,264,265,266,266,280,266,266,265,265,265,264,264,264,265,280,265,265,266,266,,265
Winston County,280,265,266,266,266,266,266,266,266,266,280,266,266,266,265,266,265,266,264,264,280,264,264,266,265,265,266,266,266,266,280,266,265,263,261,,265
PRIVATE PRISONS,"5,972","5,491","5,487","5,501","5,497","5,496","5,493","5,490","5,491","5,489","5,972","5,484","5,481","5,475","5,481","5,497","5,491","5,492","5,495","5,493","5,972","5,493","5,487","5,496","5,493","5,497","5,502","5,496","5,495","5,498","5,972","5,493","5,493","5,492","5,492",,"5,492"
Delta,972,952,950,958,958,957,957,956,950,955,972,951,949,949,952,956,953,953,954,954,972,954,955,955,952,951,957,957,957,956,972,955,956,955,957,,954
East Mississippi,"1,500","1,354","1,355","1,362","1,360","1,360","1,359","1,360","1,361","1,357","1,500","1,357","1,357","1,355","1,356","1,359","1,357","1,358","1,360","1,360","1,500","1,360","1,358","1,360","1,362","1,358","1,357","1,356","1,355","1,359","1,500","1,357","1,358","1,361","1,361",,"1,358"
Marshall County,"1,000",983,984,983,983,983,983,983,983,983,"1,000",981,981,980,982,983,983,984,982,982,"1,000",982,980,983,983,983,984,983,983,982,"1,000",982,981,979,983,,982
Walnut Grove,"1,500","1,226","1,222","1,222","1,222","1,222","1,221","1,217","1,223","1,221","1,500","1,226","1,225","1,224","1,225","1,226","1,225","1,224","1,223","1,221","1,500","1,221","1,221","1,222","1,221","1,228","1,227","1,226","1,226","1,225","1,500","1,225","1,225","1,226","1,223",,"1,224"
Wilkinson County,"1,000",976,976,976,974,974,973,974,974,973,"1,000",969,969,967,966,973,973,973,976,976,"1,000",976,973,976,975,977,977,974,974,976,"1,000",974,973,971,968,,973
RESTITUTION CENTERS,16,11,11,11,11,11,11,11,11,10,16,8,8,8,9,9,9,10,10,10,16,10,10,10,9,9,9,9,9,9,16,9,8,9,10,,10
Greenwood,6,6,6,6,6,6,6,6,6,5,6,4,4,4,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,,5
Hinds,6,4,4,4,4,4,4,4,4,4,6,3,3,3,3,3,3,4,4,4,6,4,4,4,3,3,3,3,3,3,6,3,2,3,3,,3
Pascagoula,4,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,4,1,1,1,2,,1
GOVERNOR'S MANSION,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,6
E-CODE,0,13,9,8,10,9,7,9,7,7,0,76,79,78,10,11,13,8,30,29,0,28,6,4,7,8,29,28,30,9,0,10,10,8,28,,20
TOTALS,"23,737","21,943","21,945","21,945","21,935","21,930","21,919","21,922","21,890","21,832","23,737","21,840","21,831","21,821","21,818","21,836","21,792","21,814","21,806","21,795","23,737","21,791","21,756","21,795","21,763","21,756","21,791","21,775","21,771","21,758","23,737","21,769","21,778","21,652","21,633",,"21,819"
