Location,Capacity_x,1-Jun-03,2-Jun-03,3-Jun-03,4-Jun-03,5-Jun-03,6-Jun-03,7-Jun-03,8-Jun-03,9-Jun-03,10-Jun-03,11-Jun-03,12-Jun-03,Capacity_y,Unnamed: 2,13-Jun-03 14-Jun-03,15-Jun-03,16-Jun-03,17-Jun-03,18-Jun-03,19-Jun-03,20-Jun-03,21-Jun-03,22-Jun-03,23-Jun-03,24-Jun-03,Capacity,25-Jun-03,26-Jun-03,27-Jun-03,28-Jun-03,29-Jun-03,30-Jun-03
Jefferson Satellite Facility,102,73,75,71,71,69,68,68,68,75,73,73,73,102,69,69,69,75,75,75,75,72,72,72,74,74,102,73,72,72,72,72,73
Leflore Satellite Facility,102,73,75,75,75,75,74,74,74,74,74,74,75,102,71,70,70,72,72,76,86,96,96,96,97,97,102,97,98,94,94,94,96
Madison Satellite Facility,102,73,72,75,73,81,92,92,92,92,96,100,100,102,93,93,93,100,102,102,101,100,99,100,98,98,102,98,101,100,100,100,101
Noxubee Satellite Facility,92,64,71,70,72,72,68,68,68,71,73,75,75,92,74,73,74,74,74,74,74,71,70,71,73,72,92,71,71,66,66,66,72
Pike Satellite Facility,93,58,63,63,63,62,61,61,61,62,62,62,61,93,61,61,61,61,61,58,57,56,56,56,55,54,93,56,56,58,58,58,59
Quitman Satellite Facility,93,59,64,62,62,62,60,60,60,61,61,59,59,93,59,59,59,61,62,62,62,59,59,59,61,61,93,61,61,66,66,66,66
Rankin Satellite Facility,228,142,147,142,147,145,146,146,146,147,147,147,147,228,143,143,143,146,146,146,146,163,163,164,168,169,228,171,170,167,167,167,168
Simpson Satellite Facility,102,69,74,74,72,72,69,69,69,72,73,73,73,102,68,68,68,73,73,72,74,71,71,71,73,73,102,73,75,71,71,71,75
Washington Satellite Facility,102,66,73,73,73,73,70,70,70,74,74,74,74,102,68,68,68,73,73,72,72,70,70,70,71,71,102,71,82,80,80,80,82
Wilkinson Satellite Facility,102,71,73,73,74,74,70,70,70,73,74,74,74,102,70,70,70,73,74,74,74,74,74,73,73,73,102,72,72,67,67,66,70
Yazoo Satellite Facility,102,69,75,75,74,75,71,71,71,74,73,75,74,102,72,72,72,74,74,74,71,66,66,66,97,95,102,95,94,94,94,94,99
REGIONAL CORRECTIONAL FACILITIES,"2,750","2,583","2,584","2,577","2,573","2,572","2,578","2,578","2,576","2,580","2,584","2,580","2,582","2,750","2,586","2,585","2,585","2,570","2,575","2,577","2,574","2,579","2,578","2,577","2,574","2,583","2,750","2,581","2,582","2,582","2,582","2,582","2,580"
Bolivar County,250,235,235,234,234,233,233,233,232,234,234,233,235,250,235,235,235,235,237,236,236,236,236,236,236,234,250,234,234,236,236,236,235
Carroll County,250,236,236,234,234,233,233,233,233,233,235,235,235,250,235,235,235,235,235,235,235,235,235,235,234,235,250,235,235,234,234,234,235
George County (opened on May 10th),250,234,234,235,233,232,233,233,233,233,233,233,233,250,235,235,235,225,224,233,231,232,232,232,231,234,250,235,235,234,234,234,235
Holmes County,250,235,235,234,233,235,235,235,234,235,235,235,235,250,235,235,235,235,235,235,235,237,237,236,236,236,250,236,236,236,236,236,234
Issaquena County,250,235,234,234,234,232,235,235,235,235,238,236,235,250,235,235,235,235,235,235,233,233,233,233,234,234,250,232,233,234,234,234,234
Jefferson County,250,235,235,234,233,234,234,234,234,235,234,234,235,250,235,234,234,233,234,233,233,234,234,234,234,235,250,234,234,235,235,235,235
Kemper County,250,236,236,235,235,234,235,235,235,235,235,235,235,250,235,235,235,235,235,235,235,235,235,235,235,235,250,235,235,235,235,235,235
Leake County,250,235,235,235,235,234,235,235,235,235,235,235,235,250,236,236,236,235,235,232,235,234,234,234,233,235,250,235,235,235,235,235,234
Marion County,250,234,236,235,235,235,235,235,235,235,235,235,235,250,235,235,235,235,235,235,235,234,234,234,234,235,250,235,235,233,233,233,233
Stone County,250,234,234,234,232,235,235,235,235,235,235,234,234,250,235,235,235,232,235,235,233,236,235,235,235,235,250,235,235,235,235,235,235
Winston County,250,234,234,233,235,235,235,235,235,235,235,235,235,250,235,235,235,235,235,233,233,233,233,233,232,235,250,235,235,235,235,235,235
PRIVATE PRISONS,"3,750","3,375","3,381","3,379","3,378","3,371","3,366","3,366","3,366","3,379","3,377","3,374","3,386","3,750","3,378","3,378","3,375","3,369","3,369","3,368","3,379","3,377","3,376","3,376","3,373","3,376","3,750","3,381","3,382","3,383","3,383","3,383","3,378"
East MS,"1,000",682,682,682,680,678,678,678,678,677,677,676,683,"1,000",682,682,682,682,682,682,682,682,682,682,682,681,"1,000",681,679,679,679,679,679
Marshall County,"1,000",983,992,989,988,985,982,982,982,992,992,992,992,"1,000",991,991,988,986,986,986,995,994,994,994,992,992,"1,000",992,992,994,994,994,993
Walnut Grove,750,716,713,715,715,714,712,712,712,715,713,711,717,750,714,714,714,713,710,709,711,710,710,710,709,716,750,714,717,716,716,716,713
Wilkinson County,"1,000",994,994,993,995,994,994,994,994,995,995,995,994,"1,000",991,991,991,988,991,991,991,991,990,990,990,987,"1,000",994,994,994,994,994,993
RESITITUTION CENTERS,24,18,18,18,18,18,18,18,18,20,20,19,19,24,19,18,18,18,18,18,18,18,18,18,18,18,24,18,18,18,18,18,18
Greenwood,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Hinds,12,10,10,10,10,10,10,10,10,10,10,10,10,12,10,9,9,9,9,9,9,9,9,9,9,9,12,9,9,9,9,9,9
Pascagoula,6,2,2,2,2,2,2,2,2,4,4,3,3,6,3,3,3,3,3,3,3,3,3,3,3,3,6,3,3,3,3,3,3
GOVERNOR'S MANSION,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
E-CODE,,80,8,8,5,3,43,44,44,6,4,4,4,,58,57,57,3,3,7,12,45,45,44,9,11,,11,11,50,49,49,4
TOTALS,"21,737","20,382","20,375","20,380","20,401","20,420","20,459","20,459","20,454","20,478","20,482","20,470","20,476","21,737","20,461","20,452","20,444","20,430","20,443","20,459","20,494","20,516","20,508","20,509","20,523","20,516","21,737","20,506","20,520","20,504","20,499","20,497","20,471"
