Location,Capacity_x,1-Nov-01,2-Nov-01,3-Nov-01,4-Nov-01,5-Nov-01,6-Nov-01,7-Nov-01,8-Nov-01,9-Nov-01,10-Nov-01,Capacity_y,11-Nov-01,12-Nov-01,13-Nov-01,14-Nov-01,15-Nov-01,16-Nov-01,17-Nov-01,18-Nov-01,19-Nov-01,20-Nov-01,Capacity,21-Nov-01,22-Nov-01,23-Nov-01,24-Nov-01,25-Nov-01,26-Nov-01,27-Nov-01,28-Nov-01,29-Nov-01,30-Nov-01
Noxubee Satellite Facility,75,73,72,72,72,72,72,74,74,71,71,75,71,74,74,74,75,75,75,75,74,74,75,74,74,74,74,74,73,72,72,72,72
Pike Satellite Facility,75,54,60,60,60,67,66,68,67,66,66,75,66,66,66,67,67,66,66,66,68,68,75,68,68,68,67,67,67,67,67,67,67
Quitman Satellite Facility,75,65,65,65,65,64,63,63,62,62,62,75,62,62,70,69,69,70,70,70,70,70,75,70,70,70,70,70,68,68,67,69,69
Rankin Satellite Facility,120,110,111,111,111,114,113,113,113,111,111,120,111,114,114,118,118,123,123,123,123,123,120,122,122,122,122,122,122,121,120,119,121
Simpson Satellite Facility,75,74,73,73,73,74,73,72,72,69,69,75,69,73,72,72,74,75,75,75,75,75,75,75,75,75,75,75,74,74,73,75,75
Washington Satellite Facility,75,74,73,73,73,72,71,74,73,72,72,75,72,72,75,75,75,75,75,75,74,74,75,75,75,75,75,75,73,73,72,74,74
Wilikinson Satellite Facility,75,74,73,73,73,74,74,74,74,70,70,75,70,72,72,72,72,72,72,72,72,72,75,73,73,73,73,73,72,70,70,70,70
Yazoo Satellite Facility,75,75,74,74,74,74,73,73,74,71,71,75,71,74,74,74,75,75,75,75,75,74,75,75,75,75,75,75,71,71,75,75,75
REGIONAL CORRECTIONAL FACILITIES,"2,500","2,037","2,028","2,027","2,027","2,022","2,038","2,036","2,034","2,034","2,034","2,500","2,034","2,034","2,031","2,029","2,041","2,032","2,031","2,031","2,034","2,034","2,500","2,044","2,043","2,042","1,834","1,834","1,828","1,823","1,870","1,931","1,970"
Bolivar County,250,208,207,207,207,207,208,207,207,207,207,250,207,207,207,207,207,207,207,207,206,206,250,207,207,207,0,0,0,0,0,0,0
Carroll County,250,201,199,199,199,198,199,199,199,199,199,250,199,199,199,199,200,199,199,199,198,198,250,200,200,200,200,200,199,199,217,216,216
Holmes County,250,198,195,195,195,195,200,200,199,199,199,250,199,199,199,198,198,198,198,198,198,197,250,201,201,201,200,200,200,195,209,216,216
Issaquena County,250,199,199,198,198,198,200,200,200,200,200,250,200,200,200,199,198,194,193,193,199,199,250,199,199,199,199,199,195,195,195,210,210
Jefferson County,250,211,211,211,211,208,208,210,210,209,209,250,209,209,208,208,211,210,210,210,210,209,250,209,209,209,209,209,209,209,207,207,221
Kemper County,250,224,223,223,223,222,224,224,224,224,224,250,224,224,224,224,226,226,226,226,226,228,250,227,227,226,226,226,226,227,227,244,243
Leake County,250,199,199,199,199,199,199,199,198,198,198,250,198,198,196,196,200,199,199,199,198,198,250,199,199,199,199,199,199,199,199,215,216
Marion County,250,200,200,200,200,200,200,197,197,197,197,250,197,197,197,197,200,200,200,200,200,200,250,200,200,200,200,200,199,199,199,206,216
Stone County,250,197,196,196,196,196,200,200,200,200,200,250,200,200,200,200,200,198,198,198,198,198,250,201,200,200,200,200,200,199,199,199,214
Winston County,250,200,199,199,199,199,200,200,200,201,201,250,201,201,201,201,201,201,201,201,201,201,250,201,201,201,201,201,201,201,218,218,218
PRIVATE PRISONS,"3,900","3,511","3,522","3,521","3,520","3,517","3,516","3,526","3,539","3,537","3,535","3,900","3,535","3,535","3,528","3,527","3,526","3,539","3,538","3,536","3,537","3,535","3,900","3,546","3,545","3,545","3,545","3,544","3,532","3,530","3,593","3,611","3,613"
Delta,"1,000",842,842,842,842,842,841,840,839,838,837,"1,000",837,837,835,835,834,840,840,840,839,839,"1,000",843,843,843,843,843,839,839,859,857,855
East MS,500,490,498,497,497,497,497,497,495,495,494,500,494,494,493,493,493,497,497,497,496,496,500,496,495,495,495,494,494,493,494,492,492
Marshall County,"1,000",869,869,869,869,866,867,867,871,871,871,"1,000",871,871,871,871,869,871,871,869,869,867,"1,000",871,871,871,871,871,865,864,881,882,882
Walnut Grove,500,418,421,421,421,421,420,425,438,437,437,500,437,437,435,435,435,436,435,435,439,440,500,444,444,444,444,444,444,444,469,490,494
Wilkinson County,900,892,892,892,891,891,891,897,896,896,896,900,896,896,894,893,895,895,895,895,894,893,900,892,892,892,892,892,890,890,890,890,890
RESITITUTION CENTERS,24,18,18,18,18,18,17,18,18,13,13,24,13,18,18,18,18,18,18,18,18,18,24,18,18,18,18,18,18,18,18,18,18
Greenwood,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Hinds,12,11,11,11,11,11,11,11,11,6,6,12,6,11,11,11,11,11,11,11,11,11,12,11,11,11,11,11,11,11,11,11,11
Pascagoula,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1
GOVERNOR'S MANSION,6,5,5,5,5,5,5,5,5,4,4,6,4,5,5,5,5,4,4,4,5,5,6,5,5,5,5,5,5,5,5,5,5
TOTALS,"20,701","18,802","18,817","18,811","18,808","18,829","18,862","18,865","18,866","18,810","18,803","20,701","18,783","18,853","18,819","18,826","18,842","18,843","18,841","18,839","18,855","18,894","20,701","18,882","18,877","18,868","18,864","18,864","18,790","18,810","18,826","18,822","18,813"
