Location,Capacity_x_x,1-Aug-07,2-Aug-07,3-Aug-07,4-Aug-07,5-Aug-07,6-Aug-07,7-Aug-07,8-Aug-07,9-Aug-07,Capacity_y_x,10-Aug-07,11-Aug-07,12-Aug-07,13-Aug-07,14-Aug-07,15-Aug-07,16-Aug-07,17-Aug-07,18-Aug-07,Capacity_x_y,19-Aug-07,20-Aug-07,21-Aug-07,22-Aug-07,23-Aug-07,24-Aug-07,25-Aug-07,26-Aug-07,27-Aug-07,Capacity_y_y,28-Aug-07,29-Aug-07,30-Aug-07,31-Aug-07,Unnamed: 6,Avg Population
Marion County,280,279,279,280,280,280,278,277,279,280,280,279,278,278,278,280,280,280,279,279,280,279,279,280,280,279,279,278,278,278,280,279,278,279,280,,279
Stone County,280,279,280,280,280,280,280,280,280,280,280,280,279,279,280,280,280,280,280,280,280,279,279,279,279,279,278,277,277,278,280,278,277,280,280,,279
Winston County,280,279,278,278,278,278,280,280,279,279,280,279,279,279,279,279,279,280,280,280,280,280,280,279,280,280,280,280,280,279,280,280,278,278,279,,279
PRIVATE PRISONS,"4,972","4,780","4,780","4,787","4,786","4,784","4,767","4,778","4,776","4,757","4,972","4,774","4,771","4,770","4,776","4,774","4,773","4,786","4,777","4,774","4,972","4,773","4,774","4,782","4,785","4,794","4,772","4,770","4,769","4,768","4,972","4,774","4,781","4,787","4,786",,"4,777"
Delta,972,971,971,971,971,970,970,972,972,971,972,970,969,969,970,972,971,971,968,967,972,967,969,972,971,971,970,970,970,970,972,969,971,971,972,,970
East Mississippi,"1,000",883,887,891,890,890,890,889,886,878,"1,000",886,885,885,883,886,885,886,886,886,"1,000",886,885,891,891,888,886,886,886,886,"1,000",887,887,887,891,,887
Marshall County,"1,000",992,996,996,996,995,994,994,995,995,"1,000",995,995,995,995,994,993,994,994,993,"1,000",993,995,995,993,996,994,993,992,995,"1,000",995,994,994,994,,994
Tallahatchie County,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Walnut Grove,"1,000",947,940,943,943,943,925,937,937,937,"1,000",943,943,943,945,942,944,950,941,941,"1,000",940,938,937,937,940,940,940,940,938,"1,000",942,943,941,938,,941
Wilkinson County,"1,000",986,985,985,985,985,987,985,985,975,"1,000",979,978,977,983,980,980,985,988,987,"1,000",987,987,987,993,999,982,981,981,979,"1,000",981,986,994,991,,985
RESTITUTION CENTERS,16,11,11,13,13,13,13,13,13,13,16,13,13,13,13,13,13,13,13,13,16,13,12,14,14,14,14,14,14,13,16,13,13,13,13,,13
Greenwood,6,3,3,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,6,4,4,5,5,5,5,5,5,4,6,4,4,4,4,,4
Hinds,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,4,5,5,5,5,5,5,5,6,5,5,5,5,,5
Pascagoula,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4
GOVERNOR'S MANSION,6,5,5,5,5,5,5,5,4,4,6,4,4,4,4,4,4,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,,5
E-CODE,,10,11,49,50,49,15,14,13,14,,36,37,36,13,14,8,6,32,31,,31,6,6,6,10,48,47,47,7,,10,11,9,6,,22
TOTALS,"22,515","22,047","22,034","22,035","22,022","22,011","22,016","22,017","22,012","22,036","22,515","22,024","22,007","22,005","22,026","22,033","22,039","22,042","22,031","22,015","22,515","22,005","21,959","22,008","22,024","22,030","22,041","22,030","22,017","22,026","22,515","22,034","22,039","22,074","22,051",,"22,025"
