date,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Delta Satellite Facility,Delta TVC,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Flowood TVC,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TRANSITIONAL HOUSING,Madison,Noxubee,Rankin/Flowood,Washington,Wilkinson,TOTALS
2019-11-22,"3,231","3,689",22,0,"2,655","1,256",848,0,0,72,182,56,0,38,0,0,76,49,66,66,139,33,0,52,0,"4,321",300,291,274,309,340,276,323,280,351,278,279,279,162,279,300,"3,172","1,235","1,000",0,937,7,0,4,3,28,4,19,4,0,1,"19,229"
2019-11-23,"3,230","3,690",22,0,"2,655","1,256",845,0,0,72,180,56,0,38,0,0,76,49,66,66,139,32,0,52,0,"4,320",300,291,274,309,339,276,323,280,351,278,279,279,162,279,300,"3,173","1,236","1,000",0,937,7,0,4,3,28,4,19,4,0,1,"19,226"
2019-11-24,"3,227","3,690",22,0,"2,655","1,256",844,0,0,72,179,56,0,38,0,0,76,49,66,66,139,32,0,52,0,"4,319",300,291,274,309,339,276,323,280,351,277,279,279,162,279,300,"3,173","1,236","1,000",0,937,7,0,4,3,28,4,19,4,0,1,"19,221"
2019-11-25,"3,226","3,698",24,0,"2,647","1,279",824,0,0,71,164,56,0,38,0,0,76,49,66,66,137,30,0,52,0,"4,311",300,290,274,310,337,278,323,280,350,277,278,279,162,273,300,"3,167","1,234",999,0,934,7,0,4,3,31,4,19,5,0,3,"19,214"
2019-11-26,"3,235","3,695",24,0,"2,650","1,236",811,0,0,70,158,56,0,38,0,0,76,49,66,67,133,28,0,52,0,"4,314",300,294,273,310,337,277,323,279,352,280,278,278,161,272,300,"3,176","1,236",999,0,941,7,0,4,3,31,4,19,5,0,3,"19,179"
2019-11-27,"3,242","3,695",24,0,"2,653","1,270",801,0,0,70,152,56,0,38,0,0,75,49,66,66,133,28,0,50,0,"4,304",299,293,273,310,337,277,322,279,350,276,278,279,161,270,300,"3,174","1,236",997,0,941,7,0,4,3,31,4,19,5,0,3,"19,201"
2019-11-28,"3,242","3,679",24,0,"2,650","1,270",801,0,0,70,150,56,0,38,0,0,74,49,66,67,133,28,0,52,0,"4,303",299,293,273,310,337,276,322,279,350,276,278,279,161,270,300,"3,173","1,236",996,0,941,7,0,4,3,31,4,19,5,0,3,"19,180"
2019-11-29,"3,241","3,680",24,0,"2,653","1,274",796,0,0,70,148,56,0,38,0,0,73,49,66,67,133,29,0,50,0,"4,302",299,293,273,310,337,276,322,279,350,276,278,278,161,270,300,"3,173","1,236",996,0,941,8,0,5,3,29,3,19,5,0,2,"19,180"
2019-11-30,"3,240","3,679",24,0,"2,650","1,274",794,0,0,70,146,56,0,38,0,0,73,49,66,67,133,29,0,50,0,"4,301",299,293,273,310,337,276,322,279,350,275,278,278,161,270,300,"3,173","1,236",996,0,941,8,0,5,3,29,3,19,5,0,2,"19,172"
2019-12-01,"3,239","3,678",24,0,"2,649","1,274",793,0,0,70,146,56,0,38,0,0,73,49,66,67,132,29,0,50,0,"4,301",299,293,273,310,337,276,322,279,350,275,278,278,161,270,300,"3,172","1,235",996,0,941,8,0,5,3,29,3,19,5,0,2,"19,167"
2019-12-02,"3,240","3,686",24,0,"2,650","1,280",782,0,0,69,142,55,0,37,0,0,72,48,66,67,132,29,0,49,0,"4,283",298,291,273,310,335,275,321,279,345,273,276,279,160,270,298,"3,168","1,232",996,0,940,8,0,5,3,29,2,19,5,0,3,"19,150"
2019-12-03,"3,257","3,668",24,0,"2,639","1,294",775,0,0,69,135,56,0,37,0,0,72,47,66,67,132,28,0,49,0,"4,298",298,291,268,310,332,276,321,279,351,279,277,279,158,280,299,"3,162","1,227",996,0,939,8,0,5,3,28,3,18,4,0,3,"19,153"
2019-12-04,"3,252","3,652",24,0,"2,661","1,278",785,0,0,69,136,56,0,37,0,0,71,47,66,67,142,25,0,48,0,"4,276",297,294,267,310,331,275,321,279,351,277,276,279,146,278,295,"3,172","1,240",995,0,937,8,0,5,3,26,3,18,4,0,1,"19,134"
2019-12-05,"3,236","3,659",25,0,"2,659","1,274",785,0,0,69,135,57,0,37,0,0,71,47,66,67,142,25,0,48,0,"4,274",297,294,272,310,338,272,321,279,349,271,276,278,146,277,294,"3,185","1,250","1,000",0,935,7,0,4,3,28,3,20,4,0,1,"19,132"
2019-12-06,"3,231","3,686",24,0,"2,658","1,285",784,0,0,69,135,57,0,37,0,0,71,47,66,67,142,24,0,48,0,"4,268",297,294,272,310,337,272,301,277,349,271,295,278,146,276,293,"3,187","1,250",998,0,939,7,0,4,3,28,3,20,4,0,1,"19,158"
2019-12-07,"3,329","3,688",24,0,"2,658","1,285",783,0,0,69,135,57,0,37,0,0,71,47,66,67,142,24,0,48,0,"4,267",297,294,272,310,337,271,301,277,349,271,295,278,146,276,293,"3,187","1,250",998,0,939,7,0,4,3,28,3,20,4,0,1,"19,256"
2019-12-08,"3,229","3,685",24,0,"2,659","1,285",781,0,0,69,135,57,0,37,0,0,71,47,66,67,142,22,0,48,0,"4,267",297,294,272,310,337,271,301,277,349,271,295,278,146,276,293,"3,187","1,250",998,0,939,7,0,4,3,28,3,20,4,0,1,"19,152"
2019-12-09,"3,230","3,708",23,0,"2,659","1,268",772,0,0,69,128,57,0,37,0,0,71,47,65,67,143,20,0,48,0,"4,260",297,294,272,310,341,269,298,276,348,270,295,277,146,274,293,"3,181","1,249",997,0,935,7,0,4,3,28,3,20,4,0,1,"19,136"
2019-12-10,"3,242","3,721",23,0,"2,657","1,244",771,0,0,69,129,57,0,37,0,0,72,46,65,66,144,18,0,48,0,"4,256",299,294,272,309,337,274,295,277,348,269,295,277,146,274,290,"3,183","1,251",997,0,935,7,0,4,3,0,2,20,4,0,2,"19,104"
2019-12-11,"3,246","3,708",23,0,"2,656","1,252",791,0,0,69,149,56,0,37,0,0,69,50,66,65,145,18,0,47,0,"4,275",299,294,272,310,337,276,295,280,349,277,298,280,146,270,292,"3,182","1,251",997,0,934,7,0,4,3,29,2,20,4,0,3,"19,169"
2019-12-12,"3,262","3,746",23,0,"2,649","1,224",788,0,0,69,147,55,0,37,0,0,73,46,66,65,144,16,0,51,0,"4,264",298,294,271,310,339,277,291,280,346,274,300,280,146,268,290,"3,178","1,247",997,0,934,7,0,4,3,29,2,20,4,0,3,"19,170"
2019-12-13,"3,270","3,758",22,0,"2,645","1,214",788,0,0,69,147,55,0,37,0,0,73,46,65,65,144,16,0,50,0,"4,270",298,294,271,310,339,277,288,280,347,281,299,280,145,270,291,"3,175","1,245",996,0,934,7,0,4,3,24,2,16,3,0,3,"19,173"
2019-12-14,"3,271","3,757",22,0,"2,645","1,214",798,0,0,69,158,55,0,37,0,0,73,46,65,64,144,16,0,50,0,"4,268",298,294,271,310,339,277,287,280,347,281,299,280,145,269,291,"3,174","1,244",996,0,934,7,0,4,3,24,2,16,3,0,3,"19,180"
2019-12-15,"3,271","3,755",22,0,"2,647","1,214",795,0,0,69,155,55,0,37,0,0,73,46,65,64,144,16,0,50,0,"4,268",298,294,271,310,339,277,287,280,347,281,299,280,145,269,291,"3,174","1,244",996,0,934,7,0,4,3,24,2,16,3,0,3,"19,177"
2019-12-16,"3,274","3,759",22,0,"2,651","1,170",810,0,0,68,168,55,0,37,0,0,74,46,65,64,145,16,0,51,0,"4,255",298,294,271,310,333,277,286,279,345,280,299,279,144,270,290,"3,175","1,249",993,0,933,7,0,4,3,24,2,16,3,0,3,"19,147"
2019-12-17,"3,272","3,765",22,0,"2,652","1,193",816,0,0,68,168,55,0,37,0,0,73,46,64,64,147,22,0,51,0,"4,248",298,293,270,310,333,277,286,278,345,280,299,279,142,269,289,"3,177","1,251",993,0,933,7,0,4,3,25,3,16,3,0,3,"19,177"
2019-12-18,"3,259","3,794",24,0,"2,661","1,174",817,0,0,66,176,54,0,37,0,0,73,46,63,64,147,21,0,49,0,"4,235",298,293,268,309,332,276,255,277,345,279,328,279,139,268,289,"3,167","1,252",996,0,919,7,0,4,3,22,3,16,3,0,0,"19,160"
2019-12-19,"3,255","3,825",24,0,"2,661","1,176",800,0,0,65,164,54,0,37,0,0,72,45,63,64,147,18,0,50,0,"4,228",299,292,267,309,329,276,253,277,345,279,328,278,139,268,289,"3,161","1,250",993,0,918,7,0,4,3,25,3,15,3,0,4,"19,162"
2019-12-20,"3,256","3,874",24,0,"2,652","1,175",798,0,0,64,160,54,0,37,0,0,71,45,63,64,147,22,0,50,0,"4,232",299,291,267,309,329,275,253,277,345,279,337,278,137,268,288,"3,158","1,248",993,0,917,7,0,4,3,25,3,15,3,0,4,"19,201"
2019-12-21,"3,254","3,872",24,0,"2,653","1,175",795,0,0,64,159,54,0,37,0,0,71,45,63,64,148,18,0,50,0,"4,229",299,291,267,309,329,275,253,277,345,279,335,278,137,267,288,"3,156","1,247",992,0,917,7,0,4,3,26,3,15,4,0,4,"19,191"
2019-12-22,"3,255","3,871",24,0,"2,653","1,175",790,0,0,64,157,54,0,37,0,0,71,45,63,64,146,17,0,50,0,"4,229",299,291,267,309,329,275,253,277,345,279,335,278,137,267,288,"3,155","1,247",992,0,916,7,0,4,3,26,3,15,4,0,4,"19,185"
2019-12-23,"3,260","3,819",24,0,"2,652","1,195",801,0,0,64,157,54,0,37,0,0,71,45,74,63,147,17,0,50,0,"4,269",298,291,267,308,332,277,254,280,352,280,340,280,137,279,294,"3,146","1,249",992,0,905,7,0,4,3,27,4,15,4,0,4,"19,200"
2019-12-24,"3,258","3,818",24,0,"2,653","1,193",794,0,0,64,150,54,0,37,0,0,71,45,74,63,147,17,0,50,0,"4,264",298,289,267,308,330,277,254,280,352,280,339,280,137,279,294,"3,147","1,250",992,0,905,7,0,4,3,27,4,15,4,0,4,"19,185"
2019-12-25,"3,258","3,819",24,0,"2,653","1,196",794,0,0,64,150,54,0,37,0,0,71,45,74,63,147,17,0,50,0,"4,264",298,289,267,308,330,277,254,280,352,280,339,280,137,279,294,"3,145","1,250",992,0,903,7,0,4,3,27,4,15,4,0,4,"19,187"
2019-12-26,"3,253","3,837",24,0,"2,682","1,197",792,0,0,67,149,54,0,36,0,0,71,45,74,63,144,17,0,50,0,"4,267",298,289,267,307,337,278,254,280,352,280,336,279,137,278,295,"3,135","1,250",992,0,893,6,0,3,3,26,4,15,4,0,3,"19,219"
2019-12-27,"3,248","3,838",24,0,"2,643","1,188",791,0,0,67,148,54,0,36,0,0,71,45,74,63,144,17,0,50,0,"4,294",298,294,266,310,336,280,253,280,352,280,351,280,137,279,298,"3,134","1,252",992,0,890,6,0,3,3,26,4,15,4,0,3,"19,192"
2019-12-28,"3,248","3,839",24,0,"2,643","1,188",790,0,0,67,147,54,0,36,0,0,71,45,74,63,144,17,0,50,0,"4,294",298,294,266,310,336,280,253,280,352,280,351,280,137,279,298,"3,133","1,252",991,0,890,6,0,3,3,26,4,15,4,0,3,"19,191"
2019-12-29,"3,247","3,836",24,0,"2,640","1,188",786,0,0,67,146,54,0,36,0,0,71,45,74,63,144,15,0,50,0,"4,291",298,294,266,309,335,280,253,280,352,280,351,279,137,279,298,"3,133","1,252",991,0,890,6,0,3,3,26,4,15,4,0,3,"19,177"
2019-12-30,"3,259","3,842",24,0,"2,620","1,163",827,0,0,67,173,54,0,36,0,0,80,45,75,61,144,21,0,50,0,"4,293",294,293,266,309,341,279,253,280,350,278,362,279,137,278,294,"3,127","1,248",990,0,889,6,0,3,3,26,4,15,4,0,3,"19,187"
2019-12-31,"3,245","3,864",24,0,"2,624","1,133",,0,0,67,171,53,0,36,0,0,80,45,75,68,142,20,0,50,0,"4,300",294,293,266,310,339,280,253,280,350,280,361,280,137,278,299,"3,131","1,245","1,000",0,886,6,0,3,3,26,4,15,4,0,3,"18,353"
2020-01-01,"3,243","3,864",24,0,"2,624","1,101",828,0,0,67,171,53,0,36,0,0,80,45,75,68,142,20,0,50,0,"4,300",294,293,266,310,339,280,253,280,350,280,361,280,137,278,299,"3,131","1,245","1,000",0,886,6,0,3,3,26,4,15,4,0,3,"19,147"
2020-01-02,"3,256","3,879",24,0,"2,622","1,103",825,0,0,67,169,52,0,36,0,0,80,45,75,68,142,20,0,50,0,"4,301",294,293,265,307,340,280,253,280,350,278,368,280,137,278,298,"3,141","1,255","1,000",0,886,6,0,3,3,25,4,15,4,0,2,"19,182"
2020-01-03,"3,256","3,872",24,0,"2,619","1,132",830,0,0,67,168,52,0,36,0,0,80,45,81,68,142,20,0,50,0,"4,293",294,293,265,305,340,280,253,279,349,278,366,280,136,278,297,"3,138","1,254",999,0,885,6,0,3,3,25,4,15,4,0,2,"19,195"
2020-01-04,"3,264","3,871",25,0,"2,618","1,132",830,0,0,67,168,52,0,36,0,0,80,45,81,68,142,20,0,50,0,"4,291",293,293,265,305,340,279,253,279,349,278,366,280,136,278,297,"3,138","1,254",999,0,885,6,0,3,3,25,4,15,4,0,2,"19,200"
2020-01-05,"3,245","3,872",25,0,"2,618","1,132",826,0,0,67,165,52,0,36,0,0,80,45,81,68,142,19,0,50,0,"4,289",293,293,265,305,340,278,253,279,348,278,366,280,136,278,297,"3,136","1,252",999,0,885,6,0,3,3,23,4,15,2,0,2,"19,172"
2020-01-06,"3,240","3,855",25,0,"2,614","1,137",817,0,0,66,164,52,0,36,0,0,80,45,79,68,140,18,0,49,0,"4,280",293,293,264,304,339,277,253,278,345,278,366,280,135,278,297,"3,135","1,251",999,0,885,6,0,3,3,23,4,15,2,0,2,"19,132"
2020-01-07,"3,238","3,846",23,0,"2,612","1,130",813,0,0,66,163,52,0,36,0,0,80,44,77,68,140,18,0,49,0,"4,262",292,292,264,304,335,276,251,277,342,277,365,279,135,276,297,"3,130","1,248",999,0,883,6,0,3,3,23,4,15,2,0,2,"19,083"
2020-01-08,"3,182","3,834",23,0,"2,604","1,144",808,0,0,66,160,52,0,36,0,0,81,42,77,68,138,18,0,50,0,"4,255",292,292,264,304,334,276,251,277,340,275,365,280,135,273,297,"3,128","1,246",999,0,883,6,0,3,3,23,4,15,2,0,2,"19,007"
2020-01-09,"3,083","3,832",23,0,"2,603","1,139",804,0,0,67,155,52,0,36,0,0,81,42,78,68,137,18,0,50,0,"4,277",292,291,264,304,334,276,251,277,340,275,389,280,135,272,297,"3,127","1,246",998,0,883,6,0,3,3,29,10,15,2,0,2,"18,923"
2020-01-10,"3,006","3,831",23,0,"2,602","1,139",775,0,0,67,154,46,0,36,0,0,77,37,73,67,132,17,0,49,0,"4,273",292,291,264,304,334,276,251,278,340,273,387,280,135,272,296,"3,125","1,246",997,0,882,6,0,3,3,0,9,15,1,0,2,"18,780"
2020-01-11,"2,928","3,825",23,0,"2,602","1,139",771,0,0,67,150,46,0,36,0,0,77,37,73,67,132,17,0,49,0,"4,272",292,291,264,304,333,276,251,278,340,273,387,280,135,272,296,"3,124","1,245",997,0,882,6,0,3,3,27,9,15,1,0,2,"18,717"
2020-01-12,"2,827","3,818",23,0,"2,603","1,139",773,0,0,67,152,46,0,36,0,0,77,37,73,67,132,17,0,49,0,"4,270",292,291,263,304,333,276,251,277,340,273,387,280,135,272,296,"3,124","1,245",997,0,882,6,0,3,3,27,9,15,1,0,2,"18,610"
2020-01-13,"2,822","3,797",23,0,"2,596","1,193",791,0,0,69,147,51,0,36,0,0,80,42,77,66,136,17,0,50,0,"4,259",291,291,262,303,332,276,250,277,338,272,386,279,135,272,295,"3,122","1,245",996,0,881,6,0,3,3,27,9,15,1,0,2,"18,636"
2020-01-14,"2,819","3,784",22,0,"2,592","1,204",787,0,0,69,146,51,0,36,0,0,78,41,77,66,135,18,0,50,0,"4,245",291,291,262,303,331,273,250,277,336,267,386,277,135,272,294,"3,495","1,244",996,0,880,6,0,3,3,25,9,15,1,0,0,"18,979"
2020-01-15,"2,817","3,784",22,0,"2,589","1,233",782,0,0,69,144,51,0,36,0,0,78,41,77,66,136,18,0,50,0,"4,234",291,291,262,303,330,272,249,276,334,266,386,277,135,268,294,"3,492","1,241",996,0,880,6,0,3,3,25,9,15,1,0,0,"18,984"
2020-01-16,"2,816","3,773",22,0,"2,581","1,315",782,0,0,69,144,51,0,36,0,0,78,41,77,66,136,18,0,50,0,"4,224",290,291,262,302,330,272,248,275,334,265,386,277,135,265,292,"3,487","1,239",995,0,878,6,0,3,3,24,8,15,1,0,0,"19,030"
2020-01-17,"2,815","3,773",22,0,"2,573","1,347",768,0,0,69,142,49,0,35,0,0,76,40,77,66,130,18,0,50,0,"4,220",290,291,261,302,330,270,248,274,334,265,386,277,135,265,292,"3,493","1,236",995,0,887,6,0,3,3,24,8,15,1,0,0,"19,041"
2020-01-18,"2,814","3,773",22,0,"2,572","1,347",766,0,0,69,140,49,0,35,0,0,76,40,77,66,130,18,0,50,0,"4,220",290,291,261,302,330,270,248,274,334,265,386,277,135,265,292,"3,481","1,234",995,0,877,6,0,3,3,24,8,15,1,0,0,"19,025"
2020-01-19,"2,814","3,769",22,0,"2,571","1,347",763,0,0,69,137,49,0,35,0,0,76,40,77,66,130,18,0,50,0,"4,219",290,291,261,302,330,270,248,274,334,265,386,277,135,264,292,"3,480","1,233",995,0,877,6,0,3,3,24,8,15,1,0,0,"19,015"
2020-01-20,"2,814","3,764",22,0,"2,572","1,349",770,0,0,69,133,51,0,36,0,0,77,41,77,66,136,18,0,50,0,"4,217",290,290,261,302,330,270,248,274,334,265,385,277,135,264,292,"3,477","1,232",995,0,875,6,0,3,3,24,8,15,1,0,0,"19,015"
2020-01-21,"2,807","3,762",22,0,"2,568","1,375",762,0,0,68,131,51,0,36,0,0,75,40,76,66,136,17,0,50,0,"4,211",289,290,261,302,330,270,248,274,333,265,383,277,135,262,292,"3,471","1,230",994,0,872,8,0,3,5,24,8,15,1,0,0,"19,010"
2020-01-22,"2,802","3,760",22,0,"2,570","1,426",759,0,0,67,131,51,0,36,0,0,74,40,77,66,134,17,0,50,0,"4,203",289,289,262,302,328,269,247,272,333,265,383,277,135,260,292,"3,469","1,230",992,0,872,8,0,3,5,24,8,15,1,0,0,"19,043"
2020-01-23,"2,801","3,755",22,0,"2,569","1,462",757,0,0,65,130,51,0,36,0,0,74,40,76,70,133,16,0,50,0,"4,194",289,289,262,302,328,269,245,272,333,265,380,277,133,260,290,"3,466","1,228",992,0,871,6,0,3,3,24,8,15,1,0,0,"19,056"
2020-01-24,"2,790","3,763",22,0,"2,566","1,492",741,0,0,65,123,50,0,35,0,0,73,38,75,70,130,16,0,50,0,"4,197",288,289,263,308,327,269,245,271,333,265,380,277,133,259,290,"3,463","1,227",992,0,869,7,0,3,2,25,9,15,1,0,0,"19,066"
2020-01-25,"2,791","3,764",22,0,"2,565","1,492",740,0,0,65,122,50,0,35,0,0,73,38,75,70,130,16,0,50,0,"4,194",288,289,262,308,327,269,245,271,332,265,379,277,133,259,290,"3,462","1,227",992,0,868,5,0,3,2,25,9,15,1,0,0,"19,060"
2020-01-26,"2,790","3,763",22,0,"2,564","1,492",739,0,0,65,121,50,0,35,0,0,73,38,75,70,130,16,0,50,0,"4,194",288,289,262,308,327,269,245,271,332,265,379,277,133,259,290,"3,461","1,227",991,0,868,5,0,3,2,25,9,15,1,0,0,"19,055"
2020-01-27,"2,781","3,590",22,0,"2,591","1,540",739,0,0,66,115,49,0,36,0,0,67,38,77,74,133,20,0,49,0,"4,291",292,289,266,308,336,274,245,274,349,277,395,277,133,277,299,"3,459","1,227",991,0,866,6,0,3,3,26,10,15,1,0,0,"19,045"
2020-01-28,"2,732","3,600",21,0,"2,613","1,498",741,0,0,70,110,49,0,36,0,0,71,38,76,74,133,20,0,49,0,"4,300",300,288,265,308,332,274,256,275,346,277,395,277,133,276,298,"3,457","1,226",990,0,866,5,0,3,2,26,10,15,1,0,0,"18,993"
2020-01-29,"2,732","3,588",21,0,"2,623","1,462",774,0,0,70,126,51,0,36,0,0,71,36,75,71,153,20,0,47,0,"4,308",300,293,270,308,328,272,264,276,345,277,391,277,133,277,297,"3,464","1,224","1,000",0,865,5,0,3,2,29,9,19,1,0,0,"19,006"
