Location,Capacity_x,1-May,2-May,3-May,4-May,5-May,6-May,7-May,8-May,9-May,10-May,Capacity_y,11-May,12-May,13-May,14-May,15-May,16-May,17-May,18-May,19-May,20-May,Capacity,21-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,29-May,30-May,31-May
Marion County,250,195,195,194,194,194,194,194,194,198,197,250,196,196,196,195,196,199,199,198,198,198,250,196,196,196,196,196,196,196,196,196,195,198
Stone County,250,199,199,199,199,199,199,199,198,198,199,250,198,198,198,198,196,195,195,195,195,195,250,200,200,199,195,195,195,195,195,195,195,200
Winston County,250,217,217,217,217,217,217,217,216,216,215,250,215,215,215,213,213,212,212,210,210,210,250,209,209,209,209,208,208,208,208,208,208,203
PRIVATE PRISONS,"3,900","3,256","3,255","3,240","3,228","3,228","3,228","3,230","3,217","3,218","3,209","3,900","3,205","3,205","3,203","3,198","3,201","3,202","3,202","3,210","3,209","3,209","3,900","3,212","3,212","3,210","3,218","3,218","3,217","3,217","3,216","3,215","3,213","3,210"
Delta,"1,000",785,785,776,766,766,766,766,766,764,760,"1,000",759,759,759,757,757,755,755,754,754,754,"1,000",754,754,754,755,755,755,755,754,756,755,754
East MS,500,496,496,496,496,496,496,498,498,498,497,500,496,496,495,493,494,498,498,498,497,497,500,497,497,496,497,497,497,497,497,497,497,498
Marshall County,"1,000",780,780,767,763,763,763,763,752,752,751,"1,000",748,748,747,746,744,743,743,742,742,742,"1,000",739,736,736,736,736,736,736,736,735,734,733
Walnut Grove,500,321,320,327,326,326,326,326,325,329,326,500,327,327,327,327,331,331,331,341,341,341,500,341,345,345,348,348,348,348,348,350,350,349
Wilkinson County,900,874,874,874,877,877,877,877,876,875,875,900,875,875,875,875,875,875,875,875,875,875,900,881,880,879,882,882,881,881,881,877,877,876
RESITITUTION CENTERS,24,6,11,12,14,14,14,13,13,13,18,24,17,17,17,18,18,18,18,18,18,18,24,18,18,18,18,18,18,18,18,18,18,18
Greenwood,6,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Hinds,12,1,6,7,7,7,7,6,6,6,11,12,10,10,10,11,11,11,11,11,11,11,12,11,11,11,11,11,11,11,11,11,11,11
Pascagoula,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1
GOVERNOR'S MANSION,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
TOTALS,"20,748","18,055","18,105","18,103","18,077","18,078","18,075","18,110","18,113","18,085","18,101","20,748","18,089","18,093","18,091","18,103","18,144","18,129","18,153","18,091","18,085","18,079","20,748","18,137","18,146","18,141","18,182","18,172","18,167","18,166","18,163","18,187","18,185","18,233"
