Location,Capacity_x_x,1-Jun-06,2-Jun-06,3-Jun-06,4-Jun-06,5-Jun-06,6-Jun-06,7-Jun-06,8-Jun-06,9-Jun-06,Capacity_y_x,10-Jun-06,11-Jun-06,12-Jun-06,13-Jun-06,14-Jun-06,15-Jun-06,16-Jun-06,17-Jun-06,18-Jun-06,Capacity_x_y,19-Jun-06,20-Jun-06,21-Jun-06,22-Jun-06,23-Jun-06,24-Jun-06,25-Jun-06,26-Jun-06,27-Jun-06,Capacity_y_y,28-Jun-06,29-Jun-06,30-Jun-06
Bolivar County,294,293,294,294,294,294,294,293,293,292,294,292,292,293,294,294,294,294,294,294,294,294,291,294,294,293,293,293,292,294,294,291,293,292
Carroll County,280,279,279,279,279,279,279,279,276,280,280,280,280,279,279,280,276,277,275,275,280,281,280,280,281,280,279,279,279,279,280,280,280,280
George County,280,280,280,280,280,280,280,280,280,280,280,279,279,278,278,279,277,278,278,278,280,280,280,280,280,278,278,278,278,280,280,277,277,277
Holmes County,280,280,280,280,280,279,279,280,280,280,280,280,280,280,279,279,278,278,278,278,280,280,280,280,280,280,280,279,279,280,280,280,277,276
Issaquena County,274,272,272,272,272,272,272,273,273,273,274,272,272,271,273,273,273,275,274,274,274,274,273,273,274,274,274,274,274,274,274,273,273,270
Jefferson County,250,250,249,249,249,249,245,244,244,250,250,250,250,247,246,250,250,249,249,249,250,249,250,252,250,250,250,250,249,248,250,248,248,244
Kemper County,280,280,278,278,278,278,278,280,280,278,280,278,278,279,277,271,272,276,276,275,280,279,277,278,278,278,278,278,278,280,280,280,280,277
Leake County,280,280,280,280,280,280,280,280,280,280,280,280,280,279,278,278,279,279,279,279,280,280,280,280,280,281,280,280,279,279,280,278,281,280
Marion County,280,279,280,280,280,280,280,280,278,279,280,279,279,279,280,279,278,279,276,276,280,279,280,280,280,279,279,279,278,280,280,279,280,279
Stone County,280,280,280,280,279,278,275,277,278,280,280,279,279,279,279,280,280,280,280,280,280,280,280,279,278,278,278,278,278,279,280,279,279,279
Winston County,280,279,279,279,279,279,279,279,279,280,280,280,280,280,278,278,280,280,280,280,280,281,281,279,279,279,279,279,279,279,280,281,278,278
PRIVATE PRISONS,"5,100","4,881","4,875","4,874","4,874","4,866","4,869","4,880","4,877","4,874","5,100","4,870","4,869","4,863","4,858","4,861","4,856","4,849","4,846","4,841","5,100","4,848","4,854","4,851","4,864","4,889","4,888","4,887","4,889","4,883","5,100","4,875","4,870","4,858"
Delta,972,971,971,970,970,968,967,971,968,973,972,972,972,968,967,970,968,972,972,970,972,970,970,970,971,969,969,969,971,970,972,967,965,964
East Mississippi,"1,000",873,873,873,873,871,871,876,876,874,"1,000",872,872,872,870,870,869,869,869,868,"1,000",865,864,864,875,875,875,875,874,873,"1,000",870,868,868
Marshall County,"1,000",994,994,994,994,995,995,995,995,995,"1,000",994,994,995,994,995,993,992,990,989,"1,000",995,995,994,993,994,994,994,995,995,"1,000",992,995,992
Tallahatchie County,128,128,128,128,128,127,127,127,127,128,128,128,128,128,128,128,128,127,127,127,128,127,128,128,128,128,128,128,128,128,128,128,128,128
Walnut Grove,"1,000",941,945,945,945,944,948,951,952,952,"1,000",952,951,948,948,950,947,941,941,941,"1,000",944,949,950,949,948,947,946,948,950,"1,000",950,949,943
Wilkinson County,"1,000",974,964,964,964,961,961,960,959,952,"1,000",952,952,952,951,948,951,948,947,946,"1,000",947,948,945,948,975,975,975,973,967,"1,000",968,965,963
RESTITUTION CENTERS,16,15,14,14,14,14,14,14,13,13,16,13,13,13,13,12,12,12,12,11,16,11,11,11,10,11,11,11,11,11,16,11,11,11
Greenwood,6,6,5,5,5,5,5,5,4,4,6,4,4,4,4,3,3,3,3,3,6,3,3,3,3,3,3,3,3,3,6,3,3,3
Hinds,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,4,6,4,4,4,4,5,5,5,5,5,6,5,5,5
Pascagoula,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,3,3,3
GOVERNOR'S MANSION,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5
E-CODE,,5,115,114,111,4,4,4,3,64,,65,64,4,7,8,10,78,76,76,,9,8,8,8,73,74,72,9,9,,8,6,5
TOTALS,"21,837","21,051","21,086","21,070","21,065","21,042","21,127","21,121","21,152","21,150","21,837","21,121","21,115","21,110","21,114","21,117","21,122","21,119","21,100","21,089","21,837","21,105","21,081","21,132","21,152","21,123","21,104","21,097","21,103","21,120","21,837","21,121","21,159","21,142"
