Location,Capacity_x,1-Jan-04,2-Jan-04,3-Jan-04,4-Jan-04,5-Jan-04,6-Jan-04,7-Jan-04,8-Jan-04,9-Jan-04,10-Jan-04,11-Jan-04,12-Jan-04,13-Jan-04,Capacity_y,14-Jan-04,15-Jan-04,16-Jan-04,17-Jan-04,18-Jan-04,19-Jan-04,20-Jan-04,21-Jan-04,22-Jan-04,23-Jan-04,24-Jan-04,25-Jan-04,26-Jan-04,Capacity,27-Jan-04,28-Jan-04,29-Jan-04,30-Jan-04,31-Jan-04
Quitman Satellite Facility,93,77,77,77,77,76,76,75,75,67,67,67,73,73,93,79,77,75,75,75,78,78,78,78,80,80,80,81,93,83,83,83,76,76
Rankin Satellite Facility,228,214,214,214,214,214,214,213,214,211,211,211,219,219,228,219,218,210,210,210,215,218,218,222,215,215,215,218,228,215,214,214,210,210
Simpson Satellite Facility,102,102,102,102,102,102,102,102,102,94,94,94,101,101,102,101,100,94,94,94,100,100,100,100,98,98,98,99,102,98,99,100,95,95
Washington Satellite Facility,102,83,83,83,83,81,81,81,81,79,79,79,84,84,102,89,89,94,94,94,101,101,101,100,91,90,90,98,102,98,98,99,94,94
Wilkinson Satellite Facility,102,73,73,73,73,72,72,70,70,66,66,66,70,69,102,69,69,71,71,71,72,72,72,72,71,71,71,72,102,71,71,70,62,62
Yazoo Satellite Facility,102,101,101,101,101,101,101,101,100,92,92,92,98,97,102,97,99,94,94,94,101,100,100,100,96,96,96,100,102,98,100,100,94,94
REGIONAL CORRECTIONAL FACILITIES,"2,750","2,741","2,741","2,739","2,737","2,733","2,734","2,729","2,726","2,745","2,743","2,743","2,740","2,739","2,750","2,737","2,735","2,734","2,733","2,732","2,730","2,737","2,738","2,739","2,744","2,744","2,744","2,744","2,750","2,741","2,744","2,746","2,746","2,744"
Bolivar County,250,248,248,248,248,248,248,245,244,251,250,250,249,248,250,248,249,248,248,248,248,249,249,248,250,250,250,250,250,250,249,250,250,250
Carroll County,250,249,249,249,247,247,247,247,247,250,250,250,249,249,250,248,248,248,248,248,248,249,249,249,249,249,249,248,250,249,249,250,250,250
George County (opened on May 10th),250,249,249,249,249,248,249,250,250,250,250,250,249,249,250,248,247,247,247,246,246,250,250,250,250,250,250,250,250,250,250,250,250,250
Holmes County,250,249,249,249,249,249,248,246,245,248,248,248,249,249,250,249,250,250,250,250,249,249,249,249,249,249,249,249,250,249,249,250,250,250
Issaquena County,250,250,250,250,250,250,249,248,247,249,249,249,249,249,250,249,249,249,249,249,249,249,249,249,249,249,249,250,250,250,250,249,250,250
Jefferson County,250,249,249,248,248,247,247,247,248,248,248,248,247,248,250,248,247,248,248,248,248,247,246,249,250,250,250,250,250,250,249,248,248,248
Kemper County,250,249,249,249,249,249,248,248,248,249,249,249,249,249,250,249,249,249,249,249,249,250,250,249,248,248,248,248,250,248,250,250,249,249
Leake County,250,249,249,249,249,249,249,249,249,251,250,250,250,250,250,250,249,249,249,249,249,250,250,248,250,250,250,250,250,250,250,250,250,249
Marion County,250,249,249,248,248,247,250,250,249,250,250,250,250,250,250,250,250,250,250,250,250,248,248,250,250,250,250,250,250,250,250,249,249,248
Stone County,250,250,250,250,250,249,250,250,250,249,249,249,250,249,250,249,249,247,247,247,246,248,250,248,249,249,249,249,250,247,250,250,250,250
Winston County,250,250,250,250,250,250,249,249,249,250,250,250,249,249,250,249,248,249,248,248,248,248,248,250,250,250,250,250,250,248,248,250,250,250
PRIVATE PRISONS,"3,750","3,443","3,443","3,443","3,442","3,438","3,438","3,439","3,435","3,450","3,450","3,448","3,444","3,447","3,750","3,447","3,442","3,443","3,441","3,437","3,434","3,442","3,451","3,445","3,442","3,443","3,441","3,442","3,750","3,449","3,446","3,440","3,442","3,441"
East MS,"1,000",727,727,727,727,725,726,725,725,733,733,732,731,731,"1,000",731,731,731,731,729,729,730,730,728,727,727,726,726,"1,000",726,726,726,726,726
Marshall County,"1,000",994,994,994,993,991,991,991,988,994,994,994,993,993,"1,000",993,992,989,989,988,988,990,989,989,989,988,988,986,"1,000",994,993,993,992,992
Walnut Grove,750,730,730,730,730,733,733,731,730,730,730,730,729,731,750,734,732,732,732,732,732,738,739,737,735,737,737,741,750,741,736,732,735,734
Wilkinson County,"1,000",992,992,992,992,989,988,992,992,993,993,992,991,992,"1,000",989,987,991,989,988,985,984,993,991,991,991,990,989,"1,000",988,991,989,989,989
RESITITUTION CENTERS,24,15,15,15,15,15,15,15,15,10,10,10,14,13,24,13,14,12,12,12,14,14,14,14,13,13,13,13,24,13,13,13,13,13
Greenwood,6,6,6,6,6,6,6,6,6,2,2,2,6,6,6,6,6,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Hinds,12,5,5,5,5,5,5,5,5,5,5,5,5,4,12,4,5,5,5,5,5,5,5,5,5,5,5,5,12,5,5,5,5,5
Pascagoula,6,4,4,4,4,4,4,4,4,3,3,3,3,3,6,3,3,3,3,3,3,3,3,3,2,2,2,2,6,2,2,2,2,2
GOVERNOR'S MANSION,6,6,6,6,6,6,6,6,6,6,6,6,6,0,6,0,0,0,0,0,0,0,0,0,5,5,5,5,6,5,5,5,5,5
E-CODE,,1,3,3,6,7,4,4,5,110,111,110,7,5,,6,7,102,100,103,0,11,10,7,69,67,68,8,,7,6,6,60,60
TOTALS,"21,737","20,612","20,611","20,606","20,602","20,603","20,618","20,598","20,522","20,508","20,506","20,503","20,535","20,543","21,737","20,552","20,570","20,558","20,554","20,549","20,533","20,553","20,576","20,577","20,570","20,568","20,564","20,577","21,737","20,604","20,611","20,618","20,603","20,599"
