Location,Capacity_x_x,1-Jul-07,2-Jul-07,3-Jul-07,4-Jul-07,5-Jul-07,6-Jul-07,7-Jul-07,8-Jul-07,9-Jul-07,Capacity_y_x,10-Jul-07,11-Jul-07,12-Jul-07,13-Jul-07,14-Jul-07,15-Jul-07,16-Jul-07,17-Jul-07,18-Jul-07,Capacity_x_y,19-Jul-07,20-Jul-07,21-Jul-07,22-Jul-07,23-Jul-07,24-Jul-07,25-Jul-07,26-Jul-07,27-Jul-07,Capacity_y_y,28-Jul-07,29-Jul-07,30-Jul-07,31-Jul-07,Unnamed: 6,Avg Population
Yazoo Satellite Facility,102,101,100,99,99,100,101,101,101,99,102,100,100,99,95,95,95,99,98,101,102,102,95,95,94,100,101,99,99,99,102,99,99,101,101,,99
REGIONAL CORRECTIONAL FACILITIES,"3,082","3,070","3,069","3,070","3,067","3,056","3,066","3,062","3,058","3,063","3,082","3,069","3,071","3,063","3,065","3,061","3,059","3,061","3,064","3,051","3,082","3,057","3,061","3,060","3,058","3,060","3,062","3,066","3,073","3,075","3,082","3,072","3,069","3,066","3,067",,"3,064"
Bolivar County,294,294,292,293,291,294,293,293,292,294,294,294,293,292,293,292,291,293,294,294,294,294,294,293,293,294,295,294,294,294,294,293,292,294,291,,293
Carroll County,280,280,279,277,277,278,279,279,279,279,280,279,280,278,276,276,276,276,280,280,280,280,278,278,278,278,277,276,276,276,280,276,276,276,278,,278
George County,280,278,278,279,279,274,274,274,274,274,280,273,276,275,275,274,274,272,270,274,280,275,275,275,275,275,274,276,280,279,280,279,279,279,280,,276
Holmes County,280,279,279,280,280,280,280,279,279,279,280,280,279,279,277,276,276,276,275,279,280,280,280,280,279,280,280,280,280,280,280,280,280,279,278,,279
Issaquena County,274,271,271,270,270,261,272,270,270,270,274,273,275,275,275,275,275,275,273,270,274,271,272,272,272,273,271,270,271,275,274,275,275,274,273,,272
Jefferson County,274,273,274,274,273,274,273,273,272,273,274,274,274,273,273,273,273,274,274,270,274,272,271,271,271,272,275,273,271,271,274,270,270,268,271,,272
Kemper County,280,278,280,280,280,280,280,280,280,280,280,280,280,278,279,279,279,280,280,279,280,278,279,279,279,276,277,280,280,280,280,280,280,280,280,,279
Leake County,280,280,278,279,279,279,280,280,278,279,280,279,277,276,280,280,280,280,280,276,280,277,279,279,279,279,280,280,281,281,280,281,279,280,279,,279
Marion County,280,279,279,279,279,279,279,279,279,279,280,279,279,279,280,280,280,280,279,276,280,277,278,278,278,279,278,279,280,280,280,279,279,277,278,,279
Stone County,280,279,279,280,280,278,277,276,276,277,280,278,279,279,279,278,277,277,279,278,280,278,280,280,279,279,278,280,280,280,280,280,280,280,279,,279
Winston County,280,279,280,279,279,279,279,279,279,279,280,280,279,279,278,278,278,278,280,275,280,275,275,275,275,275,277,278,280,279,280,279,279,279,280,,278
PRIVATE PRISONS,"5,100","4,896","4,890","4,901","4,900","4,893","4,887","4,885","4,880","4,891","5,100","4,894","4,882","4,889","4,883","4,883","4,881","4,875","4,880","4,895","5,100","4,888","4,885","4,884","4,882","4,870","4,862","4,831","4,803","4,769","5,100","4,766","4,765","4,777","4,779",,"4,863"
Delta,972,969,968,969,969,970,970,970,969,969,972,970,968,969,964,964,964,962,959,969,972,969,965,965,965,964,964,970,969,969,972,968,968,969,971,,967
East Mississippi,"1,000",879,876,876,876,875,873,873,872,874,"1,000",874,871,873,871,871,871,871,872,873,"1,000",873,872,871,870,870,870,877,877,876,"1,000",876,875,881,883,,874
Marshall County,"1,000",992,992,995,995,995,994,993,993,995,"1,000",995,995,996,995,995,995,993,995,995,"1,000",994,994,994,994,994,994,996,995,995,"1,000",994,994,994,993,,994
Tallahatchie County,128,128,128,128,128,128,128,128,128,128,128,128,128,127,127,127,127,128,128,128,128,128,128,128,128,128,127,85,33,1,128,1,1,1,1,,103
Walnut Grove,"1,000",955,954,958,958,951,949,948,946,954,"1,000",952,948,951,953,953,951,951,954,953,"1,000",945,948,948,948,942,941,944,945,944,"1,000",944,944,951,950,,949
Wilkinson County,"1,000",973,972,975,974,974,973,973,972,971,"1,000",975,972,973,973,973,973,970,972,977,"1,000",979,978,978,977,972,966,959,984,984,"1,000",983,983,981,981,,975
RESTITUTION CENTERS,16,12,12,12,12,11,11,11,11,11,16,12,12,12,11,11,12,12,12,12,16,12,12,12,12,12,12,12,12,12,16,12,12,12,12,,12
Greenwood,6,3,3,3,3,3,3,3,3,3,6,3,3,3,3,3,3,3,3,3,6,3,3,3,3,3,3,3,3,3,6,3,3,3,3,,3
Hinds,6,6,6,6,6,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,6
Pascagoula,4,3,3,3,3,3,3,3,3,3,4,3,3,3,2,2,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,,3
GOVERNOR'S MANSION,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,,5
E-CODE,,16,13,11,11,11,11,11,13,15,,12,12,11,115,115,113,7,8,10,,13,87,86,86,14,12,16,15,0,,0,0,10,10,,28
TOTALS,"22,550","22,106","22,105","22,116","22,097","22,103","22,099","22,082","22,068","22,062","22,550","22,071","22,097","22,094","22,073","22,059","22,051","22,064","22,072","22,085","22,550","22,096","22,091","22,071","22,060","22,098","22,076","22,081","22,084","22,022","22,550","22,010","22,001","22,044","22,049",,"22,074"
