Location,Capacity_x_x,1-Nov-07,2-Nov-07,3-Nov-07,4-Nov-07,5-Nov-07,6-Nov-07,7-Nov-07,8-Nov-07,9-Nov-07,Capacity_y_x,10-Nov-07,11-Nov-07,12-Nov-07,13-Nov-07,14-Nov-07,15-Nov-07,16-Nov-07,17-Nov-07,18-Nov-07,Capacity_x_y,19-Nov-07,20-Nov-07,21-Nov-07,22-Nov-07,23-Nov-07,24-Nov-07,25-Nov-07,26-Nov-07,27-Nov-07,Capacity_y_y,28-Nov-07,29-Nov-07,30-Nov-07,Unnamed: 5,Avg Population
Kemper County,280,280,280,280,280,280,280,277,279,279,280,279,279,278,279,280,280,280,280,280,280,280,280,280,280,280,280,280,279,280,280,280,280,280,,280
Leake County,280,278,280,280,280,279,280,280,280,280,280,280,279,279,280,279,280,280,280,279,280,280,280,280,280,280,279,279,280,277,280,279,279,279,,280
Marion County,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,279,280,280,280,279,280,278,277,280,280,279,278,277,278,279,280,280,279,278,,279
Stone County,280,279,279,278,278,278,279,279,279,279,280,279,279,278,279,280,279,279,278,278,280,277,276,280,280,279,278,278,279,280,280,280,280,279,,279
Winston County,280,280,280,280,280,280,280,280,280,280,280,280,280,279,279,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,279,280,,280
PRIVATE PRISONS,"4,972","4,792","4,798","4,796","4,795","4,795","4,799","4,797","4,793","4,786","4,972","4,786","4,783","4,781","4,797","4,805","4,803","4,800","4,796","4,795","4,972","4,790","4,795","4,794","4,793","4,791","4,789","4,789","4,794","4,796","4,972","4,793","4,801","4,804",,"4,794"
Delta,972,970,974,973,973,974,974,973,970,969,972,969,969,969,968,969,971,971,971,971,972,970,970,970,969,969,968,968,969,969,972,970,973,973,,971
East Mississippi,"1,000",889,887,887,887,889,889,889,889,890,"1,000",890,888,888,887,888,890,890,890,890,"1,000",888,888,887,887,887,886,886,887,888,"1,000",884,885,887,,888
Marshall County,"1,000",994,994,994,993,995,995,995,995,992,"1,000",992,991,990,"1,000","1,000","1,000",999,998,998,"1,000","1,000",999,999,999,998,998,998,"1,000","1,000","1,000",997,"1,000",998,,997
Tallahatchie County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Walnut Grove,"1,000",944,946,946,946,943,945,945,949,942,"1,000",942,942,942,944,950,943,944,942,941,"1,000",938,941,941,941,940,940,940,941,942,"1,000",943,946,950,,943
Wilkinson County,"1,000",995,997,996,996,994,996,995,990,993,"1,000",993,993,992,998,998,999,996,995,995,"1,000",994,997,997,997,997,997,997,997,997,"1,000",999,997,996,,996
RESTITUTION CENTERS,16,13,13,13,13,13,13,13,13,13,16,13,13,13,13,13,13,12,12,12,16,12,12,12,12,12,12,12,12,12,16,12,12,12,,13
Greenwood,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,,5
Hinds,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,4,4,4,6,4,4,4,4,4,4,4,4,4,6,4,4,4,,5
Pascagoula,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,,3
GOVERNOR'S MANSION,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,,5
E-CODE,0,9,37,39,40,9,6,8,10,47,0,46,46,6,8,8,6,6,6,6,0,7,9,9,9,8,9,8,7,7,0,10,14,11,,15
TOTALS,"22,685","22,343","22,357","22,344","22,330","22,328","22,341","22,344","22,369","22,360","22,685","22,355","22,343","22,333","22,328","22,357","22,341","22,332","22,313","22,303","22,685","22,289","22,301","22,295","22,282","22,270","22,256","22,247","22,265","22,298","22,685","22,315","22,335","22,353",,"22,321"
