Location,Capacity_x_x,1-Mar-08,2-Mar-08,3-Mar-08,4-Mar-08,5-Mar-08,6-Mar-08,7-Mar-08,8-Mar-08,9-Mar-08,Capacity_y_x,10-Mar-08,11-Mar-08,12-Mar-08,13-Mar-08,14-Mar-08,15-Mar-08,16-Mar-08,17-Mar-08,18-Mar-08,Capacity_x_y,19-Mar-08,20-Mar-08,21-Mar-08,22-Mar-08,23-Mar-08,24-Mar-08,25-Mar-08,26-Mar-08,27-Mar-08,Capacity_y_y,28-Mar-08,29-Mar-08,30-Mar-08,31-Mar-08,Unnamed: 6,Avg Population
Leflore Satellite Facility,102,91,91,101,101,101,102,98,98,98,102,100,101,98,99,98,98,98,99,99,102,99,102,97,97,97,102,102,101,101,102,99,99,98,99,,99
Madison Satellite Facility,102,96,96,99,98,98,98,97,97,97,102,95,95,100,100,97,97,97,100,100,102,97,98,96,96,96,97,96,96,96,102,95,95,95,102,,97
Noxubee Satellite Facility,92,87,87,90,90,90,90,86,86,86,92,88,87,87,87,90,90,89,91,88,92,87,92,92,92,92,92,92,91,91,92,90,90,90,91,,89
Pike Satellite Facility,93,84,83,83,86,86,85,82,82,82,93,83,88,87,86,86,85,85,86,89,93,88,87,86,86,86,86,90,89,92,93,91,91,91,92,,87
Quitman Satellite Facility,93,89,89,92,91,90,88,84,84,84,93,89,89,91,91,90,90,90,91,90,93,90,90,85,85,85,88,87,87,88,93,88,87,87,88,,88
Rankin Satellite Facility,260,249,248,254,256,254,255,251,250,250,260,255,255,254,256,246,246,246,256,254,260,254,255,248,248,247,251,253,252,251,260,247,247,247,247,,251
Simpson Satellite Facility,102,99,99,102,102,102,102,100,100,100,102,102,102,102,100,97,97,97,100,101,102,100,100,99,99,99,102,101,102,102,102,100,100,100,101,,100
Washington Satellite Facility,102,93,93,101,100,100,100,98,97,96,102,99,99,99,99,97,97,97,98,98,102,97,98,96,96,96,98,98,96,96,102,94,94,94,101,,97
Wilkinson Satellite Facility,102,90,90,91,90,90,90,91,91,91,102,98,98,98,93,95,95,95,102,102,102,102,102,99,99,99,102,100,100,100,102,100,100,100,99,,97
Yazoo Satellite Facility,102,99,99,101,101,101,100,97,96,96,102,99,98,98,101,100,100,100,98,98,102,97,98,100,100,100,99,101,100,100,102,95,94,94,94,,99
REGIONAL CORRECTIONAL FACILITIES,"3,088","3,072","3,070","3,074","3,082","3,085","3,079","3,081","3,078","3,078","3,088","3,077","3,071","3,074","3,077","3,081","3,077","3,074","3,079","3,079","3,088","3,080","3,084","3,086","3,081","3,077","3,079","3,083","3,083","3,073","3,088","3,082","3,080","3,080","3,078",,"3,079"
Bolivar County,294,293,293,291,293,294,294,294,293,293,294,293,290,294,294,294,293,293,293,294,294,291,293,294,294,293,294,293,294,293,294,294,294,294,294,,293
Carroll County,280,280,280,280,280,279,276,278,278,278,280,278,279,279,279,279,278,278,277,277,280,280,280,280,280,280,280,280,279,279,280,280,280,280,278,,279
George County,280,277,276,275,280,279,276,277,277,277,280,279,278,278,278,280,280,280,280,280,280,280,280,280,279,279,279,278,278,278,280,279,279,279,279,,279
Holmes County,280,279,279,279,279,280,280,280,280,280,280,280,279,278,280,279,278,278,279,280,280,280,280,280,279,279,280,280,280,280,280,280,279,279,280,,279
Issaquena County,274,269,269,269,273,274,274,274,273,273,274,270,271,273,273,272,272,271,274,274,274,274,273,273,272,272,272,274,272,271,274,273,273,273,274,,272
Jefferson County,280,281,281,281,281,282,281,281,281,281,280,280,280,279,279,279,279,278,279,279,280,280,280,280,280,280,280,281,281,281,280,279,279,279,278,,280
Kemper County,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,279,278,278,279,279,276,280,280,280,280,280,,280
Leake County,280,278,277,281,281,281,280,279,279,279,280,280,279,278,279,279,279,278,279,279,280,279,280,280,280,280,280,280,280,276,280,280,280,280,280,,279
Marion County,280,277,277,280,279,279,279,279,279,279,280,280,278,278,278,280,280,280,280,280,280,278,278,280,280,280,280,280,280,280,280,280,280,280,278,,279
Stone County,280,280,280,280,277,279,280,280,279,279,280,278,277,277,277,279,279,279,279,277,280,278,280,280,278,276,278,280,280,280,280,279,278,278,279,,279
Winston County,280,278,278,278,279,278,279,279,279,279,280,279,280,280,280,280,279,279,279,279,280,280,280,279,280,280,278,278,280,279,280,278,278,278,278,,279
PRIVATE PRISONS,"4,972","4,775","4,775","4,783","4,783","4,785","4,786","4,795","4,793","4,793","4,972","4,799","4,798","4,799","4,797","4,799","4,796","4,791","4,802","4,802","4,972","4,800","4,794","4,800","4,798","4,797","4,792","4,804","4,807","4,808","4,972","4,807","4,802","4,799","4,802",,"4,796"
Delta,972,970,970,968,970,968,970,970,969,969,972,970,971,968,969,971,971,970,972,970,972,969,971,972,972,972,971,970,972,971,972,971,969,969,971,,970
East Mississippi,"1,000",874,874,876,876,881,884,884,884,884,"1,000",884,884,886,886,885,884,882,883,885,"1,000",885,886,884,884,883,884,884,889,888,"1,000",887,886,885,889,,884
Marshall County,"1,000",999,999,999,999,999,999,999,998,998,"1,000","1,000","1,000",999,999,998,997,997,999,998,"1,000","1,000","1,000",997,996,996,995,999,999,"1,000","1,000","1,000",998,997,997,,998
Tallahatchie County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Walnut Grove,"1,000",940,940,945,945,946,942,950,950,950,"1,000",951,950,955,954,956,956,955,954,956,"1,000",954,946,953,953,953,950,956,954,957,"1,000",954,954,954,951,,951
Wilkinson County,"1,000",992,992,995,993,991,991,992,992,992,"1,000",994,993,991,989,989,988,987,994,993,"1,000",992,991,994,993,993,992,995,993,992,"1,000",995,995,994,994,,992
RESTITUTION CENTERS,16,13,13,13,14,14,14,14,14,14,16,14,14,14,14,14,14,14,14,14,16,14,12,12,12,12,13,14,14,14,16,13,12,12,13,,13
Greenwood,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,6,6,6,6,5,4,4,5,,5
Hinds,6,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,6,4,4,4,4,,5
Pascagoula,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,,3
GOVERNOR'S MANSION,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,,5
E-CODE,0,51,52,3,3,6,5,48,48,48,0,5,4,2,4,44,44,42,1,4,0,5,4,37,38,38,5,5,6,2,0,25,25,24,3,,20
TOTALS,"22,988","22,474","22,463","22,494","22,479","22,512","22,543","22,513","22,493","22,488","22,988","22,496","22,505","22,506","22,525","22,558","22,541","22,526","22,507","22,520","22,988","22,509","22,525","22,549","22,536","22,526","22,533","22,554","22,576","22,584","22,988","22,597","22,580","22,576","22,567",,"22,528"
