Location,Capacity_x_x,1-May-06,2-May-06,3-May-06,4-May-06,5-May-06,6-May-06,7-May-06,8-May-06,9-May-06,Capacity_y_x,10-May-06,11-May-06,12-May-06,13-May-06,14-May-06,15-May-06,16-May-06,17-May-06,18-May-06,Capacity_x_y,19-May-06,20-May-06,21-May-06,22-May-06,23-May-06,24-May-06,25-May-06,26-May-06,27-May-06,Capacity_y_y,28-May-06,29-May-06,30-May-06,31-May-06
Simpson Satellite Facility,102,102,101,101,102,101,101,101,101,101,102,99,95,96,96,96,101,98,97,101,102,98,98,98,98,98,97,97,101,101,102,101,101,100,100
Washington Satellite Facility,102,102,102,102,102,98,98,98,100,99,102,99,103,102,102,102,100,100,98,101,102,98,98,98,99,102,102,102,102,102,102,102,102,102,102
Wilkinson Satellite Facility,102,97,97,100,99,95,95,95,97,93,102,93,92,89,89,89,89,100,100,98,102,92,92,92,98,101,101,101,99,99,102,99,99,99,98
Yazoo Satellite Facility,102,101,101,99,101,101,101,101,101,101,102,101,100,101,101,101,98,101,102,101,102,97,97,97,101,102,102,102,101,101,102,101,101,100,99
REGIONAL CORRECTIONAL FACILITIES,"3,058","3,032","3,041","3,041","3,050","3,046","3,046","3,044","3,050","3,039","3,058","3,040","3,032","3,029","3,025","3,024","3,033","3,034","3,033","3,048","3,058","3,046","3,043","3,043","3,036","3,031","3,039","3,049","3,049","3,042","3,058","3,038","3,038","3,039","3,046"
Bolivar County,294,288,291,292,292,291,291,291,294,291,294,295,294,293,293,293,293,293,294,293,294,293,292,292,290,290,293,292,294,293,294,292,292,291,293
Carroll County,280,276,278,279,278,279,279,279,279,279,280,279,276,274,274,274,273,280,280,280,280,279,279,279,276,278,278,279,279,278,280,278,278,278,280
George County,280,278,278,276,279,278,278,278,283,279,280,278,280,279,277,277,280,280,280,280,280,280,279,279,278,273,274,278,277,277,280,277,277,277,279
Holmes County,280,280,280,280,280,278,278,278,277,276,280,276,280,280,280,279,280,278,279,278,280,278,278,278,280,279,279,280,280,279,280,278,278,277,277
Issaquena County,274,272,274,274,273,272,272,271,271,274,274,272,271,273,273,273,273,273,275,274,274,273,273,273,272,271,271,273,273,272,274,272,272,273,273
Jefferson County,250,250,248,248,248,250,250,250,249,244,250,244,243,242,242,242,244,244,244,250,250,250,250,250,250,250,250,250,250,249,250,249,249,248,249
Kemper County,280,279,277,278,280,280,280,280,280,280,280,280,280,280,279,279,280,279,276,276,280,279,279,279,276,277,278,277,278,277,280,277,277,278,277
Leake County,280,280,280,279,280,279,279,278,279,280,280,280,279,279,279,279,279,280,280,280,280,279,279,279,279,278,280,280,280,279,280,279,279,280,280
Marion County,280,273,278,278,280,279,279,279,279,278,280,278,273,273,272,272,277,277,276,279,280,278,278,278,278,279,279,280,280,280,280,280,280,279,279
Stone County,280,278,277,277,280,280,280,280,280,279,280,278,276,277,277,277,276,275,275,279,280,277,276,276,277,277,277,280,279,279,280,277,277,278,279
Winston County,280,278,280,280,280,280,280,280,279,279,280,280,280,279,279,279,278,275,274,279,280,280,280,280,280,279,280,280,279,279,280,279,279,280,280
PRIVATE PRISONS,"5,100","4,822","4,856","4,851","4,850","4,841","4,840","4,836","4,830","4,825","5,100","4,824","4,843","4,832","4,830","4,830","4,820","4,839","4,835","4,834","5,100","4,835","4,833","4,831","4,853","4,871","4,873","4,877","4,885","4,884","5,100","4,884","4,883","4,885","4,886"
Delta,972,956,967,968,972,972,972,972,971,971,972,971,968,965,965,965,964,961,960,960,972,959,959,959,971,971,970,969,970,970,972,969,968,971,971
East Mississippi,"1,000",867,867,868,868,868,868,866,870,868,"1,000",868,868,868,868,868,868,868,867,865,"1,000",865,865,864,866,866,874,873,875,875,"1,000",875,875,874,875
Marshall County,"1,000",991,995,994,995,995,994,994,993,994,"1,000",994,994,994,994,994,994,992,991,991,"1,000",989,988,987,991,993,992,992,994,994,"1,000",995,995,995,995
Tallahatchie County,128,127,127,128,128,128,128,128,128,128,128,128,128,128,128,128,127,127,127,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128
Walnut Grove,"1,000",949,948,942,942,936,936,935,936,935,"1,000",931,938,937,937,937,930,941,940,946,"1,000",945,945,945,943,950,947,942,948,947,"1,000",947,947,945,946
Wilkinson County,"1,000",932,952,951,945,942,942,941,932,929,"1,000",932,947,940,938,938,937,950,950,944,"1,000",949,948,948,954,963,962,973,970,970,"1,000",970,970,972,971
RESTITUTION CENTERS,16,12,12,12,12,12,12,12,12,12,16,12,12,10,10,10,12,12,12,12,16,12,12,12,12,12,12,12,12,12,16,12,12,12,15
Greenwood,6,3,3,3,3,3,3,3,3,3,6,3,3,2,2,2,3,3,3,3,6,3,3,3,3,3,3,3,3,3,6,3,3,3,6
Hinds,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5
Pascagoula,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
GOVERNOR'S MANSION,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5
E-CODE,,2,2,3,2,26,24,25,3,3,,2,2,44,44,46,6,4,2,4,,75,74,73,5,6,6,6,6,6,,5,6,3,3
TOTALS,"21,940","21,027","21,004","20,997","21,005","21,005","20,993","20,984","20,988","20,959","21,940","20,961","20,976","20,954","20,957","20,948","20,947","20,980","20,993","21,001","21,940","20,988","20,976","20,971","21,016","21,024","21,044","21,041","21,037","21,017","21,940","21,007","20,997","21,026","20,921"
