Location,Capacity_x_x,1-Jan-09,2-Jan-09,3-Jan-09,4-Jan-09,5-Jan-09,6-Jan-09,7-Jan-09,8-Jan-09,9-Jan-09,Capacity_y_x,10-Jan-09,11-Jan-09,12-Jan-09,13-Jan-09,14-Jan-09,15-Jan-09,16-Jan-09,17-Jan-09,18-Jan-09,Capacity_x_y,19-Jan-09,20-Jan-09,21-Jan-09,22-Jan-09,23-Jan-09,24-Jan-09,25-Jan-09,26-Jan-09,27-Jan-09,Capacity_y_y,28-Jan-09,29-Jan-09,30-Jan-09,31-Jan-09,Unnamed: 6,Avg Population
Simpson Satellite Facility,102,100,100,99,100,101,101,100,99,89,102,89,89,97,96,95,94,85,85,85,102,94,94,92,92,84,84,84,99,100,102,96,95,87,87,,93
Washington Satellite Facility,102,101,101,100,100,100,100,100,98,93,102,93,95,97,97,97,97,94,94,94,102,97,97,97,97,93,93,93,96,96,102,97,97,93,93,,96
Wilkinson Satellite Facility,102,102,102,102,102,102,98,98,97,89,102,89,89,94,92,92,92,91,90,90,102,91,91,91,91,94,94,94,96,92,102,98,96,94,92,,94
Yazoo Satellite Facility,102,102,101,101,101,100,102,102,101,97,102,97,97,99,99,99,99,95,95,95,102,99,98,97,96,91,91,91,98,98,102,98,97,93,93,,97
REGIONAL CORRECTIONAL FACILITIES,"3,088","3,081","3,076","3,071","3,070","3,065","3,051","3,037","3,030","3,019","3,088","3,017","3,017","3,007","3,002","2,998","2,993","2,985","2,983","2,982","3,088","2,980","2,975","2,969","2,961","2,964","2,961","2,960","2,948","2,950","3,088","2,929","2,938","2,942","2,941",,"2,997"
Bolivar County,294,289,289,289,289,288,281,281,278,277,294,276,276,276,280,280,279,279,279,279,294,279,279,278,277,278,277,277,276,277,294,277,278,279,279,,280
Carroll County,280,280,280,280,280,279,277,276,277,277,280,277,277,276,276,276,275,275,275,275,280,274,273,273,273,273,273,273,265,265,280,263,268,268,268,,274
George County,280,280,278,278,278,278,277,276,276,276,280,275,275,275,275,275,274,272,272,272,280,271,270,270,265,263,263,263,266,267,280,266,266,266,266,,272
Holmes County,280,280,280,280,280,280,278,279,279,278,280,278,278,278,278,278,278,277,277,277,280,277,275,275,275,275,274,273,272,272,280,272,272,272,272,,276
Issaquena County,274,274,274,272,271,270,269,270,269,268,274,268,268,265,258,257,257,257,255,254,274,254,253,252,251,258,258,258,258,258,274,255,258,259,259,,262
Jefferson County,280,280,280,280,280,280,280,278,274,274,280,274,274,273,273,272,272,272,272,272,280,272,272,272,272,272,272,272,270,270,280,266,266,266,266,,273
Kemper County,280,280,280,279,279,279,279,278,277,274,280,274,274,274,273,273,273,273,273,273,280,273,273,272,272,271,271,271,269,269,280,266,266,266,266,,273
Leake County,280,279,278,278,278,277,277,273,274,271,280,271,271,271,270,270,270,269,269,269,280,269,269,267,266,266,266,266,266,266,280,266,266,266,266,,270
Marion County,280,280,279,279,279,279,279,273,273,272,280,272,272,271,271,271,270,270,270,270,280,270,270,269,269,268,267,267,267,267,280,267,267,267,267,,271
Stone County,280,280,280,279,279,279,279,279,279,279,280,279,279,276,276,274,274,271,271,271,280,271,271,271,271,270,270,270,270,270,280,266,266,266,265,,274
Winston County,280,279,278,277,277,276,275,274,274,273,280,273,273,272,272,272,271,270,270,270,280,270,270,270,270,270,270,270,269,269,280,265,265,267,267,,272
PRIVATE PRISONS,"5,972","5,501","5,498","5,498","5,498","5,498","5,503","5,504","5,498","5,500","5,972","5,497","5,491","5,495","5,488","5,505","5,504","5,496","5,491","5,490","5,972","5,486","5,480","5,475","5,465","5,471","5,468","5,468","5,478","5,482","5,972","5,484","5,496","5,501","5,495",,"5,490"
Delta,972,955,954,954,954,954,958,958,956,955,972,954,952,954,956,957,958,957,956,956,972,955,955,956,955,955,955,955,952,950,972,949,954,954,953,,955
East Mississippi,"1,500","1,360","1,359","1,359","1,359","1,361","1,363","1,364","1,365","1,363","1,500","1,362","1,360","1,362","1,359","1,361","1,360","1,357","1,355","1,355","1,500","1,354","1,352","1,349","1,348","1,356","1,356","1,356","1,354","1,355","1,500","1,363","1,363","1,364","1,362",,"1,359"
Marshall County,"1,000",983,983,983,983,984,981,981,983,982,"1,000",982,982,981,979,982,983,983,983,982,"1,000",981,979,979,978,981,978,978,983,983,"1,000",979,982,982,982,,981
Walnut Grove,"1,500","1,226","1,226","1,226","1,226","1,225","1,225","1,225","1,219","1,223","1,500","1,223","1,223","1,226","1,223","1,230","1,228","1,223","1,222","1,222","1,500","1,221","1,220","1,218","1,213","1,209","1,209","1,209","1,220","1,220","1,500","1,221","1,222","1,225","1,222",,"1,222"
Wilkinson County,"1,000",977,976,976,976,974,976,976,975,977,"1,000",976,974,972,971,975,975,976,975,975,"1,000",975,974,973,971,970,970,970,969,974,"1,000",972,975,976,976,,974
RESTITUTION CENTERS,16,11,11,11,11,11,11,11,12,8,16,8,10,12,12,12,12,9,9,9,16,12,12,12,12,12,11,11,12,10,16,10,14,14,14,,11
Greenwood,6,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,3,3,3,6,4,4,4,4,4,4,4,5,5,6,5,5,5,5,,4
Hinds,6,4,4,4,4,4,4,4,4,2,6,2,4,4,4,4,4,3,3,3,6,4,4,4,4,4,3,3,3,3,6,3,6,6,6,,4
Pascagoula,4,3,3,3,3,3,3,3,4,2,4,2,2,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,2,4,2,3,3,3,,3
GOVERNOR'S MANSION,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,6
E-CODE,0,6,7,7,8,3,6,7,9,107,0,108,104,11,9,9,9,85,85,86,0,8,6,6,9,76,76,76,19,8,0,7,7,46,48,,34
TOTALS,"24,148","22,801","22,780","22,771","22,767","22,766","22,774","22,795","22,816","22,781","24,148","22,768","22,762","22,746","22,739","22,746","22,737","22,738","22,723","22,717","24,148","22,707","22,687","22,651","22,663","22,671","22,655","22,651","22,645","22,676","24,148","22,659","22,672","22,678","22,666",,"22,723"
