Location,Capacity_x_x,1-Jun-16,2-Jun-16,3-Jun-16,4-Jun-16,5-Jun-16,6-Jun-16,7-Jun-16,8-Jun-16,9-Jun-16,Capacity_y_x,10-Jun-16,11-Jun-16,12-Jun-16,13-Jun-16,14-Jun-16,15-Jun-16,16-Jun-16,17-Jun-16,18-Jun-16,Capacity_x_y,19-Jun-16,20-Jun-16,21-Jun-16,22-Jun-16,23-Jun-16,24-Jun-16,25-Jun-16,26-Jun-16,27-Jun-16,Capacity_y_y,28-Jun-16,29-Jun-16,30-Jun-16,Avg Population
Wilkinson Satellite Facility,102,65,65,64,64,64,65,65,70,69,102,68,68,68,68,66,66,66,66,66,102,66,66,65,65,70,70,70,70,70,102,72,70,70,67
Yazoo Satellite Facility,102,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,102,0,0,0,0
REGIONAL CORRECTIONAL FACILITIES,"4,378","3,404","3,405","3,401","3,401","3,400","3,408","3,412","3,411","3,410","4,378","3,407","3,405","3,405","3,404","3,461","3,458","3,511","3,500","3,500","4,378","3,500","3,500","3,511","3,507","3,512","3,514","3,512","3,510","3,498","4,378","3,496","3,505","3,505","3,459"
Alcorn County,240,238,240,239,239,239,238,237,240,240,240,239,239,239,239,239,239,240,240,240,240,240,239,239,238,239,239,239,239,239,240,235,235,235,239
Bolivar County,369,294,293,292,292,292,294,294,292,294,369,294,294,294,293,294,294,294,293,293,369,293,295,293,293,292,291,291,291,288,369,291,291,291,293
Carroll County,280,240,240,240,240,240,240,240,238,237,280,237,237,237,236,240,240,240,238,238,280,238,237,240,240,240,240,240,240,240,280,238,240,240,239
Chickasaw County,300,240,240,239,239,239,238,238,240,240,300,240,240,240,240,240,240,240,240,240,300,240,240,240,240,240,240,240,239,238,300,238,240,240,240
George County,280,195,198,198,198,198,196,196,198,198,280,197,197,197,197,197,197,200,200,200,280,200,200,201,200,200,200,200,200,199,280,200,199,199,199
Holmes County,280,200,200,199,199,199,199,201,200,200,280,200,200,200,200,196,196,200,200,200,280,200,200,200,200,200,200,200,200,199,280,199,199,199,200
Issaquena County,274,240,240,240,240,240,239,240,240,240,274,240,240,240,239,269,268,270,268,268,274,268,267,270,270,269,270,270,270,270,274,268,269,269,256
Jefferson County,280,240,240,238,238,238,241,241,241,240,280,240,240,240,240,269,269,270,269,269,280,269,268,269,269,269,270,269,269,269,280,270,269,269,256
Kemper County,355,257,254,253,253,253,258,260,260,260,355,260,260,260,260,259,259,259,257,257,355,257,259,260,260,260,259,259,258,257,355,258,260,260,258
Leake County,280,199,199,199,199,199,198,199,200,200,280,200,200,200,200,200,199,199,198,198,280,198,197,200,199,198,200,200,200,199,280,198,200,200,199
Marion County,280,201,202,202,202,202,204,203,202,202,280,202,202,202,203,203,203,204,204,204,280,204,204,204,204,204,204,204,204,204,280,200,200,200,203
Stone County,280,199,199,201,201,201,201,201,201,201,280,201,201,201,201,201,201,239,239,239,280,239,239,240,239,239,240,240,240,240,280,239,240,240,220
Washington County,300,226,224,227,227,227,227,225,223,222,300,221,221,221,221,221,221,221,220,220,300,220,220,218,218,225,226,226,226,225,300,224,224,224,223
Winston County,280,196,200,197,197,197,200,200,199,199,280,199,198,198,199,197,196,199,198,198,280,198,197,199,200,200,199,198,198,199,280,201,202,202,199
Yazoo County,300,239,236,237,237,236,235,237,237,237,300,237,236,236,236,236,236,236,236,236,300,236,238,238,237,237,236,236,236,232,300,237,237,237,236
PRIVATE PRISONS,"5,972","3,907","3,897","3,898","3,898","3,898","3,895","3,888","3,889","3,885","5,972","3,884","3,883","3,883","3,879","3,878","3,884","3,881","3,865","3,865","5,972","3,865","3,859","3,854","3,853","3,857","3,861","3,860","3,860","3,854","5,972","3,854","3,873","3,873","3,876"
Delta,972,0,0,0,0,0,0,0,0,0,972,0,0,0,0,0,0,0,0,0,972,0,0,0,0,0,0,0,0,0,972,0,0,0,0
East Mississippi,"1,500","1,095","1,091","1,090","1,090","1,090","1,090","1,091","1,090","1,091","1,500","1,091","1,090","1,090","1,090","1,092","1,093","1,092","1,089","1,089","1,500","1,089","1,091","1,091","1,091","1,091","1,091","1,091","1,091","1,088","1,500","1,097","1,123","1,123","1,093"
Marshall County,"1,000",998,996,999,999,999,999,995,"1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000",999,996,996,"1,000",996,996,995,995,995,"1,001","1,001","1,001","1,000","1,000","1,000","1,000","1,000",999
Walnut Grove,"1,500",919,918,917,917,917,914,911,909,903,"1,500",902,902,902,901,899,898,897,882,882,"1,500",882,875,873,872,871,868,868,868,866,"1,500",858,854,854,890
Wilkinson County,"1,000",895,892,892,892,892,892,891,890,891,"1,000",891,891,891,888,887,893,893,898,898,"1,000",898,897,895,895,900,901,900,900,900,"1,000",899,896,896,894
RESTITUTION CENTERS,16,14,15,14,14,14,15,15,15,15,16,14,14,14,15,15,15,15,15,15,16,15,15,15,15,15,15,15,15,15,16,15,17,17,15
Greenwood,6,6,6,6,6,6,6,6,6,6,6,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Hinds,6,5,6,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Pascagoula,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,5,5,3
TOTALS,"24,436","19,407","19,436","19,418","19,411","19,406","19,449","19,474","19,444","19,425","24,436","19,414","19,409","19,403","19,462","19,495","19,517","19,536","19,472","19,471","24,436","19,465","19,537","19,521","19,528","19,561","19,553","19,541","19,532","19,583","24,436","19,575","19,569","19,569","19,486"
