Location,Capacity_x,1-Mar-04,2-Mar-04,3-Mar-04,4-Mar-04,5-Mar-04,6-Mar-04,7-Mar-04,8-Mar-04,9-Mar-04,10-Mar-04,11-Mar-04,12-Mar-04,13-Mar-04,Capacity_y,14-Mar-04,15-Mar-04,16-Mar-04,17-Mar-04,18-Mar-04,19-Mar-04,20-Mar-04,21-Mar-04,22-Mar-04,23-Mar-04,24-Mar-04,25-Mar-04,26-Mar-04,Capacity,27-Mar-04,28-Mar-04,29-Mar-04,30-Mar-04,31-Mar-04
Carroll County,250,250,250,248,248,249,249,249,247,250,239,243,250,249,250,249,249,250,250,250,249,249,249,249,250,250,250,250,250,250,250,250,250,250
George County,250,249,249,249,249,249,249,249,247,247,249,249,249,249,250,249,249,249,248,250,250,250,250,249,248,248,250,250,250,250,250,250,250,247
Holmes County,250,250,250,250,250,250,250,248,248,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,249,249,250,249,249,249,249,249
Issaquena County,250,248,248,247,248,247,247,247,250,250,246,246,248,248,250,248,248,248,248,250,250,250,250,250,250,250,248,246,250,246,246,246,246,247
Jefferson County,250,250,250,250,250,250,250,250,250,250,249,250,250,250,250,250,250,250,250,250,250,250,250,250,249,249,250,250,250,249,249,250,250,250
Kemper County,250,250,250,249,249,250,250,250,249,249,250,250,250,250,250,250,250,250,249,249,249,249,249,249,250,248,248,250,250,250,250,250,250,250
Leake County,250,249,249,248,247,250,250,250,250,250,250,249,250,250,250,250,250,250,250,250,250,250,250,250,250,250,249,249,250,249,249,250,250,249
Marion County,250,249,249,247,246,250,250,250,250,250,250,250,250,250,250,249,250,248,250,250,250,250,250,250,250,250,250,250,250,250,249,250,250,250
Stone County,250,249,249,249,250,250,250,250,250,250,250,250,250,250,250,250,249,250,248,248,248,248,248,248,250,250,249,249,250,248,248,249,249,250
Winston County,250,249,249,248,247,247,247,247,248,246,248,249,249,249,250,249,249,249,249,249,249,249,249,249,250,250,249,250,250,250,249,250,250,250
PRIVATE PRISONS,"3,750","3,425","3,423","3,425","3,418","3,414","3,413","3,413","3,410","3,429","3,442","3,446","3,445","3,445","3,750","3,443","3,454","3,449","3,449","3,438","3,431","3,431","3,430","3,429","3,435","3,432","3,436","3,433","3,750","3,433","3,433","3,435","3,429","3,429"
East MS,"1,000",727,726,726,725,725,724,724,724,724,724,723,725,725,"1,000",725,725,724,724,724,724,724,723,723,722,722,726,726,"1,000",726,726,726,724,727
Marshall County,"1,000",990,989,993,989,989,989,989,989,993,992,995,995,995,"1,000",995,996,995,995,995,994,994,994,994,993,993,994,994,"1,000",994,994,993,993,992
Walnut Grove,750,720,722,722,722,720,720,720,720,726,731,735,732,732,750,732,739,736,736,726,722,722,722,722,726,723,722,719,750,719,719,722,718,717
Wilkinson County,"1,000",988,986,984,982,980,980,980,977,986,995,993,993,993,"1,000",991,994,994,994,993,991,991,991,990,994,994,994,994,"1,000",994,994,994,994,993
RESITITUTION CENTERS,24,14,14,14,14,14,14,14,14,14,14,14,13,13,24,13,14,14,14,14,12,12,13,14,14,14,14,13,24,13,13,14,14,14
Greenwood,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Hinds,12,5,5,5,5,5,5,5,5,5,5,5,4,4,12,4,5,5,5,5,3,3,4,5,5,5,5,4,12,4,4,5,5,5
Pascagoula,6,3,3,3,3,3,3,3,3,3,3,3,3,3,6,3,3,3,3,3,3,3,3,3,3,3,3,3,6,3,3,3,3,3
GOVERNOR'S MANSION,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,4
E-CODE,,6,5,3,4,50,51,50,9,7,7,5,50,47,,46,4,2,2,3,66,67,66,5,5,5,6,33,,31,32,7,7,8
TOTALS,"21,737","20,917","20,948","20,957","20,935","20,930","20,925","20,923","20,927","20,929","20,926","20,936","20,939","20,935","21,737","20,926","20,955","20,964","20,993","21,016","21,009","21,002","21,003","21,013","21,027","21,045","21,052","21,063","21,737","21,057","21,051","21,079","21,050","21,043"
