Location,Capacity_x,1-Dec-03,2-Dec-03,3-Dec-03,4-Dec-03,5-Dec-03,6-Dec-03,7-Dec-03,8-Dec-03,9-Dec-03,10-Dec-03,11-Dec-03,12-Dec-03,13-Dec-03,Capacity_y,14-Dec-03,15-Dec-03,16-Dec-03,17-Dec-03,18-Dec-03,19-Dec-03,20-Dec-03,21-Dec-03,22-Dec-03,23-Dec-03,24-Dec-03,25-Dec-03,26-Dec-03,Capacity,27-Dec-03,28-Dec-03,29-Dec-03,30-Dec-03,31-Dec-03
Jackson Satellite Facility,102,72,72,72,73,73,73,73,72,71,70,69,69,69,102,69,69,69,69,69,69,69,69,68,68,68,68,68,102,68,68,67,67,67
Jefferson Satellite Facility,102,74,74,74,73,73,73,73,73,73,73,73,73,73,102,73,72,72,72,72,73,73,73,73,73,69,69,69,102,69,69,66,67,67
Leflore Satellite Facility,102,97,101,99,97,97,97,97,96,97,97,97,97,97,102,97,97,101,101,100,99,99,99,99,99,99,99,99,102,99,99,97,100,102
Madison Satellite Facility,102,102,102,102,101,101,101,101,101,102,102,102,101,101,102,101,101,102,102,102,101,101,101,101,99,99,99,99,102,99,99,101,101,101
Noxubee Satellite Facility,92,90,89,88,87,87,87,87,87,87,87,88,88,88,92,87,91,91,90,90,88,88,88,92,92,92,92,92,92,92,92,92,90,90
Pike Satellite Facility,93,39,39,39,37,37,37,37,42,42,42,41,41,39,93,39,39,38,44,45,44,44,44,43,46,45,45,45,93,45,45,45,45,45
Quitman Satellite Facility,93,63,63,68,77,76,76,76,74,77,77,77,77,77,93,77,76,76,81,82,81,81,81,79,79,79,79,79,93,79,79,77,78,77
Rankin Satellite Facility,228,215,213,213,219,220,220,220,219,221,221,221,219,219,228,219,219,218,218,215,218,216,215,212,217,217,217,217,228,217,217,217,215,214
Simpson Satellite Facility,102,91,96,96,101,101,101,101,101,101,101,101,101,101,102,101,101,102,102,102,101,101,101,102,102,102,102,102,102,102,102,101,102,102
Washington Satellite Facility,102,84,83,87,86,85,85,83,83,88,87,86,84,84,102,84,83,82,87,87,87,87,87,84,84,84,84,84,102,84,84,83,83,83
Wilkinson Satellite Facility,102,72,72,72,71,71,71,71,71,71,70,70,70,70,102,70,70,74,73,73,74,74,74,74,74,74,74,74,102,74,74,73,73,73
Yazoo Satellite Facility,102,99,98,97,100,100,100,100,98,100,100,99,99,99,102,99,99,98,98,100,100,100,100,98,98,98,98,98,102,98,98,100,100,101
REGIONAL CORRECTIONAL FACILITIES,"2,750","2,741","2,744","2,744","2,740","2,748","2,747","2,747","2,742","2,741","2,744","2,746","2,746","2,743","2,750","2,743","2,747","2,749","2,750","2,749","2,748","2,746","2,745","2,748","2,748","2,747","2,745","2,744","2,750","2,744","2,744","2,742","2,743","2,743"
Bolivar County,250,250,249,249,249,249,249,249,248,247,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,249,249,249,250,249,249,249,249,249
Carroll County,250,248,249,249,248,251,250,250,250,250,250,250,249,249,250,249,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
George County (opened on May 10th),250,248,250,250,250,250,250,250,248,248,248,249,250,250,250,250,250,250,250,250,250,250,249,249,249,249,249,249,250,249,249,249,249,249
Holmes County,250,250,249,249,248,250,250,250,249,249,248,250,250,249,250,249,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,249,249,249
Issaquena County,250,247,250,250,249,249,249,249,248,247,250,249,250,250,250,250,250,250,250,250,250,249,249,251,251,251,250,250,250,250,250,250,249,250
Jefferson County,250,250,249,249,248,250,250,250,250,250,249,249,248,248,250,248,248,250,250,249,249,248,248,250,249,249,249,248,250,248,248,247,249,249
Kemper County,250,250,250,250,250,250,250,250,250,249,249,249,249,249,250,249,250,250,250,250,250,250,250,249,250,250,250,250,250,250,250,250,250,249
Leake County,250,250,249,249,249,249,249,249,249,251,250,250,250,248,250,248,250,250,250,250,249,249,249,249,249,249,248,248,250,248,248,249,249,249
Marion County,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,249,249,250,250,250,250,250,250,250,250,250,250,250,250,250,250,249,249
Stone County,250,248,249,249,249,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,249,250,250
Winston County,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
PRIVATE PRISONS,"3,750","3,426","3,429","3,431","3,424","3,426","3,426","3,425","3,442","3,452","3,446","3,431","3,432","3,432","3,750","3,431","3,452","3,447","3,454","3,456","3,454","3,452","3,452","3,449","3,448","3,445","3,445","3,444","3,750","3,444","3,443","3,432","3,442","3,444"
East MS,"1,000",725,724,724,724,731,731,731,731,731,730,730,730,730,"1,000",730,732,732,732,732,732,732,732,732,731,731,731,731,"1,000",731,731,731,728,728
Marshall County,"1,000",988,985,988,985,983,983,983,993,993,990,989,989,989,"1,000",988,995,994,995,995,993,993,993,995,995,993,993,992,"1,000",992,991,991,995,994
Walnut Grove,750,724,726,725,722,722,722,722,726,736,733,720,720,720,750,720,730,728,732,734,735,733,733,731,729,728,728,728,750,728,728,719,728,730
Wilkinson County,"1,000",989,994,994,993,990,990,989,992,992,993,992,993,993,"1,000",993,995,993,995,995,994,994,994,991,993,993,993,993,"1,000",993,993,991,991,992
RESITITUTION CENTERS,24,16,16,16,16,17,17,17,17,17,17,17,16,16,24,16,16,16,16,15,15,15,15,15,15,15,15,15,24,15,15,15,15,15
Greenwood,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Hinds,12,7,7,7,7,7,7,7,7,7,7,7,6,6,12,6,6,6,6,5,5,5,5,5,5,5,5,5,12,5,5,5,5,5
Pascagoula,6,3,3,3,3,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4
GOVERNOR'S MANSION,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
E-CODE,,3,3,3,4,5,4,5,4,3,4,5,3,3,,4,4,5,4,4,5,2,3,5,5,3,3,3,,3,2,2,1,2
TOTALS,"21,737","20,491","20,511","20,523","20,520","20,548","20,547","20,545","20,533","20,550","20,572","20,558","20,569","20,562","21,737","20,556","20,552","20,589","20,614","20,645","20,622","20,616","20,614","20,622","20,649","20,641","20,638","20,635","21,737","20,635","20,632","20,604","20,637","20,617"
