Location,Capacity_x_x,1-Apr-09,2-Apr-09,3-Apr-09,4-Apr-09,5-Apr-09,6-Apr-09,7-Apr-09,8-Apr-09,9-Apr-09,Capacity_y_x,10-Apr-09,11-Apr-09,12-Apr-09,13-Apr-09,14-Apr-09,15-Apr-09,16-Apr-09,17-Apr-09,18-Apr-09,Capacity_x_y,19-Apr-09,20-Apr-09,21-Apr-09,22-Apr-09,23-Apr-09,24-Apr-09,25-Apr-09,26-Apr-09,27-Apr-09,Capacity_y_y,28-Apr-09,29-Apr-09,30-Apr-09,Unnamed: 5,Avg Population
Jackson Satellite Facility,102,100,100,99,97,98,98,98,98,96,102,95,95,95,96,96,96,95,94,94,102,94,95,93,92,92,91,90,90,87,102,87,87,88,,94
Jefferson Satellite Facility,102,92,92,95,95,95,92,92,91,91,102,96,95,95,95,95,95,95,95,95,102,95,91,91,91,91,92,92,92,94,102,94,94,90,,93
Leflore Satellite Facility,102,91,89,87,87,87,88,88,87,87,102,83,83,83,93,93,93,93,92,92,102,92,92,90,89,90,86,86,86,90,102,83,86,86,,88
Madison Satellite Facility,102,98,101,101,101,101,101,100,100,101,102,100,100,100,99,98,98,98,95,95,102,95,97,94,94,92,96,96,96,96,102,95,95,102,,98
Noxubee Satellite Facility,92,81,81,80,80,80,84,84,84,82,92,82,82,82,82,80,80,81,80,80,92,80,80,79,78,77,77,77,77,77,92,77,77,83,,80
Pike Satellite Facility,93,83,82,81,81,81,81,80,80,78,93,77,77,77,76,75,74,74,74,73,93,73,73,73,73,73,72,71,71,71,93,69,80,79,,76
Quitman Satellite Facility,93,78,78,78,78,78,77,75,76,76,93,77,77,77,76,75,75,73,69,70,93,70,70,71,70,70,69,68,69,69,93,69,81,81,,74
Rankin Satellite Facility,260,248,252,247,246,246,254,254,256,256,260,255,255,255,254,255,255,255,252,252,260,251,252,252,253,253,250,250,249,252,260,251,251,253,,252
Simpson Satellite Facility,102,99,99,98,98,98,99,99,99,97,102,94,94,94,99,95,95,96,93,93,102,93,96,95,97,96,97,97,97,97,102,95,94,99,,96
Washington Satellite Facility,102,96,96,95,95,95,96,102,102,102,102,99,99,99,101,101,101,101,99,99,102,100,97,97,96,96,95,95,95,96,102,95,95,95,,98
Wilkinson Satellite Facility,102,96,96,91,91,91,91,90,89,86,102,86,85,85,88,88,88,88,88,88,102,88,88,88,87,86,86,84,84,84,102,84,82,81,,88
Yazoo Satellite Facility,102,92,90,102,102,102,102,102,102,102,102,98,98,98,95,93,93,94,88,88,102,88,89,90,91,93,97,97,97,97,102,95,96,97,,96
REGIONAL CORRECTIONAL FACILITIES,"3,088","2,930","2,927","2,929","2,929","2,929","2,928","2,926","2,928","2,928","3,088","2,932","2,930","2,930","2,934","2,931","2,927","2,928","2,926","2,925","3,088","2,923","2,927","2,927","2,931","2,917","2,929","2,928","2,926","2,922","3,088","2,923","2,928","2,931",,"2,928"
Bolivar County,294,280,278,279,279,279,278,280,281,281,294,281,281,281,281,279,278,279,278,278,294,277,279,281,281,281,280,279,279,279,294,278,280,279,,279
Carroll County,280,266,266,266,266,266,266,265,263,264,280,266,266,266,266,266,266,266,265,264,280,264,265,265,266,266,264,264,264,263,280,265,266,266,,265
George County,280,266,265,264,264,264,265,260,264,264,280,265,265,265,264,263,264,264,265,265,280,265,265,265,266,266,266,266,266,266,280,266,266,266,,265
Holmes County,280,266,266,266,266,266,264,266,266,266,280,266,266,266,266,266,266,266,266,266,280,266,266,266,266,266,266,266,266,266,280,266,266,266,,266
Issaquena County,274,259,259,259,259,259,260,260,259,261,274,259,259,259,263,263,262,261,261,261,274,261,259,260,260,260,260,260,259,259,274,259,259,258,,260
Jefferson County,280,268,268,266,266,266,266,266,266,265,280,265,264,264,266,266,263,264,266,266,280,266,266,266,265,261,265,265,265,265,280,265,265,266,,265
Kemper County,280,266,266,266,266,266,266,265,266,266,280,266,265,265,266,266,263,266,266,266,280,265,265,264,266,263,266,266,266,266,280,266,266,266,,266
Leake County,280,266,266,266,266,266,266,266,266,266,280,266,266,266,265,265,266,265,263,263,280,263,266,265,265,267,266,266,265,264,280,265,265,266,,265
Marion County,280,265,265,266,266,266,266,265,265,266,280,266,266,266,265,265,266,265,265,265,280,265,265,266,266,266,265,265,265,265,280,265,266,266,,265
Stone County,280,263,263,265,265,265,265,266,265,265,280,265,265,265,265,265,266,266,266,266,280,266,266,264,266,266,266,266,266,265,280,264,264,266,,265
Winston County,280,265,265,266,266,266,266,267,267,264,280,267,267,267,267,267,267,266,265,265,280,265,265,265,264,255,265,265,265,264,280,264,265,266,,265
PRIVATE PRISONS,"5,972","5,481","5,486","5,475","5,472","5,472","5,473","5,472","5,478","5,488","5,972","5,487","5,486","5,486","5,485","5,480","5,478","5,484","5,479","5,478","5,972","5,476","5,482","5,489","5,496","5,498","5,493","5,493","5,489","5,487","5,972","5,481","5,486","5,487",,"5,483"
Delta,972,953,953,953,952,952,955,955,955,955,972,955,955,955,954,954,956,957,957,956,972,954,952,953,957,956,952,952,952,951,972,952,950,956,,954
East Mississippi,"1,500","1,361","1,361","1,361","1,360","1,360","1,359","1,361","1,361","1,363","1,500","1,365","1,365","1,365","1,364","1,362","1,361","1,362","1,363","1,363","1,500","1,363","1,363","1,362","1,362","1,361","1,360","1,360","1,357","1,357","1,500","1,358","1,362","1,360",,"1,361"
Marshall County,"1,000",982,983,983,982,982,982,982,982,983,"1,000",981,980,980,983,982,982,982,981,981,"1,000",981,982,981,983,979,983,983,983,983,"1,000",983,982,983,,982
Walnut Grove,"1,500","1,211","1,213","1,201","1,201","1,201","1,200","1,202","1,210","1,211","1,500","1,210","1,210","1,210","1,208","1,205","1,202","1,208","1,203","1,203","1,500","1,203","1,208","1,217","1,219","1,226","1,223","1,223","1,222","1,222","1,500","1,218","1,219","1,213",,"1,211"
Wilkinson County,"1,000",974,976,977,977,977,977,972,970,976,"1,000",976,976,976,976,977,977,975,975,975,"1,000",975,977,976,975,976,975,975,975,974,"1,000",970,973,975,,975
RESTITUTION CENTERS,16,12,12,12,12,12,12,11,11,12,16,12,12,12,12,12,12,12,12,12,16,12,12,12,13,12,11,11,11,12,16,11,11,12,,12
Greenwood,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,6,6,5,5,5,,6
Hinds,6,4,4,4,4,4,4,3,3,3,6,3,3,3,3,3,3,3,3,3,6,3,3,3,4,4,4,4,4,4,6,4,4,5,,4
Pascagoula,4,2,2,2,2,2,2,2,2,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,2,2,2,2,2,4,2,2,2,,2
GOVERNOR'S MANSION,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,6
E-CODE,0,14,12,29,30,30,14,17,20,24,0,41,41,40,17,13,12,13,29,28,0,28,9,12,13,8,27,30,31,12,0,10,10,7,,21
TOTALS,"24,193","22,561","22,571","22,583","22,575","22,575","22,567","22,523","22,543","22,561","24,193","22,571","22,556","22,555","22,563","22,535","22,541","22,529","22,553","22,539","24,193","22,535","22,521","22,507","22,523","22,549","22,539","22,532","22,520","22,507","24,193","22,479","22,501","22,510",,"22,541"
