Location,Capacity_x,1-Dec-05,2-Dec-05,3-Dec-05,4-Dec-05,5-Dec-05,6-Dec-05,7-Dec-05,8-Dec-05,9-Dec-05,10-Dec-05,11-Dec-05,12-Dec-05,13-Dec-05,Capacity_y,14-Dec-05,15-Dec-05,16-Dec-05,17-Dec-05,18-Dec-05,19-Dec-05,20-Dec-05,21-Dec-05,22-Dec-05,23-Dec-05,24-Dec-05,25-Dec-05,26-Dec-05,Capacity,27-Dec-05,28-Dec-05,29-Dec-05,30-Dec-05,31-Dec-05
Simpson Satellite Facility,102,92,92,92,92,89,89,99,98,100,100,100,101,101,102,101,99,99,98,99,99,99,100,97,97,96,96,96,102,90,93,95,97,97
Washington Satellite Facility,102,90,90,90,90,90,90,89,89,89,88,87,86,94,102,93,93,93,93,93,101,100,99,99,99,99,99,99,102,99,99,102,102,102
Wilkinson Satellite Facility,102,80,80,80,79,79,79,79,79,79,78,78,78,79,102,78,78,78,78,77,76,76,73,71,71,71,71,71,102,71,79,87,95,95
Yazoo Satellite Facility,102,102,102,102,102,102,102,101,100,99,99,99,98,100,102,98,97,95,94,94,102,102,102,99,99,99,99,99,102,99,99,102,102,102
REGIONAL CORRECTIONAL FACILITIES,"3,028","3,009","3,015","3,014","3,013","3,019","3,019","3,021","3,021","3,022","3,020","3,019","3,020","3,021","3,028","3,025","3,023","3,024","3,023","3,023","3,015","3,014","3,019","3,025","3,016","3,016","3,016","3,014","3,028","3,015","3,010","3,010","3,022","3,021"
Bolivar County,294,292,294,293,292,293,293,294,294,294,293,293,293,293,294,293,294,294,294,294,293,290,291,294,294,294,294,294,294,294,292,291,294,294
Carroll County,250,250,250,250,250,250,250,250,250,250,250,250,249,249,250,250,250,249,249,249,249,250,250,250,250,250,250,250,250,250,250,250,250,250
George County,280,276,275,275,275,276,277,277,279,279,279,279,279,280,280,280,279,279,279,279,277,277,277,281,280,280,280,280,280,280,277,274,277,277
Holmes County,280,280,279,279,279,279,279,279,278,279,279,279,279,279,280,280,280,280,280,280,280,280,279,278,277,277,277,277,280,278,280,280,280,280
Issaquena County,274,273,273,273,273,274,273,274,272,271,270,270,273,272,274,272,271,273,273,273,271,271,273,272,272,272,272,271,274,271,273,273,274,274
Jefferson County,250,245,246,246,246,250,250,250,250,250,250,250,249,249,250,250,250,250,249,249,249,250,250,250,250,250,250,249,250,248,246,248,250,250
Kemper County,280,278,280,280,280,280,280,278,280,280,280,280,280,280,280,280,280,280,280,280,278,278,280,280,278,278,278,278,280,278,276,277,279,278
Leake County,280,279,280,280,280,280,280,280,279,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,279,279,279,279,280,280,280,280,280,280
Marion County,280,280,280,280,280,278,278,280,280,280,280,280,279,279,280,280,280,280,280,280,279,278,279,280,278,278,278,278,280,279,279,280,280,280
Stone County,280,278,280,280,280,280,280,279,279,280,280,279,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,279,279,280,280
Winston County,280,278,278,278,278,279,279,280,280,279,279,279,279,280,280,280,279,279,279,279,279,280,280,280,278,278,278,278,280,277,278,278,278,278
PRIVATE PRISONS,"5,100","4,801","4,812","4,812","4,809","4,800","4,803","4,795","4,791","4,799","4,798","4,795","4,788","4,790","5,100","4,796","4,798","4,802","4,800","4,797","4,789","4,783","4,783","4,786","4,779","4,776","4,774","4,772","5,100","4,776","4,792","4,792","4,797","4,797"
Delta,972,972,974,974,974,968,965,969,972,971,970,968,966,969,972,972,970,970,970,969,969,968,971,970,969,967,967,967,972,969,969,972,972,972
East Mississippi,"1,000",852,851,851,850,848,848,848,848,847,847,846,846,845,"1,000",844,847,846,846,844,843,842,842,842,840,839,838,838,"1,000",836,836,836,846,846
Marshall County,"1,000",991,991,991,990,995,995,994,992,995,995,995,993,992,"1,000",992,995,994,992,992,994,993,992,994,992,992,992,991,"1,000",995,995,995,994,994
Tallahatchie County,128,128,128,128,128,128,128,127,127,128,128,128,128,128,128,128,128,127,127,127,126,126,125,125,125,125,125,125,128,125,128,128,127,127
Walnut Grove,"1,000",907,918,918,918,916,923,915,915,921,921,921,919,919,"1,000",923,917,925,925,925,920,920,919,922,921,921,921,920,"1,000",920,925,923,920,920
Wilkinson County,"1,000",951,950,950,949,945,944,942,937,937,937,937,936,937,"1,000",937,941,940,940,940,937,934,934,933,932,932,931,931,"1,000",931,939,938,938,938
RESTITUTION CENTERS,16,12,12,12,12,12,12,16,16,16,16,16,15,15,16,15,16,16,16,16,16,16,15,17,17,17,17,17,16,17,19,18,18,18
Greenwood,6,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4
Hinds,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,4,4,4,4,4,4,6,4,6,6,6,6
Pascagoula,4,3,3,3,3,3,3,7,7,7,7,7,6,6,4,6,7,7,7,7,7,7,7,9,9,9,9,9,4,9,9,8,8,8
GOVERNOR'S MANSION,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5
E-CODE,,5,6,6,4,4,5,7,9,5,5,3,4,5,,6,7,8,9,7,9,8,8,8,5,5,5,4,,6,7,6,6,7
TOTALS,"22,403","20,791","20,790","20,786","20,777","20,789","20,791","20,796","20,826","20,824","20,803","20,792","20,789","20,789","22,403","20,813","20,812","20,801","20,786","20,772","20,759","20,744","20,736","20,709","20,681","20,656","20,647","20,640","22,403","20,638","20,663","20,698","20,692","20,685"
