Location,Capacity_x,1-Oct-03,2-Oct-03,3-Oct-03,4-Oct-03,5-Oct-03,6-Oct-03,7-Oct-03,8-Oct-03,9-Oct-03,10-Oct-03,11-Oct-03,12-Oct-03,13-Oct-03,Capacity_y,14-Oct-03,15-Oct-03,16-Oct-03,17-Oct-03,18-Oct-03,19-Oct-03,20-Oct-03,21-Oct-03,22-Oct-03,23-Oct-03,24-Oct-03,25-Oct-03,26-Oct-03,Capacity,27-Oct-03,28-Oct-03,29-Oct-03,30-Oct-03,31-Oct-03
Jackson Satellite Facility,102,72,72,71,71,71,72,73,73,73,71,71,71,73,102,73,73,73,70,70,70,71,72,73,74,73,73,73,102,74,74,73,73,66
Jefferson Satellite Facility,102,91,90,88,88,88,93,93,93,92,90,90,90,90,102,90,90,90,86,86,85,70,81,81,80,79,79,79,102,80,80,81,81,80
Leflore Satellite Facility,102,88,88,86,86,86,87,96,97,97,90,90,90,97,102,97,97,100,96,96,96,99,99,98,96,93,93,93,102,101,98,96,95,91
Madison Satellite Facility,102,88,91,89,89,88,90,97,97,97,99,99,99,101,102,101,100,100,99,99,99,101,102,102,101,100,100,100,102,101,99,99,99,101
Noxubee Satellite Facility,92,92,92,88,87,87,91,90,90,90,89,89,89,90,92,90,90,90,88,88,88,88,88,88,86,85,85,85,92,86,91,91,91,85
Pike Satellite Facility,93,47,47,48,48,48,47,46,46,45,44,44,44,47,93,49,49,49,47,47,47,48,47,47,47,46,46,46,93,44,44,43,43,40
Quitman Satellite Facility,93,60,60,64,64,64,69,77,77,76,73,73,73,75,93,74,75,75,75,75,75,75,74,74,74,71,71,70,93,72,72,72,72,73
Rankin Satellite Facility,228,219,222,219,220,220,222,219,222,222,219,218,218,220,228,221,219,220,208,208,207,216,216,220,219,214,214,214,228,225,223,222,223,226
Simpson Satellite Facility,102,94,94,91,91,91,94,96,95,95,94,94,94,94,102,100,99,98,92,92,92,94,95,95,94,92,92,91,102,92,91,93,93,89
Washington Satellite Facility,102,86,86,81,81,81,83,83,83,83,85,85,85,86,102,91,91,92,86,86,86,90,90,89,88,87,87,87,102,87,87,86,86,90
Wilkinson Satellite Facility,102,59,58,62,62,62,64,65,65,65,62,62,62,61,102,61,61,60,58,58,58,67,67,67,67,66,66,66,102,66,69,69,69,66
Yazoo Satellite Facility,102,99,98,93,93,93,99,100,101,100,93,93,93,96,102,96,96,99,99,99,99,100,100,100,100,97,97,97,102,98,98,97,97,95
REGIONAL CORRECTIONAL FACILITIES,"2,750","2,571","2,567","2,569","2,568","2,566","2,559","2,567","2,564","2,564","2,565","2,564","2,564","2,563","2,750","2,569","2,568","2,564","2,566","2,565","2,565","2,577","2,580","2,582","2,582","2,638","2,636","2,636","2,750","2,659","2,706","2,708","2,727","2,739"
Bolivar County,250,234,232,233,233,233,233,237,233,235,233,233,233,232,250,237,237,234,238,238,238,238,236,236,236,236,236,236,250,236,236,235,249,249
Carroll County,250,235,233,235,235,235,234,235,235,235,234,234,234,234,250,235,234,234,233,233,233,233,235,235,234,234,234,234,250,250,248,250,250,249
George County (opened on May 10th),250,234,234,234,234,234,233,234,233,233,235,235,235,235,250,235,235,235,235,235,235,231,234,233,235,235,235,235,250,234,232,232,239,246
Holmes County,250,235,235,235,235,233,233,233,235,235,234,234,234,235,250,235,235,235,235,235,235,235,235,235,235,250,250,250,250,250,250,249,250,250
Issaquena County,250,234,235,235,235,235,233,233,233,235,235,235,235,235,250,235,236,236,235,235,235,235,236,236,234,235,235,235,250,234,251,250,247,245
Jefferson County,250,228,227,226,226,226,226,224,223,221,220,219,219,219,250,218,217,216,216,216,216,235,233,234,235,250,250,250,250,250,249,248,248,250
Kemper County,250,234,234,233,233,233,233,235,235,235,235,235,235,234,250,234,234,234,234,234,234,234,234,235,235,235,234,234,250,234,250,250,250,250
Leake County,250,234,234,234,234,234,234,235,235,234,234,234,234,234,250,235,235,235,235,235,235,233,233,235,235,235,235,235,250,244,250,250,250,250
Marion County,250,235,235,234,234,234,232,235,235,235,235,235,235,235,250,235,235,235,235,235,235,234,234,234,233,249,249,249,250,249,247,244,244,250
Stone County,250,235,235,235,235,235,234,231,232,232,236,236,236,236,250,235,235,235,235,235,235,235,235,234,235,244,243,243,250,243,243,250,250,250
Winston County,250,233,233,235,234,234,234,235,235,234,234,234,234,234,250,235,235,235,235,234,234,234,235,235,235,235,235,235,250,235,250,250,250,250
PRIVATE PRISONS,"3,750","3,458","3,465","3,467","3,467","3,466","3,463","3,458","3,459","3,458","3,455","3,454","3,453","3,450","3,750","3,459","3,462","3,456","3,462","3,461","3,461","3,455","3,459","3,460","3,459","3,447","3,447","3,446","3,750","3,444","3,420","3,397","3,400","3,412"
East MS,"1,000",729,729,729,729,729,728,728,727,727,731,731,731,730,"1,000",730,730,729,728,729,729,727,726,725,725,723,723,723,"1,000",723,728,728,726,725
Marshall County,"1,000",992,994,994,994,993,992,992,993,992,990,990,989,988,"1,000",995,994,993,995,994,994,993,993,994,993,992,992,991,"1,000",989,989,988,993,991
Walnut Grove,750,743,750,752,752,752,751,747,748,748,744,744,744,744,750,744,749,745,746,746,746,745,750,747,747,745,745,745,750,745,745,745,743,742
Wilkinson County,"1,000",994,992,992,992,992,992,991,991,991,990,989,989,988,"1,000",990,989,989,993,992,992,990,990,994,994,987,987,987,"1,000",987,958,936,938,954
RESITITUTION CENTERS,24,16,18,18,18,18,18,18,18,18,16,16,16,18,24,18,18,17,15,15,15,17,17,16,16,16,16,16,24,16,16,16,16,16
Greenwood,6,6,6,6,6,6,6,6,6,6,4,4,4,6,6,6,6,6,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6
Hinds,12,8,8,8,8,8,8,8,8,8,8,8,8,8,12,8,8,7,7,7,7,7,7,7,7,7,7,7,12,7,7,7,7,7
Pascagoula,6,2,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,3,3,3,3,3,6,3,3,3,3,3
GOVERNOR'S MANSION,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
E-CODE,,5,7,48,45,44,2,2,2,2,44,45,45,4,,5,5,5,44,44,45,6,4,5,5,4,1,1,,3,3,3,5,42
TOTALS,"21,737","20,456","20,474","20,474","20,468","20,464","20,456","20,492","20,519","20,547","20,520","20,515","20,509","20,521","21,737","20,532","20,545","20,540","20,472","20,466","20,462","20,462","20,473","20,449","20,462","20,431","20,426","20,420","21,737","20,455","20,482","20,472","20,506","20,495"
