Location,Capacity_x_x,1-Feb-16,2-Feb-16,3-Feb-16,4-Feb-16,5-Feb-16,6-Feb-16,7-Feb-16,8-Feb-16,9-Feb-16,Capacity_y_x,10-Feb-16,11-Feb-16,12-Feb-16,13-Feb-16,14-Feb-16,15-Feb-16,16-Feb-16,17-Feb-16,18-Feb-16,Capacity_x_y,19-Feb-16,20-Feb-16,21-Feb-16,22-Feb-16,23-Feb-16,24-Feb-16,Unnamed: 8,25-Feb-16 26-Feb-16 27-Feb-16,Unnamed: 10,Capacity_y_y,28-Feb-16,29-Feb-16,Avg Population
Leake County,280,274,276,275,275,270,269,269,253,253,280,240,240,212,212,212,212,212,211,201,280,200,200,199,198,198,199,200,200,199,280,199,199,226
Marion County,280,279,280,280,279,259,259,259,259,259,280,238,238,237,237,237,237,235,234,209,280,198,198,198,198,200,200,199,199,199,280,199,199,231
Stone County,280,275,275,280,280,260,260,260,260,260,280,240,240,239,239,239,239,237,238,200,280,200,200,199,199,200,198,198,198,198,280,198,198,231
Washington County,300,238,237,237,236,235,235,234,234,234,300,232,231,231,231,231,231,235,235,239,300,236,235,235,235,237,237,233,233,233,300,232,231,234
Winston County,280,266,264,265,264,243,243,243,237,237,280,235,234,214,214,214,214,213,213,202,280,200,200,200,199,198,199,199,199,199,280,199,199,221
Yazoo County,300,296,287,286,269,268,268,268,265,262,300,236,236,237,237,237,237,240,240,237,300,236,236,236,236,240,240,239,238,238,300,238,237,249
PRIVATE PRISONS,"5,972","3,919","3,906","3,895","3,862","3,875","3,872","3,872","3,878","3,906","5,972","3,947","3,963","3,957","3,958","3,957","3,956","3,949","3,947","3,944","5,972","3,941","3,936","3,935","3,928","3,925","3,932","3,927","3,943","3,943","5,972","3,941","3,937","3,926"
Delta,972,0,0,0,0,0,0,0,0,0,972,0,0,0,0,0,0,0,0,0,972,0,0,0,0,0,0,0,0,0,972,0,0,0
East Mississippi,"1,500","1,146","1,142","1,141","1,138","1,137","1,136","1,136","1,136","1,137","1,500","1,135","1,141","1,140","1,141","1,141","1,140","1,137","1,139","1,140","1,500","1,139","1,136","1,136","1,135","1,135","1,133","1,132","1,132","1,132","1,500","1,132","1,130","1,137"
Marshall County,"1,000","1,000",986,991,976,976,975,975,982,982,"1,000",995,993,992,992,992,992,992,993,992,"1,000",992,992,991,989,989,998,998,997,997,"1,000",996,995,990
Walnut Grove,"1,500",922,927,909,895,899,898,898,897,925,"1,500",938,935,933,933,932,932,928,926,925,"1,500",924,923,923,921,918,918,916,935,935,"1,500",934,933,922
Wilkinson County,"1,000",851,851,854,853,863,863,863,863,862,"1,000",879,894,892,892,892,892,892,889,887,"1,000",886,885,885,883,883,883,881,879,879,"1,000",879,879,877
RESTITUTION CENTERS,16,10,10,10,10,9,9,9,9,9,16,9,9,9,9,9,9,9,9,9,16,9,9,9,10,10,10,10,10,10,16,10,12,9
Greenwood,6,3,3,3,3,3,3,3,3,3,6,3,3,3,3,3,3,3,3,3,6,4,4,4,4,4,4,4,4,4,6,4,5,3
Hinds,6,5,5,5,5,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,6,3,3,3,4,4,4,4,4,4,6,4,5,4
Pascagoula,4,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,4,2,2,2
TOTALS,"23,606","18,780","18,841","18,877","18,874","18,837","18,826","18,825","18,908","18,939","23,606","18,946","18,940","18,898","18,891","18,883","18,914","18,921","18,947","18,962","23,606","18,935","18,933","18,930","18,998","18,989","19,022","19,007","19,000","18,994","23,606","18,988","19,029","18,925"
