Location,Capacity_x,1-Aug-03,2-Aug-03,3-Aug-03,4-Aug-03,5-Aug-03,6-Aug-03,7-Aug-03,8-Aug-03,9-Aug-03,10-Aug-03,11-Aug-03,12-Aug-03,Capacity_y,13-Aug-03,14-Aug-03,15-Aug-03,16-Aug-03,17-Aug-03,18-Aug-03,19-Aug-03,20-Aug-03,21-Aug-03,22-Aug-03,23-Aug-03,24-Aug-03,Capacity,25-Aug-03,26-Aug-03,27-Aug-03,28-Aug-03,29-Aug-03,30-Aug-03,31-Aug-03
Bolivar County,250,235,235,235,234,234,232,232,232,231,231,233,232,250,231,216,214,214,214,212,212,235,231,233,233,233,250,233,234,234,234,237,236,236
Carroll County,250,235,235,235,234,235,235,235,235,235,235,235,234,250,234,233,233,233,233,235,234,234,234,236,236,235,250,235,233,235,235,235,235,235
George County (opened on May 10th),250,235,235,235,234,235,235,234,232,231,231,231,234,250,233,233,235,235,235,234,234,233,235,233,233,233,250,233,233,235,235,234,234,234
Holmes County,250,235,235,234,234,235,235,235,235,235,235,235,235,250,235,235,235,235,235,235,235,235,235,235,235,235,250,235,235,235,235,235,235,235
Issaquena County,250,235,235,235,235,235,235,235,235,235,235,235,235,250,235,235,235,235,235,235,235,235,235,234,234,232,250,235,235,235,235,235,235,235
Jefferson County,250,235,235,235,235,235,236,236,236,236,236,236,235,250,235,235,234,234,234,234,234,235,235,235,235,235,250,235,235,235,235,234,234,234
Kemper County,250,235,235,235,235,235,235,235,235,235,234,234,234,250,234,234,233,231,231,231,231,231,231,230,230,230,250,229,229,234,233,234,234,234
Leake County,250,235,235,235,235,235,235,235,235,235,235,235,235,250,234,233,233,233,233,233,233,232,233,233,233,233,250,233,232,235,235,235,235,235
Marion County,250,234,234,234,234,235,234,234,235,235,234,236,236,250,236,236,232,232,232,232,235,234,234,234,234,234,250,234,234,235,235,236,236,236
Stone County,250,236,236,236,236,235,235,235,235,235,235,235,235,250,235,235,234,234,234,235,235,235,235,235,235,235,250,235,235,235,235,235,235,235
Winston County,250,236,236,236,235,235,234,234,235,235,235,234,234,250,234,235,235,235,235,235,235,235,235,235,235,235,250,233,233,235,235,235,235,235
PRIVATE PRISONS,"3,750","3,460","3,459","3,459","3,462","3,463","3,461","3,453","3,464","3,462","3,462","3,459","3,458","3,750","3,461","3,443","3,457","3,457","3,454","3,457","3,447","3,449","3,429","3,444","3,444","3,444","3,750","3,449","3,441","3,438","3,447","3,465","3,463","3,463"
East MS,"1,000",728,728,728,731,731,731,730,730,729,729,729,728,"1,000",728,728,728,728,727,726,726,725,725,724,724,724,"1,000",723,723,722,722,732,732,732
Marshall County,"1,000",993,993,993,992,992,990,988,995,994,994,994,993,"1,000",990,977,986,986,985,990,986,983,983,991,991,991,"1,000",990,989,987,995,992,992,992
Walnut Grove,750,746,745,745,744,745,746,744,746,746,746,744,744,750,750,747,748,748,748,747,746,749,729,736,736,736,750,744,740,740,740,745,745,745
Wilkinson County,"1,000",993,993,993,995,995,994,991,993,993,993,992,993,"1,000",993,991,995,995,994,994,989,992,992,993,993,993,"1,000",992,989,989,990,996,994,994
RESITITUTION CENTERS,24,16,16,16,16,16,16,16,15,15,15,16,16,24,16,17,17,17,17,17,17,17,20,20,20,20,24,19,19,19,19,19,19,19
Greenwood,6,5,5,5,5,5,5,5,5,5,5,5,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Hinds,12,8,8,8,8,8,8,8,7,7,7,8,8,12,8,8,8,8,8,8,8,8,11,11,11,11,12,11,11,11,11,11,11,11
Pascagoula,6,3,3,3,3,3,3,3,3,3,3,3,3,6,3,3,3,3,3,3,3,3,3,3,3,3,6,2,2,2,2,2,2,2
GOVERNOR'S MANSION,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
E-CODE,,21,21,22,7,5,4,5,26,29,29,7,7,,6,3,29,28,28,3,2,5,4,22,23,23,,5,3,6,6,6,6,4
TOTALS,"21,737","20,467","20,461","20,458","20,449","20,485","20,475","20,476","20,446","20,440","20,432","20,434","20,458","21,737","20,469","20,412","20,416","20,409","20,402","20,394","20,434","20,410","20,410","20,394","20,391","20,386","21,737","20,374","20,394","20,436","20,457","20,466","20,459","20,451"
