Location,Capacity_x,1-Mar-03,2-Mar-03,3-Mar-03,4-Mar-03,5-Mar-03,6-Mar-03,7-Mar-03,8-Mar-03,9-Mar-03,10-Mar-03,11-Mar-03,12-Mar-03,13-Mar-03,Capacity_y,14-Mar-03,15-Mar-03,16-Mar-03,17-Mar-03,18-Mar-03,19-Mar-03,20-Mar-03,21-Mar-03,22-Mar-03,23-Mar-03,24-Mar-03,25-Mar-03,26-Mar-03,Capacity,27-Mar-03,28-Mar-03,29-Mar-03,30-Mar-03,31-Mar-03
Simpson Satellite Facility,75,72,72,75,75,75,74,70,70,70,73,73,75,74,75,71,71,71,73,75,75,75,75,75,75,75,75,75,75,75,73,73,73,73
Washington Satellite Facility,75,75,75,75,74,74,74,74,74,74,74,74,73,73,75,72,72,67,68,68,68,68,73,73,73,75,74,73,75,72,71,70,70,73
Wilkinson Satellite Facility,75,71,71,73,72,72,71,65,65,65,69,69,70,70,75,69,69,69,72,72,71,71,69,69,69,69,72,72,75,72,71,71,71,72
Yazoo Satellite Facility,75,73,73,73,73,73,74,73,73,73,74,74,75,75,75,71,71,70,74,75,75,74,72,72,72,74,75,75,75,74,74,73,74,75
REGIONAL CORRECTIONAL FACILITIES,"2,750","2,480","2,478","2,475","2,474","2,475","2,476","2,483","2,483","2,482","2,482","2,485","2,484","2,482","2,750","2,483","2,482","2,482","2,483","2,485","2,487","2,483","2,481","2,480","2,480","2,483","2,482","2,482","2,750","2,484","2,487","2,487","2,485","2,486"
Bolivar County,250,225,224,223,222,226,226,226,226,226,226,226,226,225,250,226,225,225,225,225,226,226,224,224,224,226,226,226,250,227,226,226,226,226
Carroll County,250,225,224,224,224,226,225,227,227,226,226,226,226,226,250,226,226,226,226,226,226,224,226,226,226,226,226,226,250,226,226,226,226,226
George County (opened on May 10th),250,225,225,225,225,225,225,225,225,225,224,226,225,225,250,225,225,225,226,226,226,224,224,224,224,225,224,224,250,224,226,226,226,226
Holmes County,250,226,226,225,224,223,223,226,226,226,226,226,226,226,250,226,226,226,226,226,226,226,226,226,226,226,226,226,250,226,226,226,226,227
Issaquena County,250,226,226,225,225,223,225,225,225,225,225,225,225,225,250,224,224,224,223,225,226,226,225,224,224,225,226,226,250,226,226,226,226,225
Jefferson County,250,223,223,224,224,224,224,225,225,225,225,225,225,226,250,226,226,226,226,226,226,226,226,226,226,226,226,226,250,226,226,226,226,226
Kemper County,250,222,222,225,225,224,224,226,226,226,225,225,226,226,250,226,226,226,226,226,226,226,226,226,226,226,226,226,250,225,225,225,225,226
Leake County,250,227,227,227,227,226,226,226,226,226,226,227,226,226,250,226,226,226,226,226,226,226,226,226,226,226,226,226,250,226,226,226,226,226
Marion County,250,227,227,225,226,226,227,227,227,227,227,227,227,227,250,227,227,227,227,227,227,227,226,226,226,226,226,226,250,226,226,226,226,226
Stone County,250,227,227,226,226,226,225,224,224,224,226,226,226,225,250,225,225,225,226,226,226,226,226,226,226,225,225,225,250,227,227,227,226,226
Winston County,250,227,227,226,226,226,226,226,226,226,226,226,226,225,250,226,226,226,226,226,226,226,226,226,226,226,225,225,250,225,227,227,226,226
PRIVATE PRISONS,"3,750","3,374","3,372","3,371","3,370","3,370","3,368","3,363","3,363","3,362","3,362","3,377","3,369","3,374","3,750","3,371","3,369","3,366","3,362","3,355","3,356","3,353","3,357","3,356","3,355","3,363","3,369","3,367","3,750","3,368","3,375","3,375","3,373","3,369"
Delta (Closed),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East MS,"1,000",689,689,688,688,689,689,689,689,688,688,688,688,687,"1,000",686,685,685,682,682,681,681,681,681,681,681,683,683,"1,000",683,683,683,683,681
Marshall County,"1,000",984,983,983,982,981,980,978,978,978,978,987,979,986,"1,000",986,985,985,986,983,982,982,980,979,978,986,986,985,"1,000",987,987,987,985,983
Walnut Grove,750,715,715,715,715,715,713,710,710,710,710,713,713,713,750,713,713,712,709,706,710,709,709,709,709,709,715,714,750,714,714,714,714,715
Wilkinson County,"1,000",986,985,985,985,985,986,986,986,986,986,989,989,988,"1,000",986,986,984,985,984,983,981,987,987,987,987,985,985,"1,000",984,991,991,991,990
RESITITUTION CENTERS,24,13,13,13,13,13,13,11,11,11,14,14,14,13,24,12,12,12,13,13,13,13,13,13,13,13,13,13,24,13,13,13,13,13
Greenwood,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Hinds,12,4,4,4,4,4,4,3,3,3,5,5,5,5,12,5,5,5,5,5,5,5,5,5,5,5,5,5,12,5,5,5,5,5
Pascagoula,6,3,3,3,3,3,3,2,2,2,3,3,3,2,6,1,1,1,2,2,2,2,2,2,2,2,2,2,6,2,2,2,2,2
GOVERNOR'S MANSION,6,6,6,6,6,6,6,5,5,5,6,6,6,6,6,5,5,5,6,6,6,6,5,5,5,6,6,6,6,6,6,6,6,6
TOTALS,"21,171","20,034","20,033","20,062","20,084","20,093","20,102","20,050","20,048","20,039","20,134","20,162","20,191","20,179","21,171","20,136","20,131","20,124","20,130","20,149","20,163","20,154","20,131","20,124","20,122","20,159","20,146","20,166","21,171","20,159","20,158","20,152","20,140","20,168"
