Location,Capacity_x_x,1-Oct-08,2-Oct-08,3-Oct-08,4-Oct-08,5-Oct-08,6-Oct-08,7-Oct-08,8-Oct-08,9-Oct-08,Capacity_y_x,10-Oct-08,11-Oct-08,12-Oct-08,13-Oct-08,14-Oct-08,15-Oct-08,16-Oct-08,17-Oct-08,18-Oct-08,Capacity_x_y,19-Oct-08,20-Oct-08,21-Oct-08,22-Oct-08,23-Oct-08,24-Oct-08,25-Oct-08,26-Oct-08,27-Oct-08,Capacity_y_y,28-Oct-08,29-Oct-08,30-Oct-08,31-Oct-08,Unnamed: 6,Avg Population
Pike Satellite Facility,93,91,90,90,89,88,90,91,91,91,93,90,90,90,93,92,92,92,89,88,93,88,91,91,91,89,86,86,86,0,93,0,0,0,0,,90
Quitman Satellite Facility,93,93,93,84,83,83,88,87,87,91,93,91,91,91,92,92,91,91,87,86,93,86,91,90,89,89,86,86,86,0,93,0,0,0,0,,89
Rankin Satellite Facility,260,243,244,241,240,240,246,246,246,248,260,244,244,244,247,247,247,246,241,241,260,240,247,247,247,246,241,241,241,0,260,0,0,0,0,,244
Simpson Satellite Facility,102,100,102,99,99,99,99,100,97,100,102,97,96,96,102,102,102,101,100,100,102,99,99,98,102,102,100,100,100,0,102,0,0,0,0,,100
Washington Satellite Facility,102,100,102,93,93,93,102,102,101,101,102,99,99,99,100,102,102,102,101,101,102,101,102,102,102,97,93,93,93,0,102,0,0,0,0,,99
Wilkinson Satellite Facility,102,100,100,98,98,98,99,97,100,101,102,99,98,98,97,97,99,99,99,99,102,99,101,98,98,96,96,96,96,0,102,0,0,0,0,,98
Yazoo Satellite Facility,102,101,101,100,100,100,101,101,102,101,102,94,94,94,101,101,101,101,98,98,102,98,100,102,102,102,101,100,100,0,102,0,0,0,0,,100
REGIONAL CORRECTIONAL FACILITIES,"3,088","3,077","3,082","3,077","3,076","3,074","3,074","3,082","3,075","3,083","3,088","3,080","3,077","3,075","3,076","3,077","3,079","3,082","3,081","3,081","3,088","3,080","3,082","3,085","3,083","3,082","3,083","3,080","3,080",0,"3,088",0,0,0,0,,"3,079"
Bolivar County,294,293,292,292,292,292,293,294,293,294,294,294,294,294,294,293,293,293,292,292,294,292,294,293,294,292,293,292,292,0,294,0,0,0,0,,293
Carroll County,280,279,279,280,280,279,277,277,278,281,280,280,280,280,278,278,277,277,280,280,280,280,280,280,280,279,280,280,280,0,280,0,0,0,0,,279
George County,280,277,279,276,276,276,275,277,277,277,280,277,277,276,277,277,280,280,279,279,280,279,279,280,280,280,280,280,280,0,280,0,0,0,0,,278
Holmes County,280,280,280,280,279,279,279,279,276,276,280,276,276,276,280,280,280,280,280,280,280,279,280,280,280,280,280,280,280,0,280,0,0,0,0,,279
Issaquena County,274,271,274,273,273,273,274,274,274,275,274,275,274,273,273,274,273,273,274,274,274,274,274,274,274,273,273,272,272,0,274,0,0,0,0,,273
Jefferson County,280,280,280,278,278,277,277,279,280,280,280,280,279,279,279,280,280,280,279,279,280,279,279,280,279,280,280,280,280,0,280,0,0,0,0,,279
Kemper County,280,280,280,280,280,280,280,280,280,280,280,280,280,280,279,280,280,280,279,279,280,279,279,280,280,280,280,279,279,0,280,0,0,0,0,,280
Leake County,280,277,279,280,280,280,280,281,276,280,280,279,279,279,279,278,279,281,281,281,280,281,280,280,280,280,279,279,279,0,280,0,0,0,0,,280
Marion County,280,281,281,281,281,281,281,281,281,281,280,281,281,281,281,281,280,280,280,280,280,280,280,279,279,280,280,280,280,0,280,0,0,0,0,,280
Stone County,280,280,279,279,279,279,279,280,280,279,280,278,277,277,278,278,277,278,277,277,280,277,277,280,278,278,278,278,278,0,280,0,0,0,0,,278
Winston County,280,279,279,278,278,278,279,280,280,280,280,280,280,280,278,278,280,280,280,280,280,280,280,279,279,280,280,280,280,0,280,0,0,0,0,,279
PRIVATE PRISONS,"5,972","5,056","5,058","5,083","5,079","5,078","5,082","5,095","5,137","5,156","5,972","5,156","5,154","5,153","5,165","5,172","5,221","5,222","5,223","5,221","5,972","5,221","5,223","5,232","5,288","5,296","5,299","5,296","5,294",0,"5,972",0,0,0,0,,"5,179"
Delta,972,972,971,971,971,970,970,970,970,970,972,968,968,967,966,967,970,971,969,969,972,969,969,971,971,971,971,970,970,0,972,0,0,0,0,,970
East Mississippi,"1,500",943,942,946,945,945,943,945,982,996,"1,500",995,994,994,995,993,"1,041","1,040","1,040","1,040","1,500","1,040","1,043","1,048","1,096","1,103","1,106","1,104","1,103",0,"1,500",0,0,0,0,,"1,014"
Marshall County,"1,000","1,000","1,000","1,001","1,000","1,000",998,998,"1,000",998,"1,000","1,000",999,999,998,"1,000",999,999,999,999,"1,000",999,999,999,999,"1,000","1,000","1,000",999,0,"1,000",0,0,0,0,,999
Walnut Grove,"1,500","1,150","1,152","1,170","1,168","1,168","1,178","1,189","1,193","1,197","1,500","1,199","1,199","1,199","1,208","1,213","1,212","1,214","1,218","1,218","1,500","1,218","1,214","1,220","1,226","1,226","1,229","1,229","1,229",0,"1,500",0,0,0,0,,"1,201"
Wilkinson County,"1,000",991,993,995,995,995,993,993,992,995,"1,000",994,994,994,998,999,999,998,997,995,"1,000",995,998,994,996,996,993,993,993,0,"1,000",0,0,0,0,,995
RESTITUTION CENTERS,16,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,14,14,14,0,16,0,0,0,0,,16
Greenwood,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,0,6,0,0,0,0,,6
Hinds,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,0,6,0,0,0,0,,6
Pascagoula,4,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,0,0,0,0,,4
GOVERNOR'S MANSION,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,6,0,0,0,0,,6
E-CODE,0,7,8,67,66,65,8,9,9,0,0,54,55,55,7,10,10,9,57,57,0,54,6,6,5,5,48,48,46,0,0,0,0,0,0,,30
TOTALS,"24,234","22,967","22,991","22,982","22,969","22,959","22,962","22,978","22,996","23,015","24,234","23,016","23,005","22,992","22,992","23,012","23,022","23,017","23,016","22,997","24,234","22,991","23,005","23,015","23,036","23,015","23,007","22,995","22,989",0,"24,234",0,0,0,0,,"22,998"
