Location,Capacity_x,1-Sep-05,2-Sep-05,3-Sep-05,4-Sep-05,5-Sep-05,6-Sep-05,7-Sep-05,8-Sep-05,9-Sep-05,10-Sep-05,11-Sep-05,12-Sep-05,13-Sep-05,Capacity_y,14-Sep-05,15-Sep-05,16-Sep-05,17-Sep-05,18-Sep-05,19-Sep-05,20-Sep-05,21-Sep-05,22-Sep-05,23-Sep-05,24-Sep-05,25-Sep-05,26-Sep-05,Capacity,27-Sep-05,28-Sep-05,29-Sep-05,30-Sep-05
REGIONAL CORRECTIONAL FACILITIES,"2,998","2,950","2,944","2,943","2,942","2,942","2,939","2,935","2,936","2,954","2,954","2,952","2,942","2,936","2,998","2,952","2,966","2,989","2,986","2,986","2,986","2,988","2,990","2,989","2,990","2,988","2,987","2,990","2,998","2,992","2,995","2,993","2,989"
Bolivar County,294,291,291,291,291,291,291,289,289,287,287,287,288,288,294,286,288,294,294,294,292,291,291,293,293,293,293,293,294,293,294,294,293
Carroll County,250,250,246,246,246,246,245,245,245,248,248,248,248,248,250,246,250,250,250,250,250,250,250,249,249,249,249,250,250,250,249,249,250
George County,280,249,248,248,248,248,248,248,247,254,254,253,249,249,280,250,262,278,278,278,277,277,280,279,280,279,278,278,280,278,280,280,279
Holmes County,280,278,278,278,278,278,278,277,277,279,279,279,279,279,280,279,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,279,279
Issaquena County,274,271,270,270,269,269,268,268,268,274,274,274,274,272,274,273,273,273,272,272,272,273,271,270,271,270,270,273,274,273,273,272,271
Jefferson County,250,250,250,250,250,250,250,250,250,250,250,250,249,249,250,251,250,250,249,249,248,249,249,249,248,248,248,249,250,249,250,250,250
Kemper County,280,278,278,278,278,278,278,278,278,278,278,277,277,276,280,279,279,280,280,280,280,280,280,280,280,280,280,279,280,280,280,280,280
Leake County,280,280,280,279,279,279,279,278,278,280,280,280,279,279,280,280,278,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280
Marion County,280,275,275,275,275,275,275,275,275,275,275,275,275,275,280,280,280,280,279,279,279,279,280,280,280,280,280,280,280,280,279,279,277
Stone County,280,278,278,278,278,278,278,278,280,280,280,280,280,279,280,279,277,277,277,277,280,280,280,280,280,280,280,279,280,280,280,280,280
Winston County,250,250,250,250,250,250,249,249,249,249,249,249,244,242,250,249,249,247,247,247,248,249,249,249,249,249,249,249,250,249,250,250,250
PRIVATE PRISONS,"5,100","4,848","4,847","4,846","4,842","4,842","4,838","4,833","4,830","4,856","4,853","4,853","4,875","4,864","5,100","4,864","4,854","4,872","4,862","4,859","4,859","4,863","4,869","4,870","4,869","4,862","4,862","4,863","5,100","4,860","4,870","4,866","4,855"
Delta,972,968,968,967,966,966,965,964,962,968,967,967,966,967,972,968,966,970,965,963,965,963,969,968,968,968,968,970,972,970,972,972,969
East Mississippi,"1,000",869,868,868,868,868,868,867,866,872,872,872,871,871,"1,000",870,873,873,873,873,872,872,872,872,870,868,868,867,"1,000",865,865,865,865
Marshall County,"1,000",992,992,992,992,992,991,990,990,984,984,984,995,994,"1,000",995,993,993,992,992,994,995,994,993,995,993,993,995,"1,000",993,995,994,994
Tallahatchie County,128,126,126,126,126,126,126,126,126,128,128,128,128,128,128,128,128,128,128,128,127,127,128,128,128,128,128,128,128,127,127,127,128
Walnut Grove,"1,000",920,920,920,919,919,918,916,913,924,923,923,921,920,"1,000",916,904,919,917,917,916,921,917,922,920,918,918,917,"1,000",917,924,922,916
Wilkinson County,"1,000",973,973,973,971,971,970,970,973,980,979,979,994,984,"1,000",987,990,989,987,986,985,985,989,987,988,987,987,986,"1,000",988,987,986,983
RESTITUTION CENTERS,16,12,12,12,12,12,12,12,12,12,12,12,12,12,16,12,12,12,12,12,12,12,12,12,12,12,12,12,16,12,12,12,12
Greenwood,6,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4
Hinds,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Pascagoula,4,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2
GOVERNOR'S MANSION,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5
E-CODE,,3,3,4,5,6,6,5,4,8,8,5,5,6,,6,9,70,69,67,5,6,8,8,80,83,81,6,,2,2,3,44
TOTALS,"22,431","20,794","20,827","20,822","20,815","20,810","20,794","20,805","20,835","20,851","20,841","20,835","20,862","20,836","22,431","20,846","20,856","20,864","20,836","20,830","20,856","20,874","20,897","20,892","20,881","20,860","20,854","20,863","22,431","20,882","20,890","20,905","20,884"
