Location,Capacity_x_x,1-Jan-10,2-Jan-10,3-Jan-10,4-Jan-10,5-Jan-10,6-Jan-10,7-Jan-10,8-Jan-10,9-Jan-10,Capacity_y_x,10-Jan-10,11-Jan-10,12-Jan-10,13-Jan-10,14-Jan-10,15-Jan-10,16-Jan-10,17-Jan-10,18-Jan-10,Capacity_x_y,19-Jan-10,20-Jan-10,21-Jan-10,22-Jan-10,23-Jan-10,24-Jan-10,25-Jan-10,26-Jan-10,27-Jan-10,Capacity_y_y,28-Jan-10,29-Jan-10,30-Jan-10,31-Jan-10,Avg Population
George County,280,246,246,246,246,245,245,242,240,240,280,239,239,237,237,237,237,237,237,237,280,241,241,240,240,240,240,243,242,242,280,241,241,241,241,241
Holmes County,280,244,244,244,243,243,242,241,241,241,280,241,241,241,240,240,240,240,240,240,280,238,242,242,242,242,242,242,242,242,280,241,242,242,242,242
Issaquena County,274,243,243,243,243,243,243,237,237,237,274,237,236,236,235,235,235,235,235,234,274,237,237,237,237,237,237,237,237,236,274,236,237,237,237,238
Jefferson County,280,250,250,250,250,245,244,242,242,242,280,242,242,242,242,242,242,242,242,242,280,242,241,240,239,239,238,242,240,242,280,242,241,241,241,243
Kemper County,355,316,316,316,316,316,316,308,308,308,355,308,308,308,308,308,308,308,308,308,355,308,308,308,309,309,309,310,310,309,355,307,309,309,308,310
Leake County,280,247,247,246,246,246,245,241,241,241,280,241,241,241,240,239,239,239,239,238,280,237,241,241,242,242,242,242,241,241,280,241,242,242,242,242
Marion County,280,246,246,246,246,246,242,242,242,242,280,242,242,242,242,242,242,242,242,242,280,242,242,241,240,239,239,240,241,241,280,242,241,241,241,242
Stone County,280,250,250,250,250,249,241,241,241,241,280,241,241,241,240,239,239,239,238,238,280,241,242,242,237,237,237,237,242,242,280,242,242,242,241,242
Winston County,280,249,249,249,248,248,245,244,244,244,280,244,244,244,244,244,244,244,244,244,280,241,241,241,242,242,242,242,242,242,280,242,242,242,242,244
PRIVATE PRISONS,"5,972","5,279","5,277","5,276","5,275","5,275","5,269","5,253","5,242","5,241","5,972","5,239","5,219","5,215","5,195","5,190","5,230","5,228","5,228","5,225","5,972","5,239","5,242","5,232","5,236","5,233","5,233","5,227","5,223","5,217","5,972","5,213","5,212","5,211","5,207","5,235"
Delta,972,898,898,898,899,900,900,900,899,899,972,899,898,898,898,898,897,897,897,897,972,898,897,899,898,898,898,900,900,900,972,898,895,895,894,898
East Mississippi,"1,500","1,312","1,311","1,311","1,310","1,309","1,309","1,304","1,303","1,303","1,500","1,303","1,301","1,301","1,300","1,299","1,299","1,298","1,298","1,297","1,500","1,296","1,296","1,288","1,289","1,288","1,288","1,280","1,280","1,270","1,500","1,267","1,267","1,266","1,264","1,294"
Marshall County,"1,000",914,914,914,914,913,912,900,899,899,"1,000",898,897,896,893,893,893,893,893,893,"1,000",900,898,897,900,899,899,900,897,900,"1,000",898,900,900,899,900
Walnut Grove,"1,500","1,206","1,206","1,205","1,202","1,202","1,196","1,197","1,190","1,189","1,500","1,188","1,172","1,169","1,154","1,150","1,192","1,191","1,191","1,189","1,500","1,194","1,200","1,198","1,199","1,198","1,198","1,195","1,194","1,194","1,500","1,197","1,200","1,200","1,200","1,192"
Wilkinson County,"1,000",949,948,948,950,951,952,952,951,951,"1,000",951,951,951,950,950,949,949,949,949,"1,000",951,951,950,950,950,950,952,952,953,"1,000",953,950,950,950,950
RESTITUTION CENTERS,16,10,10,10,10,10,10,10,7,7,16,7,10,10,11,11,9,9,9,10,16,10,10,10,9,9,9,10,10,10,16,10,10,10,10,10
Greenwood,6,6,6,6,6,6,6,6,5,5,6,5,6,6,6,6,5,5,5,6,6,6,6,6,5,5,5,6,6,6,6,6,6,6,6,6
Hinds,6,3,3,3,3,3,3,3,2,2,6,2,3,3,3,3,3,3,3,3,6,3,3,3,3,3,3,3,3,3,6,3,3,3,3,3
Pascagoula,4,1,1,1,1,1,1,1,0,0,4,0,1,1,2,2,1,1,1,1,4,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1
GOVERNOR'S MANSION,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
E-CODE,0,12,12,12,13,16,16,15,105,104,0,104,14,14,15,0,83,84,86,14,0,15,16,13,51,51,52,14,13,18,0,19,42,42,41,36
TOTALS,"23,775","21,490","21,485","21,478","21,472","21,503","21,529","21,516","21,538","21,528","23,775","21,523","21,477","21,466","21,327","21,291","21,330","21,321","21,320","21,320","23,775","21,316","21,356","21,370","21,352","21,340","21,337","21,337","21,352","21,358","23,775","21,341","21,326","21,318","21,306","21,398"
