Location,Capacity_x_x,1-Nov-08,2-Nov-08,3-Nov-08,4-Nov-08,5-Nov-08,6-Nov-08,7-Nov-08,8-Nov-08,9-Nov-08,Capacity_y_x,10-Nov-08,11-Nov-08,12-Nov-08,13-Nov-08,14-Nov-08,15-Nov-08,16-Nov-08,17-Nov-08,18-Nov-08,Capacity_x_y,19-Nov-08,20-Nov-08,21-Nov-08,22-Nov-08,23-Nov-08,24-Nov-08,25-Nov-08,26-Nov-08,27-Nov-08,Capacity_y_y,28-Nov-08,29-Nov-08,30-Nov-08,Unnamed: 5,Avg Population
Noxubee Satellite Facility,92,87,86,90,91,91,91,89,88,88,92,89,89,90,90,84,84,84,91,91,92,92,92,92,91,91,90,90,91,91,92,91,91,91,,90
Pike Satellite Facility,93,89,88,91,93,93,91,90,89,89,93,90,90,92,92,88,88,88,92,90,93,89,89,87,87,86,86,86,92,92,93,92,92,92,,90
Quitman Satellite Facility,93,84,83,90,90,90,90,90,90,90,93,92,92,92,92,87,87,87,93,93,93,93,93,93,91,92,91,91,89,89,93,89,89,89,,90
Rankin Satellite Facility,260,239,239,247,248,249,246,245,244,244,260,244,243,247,245,240,240,240,244,244,260,246,245,249,249,249,249,248,248,248,260,247,247,246,,245
Simpson Satellite Facility,102,100,100,102,102,102,102,101,101,101,102,101,100,100,101,100,99,99,101,100,102,99,101,101,101,101,100,101,101,101,102,100,100,100,,101
Washington Satellite Facility,102,96,96,96,99,101,94,95,94,94,102,101,101,100,100,94,93,93,100,100,102,99,99,102,102,102,102,102,102,102,102,102,102,102,,99
Wilkinson Satellite Facility,102,96,96,99,97,97,100,95,95,95,102,98,98,98,99,97,97,97,98,101,102,101,99,98,98,98,99,99,102,102,102,102,102,102,,99
Yazoo Satellite Facility,102,97,97,100,99,101,100,99,99,99,102,98,98,98,101,97,97,97,98,100,102,100,102,102,102,102,102,101,101,101,102,101,101,101,,100
REGIONAL CORRECTIONAL FACILITIES,"3,088","3,070","3,067","3,069","3,078","3,071","3,085","3,084","3,081","3,080","3,088","3,079","3,075","3,074","3,081","3,079","3,077","3,075","3,069","3,080","3,088","3,082","3,081","3,080","3,078","3,075","3,086","3,085","3,083","3,082","3,088","3,082","3,082","3,079",,"3,078"
Bolivar County,294,293,292,292,291,292,294,294,294,293,294,294,294,294,294,293,293,293,292,292,294,292,292,290,290,290,294,294,294,294,294,294,294,293,,293
Carroll County,280,277,277,277,278,278,281,279,279,279,280,278,276,277,279,277,277,277,277,280,280,281,280,280,280,280,280,280,280,280,280,280,280,280,,279
George County,280,280,279,279,279,273,277,277,277,277,280,279,279,280,280,280,280,280,280,280,280,279,278,279,279,278,280,280,279,279,280,279,279,279,,279
Holmes County,280,280,280,279,280,280,280,280,279,279,280,280,280,280,280,280,280,280,279,280,280,280,280,280,279,279,279,279,279,279,280,279,279,279,,280
Issaquena County,274,263,263,263,272,270,274,274,274,274,274,274,274,274,273,272,271,271,272,271,274,272,273,273,273,273,274,273,271,271,274,271,271,271,,272
Jefferson County,280,279,278,279,279,279,280,281,281,281,280,281,281,281,281,280,279,278,278,279,280,279,280,280,280,280,280,279,280,279,280,279,279,279,,280
Kemper County,280,279,279,280,279,280,280,280,280,280,280,279,279,276,280,280,280,280,278,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,,280
Leake County,280,279,279,280,280,280,280,280,280,280,280,279,279,278,277,278,278,278,276,280,280,280,280,280,279,279,280,280,280,280,280,280,280,280,,279
Marion County,280,280,280,280,280,279,279,280,280,280,280,277,277,277,279,279,279,279,279,279,280,280,280,280,280,278,279,280,280,280,280,280,280,278,,279
Stone County,280,280,280,280,280,280,280,279,277,277,280,278,277,279,279,280,280,280,279,279,280,279,278,278,278,278,280,280,280,280,280,280,280,280,,279
Winston County,280,280,280,280,280,280,280,280,280,280,280,280,279,278,279,280,280,279,279,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,,280
PRIVATE PRISONS,"5,972","5,373","5,372","5,378","5,394","5,438","5,436","5,439","5,437","5,436","5,972","5,434","5,430","5,475","5,469","5,471","5,471","5,469","5,468","5,474","5,972","5,522","5,529","5,536","5,533","5,529","5,532","5,534","5,571","5,570","5,972","5,566","5,562","5,559",,"5,480"
Delta,972,970,970,971,969,958,966,968,968,968,972,966,965,969,966,969,969,969,971,971,972,969,968,971,970,969,973,973,972,972,972,972,971,971,,969
East Mississippi,"1,500","1,178","1,177","1,177","1,178","1,231","1,230","1,236","1,236","1,236","1,500","1,240","1,238","1,281","1,281","1,285","1,285","1,283","1,285","1,285","1,500","1,335","1,331","1,326","1,326","1,325","1,324","1,326","1,370","1,370","1,500","1,370","1,368","1,367",,"1,283"
Marshall County,"1,000","1,000","1,000",999,999,996,"1,000",999,999,999,"1,000",999,998,997,"1,000",997,997,997,"1,000",999,"1,000",999,999,"1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000",999,998,997,,999
Walnut Grove,"1,500","1,229","1,229","1,233","1,252","1,253","1,241","1,242","1,240","1,240","1,500","1,240","1,240","1,236","1,231","1,229","1,229","1,229","1,223","1,233","1,500","1,233","1,238","1,244","1,243","1,242","1,243","1,241","1,236","1,236","1,500","1,235","1,235","1,235",,"1,237"
Wilkinson County,"1,000",996,996,998,996,"1,000",999,994,994,993,"1,000",989,989,992,991,991,991,991,989,986,"1,000",986,993,995,994,993,992,994,993,992,"1,000",990,990,989,,993
RESTITUTION CENTERS,16,15,15,15,15,14,14,14,14,14,16,14,14,14,14,14,14,14,14,14,16,14,14,13,13,13,13,13,12,12,16,12,12,12,,14
Greenwood,6,6,6,6,6,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,4,4,4,4,4,4,4,6,4,4,4,,5
Hinds,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,4,4,6,4,4,4,,5
Pascagoula,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4
GOVERNOR'S MANSION,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,6
E-CODE,0,38,39,4,6,6,6,33,32,32,0,3,5,7,0,72,72,72,5,5,0,8,10,7,9,8,9,9,14,15,0,11,11,11,,19
TOTALS,"24,024","22,929","22,917","22,918","22,916","22,919","22,922","22,894","22,875","22,865","24,024","22,848","22,841","22,849","22,884","22,924","22,909","22,903","22,911","22,920","24,024","22,980","23,005","23,033","23,013","23,005","22,994","23,016","23,021","23,009","24,024","23,000","22,993","22,985",,"22,940"
