Location,Capacity_x,1-Feb-05,2-Feb-05,3-Feb-05,4-Feb-05,5-Feb-05,6-Feb-05,7-Feb-05,8-Feb-05,9-Feb-05,10-Feb-05,11-Feb-05,12-Feb-05,Capacity_y,13-Feb-05,14-Feb-05,15-Feb-05,16-Feb-05,17-Feb-05,18-Feb-05,19-Feb-05,20-Feb-05,21-Feb-05,22-Feb-05,23-Feb-05,24-Feb-05,Capacity,25-Feb-05,26-Feb-05,27-Feb-05,28-Feb-05
Jackson Satellite Facility,102,99,100,101,96,96,96,101,98,98,98,93,93,102,93,95,94,94,94,93,93,92,92,90,92,95,102,92,92,91,94
Jefferson Satellite Facility,102,100,99,100,93,93,93,100,100,102,102,102,101,102,102,99,98,98,101,96,96,96,101,101,99,95,102,99,98,99,102
Leflore Satellite Facility,102,100,100,100,99,99,99,101,101,101,102,96,96,102,96,100,100,98,98,92,92,92,98,98,98,102,102,95,95,95,102
Madison Satellite Facility,102,101,101,102,99,99,99,101,101,100,102,100,99,102,99,102,102,102,102,101,101,101,101,101,101,101,102,99,99,99,101
Noxubee Satellite Facility,92,90,90,91,87,87,87,91,91,91,90,84,84,92,82,88,87,89,87,85,85,85,87,87,92,92,92,89,89,89,92
Pike Satellite Facility,93,65,64,64,63,63,63,63,62,63,66,65,65,93,65,64,63,63,65,61,61,61,64,64,64,64,93,59,59,59,61
Quitman Satellite Facility,93,71,71,71,64,64,63,70,72,74,74,73,73,93,73,73,73,73,73,68,68,68,72,74,74,75,93,73,73,73,75
Rankin Satellite Facility,228,195,196,196,190,190,190,197,192,194,195,189,189,228,188,197,197,198,198,189,189,189,195,194,196,195,228,187,187,187,197
Simpson Satellite Facility,102,98,97,98,94,94,94,96,95,95,97,97,96,102,96,97,102,101,100,98,97,97,100,100,101,101,102,98,98,97,99
Washington Satellite Facility,102,102,102,102,99,99,99,101,101,100,99,99,98,102,98,98,98,98,98,96,96,96,98,99,98,100,102,98,98,98,101
Wilkinson Satellite Facility,102,99,101,101,100,100,100,101,97,97,101,100,100,102,100,101,101,101,101,99,99,99,101,101,101,101,102,97,97,96,100
Yazoo Satellite Facility,102,98,101,96,90,90,90,98,101,100,101,99,99,102,99,101,102,102,102,99,99,99,102,102,102,102,102,95,96,96,101
REGIONAL CORRECTIONAL FACILITIES,"2,750","2,726","2,728","2,739","2,742","2,739","2,738","2,740","2,735","2,741","2,741","2,739","2,733","2,750","2,732","2,730","2,727","2,723","2,731","2,736","2,734","2,732","2,731","2,733","2,733","2,730","2,750","2,731","2,728","2,728","2,741"
Bolivar County,250,246,248,249,248,247,247,249,248,248,248,250,249,250,249,248,246,246,250,250,250,250,250,250,250,248,250,248,248,248,250
Carroll County,250,250,250,250,248,248,248,247,249,249,250,248,248,250,248,248,247,251,249,250,250,250,250,250,249,249,250,250,250,250,250
George County,250,247,248,247,249,248,248,248,248,250,250,247,246,250,246,246,247,244,247,249,249,248,248,248,247,249,250,248,246,246,248
Holmes County,250,249,249,248,249,249,248,250,250,250,250,250,250,250,250,250,250,249,249,249,249,249,249,250,250,248,250,247,247,247,247
Issaquena County,250,249,248,249,249,249,249,248,247,245,245,244,242,250,242,241,240,240,244,243,242,241,241,236,237,240,250,246,245,245,248
Jefferson County,250,237,237,248,251,250,250,250,250,250,250,250,249,250,249,247,248,248,245,247,247,247,247,250,251,251,250,250,250,250,250
Kemper County,250,250,250,250,249,249,249,250,247,250,250,250,250,250,250,250,250,249,250,248,248,248,248,250,250,249,250,246,246,246,249
Leake County,250,250,250,249,250,250,250,250,250,250,250,250,250,250,250,250,250,249,249,250,249,249,248,249,250,249,250,249,249,249,250
Marion County,250,250,249,250,250,250,250,249,249,250,249,250,250,250,250,250,249,249,250,250,250,250,250,250,249,249,250,249,249,249,249
Stone County,250,250,250,250,250,250,250,250,249,250,250,250,250,250,249,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
Winston County,250,248,249,249,249,249,249,249,248,249,249,250,249,250,249,250,250,248,248,250,250,250,250,250,250,248,250,248,248,248,250
PRIVATE PRISONS,"5,088","4,750","4,759","4,750","4,753","4,752","4,751","4,739","4,739","4,748","4,752","4,751","4,748","5,088","4,747","4,751","4,771","4,769","4,768","4,772","4,772","4,770","4,767","4,775","4,785","4,795","5,088","4,793","4,792","4,787","4,780"
Delta,960,951,959,957,956,955,954,952,952,957,957,959,959,960,959,960,958,958,958,959,959,958,957,958,958,959,960,961,961,961,960
East Mississippi,"1,000",874,875,876,875,875,875,875,875,875,874,874,874,"1,000",874,874,874,874,874,872,872,872,872,872,875,875,"1,000",874,874,873,871
Marshall County,"1,000",989,994,995,995,995,995,990,989,991,993,993,992,"1,000",991,990,994,992,993,991,991,990,990,995,995,995,"1,000",993,992,989,989
Tallahatchie County,128,127,127,127,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,127,127,127,127
Walnut Grove,"1,000",823,815,814,819,819,819,819,816,818,823,822,821,"1,000",821,826,825,825,829,838,838,838,837,837,841,846,"1,000",847,847,846,843
Wilkinson County,"1,000",986,989,981,980,980,980,975,979,979,977,975,974,"1,000",974,973,992,992,986,984,984,984,983,985,988,992,"1,000",991,991,991,990
RESITITUTION CENTERS,18,14,14,14,12,12,12,15,14,14,14,14,14,18,14,14,14,14,14,14,14,14,14,14,13,13,18,13,13,13,13
Greenwood,6,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,5,5,5,5
Hinds,6,5,5,5,4,4,4,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5
Pascagoula,6,4,4,4,3,3,3,4,3,3,3,3,3,6,3,3,3,3,3,3,3,3,3,3,3,3,6,3,3,3,3
GOVERNOR'S MANSION,6,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5
E-CODE,,7,5,5,60,60,60,3,5,4,4,55,58,,58,5,3,3,5,59,59,59,3,5,6,6,,51,51,50,5
TOTALS,"22,196","20,735","20,762","20,763","20,774","20,766","20,757","20,758","20,754","20,769","20,767","20,746","20,731","22,196","20,726","20,746","20,759","20,786","20,803","20,779","20,770","20,762","20,754","20,770","20,774","20,767","22,196","20,714","20,705","20,690","20,708"
