Location,Capacity_x,1-Nov-04,2-Nov-04,3-Nov-04,4-Nov-04,5-Nov-04,6-Nov-04,7-Nov-04,8-Nov-04,9-Nov-04,10-Nov-04,11-Nov-04,12-Nov-04,13-Nov-04,Capacity_y,14-Nov-04,15-Nov-04,16-Nov-04,17-Nov-04,18-Nov-04,19-Nov-04,20-Nov-04,21-Nov-04,22-Nov-04,23-Nov-04,24-Nov-04,25-Nov-04,26-Nov-04,Capacity,27-Nov-04,28-Nov-04,29-Nov-04,30-Nov-04
Jefferson County,250,248,249,248,248,249,249,248,248,249,248,248,248,248,250,248,250,249,250,250,250,250,250,249,249,249,249,249,250,249,249,0,0
Kemper County,250,249,249,249,249,250,250,250,250,250,249,249,249,249,250,249,250,249,249,250,250,250,250,249,249,250,250,250,250,250,250,0,0
Leake County,250,249,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,249,249,250,250,250,249,249,249,250,250,250,250,250,248,0,0
Marion County,250,250,250,250,250,250,250,250,250,246,248,248,248,248,250,248,249,249,249,249,249,249,249,249,249,249,249,249,250,247,247,0,0
Stone County,250,249,250,249,250,250,250,250,250,249,250,250,250,249,250,249,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,0,0
Winston County,250,250,249,249,250,250,250,250,250,250,250,250,250,250,250,250,250,250,249,249,248,248,248,250,250,250,250,250,250,250,250,0,0
PRIVATE PRISONS,"5,088","4,734","4,734","4,746","4,732","4,729","4,726","4,726","4,768","4,768","4,753","4,750","4,754","4,750","5,088","4,748","4,753","4,758","4,765","4,759","4,751","4,749","4,746","4,752","4,753","4,762","4,762","4,757","5,088","4,756","4,756",0,0
Delta,960,960,960,960,959,956,956,957,957,959,956,956,955,954,960,954,953,957,957,955,957,957,957,957,957,960,960,960,960,960,960,0,0
East MS,"1,000",863,862,874,874,873,873,873,872,872,872,871,874,874,"1,000",874,874,873,873,873,872,872,872,874,874,874,874,874,"1,000",873,873,0,0
Marshall County,"1,000",994,994,996,993,994,991,991,991,989,992,991,992,991,"1,000",991,993,994,994,995,994,994,994,992,994,994,994,992,"1,000",992,992,0,0
Tallahatchie County,128,86,86,86,86,86,86,86,127,127,127,127,127,127,128,127,127,127,128,128,128,128,128,128,128,128,128,128,128,128,128,0,0
Walnut Grove,"1,000",838,837,835,827,827,827,826,828,828,818,817,816,816,"1,000",814,816,816,822,815,813,811,809,812,811,817,817,815,"1,000",815,815,0,0
Wilkinson County,"1,000",993,995,995,993,993,993,993,993,993,988,988,990,988,"1,000",988,990,991,991,993,987,987,986,989,989,989,989,988,"1,000",988,988,0,0
RESITITUTION CENTERS,18,13,13,14,14,13,13,13,14,14,14,14,12,12,18,12,14,14,14,14,14,14,14,14,14,14,14,14,18,14,14,0,0
Greenwood,6,6,6,6,6,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0
Hinds,6,4,4,4,4,4,4,4,4,4,4,4,2,2,6,2,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,0,0
Pascagoula,6,3,3,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,0,0
GOVERNOR'S MANSION,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,0,0
E-CODE,,4,4,4,4,44,43,42,4,2,2,3,80,79,,79,2,1,1,2,2,1,1,2,1,2,4,5,,4,4,0,0
TOTALS,"22,088","21,134","21,155","21,138","21,143","21,126","21,114","21,103","21,091","21,085","21,013","20,996","20,985","20,969","22,088","20,960","20,953","20,970","20,991","20,991","20,999","20,989","20,976","20,895","20,982","20,976","20,974","20,964","22,088","20,954","20,946",0,0
