Location,Capacity_x_x,1-Sep-08,2-Sep-08,3-Sep-08,4-Sep-08,5-Sep-08,6-Sep-08,7-Sep-08,8-Sep-08,9-Sep-08,Capacity_y_x,10-Sep-08,11-Sep-08,12-Sep-08,13-Sep-08,14-Sep-08,15-Sep-08,16-Sep-08,17-Sep-08,18-Sep-08,Capacity_x_y,19-Sep-08,20-Sep-08,21-Sep-08,22-Sep-08,23-Sep-08,24-Sep-08,25-Sep-08,26-Sep-08,27-Sep-08,Capacity_y_y,28-Sep-08,29-Sep-08,30-Sep-08,Unnamed: 5,Avg Population
Jackson Satellite Facility,102,102,102,102,102,98,98,98,101,102,102,101,101,101,101,101,101,102,102,102,102,97,97,97,102,102,101,102,100,100,102,100,101,0,,101
Jefferson Satellite Facility,102,98,98,98,97,96,96,95,96,94,102,95,102,98,98,98,100,100,100,102,102,97,97,97,100,100,100,99,98,98,102,97,98,0,,98
Leflore Satellite Facility,102,98,98,98,98,99,99,99,101,100,102,100,102,99,99,99,102,102,102,101,102,102,102,102,101,101,100,100,99,99,102,99,99,0,,100
Madison Satellite Facility,102,99,97,96,95,93,93,97,94,97,102,97,95,100,100,100,101,101,101,101,102,101,101,101,101,101,100,100,101,101,102,101,100,0,,99
Noxubee Satellite Facility,92,86,86,86,91,89,89,89,90,90,92,90,88,86,86,86,88,89,89,89,92,88,88,88,88,88,92,92,89,89,92,89,92,0,,89
Pike Satellite Facility,93,87,85,88,88,85,86,86,89,92,93,92,92,89,89,89,91,89,90,90,93,86,86,86,89,88,87,93,93,92,93,91,91,0,,89
Quitman Satellite Facility,93,91,90,90,91,90,90,90,91,91,93,92,91,88,88,88,91,93,91,92,93,88,88,89,92,91,93,93,91,91,93,91,93,0,,91
Rankin Satellite Facility,260,249,247,245,245,246,246,246,249,245,260,247,246,237,237,238,246,246,246,245,260,240,237,237,241,240,243,242,241,240,260,240,242,0,,243
Simpson Satellite Facility,102,101,100,98,100,100,100,96,102,96,102,95,94,93,93,93,95,102,101,101,102,93,92,92,100,100,101,102,102,102,102,102,101,0,,98
Washington Satellite Facility,102,100,100,99,99,100,100,100,102,102,102,102,101,101,101,101,102,102,102,101,102,100,100,99,101,101,99,102,99,99,102,99,102,0,,101
Wilkinson Satellite Facility,102,95,93,92,91,91,91,91,88,98,102,97,96,95,95,95,96,96,96,102,102,97,97,97,99,98,100,100,99,99,102,99,99,0,,96
Yazoo Satellite Facility,102,92,92,92,95,91,91,91,94,94,102,92,92,89,89,89,99,101,101,102,102,97,97,97,101,100,100,100,99,99,102,99,101,0,,96
REGIONAL CORRECTIONAL FACILITIES,"3,088","3,083","3,079","3,077","3,080","3,086","3,084","3,082","3,084","3,075","3,088","3,082","3,086","3,087","3,083","3,082","3,086","3,082","3,081","3,080","3,088","3,082","3,079","3,078","3,078","3,083","3,077","3,070","3,081","3,077","3,088","3,076","3,082",0,,"3,081"
Bolivar County,294,294,293,293,294,291,291,291,293,293,294,293,293,293,293,293,294,294,294,294,294,292,292,292,290,293,293,292,294,293,294,293,294,0,,293
Carroll County,280,280,280,279,280,280,279,279,281,280,280,280,281,281,279,279,279,276,277,279,280,280,280,280,280,280,280,279,279,279,280,279,278,0,,279
George County,280,279,279,281,281,280,280,279,278,278,280,279,280,280,280,280,280,281,281,280,280,280,280,280,280,280,280,280,280,279,280,279,279,0,,280
Holmes County,280,280,280,280,280,280,280,280,280,275,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,279,279,280,279,280,279,280,0,,280
Issaquena County,274,273,273,269,270,274,274,274,272,271,274,274,275,275,275,274,274,274,273,272,274,271,271,271,271,271,270,268,268,268,274,268,273,0,,272
Jefferson County,280,280,280,280,277,283,283,282,282,281,280,279,280,281,280,280,280,278,277,275,280,280,279,279,280,280,280,280,280,280,280,279,279,0,,280
Kemper County,280,280,279,278,279,280,280,280,280,279,280,279,280,280,280,280,280,279,280,280,280,280,280,279,279,280,276,279,280,280,280,280,280,0,,280
Leake County,280,280,280,279,280,280,280,280,280,280,280,279,278,280,280,280,280,280,280,280,280,280,278,278,279,280,280,277,280,280,280,280,280,0,,280
Marion County,280,278,277,278,280,280,279,279,279,278,280,279,280,280,280,280,281,281,281,281,280,280,280,280,280,279,279,279,280,280,280,280,280,0,,280
Stone County,280,280,279,280,280,280,280,280,280,280,280,280,280,278,278,278,278,280,280,279,280,279,279,279,280,280,280,280,280,279,280,279,279,0,,279
Winston County,280,279,279,280,279,278,278,278,279,280,280,280,279,279,278,278,280,279,278,280,280,280,280,280,279,280,280,277,280,280,280,280,280,0,,279
PRIVATE PRISONS,"5,472","4,844","4,842","4,843","4,837","4,838","4,835","4,834","4,842","4,871","5,472","4,876","4,902","4,895","4,890","4,888","4,910","4,944","4,944","4,957","5,472","4,962","4,961","4,959","4,959","4,967","4,963","4,971","4,990","4,986","5,472","4,984","4,984",0,,"4,913"
Delta,972,967,967,967,971,969,969,969,968,971,972,972,972,970,969,969,970,971,971,970,972,970,970,970,972,972,971,969,970,968,972,968,972,0,,970
East Mississippi,"1,000",897,897,899,898,896,894,894,894,895,"1,000",895,895,894,892,891,893,894,898,897,"1,000",897,897,897,899,897,895,895,893,893,"1,000",892,891,0,,895
Marshall County,"1,000",999,999,999,998,"1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000",999,998,998,999,998,997,"1,000","1,000","1,000",999,997,999,999,"1,001","1,000",999,"1,000",998,998,0,,999
Walnut Grove,"1,500","1,001","1,000",999,992,994,994,994,994,"1,022","1,500","1,026","1,048","1,044","1,044","1,044","1,059","1,089","1,085","1,102","1,500","1,107","1,107","1,107","1,105","1,109","1,110","1,123","1,144","1,144","1,500","1,144","1,143",0,,"1,065"
Wilkinson County,"1,000",980,979,979,978,979,978,977,986,983,"1,000",983,987,987,986,986,990,991,992,991,"1,000",988,987,986,986,990,988,983,983,982,"1,000",982,980,0,,984
RESTITUTION CENTERS,16,10,10,10,11,8,8,8,11,11,16,11,11,9,9,9,11,11,11,11,16,12,12,12,12,14,14,13,13,13,16,13,13,0,,11
Greenwood,6,5,5,5,6,5,5,5,6,6,6,6,6,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,,6
Hinds,6,4,4,4,4,2,2,2,4,4,6,4,4,4,4,4,4,4,4,4,6,4,4,4,4,6,6,6,6,6,6,6,6,0,,4
Pascagoula,4,1,1,1,1,1,1,1,1,1,4,1,1,0,0,0,1,1,1,1,4,2,2,2,2,2,2,1,1,1,4,1,1,0,,1
GOVERNOR'S MANSION,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,,6
E-CODE,0,6,8,11,7,52,49,48,17,6,0,11,11,55,53,52,8,5,5,6,0,70,70,68,9,9,11,12,32,33,0,34,8,0,,26
TOTALS,"23,516","22,774","22,770","22,798","22,796","22,847","22,837","22,833","22,841","22,833","23,516","22,866","22,876","22,864","22,851","22,845","22,845","22,845","22,844","22,866","23,516","22,873","22,860","22,855","22,867","22,878","22,889","22,938","22,978","22,961","23,516","22,953","22,931",0,,"22,863"
