Location,Capacity_x_x,1-Apr-10,2-Apr-10,3-Apr-10,4-Apr-10,5-Apr-10,6-Apr-10,7-Apr-10,8-Apr-10,9-Apr-10,Capacity_y_x,10-Apr-10,11-Apr-10,12-Apr-10,13-Apr-10,14-Apr-10,15-Apr-10,16-Apr-10,17-Apr-10,18-Apr-10,Capacity_x_y,19-Apr-10,20-Apr-10,21-Apr-10,22-Apr-10,23-Apr-10,24-Apr-10,25-Apr-10,26-Apr-10,27-Apr-10,Capacity_y_y,28-Apr-10,29-Apr-10,30-Apr-10,Unnamed: 5,Avg Population
Jackson Satellite Facility,102,93,91,91,91,92,92,90,89,89,102,89,89,88,88,88,88,88,88,88,102,87,87,85,85,84,83,83,84,87,102,86,83,82,,88
Jefferson Satellite Facility,102,94,96,96,96,95,95,95,95,95,102,95,95,95,94,94,94,93,93,93,102,93,92,92,91,91,91,90,90,89,102,86,86,92,,93
Leflore Satellite Facility,102,90,90,90,90,90,90,90,89,89,102,89,89,89,88,87,84,85,85,85,102,84,84,84,81,81,81,81,79,79,102,78,77,76,,85
Madison Satellite Facility,102,90,96,96,96,92,91,91,92,91,102,91,91,91,91,91,99,93,93,93,102,89,89,93,95,99,99,98,98,96,102,94,95,100,,94
Noxubee Satellite Facility,92,86,87,87,87,87,87,88,86,83,92,83,83,86,85,85,85,83,83,83,92,90,90,90,89,87,87,87,87,87,92,85,85,83,,86
Pike Satellite Facility,93,85,85,85,85,84,83,83,83,83,93,83,83,83,84,84,82,73,73,73,93,73,72,72,72,72,72,72,71,70,93,62,70,69,,77
Quitman Satellite Facility,93,93,92,92,92,91,91,93,93,93,93,93,93,93,93,93,92,93,93,93,93,93,93,93,70,70,70,70,70,70,93,91,91,92,,88
Rankin Satellite Facility,260,233,233,233,233,234,233,239,234,233,260,233,233,236,234,230,230,230,230,230,260,236,235,239,237,236,236,236,239,237,260,244,247,246,,235
Simpson Satellite Facility,102,100,100,100,100,98,99,101,101,102,102,101,101,101,101,102,102,101,101,101,102,102,102,102,102,100,100,100,101,98,102,96,98,92,,100
Washington Satellite Facility,102,90,90,90,90,89,89,89,89,88,102,88,88,88,88,87,86,87,86,86,102,86,86,86,85,82,82,82,83,83,102,83,83,83,,86
Wilkinson Satellite Facility,102,97,97,97,97,97,95,95,93,93,102,93,93,91,91,91,91,90,90,90,102,90,90,90,88,86,86,86,86,85,102,85,84,86,,91
Yazoo Satellite Facility,102,90,88,88,88,95,95,95,95,95,102,94,94,92,91,91,91,88,87,87,102,95,95,101,98,98,98,98,98,99,102,99,97,92,,94
REGIONAL CORRECTIONAL FACILITIES,"3,163","2,529","2,528","2,524","2,523","2,522","2,528","2,529","2,521","2,523","3,163","2,519","2,519","2,519","2,527","2,527","2,523","2,529","2,526","2,526","3,163","2,531","2,529","2,527","2,525","2,528","2,528","2,526","2,523","2,521","3,163","2,527","2,528","2,526",,"2,525"
Bolivar County,294,235,234,234,234,233,234,234,234,234,294,234,234,234,232,232,234,234,234,234,294,235,235,235,235,235,235,234,234,234,294,234,233,232,,234
Carroll County,280,224,224,222,222,222,223,223,222,222,280,221,222,221,223,224,224,224,224,224,280,224,223,223,224,224,224,224,224,224,280,224,224,224,,223
George County,280,224,224,224,224,224,224,224,222,222,280,222,222,220,224,224,224,222,222,222,280,222,223,222,222,222,222,222,222,223,280,224,223,222,,223
Holmes County,280,224,224,224,224,224,224,224,224,224,280,224,224,224,224,224,224,224,224,224,280,223,224,224,224,224,224,224,223,223,280,224,224,224,,224
Issaquena County,274,219,219,219,219,219,219,219,218,220,274,219,219,219,219,218,219,220,219,219,274,219,219,219,219,219,219,219,218,218,274,218,218,220,,219
Jefferson County,280,223,224,224,224,224,224,224,224,224,280,222,222,223,225,224,222,223,223,223,280,224,223,223,224,224,224,224,223,223,280,223,225,225,,224
Kemper County,355,285,285,284,283,283,284,286,284,284,355,284,283,284,284,284,282,286,285,285,355,287,286,286,283,284,284,284,284,284,355,286,284,283,,284
Leake County,280,225,225,224,224,225,225,225,223,225,280,225,225,225,225,225,223,225,224,224,280,225,224,224,223,224,224,224,224,225,280,225,225,224,,224
Marion County,280,224,224,224,224,224,223,222,224,222,280,222,222,221,223,224,223,224,224,224,280,224,224,224,224,224,224,224,224,222,280,224,225,225,,224
Stone County,280,223,223,223,223,223,224,224,222,222,280,222,222,224,224,224,224,224,224,224,280,224,224,223,223,224,224,223,223,221,280,221,223,223,,223
Winston County,280,223,222,222,222,221,224,224,224,224,280,224,224,224,224,224,224,223,223,223,280,224,224,224,224,224,224,224,224,224,280,224,224,224,,224
PRIVATE PRISONS,"5,972","5,208","5,206","5,204","5,198","5,186","5,184","5,192","5,179","5,196","5,972","5,193","5,190","5,199","5,206","5,220","5,231","5,234","5,230","5,229","5,972","5,248","5,271","5,278","5,285","5,284","5,279","5,277","5,272","5,311","5,972","5,308","5,301","5,303",,"5,237"
Delta,972,905,905,905,904,901,900,900,893,903,972,903,903,903,901,901,901,901,901,901,972,901,900,903,902,901,901,901,901,904,972,904,902,902,,902
East Mississippi,"1,500","1,260","1,262","1,261","1,259","1,258","1,261","1,260","1,258","1,270","1,500","1,269","1,267","1,265","1,265","1,263","1,281","1,282","1,281","1,280","1,500","1,298","1,325","1,324","1,333","1,334","1,331","1,331","1,330","1,355","1,500","1,354","1,352","1,350",,"1,294"
Marshall County,"1,000",900,900,900,899,898,899,903,899,899,"1,000",899,898,898,902,901,900,902,901,901,"1,000",901,900,900,900,897,896,896,893,901,"1,000",901,900,902,,900
Walnut Grove,"1,500","1,190","1,186","1,185","1,185","1,178","1,176","1,181","1,177","1,174","1,500","1,173","1,173","1,183","1,185","1,202","1,199","1,198","1,197","1,197","1,500","1,197","1,195","1,200","1,201","1,201","1,200","1,199","1,199","1,200","1,500","1,199","1,198","1,198",,"1,191"
Wilkinson County,"1,000",953,953,953,951,951,948,948,952,950,"1,000",949,949,950,953,953,950,951,950,950,"1,000",951,951,951,949,951,951,950,949,951,"1,000",950,949,951,,951
RESTITUTION CENTERS,16,11,11,11,10,10,10,10,10,10,16,10,10,10,10,10,10,10,9,9,16,9,8,8,7,8,8,8,8,8,16,8,8,8,,9
Greenwood,6,5,5,5,4,4,4,4,4,4,6,4,4,4,4,4,4,4,3,3,6,3,2,2,2,3,3,3,3,3,6,3,3,3,,4
Hinds,6,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,6,4,4,4,3,3,3,3,3,3,6,3,3,3,,4
Pascagoula,4,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,4,2,2,2,,2
GOVERNOR'S MANSION,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,6
E-CODE,0,6,15,12,14,6,6,7,0,23,0,23,21,10,8,9,6,15,13,13,0,5,10,11,7,21,24,24,11,12,0,12,11,28,,13
TOTALS,"23,543","21,116","21,070","21,060","21,051","21,042","21,043","21,068","21,028","21,001","23,543","20,990","20,986","21,007","21,016","21,037","21,023","21,015","21,006","21,002","23,543","21,009","21,055","21,085","21,060","21,079","21,065","21,052","21,025","21,053","23,543","21,077","21,110","21,125",,"21,045"
