Location,Capacity_x_x,1-Sep-11,2-Sep-11,3-Sep-11,4-Sep-11,5-Sep-11,6-Sep-11,7-Sep-11,8-Sep-11,9-Sep-11,Capacity_y_x,10-Sep-11,11-Sep-11,12-Sep-11,13-Sep-11,14-Sep-11,15-Sep-11,16-Sep-11,17-Sep-11,18-Sep-11,Capacity_x_y,19-Sep-11,20-Sep-11,21-Sep-11,22-Sep-11,23-Sep-11,24-Sep-11,25-Sep-11,26-Sep-11,27-Sep-11,Capacity_y_y,28-Sep-11,29-Sep-11,30-Sep-11,Avg Population
Leake County,280,224,226,226,225,225,224,224,222,223,280,223,223,224,224,223,224,224,224,224,280,223,223,222,224,224,224,224,224,224,280,224,224,224,232
Marion County,280,224,223,223,223,223,223,224,224,223,280,223,223,224,225,225,224,224,224,223,280,223,225,223,224,225,224,223,223,224,280,224,223,224,231
Stone County,280,224,225,224,224,224,224,224,223,224,280,224,224,223,223,224,224,223,223,223,280,222,223,224,224,224,224,224,224,224,280,224,223,223,231
"Washington County (Open Sept 21, 2011)",300,0,0,0,,,,,,,300,,,,,,,,,,300,,,,,,,,,,300,168,168,168,42
Winston County,280,224,225,225,224,224,223,224,223,223,280,223,223,223,224,224,224,223,223,223,280,223,224,223,222,220,220,219,223,222,280,223,223,224,231
Yazoo County,300,251,250,250,250,250,250,249,250,252,300,252,252,251,251,250,252,252,251,251,300,249,252,252,251,252,250,249,246,246,300,252,252,252,259
PRIVATE PRISONS,"5,972","5,169","5,171","5,168","5,165","5,162","5,168","5,166","5,171","5,180","5,972","5,177","5,175","5,165","5,173","5,180","5,176","5,172","5,169","8,166","5,972","5,172","5,171","5,173","5,167","5,164","5,162","5,160","5,171","5,171","5,972","5,165","5,165","5,167","5,451"
Delta,972,901,901,900,900,900,898,900,901,900,972,899,899,899,899,900,899,897,896,895,972,897,899,899,900,900,900,900,899,901,972,900,899,899,930
East Mississippi,"1,500","1,356","1,355","1,354","1,353","1,351","1,354","1,353","1,350","1,364","1,500","1,364","1,363","1,359","1,359","1,358","1,357","1,356","1,355","4,354","1,500","1,358","1,354","1,354","1,356","1,357","1,357","1,356","1,362","1,360","1,500","1,359","1,357","1,354","1,507"
Marshall County,"1,000",997,"1,000","1,000",998,998,998,998,998,997,"1,000",996,996,996,999,999,998,997,997,997,"1,000",997,"1,000",999,999,998,997,996,"1,000",999,"1,000",999,999,997,"1,032"
Walnut Grove,"1,500","1,019","1,019","1,018","1,018","1,017","1,017","1,014","1,022","1,014","1,500","1,013","1,013","1,007","1,012","1,020","1,021","1,023","1,023","1,022","1,500","1,023","1,022","1,025","1,019","1,016","1,016","1,016","1,019","1,017","1,500","1,015","1,018","1,026","1,053"
Wilkinson County,"1,000",896,896,896,896,896,901,901,900,905,"1,000",905,904,904,904,903,901,899,898,898,"1,000",897,896,896,893,893,892,892,891,894,"1,000",892,892,891,928
RESTITUTION CENTERS,16,8,8,8,8,8,8,8,8,7,16,7,7,11,11,11,11,12,12,12,16,12,12,12,12,11,11,11,12,12,16,11,11,11,10
Greenwood,6,4,4,4,4,4,4,4,4,3,6,3,3,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,6,4,4,4,4
Hinds,6,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,6,4,4,4,4,3,3,3,4,4,6,3,3,3,4
Pascagoula,4,0,0,0,0,0,0,0,0,0,4,0,0,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
GOVERNOR'S MANSION,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5
E-CODE,0,9,9,9,9,9,8,7,8,45,0,45,47,47,7,7,7,43,43,44,0,8,8,8,11,47,48,49,12,12,0,14,13,31,23
TOTALS,"23,882","21,345","21,325","21,312","21,302","21,295","21,293","21,285","21,252","21,242","23,882","21,232","21,227","21,288","21,287","21,315","21,325","21,359","21,348","24,342","23,882","21,335","21,366","21,330","21,371","21,395","21,380","21,372","21,383","21,401","23,882","21,399","21,420","21,426","22,171"
