Location,Capacity_x_x,1-Jan-06,2-Jan-06,3-Jan-06,4-Jan-06,5-Jan-06,6-Jan-06,7-Jan-06,8-Jan-06,9-Jan-06,Capacity_y_x,10-Jan-06,11-Jan-06,12-Jan-06,13-Jan-06,14-Jan-06,15-Jan-06,16-Jan-06,17-Jan-06,18-Jan-06,Capacity_x_y,19-Jan-06,20-Jan-06,21-Jan-06,22-Jan-06,23-Jan-06,24-Jan-06,25-Jan-06,26-Jan-06,27-Jan-06,Capacity_y_y,28-Jan-06,29-Jan-06,30-Jan-06,31-Jan-06
Marshall County,"1,000",994,994,994,994,992,991,991,991,991,"1,000",983,983,982,982,983,982,982,995,994,"1,000",994,992,991,992,992,994,992,990,993,"1,000",992,992,992,995
Tallahatchie County,128,127,127,127,127,128,128,128,128,128,128,127,127,127,127,127,127,127,128,128,128,128,127,127,127,127,128,128,128,128,128,128,128,128,128
Walnut Grove,"1,000",920,920,920,918,924,919,919,918,916,"1,000",917,915,915,910,910,910,909,908,907,"1,000",918,923,923,923,922,920,919,922,913,"1,000",912,912,921,925
Wilkinson County,"1,000",938,938,937,937,931,926,926,926,926,"1,000",924,922,922,920,920,918,918,923,926,"1,000",925,922,920,920,923,922,922,921,921,"1,000",921,921,920,918
RESTITUTION CENTERS,16,18,18,18,18,17,18,18,18,14,16,14,14,15,11,11,11,17,17,17,16,14,15,17,17,17,15,15,15,14,16,14,14,14,14
Greenwood,6,4,4,4,4,4,4,4,4,4,6,4,4,5,3,3,3,5,5,5,6,4,4,4,4,4,4,4,4,3,6,3,3,3,3
Hinds,6,6,6,6,6,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6
Pascagoula,4,8,8,8,8,8,9,9,9,5,4,5,5,5,3,3,3,7,7,7,4,5,5,7,7,7,5,5,5,5,4,5,5,5,5
GOVERNOR'S MANSION,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,6,6,6,6,6,6
E-CODE,,6,5,3,3,3,20,21,20,3,,3,5,8,124,121,120,3,5,5,,4,102,102,101,5,8,7,9,82,,79,79,8,6
TOTALS,"22,241","20,683","20,678","20,691","20,699","20,721","20,718","20,719","20,699","20,743","22,241","20,784","20,809","20,827","20,799","20,788","20,772","20,758","20,762","20,755","22,241","20,773","20,781","20,762","20,755","20,742","20,717","20,750","20,751","20,767","22,241","20,757","20,747","20,757","20,793"
