Location,Capacity_x_x,1-Mar-06,2-Mar-06,3-Mar-06,4-Mar-06,5-Mar-06,6-Mar-06,7-Mar-06,8-Mar-06,9-Mar-06,Capacity_y_x,10-Mar-06,11-Mar-06,12-Mar-06,13-Mar-06,14-Mar-06,15-Mar-06,16-Mar-06,17-Mar-06,18-Mar-06,Capacity_x_y,19-Mar-06,20-Mar-06,21-Mar-06,22-Mar-06,23-Mar-06,24-Mar-06,25-Mar-06,26-Mar-06,27-Mar-06,Capacity_y_y,28-Mar-06,29-Mar-06,30-Mar-06,31-Mar-06
REGIONAL CORRECTIONAL FACILITIES,"3,058","3,046","3,048","3,050","3,049","3,049","3,049","3,052","3,054","3,050","3,058","3,049","3,047","3,047","3,041","3,047","3,046","3,043","3,051","3,048","3,058","3,048","3,050","3,053","3,050","3,048","3,055","3,053","3,050","3,048","3,058","3,049","3,051","3,054","3,034"
Bolivar County,294,292,293,294,293,293,292,294,292,292,294,292,292,292,292,293,291,292,294,294,294,294,294,294,293,295,295,294,293,293,294,293,293,293,294
Carroll County,280,279,278,277,277,277,279,279,280,279,280,280,279,279,279,276,279,279,280,280,280,280,280,280,278,278,280,280,280,280,280,279,280,280,280
George County,280,279,279,279,279,279,280,280,279,279,280,280,280,280,279,279,280,278,277,277,280,277,279,280,278,277,278,277,277,278,280,280,278,281,280
Holmes County,280,280,280,280,280,280,280,279,280,280,280,279,279,279,279,279,279,278,278,278,280,278,278,279,279,280,280,280,278,277,280,277,280,280,279
Issaquena County,274,270,270,273,273,273,273,274,273,273,274,274,274,274,273,273,272,272,275,274,274,274,273,273,274,273,274,274,274,274,274,274,274,274,274
Jefferson County,250,248,249,249,249,249,247,247,250,250,250,249,248,248,248,250,249,249,248,248,250,248,248,248,250,250,250,250,250,247,250,249,250,250,249
Kemper County,280,280,280,280,280,280,280,280,280,277,280,279,279,279,277,280,280,280,279,279,280,279,279,280,280,280,278,278,278,279,280,277,277,279,278
Leake County,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,277,276,280,279,280,279,280,280,280,280,280,280,280,280,280,280,280,280,280
Marion County,280,278,279,279,279,279,280,280,280,280,280,279,279,279,278,278,279,279,280,280,280,280,280,280,280,280,280,280,280,280,280,280,279,279,279
Stone County,280,280,280,279,279,279,279,280,280,280,280,280,280,280,279,279,280,280,280,279,280,279,279,279,278,275,280,280,280,280,280,280,280,278,279
Winston County,280,280,280,280,280,280,279,279,280,280,280,277,277,277,277,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,262
PRIVATE PRISONS,"5,100","4,767","4,765","4,777","4,774","4,774","4,767","4,773","4,773","4,776","5,100","4,770","4,770","4,768","4,767","4,759","4,765","4,745","4,757","4,756","5,100","4,753","4,765","4,779","4,775","4,774","4,764","4,761","4,761","4,759","5,100","4,770","4,779","4,771","4,768"
Delta,972,972,972,969,968,969,967,970,970,971,972,968,968,968,967,965,968,967,967,967,972,966,966,970,969,971,971,969,969,969,972,970,970,968,969
East Mississippi,"1,000",854,853,854,854,854,853,852,859,859,"1,000",859,859,859,859,858,856,856,854,854,"1,000",854,866,865,864,864,864,864,864,864,"1,000",863,863,863,863
Marshall County,"1,000",991,992,995,995,995,995,994,993,994,"1,000",993,993,992,992,993,995,994,994,994,"1,000",993,992,993,994,992,995,995,995,995,"1,000",995,994,994,992
Tallahatchie County,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,127,127,128,126,126,128,128,128,128,128,128,128,128,127,128,127,127
Walnut Grove,"1,000",914,908,920,919,919,917,925,920,922,"1,000",920,920,920,923,918,922,904,917,916,"1,000",916,914,921,918,918,911,911,911,909,"1,000",916,927,927,928
Wilkinson County,"1,000",908,912,911,910,909,907,904,903,902,"1,000",902,902,901,898,897,896,896,898,898,"1,000",898,901,902,902,901,895,894,894,894,"1,000",899,897,892,889
RESTITUTION CENTERS,16,12,12,11,11,11,12,12,12,12,16,11,11,11,12,12,12,12,12,12,16,12,12,12,12,12,12,12,12,12,16,12,12,12,12
Greenwood,6,3,3,2,2,2,3,3,3,3,6,3,3,3,3,3,3,3,3,3,6,3,3,3,3,3,3,3,3,3,6,3,3,3,3
Hinds,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5
Pascagoula,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
GOVERNOR'S MANSION,6,6,6,6,6,6,6,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5
E-CODE,,3,3,48,50,52,7,3,5,7,,40,43,42,10,8,7,8,58,59,,58,6,5,5,6,23,24,25,8,,11,12,11,21
TOTALS,"21,991","20,835","20,833","20,818","20,807","20,801","20,826","20,838","20,873","20,867","21,991","20,872","20,863","20,859","20,868","20,857","20,892","20,897","20,872","20,863","21,991","20,854","20,861","20,860","20,884","20,919","20,887","20,877","20,869","20,861","21,991","20,864","20,905","20,938","20,971"
