Location,Capacity_x_x,1-Mar-10,2-Mar-10,3-Mar-10,4-Mar-10,5-Mar-10,6-Mar-10,7-Mar-10,8-Mar-10,9-Mar-10,Capacity_y_x,10-Mar-10,11-Mar-10,12-Mar-10,13-Mar-10,14-Mar-10,15-Mar-10,16-Mar-10,17-Mar-10,18-Mar-10,Capacity_x_y,19-Mar-10,20-Mar-10,21-Mar-10,22-Mar-10,23-Mar-10,24-Mar-10,25-Mar-10,26-Mar-10,27-Mar-10,Capacity_y_y,28-Mar-10,29-Mar-10,30-Mar-10,31-Mar-10,Avg Population
Bolivar County,294,234,233,234,234,234,234,234,235,234,294,233,235,236,235,235,235,235,235,236,294,235,235,235,235,235,233,231,235,235,294,235,235,233,235,234
Carroll County,280,224,222,222,222,224,223,223,223,224,280,224,224,223,221,221,223,223,223,224,280,223,223,223,223,223,222,222,220,220,280,220,223,224,224,223
George County,280,223,223,223,223,223,223,223,225,225,280,225,225,224,224,224,224,224,222,220,280,222,222,222,224,224,221,221,224,224,280,224,223,223,222,223
Holmes County,280,224,224,224,224,224,224,224,224,224,280,224,223,224,224,224,224,224,224,224,280,224,224,223,224,224,224,225,224,223,280,223,224,224,224,224
Issaquena County,274,219,219,219,219,219,219,219,219,218,274,219,219,212,212,212,212,215,215,219,274,219,218,218,217,218,219,219,219,219,274,219,219,219,219,218
Jefferson County,280,222,223,223,222,223,223,223,224,224,280,223,223,224,224,224,224,224,224,225,280,225,225,225,225,224,223,222,224,224,280,224,223,223,222,224
Kemper County,355,284,284,284,284,283,283,283,282,283,355,282,284,285,285,285,284,283,284,283,355,283,283,283,284,283,284,284,285,285,355,285,284,283,282,284
Leake County,280,224,223,223,224,224,224,223,224,224,280,223,224,224,224,224,223,223,223,224,280,224,224,224,224,224,224,225,225,225,280,225,225,225,225,224
Marion County,280,220,220,224,223,223,223,223,224,224,280,224,224,225,225,225,224,224,224,227,280,227,227,227,227,227,227,227,227,227,280,227,227,226,225,225
Stone County,280,224,224,223,222,223,222,222,224,223,280,223,223,224,224,224,224,224,224,224,280,224,224,224,224,224,223,222,223,223,280,223,224,224,223,223
Winston County,280,223,224,222,223,223,223,223,223,224,280,224,224,224,224,224,224,223,224,223,280,225,225,224,224,224,224,224,223,223,280,223,223,223,223,224
PRIVATE PRISONS,"5,972","5,188","5,191","5,196","5,194","5,193","5,189","5,189","5,215","5,210","5,972","5,205","5,208","5,212","5,208","5,204","5,205","5,206","5,211","5,205","5,972","5,202","5,200","5,197","5,204","5,197","5,201","5,213","5,206","5,202","5,972","5,200","5,202","5,205","5,211","5,202"
Delta,972,894,897,901,900,901,901,901,902,901,972,898,899,897,897,896,903,903,903,902,972,901,901,900,901,901,901,901,901,900,972,900,900,904,902,900
East Mississippi,"1,500","1,261","1,263","1,263","1,262","1,257","1,257","1,257","1,262","1,261","1,500","1,260","1,261","1,263","1,260","1,259","1,257","1,257","1,262","1,265","1,500","1,264","1,264","1,263","1,261","1,261","1,265","1,264","1,262","1,262","1,500","1,260","1,260","1,263","1,263","1,261"
Marshall County,"1,000",898,901,899,900,900,899,899,901,900,"1,000",898,900,900,900,900,899,899,900,900,"1,000",900,900,900,900,900,899,902,900,900,"1,000",900,899,898,898,900
Walnut Grove,"1,500","1,182","1,179","1,181","1,178","1,182","1,180","1,180","1,201","1,199","1,500","1,196","1,196","1,201","1,201","1,201","1,199","1,197","1,196","1,191","1,500","1,190","1,189","1,189","1,196","1,190","1,187","1,196","1,193","1,191","1,500","1,191","1,195","1,192","1,196","1,191"
Wilkinson County,"1,000",953,951,952,954,953,952,952,949,949,"1,000",953,952,951,950,948,947,950,950,947,"1,000",947,946,945,946,945,949,950,950,949,"1,000",949,948,948,952,950
RESTITUTION CENTERS,16,10,10,11,11,11,11,11,11,11,16,11,11,12,12,12,11,11,10,10,16,10,10,10,10,12,11,11,11,11,16,11,11,11,11,11
Greenwood,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,6,5,5,5,5,6
Hinds,6,3,3,3,3,3,3,3,3,3,6,3,3,4,4,4,3,3,2,2,6,2,2,2,2,4,4,4,4,4,6,4,4,4,4,3
Pascagoula,4,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2
GOVERNOR'S MANSION,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
E-CODE,0,12,11,15,16,41,39,39,13,13,0,13,14,34,32,32,15,15,6,10,0,40,39,39,12,8,9,11,24,23,0,23,11,11,16,21
TOTALS,"23,551","21,237","21,248","21,267","21,297","21,286","21,278","21,269","21,243","21,245","23,551","21,247","21,283","21,299","21,288","21,279","21,229","21,259","21,264","21,252","23,551","21,267","21,253","21,247","21,258","21,257","21,212","21,196","21,192","21,181","23,551","21,173","21,183","21,161","21,168","21,243"
