Location,Capacity_x,1-Sep-04,2-Sep-04,3-Sep-04,4-Sep-04,5-Sep-04,6-Sep-04,7-Sep-04,8-Sep-04,9-Sep-04,10-Sep-04,11-Sep-04,12-Sep-04,13-Sep-04,Capacity_y,14-Sep-04,15-Sep-04,16-Sep-04,17-Sep-04,18-Sep-04,19-Sep-04,20-Sep-04,21-Sep-04,22-Sep-04,23-Sep-04,24-Sep-04,25-Sep-04,26-Sep-04,Capacity,27-Sep-04,28-Sep-04,29-Sep-04,30-Sep-04
Leflore Satellite Facility,102,99,99,98,97,97,97,97,100,100,101,101,101,102,102,102,101,101,98,98,98,102,102,102,101,92,92,92,102,99,98,97,95
Madison Satellite Facility,102,101,99,98,98,98,98,98,97,101,100,100,100,102,102,101,102,101,93,93,93,99,98,100,100,95,95,95,102,102,101,101,100
Noxubee Satellite Facility,92,88,92,90,90,90,90,87,87,86,85,85,85,87,92,89,89,89,89,88,88,88,90,90,90,87,87,87,92,89,89,92,92
Pike Satellite Facility,93,64,64,64,64,64,64,63,62,61,59,59,59,59,93,59,59,59,57,57,57,63,60,60,59,58,58,58,93,62,62,61,61
Quitman Satellite Facility,93,90,90,90,90,90,90,91,91,89,87,86,86,88,93,86,89,89,85,85,85,92,92,92,92,89,88,88,93,90,88,87,84
Rankin Satellite Facility,228,212,212,212,212,212,212,212,213,210,204,203,203,209,228,209,211,211,208,208,208,210,209,215,217,211,211,211,228,219,221,221,220
Simpson Satellite Facility,102,94,98,95,95,95,95,97,97,96,92,92,92,99,102,101,98,100,99,99,99,97,97,98,101,97,97,97,102,99,99,99,100
Washington Satellite Facility,102,88,88,88,88,88,88,88,88,86,85,85,85,87,102,92,93,93,90,90,90,100,100,101,101,100,100,100,102,100,96,95,95
Wilkinson Satellite Facility,102,82,82,82,82,82,82,81,82,80,75,75,75,79,102,81,80,80,83,83,83,83,83,83,82,82,82,82,102,83,83,87,87
Yazoo Satellite Facility,102,101,101,101,101,101,101,101,101,101,96,96,96,100,102,100,99,100,94,94,94,98,101,102,100,93,93,94,102,100,100,100,98
REGIONAL CORRECTIONAL FACILITIES,"2,750","2,746","2,740","2,742","2,741","2,740","2,739","2,737","2,743","2,741","2,741","2,741","2,741","2,742","2,750","2,744","2,737","2,731","2,743","2,740","2,739","2,740","2,746","2,743","2,737","2,739","2,736","2,736","2,750","2,736","2,736","2,737","2,739"
Bolivar County,250,250,250,250,250,249,249,248,249,249,250,250,250,250,250,249,248,248,251,251,251,248,249,250,250,250,250,250,250,248,247,248,248
Carroll County,250,250,250,249,250,250,250,250,249,249,249,249,249,250,250,249,250,249,249,248,248,250,249,248,249,249,248,248,250,250,250,250,248
George County,250,249,244,249,249,249,249,249,250,249,249,249,249,250,250,249,249,248,248,248,247,250,249,249,248,248,247,247,250,249,249,249,249
Holmes County,250,250,250,247,247,247,247,248,250,250,249,249,249,247,250,250,250,250,250,248,248,249,250,250,249,249,249,249,250,250,250,249,249
Issaquena County,250,247,246,249,249,249,249,248,248,246,246,246,246,247,250,248,242,241,248,248,248,248,250,249,249,249,249,249,250,247,244,243,249
Jefferson County,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,249,250,250,250,250,250,250,248,248,248,248,250,249,249,250,249
Kemper County,250,250,250,250,249,249,249,249,249,249,250,250,250,250,250,250,249,249,250,250,250,249,249,247,247,250,250,250,250,248,250,250,250
Leake County,250,250,250,250,250,250,250,250,250,249,249,249,249,249,250,251,251,249,250,250,250,250,250,250,250,250,250,250,250,250,249,250,249
Marion County,250,250,250,250,250,250,250,250,249,250,250,250,250,250,250,249,249,249,249,249,249,248,250,250,250,250,249,249,250,248,250,249,249
Stone County,250,250,250,250,250,250,250,249,249,250,250,250,250,250,250,250,250,250,248,248,248,248,250,250,250,249,249,249,250,250,250,250,250
Winston County,250,250,250,248,247,247,246,246,250,250,249,249,249,249,250,249,249,249,250,250,250,250,250,250,247,247,247,247,250,247,248,249,249
PRIVATE PRISONS,"4,960","4,572","4,578","4,584","4,581","4,578","4,577","4,579","4,575","4,573","4,572","4,572","4,570","4,562","4,960","4,567","4,574","4,571","4,569","4,569","4,568","4,577","4,586","4,585","4,599","4,599","4,598","4,595","4,960","4,605","4,594","4,620","4,621"
Delta       (Reopened 04-01-04),960,954,953,956,954,953,953,953,959,956,958,958,957,954,960,952,958,959,950,950,950,949,951,950,955,957,957,957,960,957,956,958,957
East MS,"1,000",863,875,875,875,875,874,874,872,872,870,870,869,868,"1,000",865,865,863,863,863,863,863,875,876,875,875,875,875,"1,000",875,872,871,871
Marshall County,"1,000",994,995,995,995,993,993,995,994,994,994,994,994,993,"1,000",994,994,993,994,994,994,993,993,988,989,988,988,987,"1,000",993,991,994,993
Walnut Grove,"1,000",766,762,763,763,763,763,763,756,758,757,757,757,754,"1,000",762,763,763,768,768,768,778,777,782,789,787,787,786,"1,000",788,786,803,807
Wilkinson County,"1,000",995,993,995,994,994,994,994,994,993,993,993,993,993,"1,000",994,994,993,994,994,993,994,990,989,991,992,991,990,"1,000",992,989,994,993
RESITITUTION CENTERS,18,13,13,13,13,13,13,13,12,12,12,12,12,12,18,12,12,12,12,12,12,12,12,12,12,12,12,12,18,12,12,13,13
Greenwood,6,6,6,6,6,6,6,6,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,6,6
Hinds                                   (See Note Below),6,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4
Pascagoula,6,3,3,3,3,3,3,3,3,3,3,3,3,3,6,3,3,3,3,3,3,3,3,3,3,3,3,3,6,3,3,3,3
GOVERNOR'S MANSION,6,6,6,6,6,6,6,6,6,6,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5
E-CODE,,2,1,1,1,2,1,2,3,6,54,46,48,5,,4,6,2,65,66,66,2,3,5,5,65,65,65,,5,2,2,3
TOTALS,"22,098","21,201","21,226","21,211","21,197","21,192","21,189","21,199","21,225","21,224","21,201","21,186","21,186","21,241","22,098","21,255","21,300","21,298","21,285","21,274","21,267","21,263","21,259","21,297","21,301","21,295","21,284","21,279","22,098","21,250","21,256","21,262","21,263"
