Location,Capacity_x_x,1-Nov-10,2-Nov-10,3-Nov-10,4-Nov-10,5-Nov-10,6-Nov-10,7-Nov-10,8-Nov-10,9-Nov-10,Capacity_y_x,10-Nov-10,11-Nov-10,12-Nov-10,13-Nov-10,14-Nov-10,15-Nov-10,16-Nov-10,17-Nov-10,18-Nov-10,Capacity_x_y,19-Nov-10,20-Nov-10,21-Nov-10,22-Nov-10,23-Nov-10,24-Nov-10,25-Nov-10,26-Nov-10,27-Nov-10,Capacity_y_y,28-Nov-10,29-Nov-10,30-Nov-10,Avg Population
Madison Satellite Facility,102,98,98,98,98,98,98,98,99,99,102,97,97,100,100,100,101,100,99,97,102,97,97,97,95,95,98,98,98,98,102,98,97,97,98
Noxubee Satellite Facility,92,81,80,79,79,82,82,82,83,88,92,88,88,86,84,84,84,85,85,85,92,88,88,88,86,86,86,86,86,86,92,86,85,84,85
Pike Satellite Facility,93,80,79,79,78,77,77,77,81,91,93,91,91,90,90,90,87,87,91,91,93,90,90,90,90,88,88,88,88,88,93,88,87,91,86
Quitman Satellite Facility,93,71,71,70,69,79,79,79,79,79,93,79,79,78,78,78,78,78,81,79,93,78,78,78,80,80,80,79,79,79,93,79,79,63,77
Rankin Satellite Facility,260,216,214,210,214,216,215,215,214,215,260,216,215,215,213,214,209,210,209,208,260,217,217,217,221,216,219,218,218,218,260,218,215,215,215
Simpson Satellite Facility,102,97,97,97,98,96,92,92,91,90,102,100,100,96,96,96,96,96,95,95,102,95,95,95,95,98,98,98,98,98,102,98,98,97,96
Washington Satellite Facility,102,79,79,79,79,79,79,79,78,78,102,78,78,77,77,77,78,77,77,76,102,80,80,80,80,85,85,85,85,85,102,85,88,88,80
Wilkinson Satellite Facility,102,70,70,70,69,75,75,75,78,78,102,80,80,77,77,77,78,83,83,83,102,82,82,82,82,80,80,80,80,80,102,80,79,79,78
Yazoo Satellite Facility,102,99,99,96,97,96,96,96,96,97,102,97,97,92,92,92,91,91,97,99,102,101,101,101,100,100,99,99,99,99,102,99,98,98,97
REGIONAL CORRECTIONAL FACILITIES,"3,763","3,005","3,006","3,007","3,004","3,003","3,000","2,995","3,004","3,011","3,763","3,005","3,002","3,006","3,005","3,004","3,004","3,006","3,010","3,013","3,763","3,007","3,007","3,004","3,008","3,008","3,007","3,007","3,005","3,005","3,763","3,005","3,003","3,004","3,005"
Bolivar County,294,235,235,235,235,234,234,234,234,234,294,234,234,233,233,233,233,232,235,238,294,234,234,234,238,235,235,235,234,234,294,234,234,234,234
Carroll County,280,225,225,226,226,226,226,226,225,225,280,225,225,225,225,225,222,222,224,223,280,223,223,222,222,224,224,224,223,223,280,223,223,223,224
Chickasaw County,300,240,240,240,240,240,240,240,239,239,300,239,239,240,240,240,240,240,240,239,300,239,239,239,239,239,238,238,238,238,300,238,237,237,239
George County,280,224,223,221,221,224,224,220,224,224,280,226,226,221,221,221,220,224,224,224,280,224,224,224,223,224,224,224,224,224,280,224,223,223,223
Holmes County,280,224,224,224,224,221,220,220,220,225,280,224,224,224,223,223,224,224,224,224,280,223,223,222,224,224,224,224,224,224,280,224,224,224,223
Issaquena County,274,216,218,217,219,219,218,217,218,219,274,219,219,219,219,219,219,220,220,220,274,220,220,220,220,220,220,220,220,220,274,220,220,219,219
Jefferson County,280,223,224,224,222,223,223,223,224,224,280,220,219,223,223,223,224,224,224,224,280,224,224,223,222,223,223,223,223,223,280,223,222,223,223
Kemper County,355,281,281,284,283,282,282,282,283,283,355,280,279,283,283,283,284,284,283,284,355,283,283,283,284,283,283,283,283,283,355,283,283,284,283
Leake County,280,225,225,225,224,224,224,224,224,225,280,225,225,225,225,225,225,225,225,225,280,225,225,225,225,225,225,225,225,225,280,225,224,224,225
Marion County,280,224,224,224,224,224,224,224,224,224,280,224,224,224,224,223,223,224,224,224,280,224,224,224,224,224,224,224,224,224,280,224,224,224,224
Stone County,280,224,224,224,224,224,224,224,224,224,280,224,223,223,223,223,224,222,222,224,280,224,224,224,223,223,223,223,223,223,280,223,224,225,224
Winston County,280,224,224,223,222,222,221,221,224,223,280,222,222,224,224,224,224,224,224,224,280,224,224,224,224,224,224,224,224,224,280,224,224,223,223
Yazoo County,300,240,239,240,240,240,240,240,241,242,300,243,243,242,242,242,242,241,241,240,300,240,240,240,240,240,240,240,240,240,300,240,241,241,241
PRIVATE PRISONS,"5,972","5,277","5,273","5,262","5,258","5,248","5,248","5,245","5,242","5,234","5,972","5,253","5,250","5,255","5,254","5,254","5,256","5,254","5,259","5,262","5,972","5,253","5,249","5,246","5,269","5,293","5,293","5,291","5,287","5,285","5,972","5,284","5,270","5,269","5,262"
Delta,972,901,901,904,902,900,900,899,900,900,972,900,900,900,900,900,903,902,901,903,972,900,900,900,906,905,905,905,905,904,972,903,902,902,902
East Mississippi,"1,500","1,359","1,359","1,361","1,360","1,356","1,356","1,355","1,352","1,348","1,500","1,359","1,358","1,358","1,358","1,358","1,357","1,356","1,364","1,363","1,500","1,363","1,361","1,359","1,361","1,361","1,363","1,361","1,360","1,360","1,500","1,360","1,359","1,359","1,359"
Marshall County,"1,000",942,941,938,937,937,937,937,935,935,"1,000",935,934,934,934,934,934,934,935,934,"1,000",930,930,930,940,940,940,940,938,938,"1,000",938,929,929,936
Walnut Grove,"1,500","1,200","1,198","1,197","1,199","1,196","1,196","1,196","1,201","1,198","1,500","1,200","1,199","1,204","1,203","1,203","1,199","1,199","1,197","1,200","1,500","1,199","1,197","1,196","1,199","1,200","1,199","1,199","1,198","1,198","1,500","1,198","1,195","1,195","1,199"
Wilkinson County,"1,000",875,874,862,860,859,859,858,854,853,"1,000",859,859,859,859,859,863,863,862,862,"1,000",861,861,861,863,887,886,886,886,885,"1,000",885,885,884,868
RESTITUTION CENTERS,16,11,11,10,10,10,10,10,10,10,16,10,10,9,9,9,9,9,9,9,16,9,9,9,9,9,8,8,8,8,16,8,8,8,9
Greenwood,6,5,5,5,5,5,5,5,5,5,6,5,5,4,4,4,5,5,5,5,6,5,5,5,5,5,4,4,4,4,6,4,4,4,5
Hinds,6,4,4,3,3,3,3,3,3,3,6,3,3,3,3,3,2,2,2,2,6,2,2,2,2,2,2,2,2,2,6,2,2,2,3
Pascagoula,4,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,4,2,2,2,2
GOVERNOR'S MANSION,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5
E-CODE,0,7,11,7,7,20,20,21,6,7,0,7,11,43,44,0,7,6,6,6,0,6,7,7,7,8,9,9,6,5,0,5,5,7,11
TOTALS,"24,232","21,024","21,038","21,026","21,034","21,045","21,032","21,025","20,990","21,018","24,232","21,048","21,036","21,033","21,026","20,981","20,969","20,976","20,996","21,005","24,232","21,042","21,034","21,024","21,033","21,028","21,054","21,046","21,032","21,030","24,232","21,028","21,038","21,031","21,024"
