Location,Capacity_x,1-Apr-04,2-Apr-04,3-Apr-04,4-Apr-04,5-Apr-04,6-Apr-04,7-Apr-04,8-Apr-04,9-Apr-04,10-Apr-04,11-Apr-04,12-Apr-04,13-Apr-04,Capacity_y,14-Apr-04,15-Apr-04,16-Apr-04,17-Apr-04,18-Apr-04,19-Apr-04,20-Apr-04,21-Apr-04,22-Apr-04,23-Apr-04,24-Apr-04,25-Apr-04,26-Apr-04,Capacity,27-Apr-04,28-Apr-04,29-Apr-04,30-Apr-04
Pike Satellite Facility,93,58,58,58,58,65,65,65,68,68,68,68,68,67,93,71,71,71,71,71,70,70,73,71,71,71,71,71,93,70,72,72,71
Quitman Satellite Facility,93,78,78,78,78,77,77,76,78,74,74,74,77,76,93,76,75,78,78,78,80,80,81,80,78,78,78,79,93,79,79,80,80
Rankin Satellite Facility,228,207,202,202,202,204,202,201,201,198,198,198,198,196,228,196,196,196,196,196,197,197,197,209,206,206,206,208,228,206,217,216,213
Simpson Satellite Facility,102,101,102,102,102,102,102,101,102,97,97,97,101,101,102,100,100,98,98,98,100,100,100,98,102,102,102,101,102,101,101,102,102
Washington Satellite Facility,102,98,98,98,98,98,98,98,100,100,100,100,99,97,102,101,101,100,100,100,101,102,101,101,101,101,101,100,102,100,100,102,101
Wilkinson Satellite Facility,102,86,85,85,85,85,84,84,84,82,82,82,84,83,102,83,83,83,83,82,82,82,82,81,78,78,78,80,102,80,79,88,84
Yazoo Satellite Facility,102,99,100,100,100,102,102,102,102,99,99,99,101,100,102,99,100,100,100,100,100,99,100,102,98,98,98,102,102,100,100,102,102
REGIONAL CORRECTIONAL FACILITIES,"2,750","2,748","2,746","2,745","2,744","2,744","2,745","2,748","2,748","2,746","2,745","2,744","2,727","2,727","2,750","2,741","2,740","2,749","2,749","2,748","2,747","2,747","2,749","2,748","2,749","2,748","2,747","2,746","2,750","2,746","2,741","2,747","2,745"
Bolivar County,250,249,250,249,249,250,250,250,251,250,250,250,250,250,250,248,248,250,250,250,250,250,250,250,250,250,250,250,250,249,250,250,250
Carroll County,250,250,250,250,249,249,250,250,250,249,249,249,248,248,250,250,250,250,250,250,249,249,250,250,250,250,250,250,250,250,250,250,250
George County,250,250,250,250,250,250,249,250,249,248,248,248,231,230,250,248,247,249,249,248,249,248,250,250,250,250,249,249,250,248,243,250,250
Holmes County,250,250,249,249,249,249,249,249,250,250,249,249,250,250,250,249,249,250,250,250,250,250,250,248,250,250,250,250,250,249,249,250,249
Issaquena County,250,250,250,250,250,250,249,249,248,250,250,250,250,250,250,247,247,250,250,250,249,250,250,250,249,249,249,249,250,250,250,250,249
Jefferson County,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,248,250
Kemper County,250,250,249,249,249,248,250,250,250,249,249,249,250,250,250,250,250,250,250,250,250,250,249,250,250,250,250,250,250,250,250,250,250
Leake County,250,249,250,250,250,250,250,250,250,250,250,249,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,249,250,250
Marion County,250,250,249,249,249,248,249,250,250,251,251,251,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,248
Stone County,250,250,249,249,249,250,249,250,250,249,249,249,249,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,249,250
Winston County,250,250,250,250,250,250,250,250,250,250,250,250,249,249,250,249,249,250,250,250,250,250,250,250,250,249,249,248,250,250,250,250,249
PRIVATE PRISONS,"4,700","3,455","3,453","3,451","3,449","3,460","3,500","3,502","3,553","3,551","3,548","3,547","3,556","3,597","4,700","3,601","3,651","3,648","3,648","3,647","3,645","3,689","3,690","3,735","3,745","3,745","3,744","3,743","4,700","3,785","3,783","3,826","3,821"
Delta       (Reopened 04-01-04),950,41,41,41,41,41,83,83,128,128,128,128,128,173,950,173,217,217,217,217,217,261,261,306,306,306,306,306,950,350,350,395,395
East MS,"1,000",727,725,725,724,724,723,723,723,721,720,720,720,718,"1,000",718,725,724,724,724,724,724,724,724,728,728,727,727,"1,000",725,725,723,724
Marshall County,"1,000",987,995,994,993,994,993,992,995,995,995,994,994,993,"1,000",993,993,993,993,992,992,994,993,995,995,995,995,995,"1,000",994,994,994,995
Walnut Grove,750,710,704,704,704,713,710,712,716,712,712,712,718,719,750,723,723,719,719,719,718,717,719,718,721,721,721,721,750,723,720,720,716
Wilkinson County,"1,000",990,988,987,987,988,991,992,991,995,993,993,996,994,"1,000",994,993,995,995,995,994,993,993,992,995,995,995,994,"1,000",993,994,994,991
RESITITUTION CENTERS,24,14,14,14,14,14,14,14,14,10,10,10,14,14,24,14,14,12,12,12,13,14,14,14,13,13,13,14,24,14,14,14,14
Greenwood,6,6,6,6,6,6,6,6,6,2,2,2,6,6,6,6,6,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6
Hinds,12,5,5,5,5,5,5,5,5,5,5,5,5,5,12,5,5,5,5,5,4,5,5,5,5,5,5,5,12,5,5,5,5
Pascagoula,6,3,3,3,3,3,3,3,3,3,3,3,3,3,6,3,3,3,3,3,3,3,3,3,2,2,2,3,6,3,3,3,3
GOVERNOR'S MANSION,6,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5
E-CODE,,8,36,36,34,6,7,9,9,54,58,55,7,6,,7,6,17,17,16,7,6,9,8,31,29,28,6,,5,7,9,29
TOTALS,"22,687","21,053","21,045","21,042","21,037","21,057","21,097","21,108","21,100","21,063","21,061","21,053","21,084","21,062","22,687","21,086","21,101","21,114","21,112","21,108","21,101","21,109","21,108","21,120","21,115","21,109","21,107","21,106","22,687","21,105","21,125","21,170","21,170"
