Location,Capacity_x_x,1-Aug-09,2-Aug-09,3-Aug-09,4-Aug-09,5-Aug-09,6-Aug-09,7-Aug-09,8-Aug-09,9-Aug-09,Capacity_y_x,10-Aug-09,11-Aug-09,12-Aug-09,13-Aug-09,14-Aug-09,15-Aug-09,16-Aug-09,17-Aug-09,18-Aug-09,Capacity_x_y,19-Aug-09,20-Aug-09,21-Aug-09,22-Aug-09,23-Aug-09,24-Aug-09,25-Aug-09,26-Aug-09,27-Aug-09,Capacity_y_y,28-Aug-09,29-Aug-09,30-Aug-09,31-Aug-09,Unnamed: 6,Avg Population
Jackson Satellite Facility,102,93,93,93,96,96,95,94,94,91,102,90,89,89,89,88,88,88,99,99,102,100,99,93,93,93,96,95,95,95,102,94,94,94,94,,94
Jefferson Satellite Facility,102,93,93,94,91,91,90,95,95,95,102,96,95,94,92,88,85,85,93,93,102,93,91,90,89,89,89,89,99,99,102,94,94,94,95,,92
Leflore Satellite Facility,102,71,71,69,69,71,70,69,68,67,102,66,66,66,65,63,62,62,71,71,102,69,68,68,67,67,67,67,73,71,102,72,72,72,70,,68
Madison Satellite Facility,102,91,91,90,90,89,89,96,96,96,102,95,94,93,93,92,92,92,97,97,102,97,97,100,100,99,99,99,99,95,102,93,93,93,95,,95
Noxubee Satellite Facility,92,83,83,83,83,83,83,88,88,88,92,91,90,90,87,86,86,86,86,85,92,85,87,84,84,82,84,84,84,84,92,83,83,83,87,,85
Pike Satellite Facility,93,86,86,87,86,86,88,88,88,88,93,88,91,91,87,87,86,86,86,91,93,91,91,91,91,91,90,88,59,77,93,73,73,73,73,,85
Quitman Satellite Facility,93,67,67,70,70,70,69,69,68,68,93,71,71,71,69,68,68,68,69,69,93,69,69,67,67,66,66,66,61,67,93,87,87,85,87,,71
Rankin Satellite Facility,260,244,244,245,245,244,242,248,248,248,260,250,250,250,245,244,243,243,245,246,260,250,247,246,246,245,251,252,247,251,260,249,249,249,249,,247
Simpson Satellite Facility,102,98,98,94,94,92,90,91,91,91,102,96,96,96,96,94,94,94,96,96,102,94,97,96,96,96,96,96,102,102,102,100,99,99,99,,96
Washington Satellite Facility,102,79,79,80,80,80,80,80,80,80,102,75,75,74,73,72,72,72,73,73,102,73,71,70,70,70,71,70,78,84,102,83,82,83,82,,76
Wilkinson Satellite Facility,102,90,90,92,92,92,92,98,97,97,102,96,96,96,95,93,93,93,95,94,102,93,90,93,93,93,92,92,92,92,102,92,92,92,90,,93
Yazoo Satellite Facility,102,101,101,102,101,101,98,94,94,94,102,92,92,91,91,90,90,90,98,98,102,96,95,94,94,94,93,93,100,100,102,98,98,98,95,,96
REGIONAL CORRECTIONAL FACILITIES,"3,163","2,903","2,902","2,900","2,905","2,910","2,915","2,915","2,913","2,910","3,163","2,909","2,910","2,914","2,921","2,925","2,920","2,917","2,923","2,928","3,163","2,930","2,927","2,931","2,931","2,928","2,927","2,928","2,925","2,919","3,163","2,926","2,923","2,922","2,924",,"2,919"
Bolivar County,294,280,280,280,279,279,280,279,279,279,294,279,280,279,279,281,281,280,277,277,294,280,279,278,278,278,277,279,278,278,294,278,278,278,279,,279
Carroll County,280,262,262,262,263,264,264,265,265,265,280,264,264,264,264,265,265,264,266,266,280,266,266,267,267,265,266,267,267,267,280,266,265,265,263,,265
George County,280,265,265,265,265,265,266,266,265,264,280,265,266,265,263,263,263,263,264,265,280,266,266,265,265,265,265,265,265,266,280,267,267,267,267,,265
Holmes County,280,250,250,250,250,250,250,251,250,250,280,249,249,257,264,265,264,264,266,266,280,266,266,266,266,266,266,266,266,264,280,265,265,265,265,,260
Issaquena County,274,260,260,260,257,259,260,260,260,259,274,260,260,259,260,260,258,258,258,258,274,260,259,259,259,259,259,259,256,255,274,257,257,256,261,,259
Jefferson County,280,261,260,260,265,265,266,265,265,264,280,265,266,265,265,266,266,266,267,267,280,266,264,266,266,265,265,264,264,264,280,265,265,265,262,,265
Kemper County,355,266,266,265,266,266,266,265,265,265,355,266,266,266,266,266,265,265,266,266,355,266,264,265,265,265,266,265,266,266,355,266,266,266,266,,266
Leake County,280,266,266,266,265,264,266,266,266,266,280,265,264,263,266,265,264,264,266,266,280,266,265,266,266,266,266,266,266,266,280,264,264,264,265,,265
Marion County,280,266,266,265,266,266,265,266,266,266,280,265,265,266,267,266,266,266,266,266,280,265,266,266,266,266,266,266,266,265,280,266,264,264,265,,266
Stone County,280,266,266,266,266,266,266,266,266,266,280,266,265,265,262,262,262,261,261,265,280,263,265,266,266,266,266,266,265,265,280,266,266,266,266,,265
Winston County,280,261,261,261,263,266,266,266,266,266,280,265,265,265,265,266,266,266,266,266,280,266,267,267,267,267,265,265,266,263,280,266,266,266,265,,265
PRIVATE PRISONS,"5,972","5,492","5,492","5,487","5,495","5,502","5,498","5,495","5,493","5,493","5,972","5,504","5,503","5,501","5,503","5,500","5,498","5,496","5,496","5,499","5,972","5,497","5,500","5,499","5,497","5,491","5,494","5,489","5,500","5,500","5,972","5,553","5,548","5,545","5,540",,"5,503"
Delta,972,957,957,957,957,955,953,953,953,953,972,955,956,956,954,954,953,953,955,956,972,955,955,953,953,952,955,948,953,957,972,956,956,956,957,,955
East Mississippi,"1,500","1,361","1,361","1,361","1,362","1,362","1,359","1,357","1,356","1,356","1,500","1,361","1,362","1,361","1,359","1,361","1,360","1,360","1,362","1,362","1,500","1,361","1,360","1,361","1,360","1,357","1,355","1,360","1,363","1,363","1,500","1,367","1,366","1,365","1,362",,"1,361"
Marshall County,"1,000",983,983,983,983,983,983,981,980,980,"1,000",983,981,981,983,981,981,981,982,982,"1,000",981,983,983,983,982,983,983,982,979,"1,000",983,982,981,981,,982
Walnut Grove,"1,500","1,223","1,223","1,219","1,220","1,228","1,226","1,227","1,227","1,227","1,500","1,229","1,229","1,228","1,227","1,227","1,227","1,225","1,224","1,223","1,500","1,224","1,226","1,226","1,225","1,224","1,225","1,224","1,227","1,227","1,500","1,271","1,269","1,268","1,267",,"1,231"
Wilkinson County,"1,000",968,968,967,973,974,977,977,977,977,"1,000",976,975,975,980,977,977,977,973,976,"1,000",976,976,976,976,976,976,974,975,974,"1,000",976,975,975,973,,975
RESTITUTION CENTERS,16,10,10,10,10,10,10,9,9,9,16,9,9,9,9,9,9,9,9,9,16,9,9,10,10,9,9,12,12,13,16,13,13,13,10,,10
Greenwood,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,6,6,6,6,6,6,6,6,6,6,6,5,,5
Hinds,6,3,3,3,3,3,3,3,3,3,6,2,2,2,2,2,2,2,2,2,6,2,2,2,2,1,1,4,4,5,6,5,5,5,3,,3
Pascagoula,4,2,2,2,2,2,2,1,1,1,4,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,4,2,2,2,2,,2
GOVERNOR'S MANSION,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,6
E-CODE,0,29,29,9,10,13,13,32,32,31,0,11,11,10,14,36,33,35,13,12,0,11,8,23,24,23,7,10,10,11,0,31,32,33,15,,20
TOTALS,"23,834","21,630","21,623","21,629","21,632","21,636","21,626","21,636","21,630","21,617","23,834","21,644","21,669","21,679","21,635","21,632","21,617","21,613","21,598","21,619","23,834","21,650","21,566","21,561","21,552","21,539","21,541","21,568","21,544","21,550","23,834","21,551","21,538","21,532","21,537",,"21,600"
