Location,Capacity_x_x,1-Feb-08,2-Feb-08,3-Feb-08,4-Feb-08,5-Feb-08,6-Feb-08,7-Feb-08,8-Feb-08,9-Feb-08,Capacity_y_x,10-Feb-08,11-Feb-08,12-Feb-08,13-Feb-08,14-Feb-08,15-Feb-08,16-Feb-08,17-Feb-08,18-Feb-08,Capacity_x_y,19-Feb-08,20-Feb-08,21-Feb-08,22-Feb-08,23-Feb-08,24-Feb-08,25-Feb-08,26-Feb-08,27-Feb-08,Capacity_y_y,28-Feb-08,29-Feb-08,Unnamed: 4,Avg Population
Leflore Satellite Facility,102,98,97,97,100,100,99,98,93,93,102,93,98,98,98,98,91,91,92,98,102,97,97,95,92,92,92,95,0,0,102,0,0,,96
Madison Satellite Facility,102,97,97,97,101,101,101,100,99,99,102,99,101,101,100,100,99,99,99,102,102,99,101,100,96,96,96,97,0,0,102,0,0,,99
Noxubee Satellite Facility,92,84,84,84,88,91,91,91,83,83,92,83,90,90,90,90,85,85,85,90,92,88,88,87,80,80,80,89,0,0,92,0,0,,86
Pike Satellite Facility,93,80,81,81,86,86,86,86,84,84,93,84,85,84,84,82,79,78,78,81,93,79,79,79,76,76,77,77,0,0,93,0,0,,81
Quitman Satellite Facility,93,88,87,87,91,88,88,88,82,82,93,82,88,88,91,92,87,86,86,91,93,92,92,92,90,90,90,92,0,0,93,0,0,,88
Rankin Satellite Facility,260,247,246,245,251,253,253,254,250,250,260,250,254,254,254,254,246,246,246,254,260,254,254,256,249,248,247,255,0,0,260,0,0,,251
Simpson Satellite Facility,102,94,94,94,101,99,99,99,95,95,102,95,102,101,101,101,98,97,98,100,102,99,99,100,97,97,97,99,0,0,102,0,0,,98
Washington Satellite Facility,102,102,102,102,102,101,101,102,98,98,102,98,102,102,102,102,98,97,97,101,102,101,100,97,91,91,91,97,0,0,102,0,0,,99
Wilkinson Satellite Facility,102,84,84,84,84,84,89,89,78,78,102,79,85,90,90,90,90,90,90,94,102,94,94,93,91,91,91,93,0,0,102,0,0,,88
Yazoo Satellite Facility,102,91,90,90,97,101,100,100,97,97,102,97,98,98,96,102,100,100,100,101,102,100,102,99,94,94,94,101,0,0,102,0,0,,98
REGIONAL CORRECTIONAL FACILITIES,"3,088","3,079","3,077","3,075","3,068","3,075","3,076","3,070","3,084","3,080","3,088","3,074","3,081","3,088","3,082","3,076","3,081","3,079","3,078","3,075","3,088","3,079","3,082","3,078","3,081","3,081","3,081","3,086",0,0,"3,088",0,0,,"3,079"
Bolivar County,294,294,294,293,288,292,291,290,293,293,294,293,293,294,293,293,294,293,293,293,294,294,294,294,294,294,294,294,0,0,294,0,0,,293
Carroll County,280,280,280,280,280,280,279,278,279,279,280,277,278,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,0,0,280,0,0,,280
George County,280,278,278,278,278,279,280,280,280,280,280,280,280,280,280,279,279,279,279,279,280,281,281,279,279,279,279,280,0,0,280,0,0,,279
Holmes County,280,280,280,280,280,280,280,279,280,280,280,280,280,280,280,280,279,279,279,279,280,279,280,279,278,278,278,280,0,0,280,0,0,,279
Issaquena County,274,274,274,274,273,273,271,271,275,275,274,274,276,276,275,271,271,270,270,269,274,269,271,271,273,273,273,274,0,0,274,0,0,,273
Jefferson County,280,279,278,278,278,277,276,272,277,277,280,277,280,280,277,277,280,280,280,280,280,280,280,279,279,279,279,279,0,0,280,0,0,,278
Kemper County,280,278,278,277,277,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,279,279,279,279,280,0,0,280,0,0,,279
Leake County,280,279,279,279,279,279,279,280,279,278,280,278,279,280,279,278,279,279,278,278,280,279,279,278,280,280,280,279,0,0,280,0,0,,279
Marion County,280,280,280,280,280,279,280,280,281,280,280,280,279,279,280,280,280,280,280,280,280,280,280,280,280,280,280,280,0,0,280,0,0,,280
Stone County,280,278,278,278,278,278,280,280,280,278,280,277,277,279,279,279,279,279,279,277,280,278,278,280,280,280,280,280,0,0,280,0,0,,279
Winston County,280,279,278,278,277,278,280,280,280,280,280,278,279,280,279,279,280,280,280,280,280,279,279,279,279,279,279,280,0,0,280,0,0,,279
PRIVATE PRISONS,"4,972","4,793","4,791","4,785","4,798","4,797","4,797","4,781","4,796","4,795","4,972","4,792","4,789","4,782","4,778","4,788","4,770","4,765","4,761","4,757","4,972","4,763","4,766","4,770","4,782","4,780","4,778","4,778",0,0,"4,972",0,0,,"4,781"
Delta,972,967,967,967,967,965,968,970,970,970,972,969,969,969,972,972,969,966,965,964,972,968,968,968,971,971,971,971,0,0,972,0,0,,969
East Mississippi,"1,000",877,877,875,877,878,878,877,878,878,"1,000",878,872,873,869,867,863,863,863,862,"1,000",859,863,868,867,867,867,865,0,0,"1,000",0,0,,870
Marshall County,"1,000","1,000","1,000","1,000","1,000","1,000","1,000",998,996,996,"1,000",995,"1,000",999,999,"1,000",999,998,996,994,"1,000",999,"1,000",999,998,998,998,999,0,0,"1,000",0,0,,998
Tallahatchie County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Walnut Grove,"1,000",955,954,950,956,956,953,940,956,956,"1,000",956,955,949,948,954,945,944,944,944,"1,000",946,948,944,950,950,949,949,0,0,"1,000",0,0,,950
Wilkinson County,"1,000",994,993,993,998,998,998,996,996,995,"1,000",994,993,992,990,995,994,994,993,993,"1,000",991,987,991,996,994,993,994,0,0,"1,000",0,0,,994
RESTITUTION CENTERS,16,12,12,12,12,12,13,13,14,14,16,14,14,14,14,14,14,14,14,13,16,13,13,13,13,13,13,13,0,0,16,0,0,,13
Greenwood,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,5,5,5,5,5,5,0,0,6,0,0,,6
Hinds,6,4,4,4,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,6,0,0,,6
Pascagoula,4,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,0,0,4,0,0,,2
GOVERNOR'S MANSION,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,0,0,6,0,0,,5
E-CODE,0,68,63,63,3,2,4,6,72,73,0,72,6,5,7,8,73,72,70,3,0,4,4,3,56,56,55,4,0,0,0,0,0,,34
TOTALS,"22,987","22,322","22,312","22,300","22,323","22,341","22,354","22,365","22,356","22,346","22,987","22,329","22,350","22,387","22,422","22,454","22,441","22,425","22,416","22,404","22,987","22,424","22,451","22,452","22,463","22,445","22,438","22,456",0,0,"22,987",0,0,,"22,391"
