Location,Capacity_x,1-Jun-05,2-Jun-05,3-Jun-05,4-Jun-05,5-Jun-05,6-Jun-05,7-Jun-05,8-Jun-05,9-Jun-05,10-Jun-05,11-Jun-05,12-Jun-05,13-Jun-05,Capacity_y,14-Jun-05,15-Jun-05,16-Jun-05,17-Jun-05,18-Jun-05,19-Jun-05,20-Jun-05,21-Jun-05,22-Jun-05,23-Jun-05,24-Jun-05,25-Jun-05,26-Jun-05,Capacity,27-Jun-05,28-Jun-05,29-Jun-05,30-Jun-05
George County,250,250,249,248,248,248,248,248,248,249,248,248,248,248,250,248,250,250,250,250,250,250,250,248,249,250,250,250,250,250,250,0,0
Holmes County,250,250,250,248,248,248,250,250,250,249,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,249,250,250,250,0,0
Issaquena County,250,247,250,250,249,249,248,248,250,249,247,247,247,250,250,248,247,242,249,249,249,249,248,246,245,249,249,248,250,247,249,0,0
Jefferson County,250,250,249,247,247,247,249,250,249,249,250,250,250,247,250,247,249,249,249,250,250,250,248,248,247,250,250,250,250,250,252,0,0
Kemper County,250,249,249,249,249,249,249,249,249,249,249,249,249,249,250,249,243,243,242,242,242,242,241,241,243,242,242,242,250,242,241,0,0
Leake County,250,250,250,250,250,249,249,250,250,250,250,250,250,250,250,250,250,250,250,249,249,250,250,250,250,250,250,250,250,249,249,0,0
Marion County,250,249,247,248,248,248,250,250,249,249,250,250,250,250,250,250,248,248,249,249,249,249,249,250,249,249,249,249,250,249,250,0,0
Stone County,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,0,0
Winston County,250,250,250,247,246,246,246,251,250,250,250,250,250,250,250,250,250,250,249,249,249,249,250,250,249,250,250,250,250,250,250,0,0
PRIVATE PRISONS,"5,088","4,820","4,810","4,823","4,823","4,823","4,821","4,832","4,832","4,834","4,829","4,828","4,828","4,842","5,088","4,847","4,856","4,852","4,853","4,851","4,848","4,848","4,852","4,850","4,852","4,851","4,849","4,847","5,088","4,845","4,845",0,0
Delta,960,952,953,961,961,961,959,959,961,960,960,960,960,960,960,960,960,959,958,957,956,959,959,959,959,960,960,960,960,960,959,0,0
East Mississippi,"1,000",866,870,869,869,869,869,869,872,871,870,870,870,870,"1,000",872,871,871,874,874,873,873,872,872,875,875,875,875,"1,000",875,874,0,0
Marshall County,"1,000",993,993,994,994,994,993,993,992,994,994,993,993,993,"1,000",993,993,994,993,992,992,993,995,994,993,995,994,994,"1,000",995,994,0,0
Tallahatchie County,128,128,128,128,128,128,128,128,128,124,124,124,124,124,128,124,128,128,128,128,128,128,128,128,128,127,126,126,128,126,126,0,0
Walnut Grove,"1,000",900,888,893,893,893,895,899,896,901,900,900,900,908,"1,000",909,911,907,907,907,907,905,905,905,905,904,904,903,"1,000",903,902,0,0
Wilkinson County,"1,000",981,978,978,978,978,977,984,983,984,981,981,981,987,"1,000",989,993,993,993,993,992,990,993,992,992,990,990,989,"1,000",986,990,0,0
RESTITUTION CENTERS,16,10,12,12,12,12,12,15,15,15,14,14,14,15,16,15,15,15,15,15,15,15,15,15,15,14,14,14,16,15,15,0,0
Greenwood,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,6,6,6,0,0
Hinds,6,3,5,5,5,5,5,5,5,5,4,4,4,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,0,0
Pascagoula,4,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
GOVERNOR'S MANSION,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,0,0
E-CODE,,4,5,91,90,88,6,4,10,9,80,80,79,10,,7,4,5,65,65,65,6,5,4,5,62,61,60,,4,5,0,0
TOTALS,"22,082","20,827","20,623","20,788","20,770","20,768","20,819","20,869","20,887","20,924","20,921","20,914","20,911","20,916","22,082","20,928","20,940","20,896","20,875","20,869","20,864","20,885","20,899","20,906","20,928","20,909","20,888","20,877","22,082","20,802","20,873",0,0
