Location,Capacity_x_x,1-Feb-06,2-Feb-06,3-Feb-06,4-Feb-06,5-Feb-06,6-Feb-06,7-Feb-06,8-Feb-06,9-Feb-06,Capacity_y_x,10-Feb-06,11-Feb-06,12-Feb-06,13-Feb-06,14-Feb-06,15-Feb-06,16-Feb-06,17-Feb-06,18-Feb-06,Capacity_x_y,19-Feb-06,20-Feb-06,21-Feb-06,22-Feb-06,23-Feb-06,24-Feb-06,25-Feb-06,26-Feb-06,27-Feb-06,Capacity_y_y,28-Feb-06
George County,280,277,278,280,280,279,279,280,280,279,280,280,280,280,280,280,280,279,279,279,280,278,278,280,280,280,280,280,280,278,280,278
Holmes County,280,279,279,280,280,280,280,280,280,280,280,279,279,279,279,280,279,279,279,279,280,279,279,279,280,280,280,279,279,279,280,280
Issaquena County,274,271,270,273,272,271,271,273,273,274,274,274,274,274,273,273,272,273,273,273,274,273,271,273,273,273,271,270,269,274,274,274
Jefferson County,250,250,250,250,250,250,250,249,247,247,250,249,249,249,248,249,249,250,249,249,250,249,249,249,249,250,251,251,251,250,250,249
Kemper County,280,280,280,279,279,279,277,278,280,280,280,279,279,279,279,273,276,280,280,279,280,279,279,280,280,280,279,279,279,279,280,280
Leake County,280,279,280,280,280,280,280,280,279,280,280,280,280,280,280,280,280,280,279,279,280,279,279,280,280,280,280,280,280,280,280,280
Marion County,280,278,279,279,279,279,280,280,280,280,280,280,280,280,280,280,279,279,279,279,280,279,279,276,277,277,280,279,279,279,280,278
Stone County,280,279,279,280,280,280,280,280,280,279,280,279,279,279,279,279,279,280,280,280,280,280,280,280,279,278,278,278,278,278,280,280
Winston County,280,279,279,278,278,278,277,277,274,276,280,277,277,277,276,276,275,279,279,279,280,279,279,280,280,279,279,279,278,279,280,279
PRIVATE PRISONS,"5,100","4,756","4,744","4,754","4,751","4,750","4,748","4,750","4,765","4,760","5,100","4,752","4,751","4,751","4,745","4,744","4,733","4,737","4,737","4,736","5,100","4,735","4,735","4,723","4,749","4,750","4,751","4,748","4,743","4,755","5,100","4,772"
Delta,972,967,965,967,966,966,966,970,971,970,972,970,970,970,969,967,966,967,970,970,972,970,970,966,966,969,970,970,969,969,972,972
East Mississippi,"1,000",826,826,826,826,826,826,826,825,824,"1,000",823,823,823,821,820,819,818,817,817,"1,000",816,816,824,824,825,825,824,824,838,"1,000",854
Marshall County,"1,000",994,994,993,992,992,992,995,994,994,"1,000",991,991,991,988,994,990,990,994,993,"1,000",993,993,988,995,992,989,988,987,993,"1,000",992
Tallahatchie County,128,128,128,127,127,127,127,126,127,127,128,127,127,127,127,127,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128
Walnut Grove,"1,000",923,911,921,920,920,917,912,924,921,"1,000",919,919,919,922,922,918,916,911,911,"1,000",911,911,901,921,916,922,922,920,915,"1,000",916
Wilkinson County,"1,000",918,920,920,920,919,920,921,924,924,"1,000",922,921,921,918,914,912,918,917,917,"1,000",917,917,916,915,920,917,916,915,912,"1,000",910
RESTITUTION CENTERS,16,14,14,14,14,14,14,14,13,13,16,11,11,11,13,13,13,13,13,13,16,13,13,13,13,12,11,11,11,12,16,12
Greenwood,6,3,3,3,3,3,3,3,3,3,6,2,2,2,3,3,3,3,3,3,6,3,3,3,3,3,3,3,3,3,6,3
Hinds,6,6,6,6,6,6,6,6,6,6,6,5,5,5,6,6,6,6,6,6,6,6,6,6,6,5,4,4,4,5,6,5
Pascagoula,4,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
GOVERNOR'S MANSION,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
E-CODE,,4,2,60,63,59,7,8,7,7,,69,70,70,5,4,7,7,63,63,,64,9,7,9,9,55,54,53,4,,3
TOTALS,"22,241","20,808","20,827","20,828","20,815","20,804","20,817","20,853","20,865","20,895","22,241","20,866","20,845","20,840","20,825","20,821","20,831","20,821","20,827","20,802","22,241","20,796","20,783","20,816","20,856","20,836","20,839","20,830","20,816","20,806","22,241","20,815"
