Location,Capacity_x,1-Aug-01,2-Aug-01,3-Aug-01,4-Aug-01,5-Aug-01,6-Aug-01,7-Aug-01,8-Aug-01,9-Aug-01,10-Aug-01,Capacity_y,11-Aug-01,12-Aug-01,13-Aug-01,14-Aug-01,15-Aug-01,16-Aug-01,17-Aug-01,18-Aug-01,19-Aug-01,20-Aug-01,Capacity,21-Aug-01,22-Aug-01,23-Aug-01,24-Aug-01,25-Aug-01,26-Aug-01,27-Aug-01,28-Aug-01,29-Aug-01,30-Aug-01,31-Aug-01
Stone County,250,195,195,199,199,199,198,197,196,193,193,250,193,193,192,191,191,199,199,199,199,199,250,198,198,198,201,201,201,201,201,201,201,202
Winston County,250,199,200,197,196,196,196,194,194,194,198,250,198,198,196,195,195,197,197,197,197,197,250,197,197,197,197,197,197,197,200,200,200,200
PRIVATE PRISONS,"3,900","3,468","3,474","3,480","3,480","3,480","3,468","3,462","3,459","3,473","3,485","3,900","3,483","3,482","3,482","3,472","3,465","3,454","3,482","3,482","3,480","3,481","3,900","3,497","3,500","3,496","3,494","3,493","3,492","3,493","3,503","3,503","3,506","3,493"
Delta,"1,000",838,842,840,840,840,836,835,834,837,843,"1,000",843,843,842,841,840,838,842,842,840,840,"1,000",839,837,837,835,835,834,841,842,842,842,833
East MS,500,491,491,491,491,491,491,491,490,499,499,500,497,497,496,496,495,493,496,496,496,496,500,496,498,498,498,498,498,498,499,499,499,497
Marshall County,"1,000",864,866,866,866,866,862,859,859,861,868,"1,000",868,867,866,864,862,860,858,858,858,858,"1,000",872,871,863,864,863,863,859,870,871,866,865
Walnut Grove,500,403,403,405,405,405,404,404,403,405,404,500,404,404,407,407,406,399,398,398,398,400,500,401,405,405,404,404,404,403,399,400,409,408
Wilkinson County,900,872,872,878,878,878,875,873,873,871,871,900,871,871,871,864,862,864,888,888,888,887,900,889,889,893,893,893,893,892,893,891,890,890
RESITITUTION CENTERS,24,17,17,17,17,17,17,17,17,17,18,24,18,18,18,18,18,18,18,18,18,18,24,18,18,18,18,18,18,16,15,15,15,15
Greenwood,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Hinds,12,10,10,10,10,10,10,10,10,10,11,12,11,11,11,11,11,11,11,11,11,11,12,11,11,11,11,11,11,9,8,8,8,8
Pascagoula,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1
GOVERNOR'S MANSION,6,6,6,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
TOTALS,"20,747","18,555","18,569","18,507","18,505","18,522","18,556","18,533","18,512","18,527","18,498","20,747","18,490","18,479","18,503","18,495","18,509","18,471","18,435","18,434","18,427","18,488","20,747","18,483","18,485","18,502","18,489","18,492","18,485","18,506","18,527","18,540","18,534","18,544"
