Location,Capacity_x_x,1-Sep-06,2-Sep-06,3-Sep-06,4-Sep-06,5-Sep-06,6-Sep-06,7-Sep-06,8-Sep-06,9-Sep-06,Capacity_y_x,10-Sep-06,11-Sep-06,12-Sep-06,13-Sep-06,14-Sep-06,15-Sep-06,16-Sep-06,17-Sep-06,18-Sep-06,Capacity_x_y,19-Sep-06,20-Sep-06,21-Sep-06,22-Sep-06,23-Sep-06,24-Sep-06,25-Sep-06,26-Sep-06,27-Sep-06,Capacity_y_y,28-Sep-06,29-Sep-06,30-Sep-06
Bolivar County,294,294,293,293,293,290,294,293,292,292,294,291,289,289,291,290,293,293,293,293,294,293,292,294,294,293,293,294,294,292,294,292,294,294
Carroll County,280,279,279,279,277,279,279,280,280,279,280,278,279,279,278,279,280,280,280,280,280,280,280,280,278,278,278,278,279,280,280,281,281,281
George County,280,279,279,279,278,277,277,280,280,280,280,280,280,278,279,280,281,280,280,280,280,280,280,278,278,278,278,280,280,279,280,279,279,279
Holmes County,280,280,280,280,280,279,279,278,279,279,280,279,279,280,279,279,279,278,278,278,280,280,280,280,279,278,277,280,280,280,280,280,280,280
Issaquena County,274,273,273,273,272,272,273,273,273,273,274,273,271,273,272,273,273,273,272,275,274,275,274,273,273,273,273,274,274,274,274,274,273,272
Jefferson County,274,277,277,277,277,277,277,279,275,275,274,275,275,275,273,272,272,272,272,274,274,273,273,273,273,273,272,274,275,273,274,273,272,271
Kemper County,280,280,280,280,280,280,279,280,280,280,280,280,279,280,280,280,279,279,277,278,280,280,279,280,280,280,280,280,280,280,280,280,280,280
Leake County,280,280,280,280,280,280,280,280,280,280,280,280,280,280,279,280,279,279,279,280,280,280,280,280,280,280,280,279,280,280,280,280,280,280
Marion County,280,280,279,279,277,280,280,280,280,280,280,280,280,279,279,280,280,280,280,280,280,280,280,279,277,276,276,277,281,280,280,281,281,281
Stone County,280,278,278,277,277,276,279,279,279,279,280,279,279,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,279,278,278
Winston County,280,280,280,280,280,280,280,280,280,280,280,280,278,280,280,280,280,280,280,279,280,279,280,279,278,278,277,279,279,280,280,280,280,279
PRIVATE PRISONS,"5,100","4,890","4,887","4,880","4,879","4,875","4,865","4,868","4,873","4,871","5,100","4,871","4,874","4,869","4,858","4,863","4,870","4,869","4,868","4,868","5,100","4,870","4,864","4,859","4,862","4,860","4,857","4,868","4,865","4,867","5,100","4,866","4,870","4,867"
Delta,972,971,971,969,968,968,968,971,971,971,972,971,970,970,971,970,970,970,970,969,972,970,972,972,970,969,969,969,969,969,972,973,971,970
East Mississippi,"1,000",868,867,866,866,867,866,866,866,865,"1,000",865,865,865,865,862,862,862,861,861,"1,000",857,857,856,856,856,855,855,855,857,"1,000",854,854,853
Marshall County,"1,000",994,994,993,993,993,992,995,995,995,"1,000",995,994,994,994,995,993,993,993,993,"1,000",994,992,993,991,991,991,995,994,993,"1,000",993,993,992
Tallahatchie County,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,127,127,128,128,127,128,128,128,128,128,128,128
Walnut Grove,"1,000",954,953,951,951,950,950,946,946,945,"1,000",945,947,946,942,947,948,947,947,947,"1,000",947,944,940,948,947,947,947,945,946,"1,000",945,950,950
Wilkinson County,"1,000",975,974,973,973,969,961,962,967,967,"1,000",967,970,966,958,961,969,969,969,970,"1,000",974,972,971,969,969,968,974,974,974,"1,000",973,974,974
RESTITUTION CENTERS,16,11,11,11,11,11,11,11,13,13,16,13,14,14,14,14,16,15,15,16,16,13,14,14,13,13,13,15,14,15,16,15,15,15
Greenwood,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,4,4,4,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6
Hinds,6,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,9,8,8,8,6,5,5,5,4,4,4,6,5,6,6,6,6,6
Pascagoula,4,3,3,3,3,3,3,3,2,2,4,2,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3
GOVERNOR'S MANSION,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,4,6,5,5,5,5,5,5,5,5,5,6,5,5,5
E-CODE,,5,6,5,5,2,4,3,52,51,,49,1,0,0,3,43,41,41,4,,7,6,7,96,98,101,6,4,4,,5,43,43
TOTALS,"21,821","21,417","21,404","21,385","21,372","21,363","21,382","21,378","21,401","21,390","21,821","21,383","21,392","21,404","21,364","21,476","21,481","21,469","21,458","21,402","21,821","21,431","21,470","21,505","21,547","21,526","21,521","21,514","21,501","21,518","21,821","21,535","21,556","21,539"
