Location,Capacity_x,1-Mar-05,2-Mar-05,3-Mar-05,4-Mar-05,5-Mar-05,6-Mar-05,7-Mar-05,8-Mar-05,9-Mar-05,10-Mar-05,11-Mar-05,12-Mar-05,13-Mar-05,Capacity_y,14-Mar-05,15-Mar-05,16-Mar-05,17-Mar-05,18-Mar-05,19-Mar-05,20-Mar-05,21-Mar-05,22-Mar-05,23-Mar-05,24-Mar-05,25-Mar-05,26-Mar-05,Capacity,27-Mar-05,28-Mar-05,29-Mar-05,30-Mar-05,31-Mar-05
Winston County,250,250,250,247,247,247,247,250,250,250,250,249,249,249,250,249,250,250,249,249,249,249,250,250,249,248,248,248,250,248,0,0,0,0
PRIVATE PRISONS,"5,088","4,772","4,778","4,776","4,776","4,774","4,772","4,771","4,769","4,765","4,760","4,761","4,756","4,756","5,088","4,754","4,768","4,776","4,761","4,764","4,759","4,758","4,756","4,762","4,760","4,763","4,761","4,759","5,088","4,759",0,0,0,0
Delta,960,957,953,951,956,957,955,959,959,959,956,957,955,955,960,953,950,956,962,957,956,956,956,960,960,960,959,959,960,959,0,0,0,0
East Mississippi,"1,000",871,874,874,875,875,875,874,872,871,871,874,874,874,"1,000",874,874,873,870,873,872,871,870,870,870,870,869,869,"1,000",869,0,0,0,0
Marshall County,"1,000",992,996,994,992,991,991,991,995,994,994,992,992,992,"1,000",994,993,993,987,993,993,993,995,995,993,995,989,987,"1,000",987,0,0,0,0
Tallahatchie County,128,127,127,127,128,128,128,128,128,127,127,127,127,127,128,127,127,126,126,128,128,128,128,128,128,128,128,128,128,128,0,0,0,0
Walnut Grove,"1,000",838,842,839,836,835,835,832,833,833,834,833,832,832,"1,000",830,841,846,835,833,830,830,829,831,834,831,837,837,"1,000",837,0,0,0,0
Wilkinson County,"1,000",987,986,991,989,988,988,987,982,981,978,978,976,976,"1,000",976,983,982,981,980,980,980,978,978,975,979,979,979,"1,000",979,0,0,0,0
RESTITUTION CENTERS,18,13,13,14,14,14,14,14,14,14,13,12,12,12,18,12,12,12,13,12,12,12,13,13,13,13,13,13,18,13,0,0,0,0
Greenwood,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0
Hinds,6,5,5,5,5,5,5,5,5,5,4,4,4,4,6,4,4,4,5,4,4,4,5,5,5,5,5,5,6,5,0,0,0,0
Pascagoula,6,3,2,3,3,3,3,3,3,3,3,2,2,2,6,2,2,2,2,2,2,2,2,2,2,2,2,2,6,2,0,0,0,0
GOVERNOR'S MANSION,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,0,0,0,0
E-CODE,,6,6,8,53,53,54,8,8,9,10,47,47,53,,17,7,8,0,75,75,73,8,3,5,6,38,38,,40,0,0,0,0
TOTALS,"22,196","20,729","20,759","20,791","20,765","20,747","20,741","20,771","20,793","20,818","20,845","20,850","20,832","20,821","22,196","20,829","20,794","20,796","20,781","20,790","20,771","20,766","20,767","20,789","20,808","20,840","20,845","20,806","22,196","20,793",0,0,0,0
