Location,Capacity_x,1-Jun-02,2-Jun-02,3-Jun-02,4-Jun-02,5-Jun-02,6-Jun-02,7-Jun-02,8-Jun-02,9-Jun-02,10-Jun-02,Capacity_y,11-Jun-02,12-Jun-02,13-Jun-02,14-Jun-02,15-Jun-02,16-Jun-02,17-Jun-02,18-Jun-02,19-Jun-02,20-Jun-02,Capacity,21-Jun-02,22-Jun-02,23-Jun-02,24-Jun-02,25-Jun-02,26-Jun-02,27-Jun-02,28-Jun-02,29-Jun-02,30-Jun-02
Jackson Satellite Facility,75,68,68,74,74,74,75,73,73,73,74,75,75,75,75,68,68,68,74,74,74,74,75,71,71,71,73,72,74,74,74,74,74
Jefferson Satellite Facility,75,71,71,75,75,75,74,75,75,75,75,75,74,74,73,66,66,66,75,75,75,75,75,72,73,73,75,75,75,75,73,73,73
Leflore Satellite Facility,75,71,71,72,71,70,70,63,63,63,69,75,72,72,75,73,73,73,74,74,74,74,75,69,69,69,75,75,75,74,69,69,69
Madison Satellite Facility,75,73,73,75,75,75,75,70,70,70,73,75,75,74,75,73,73,73,74,72,71,69,75,65,65,65,74,74,75,75,74,74,74
Noxubee Satellite Facility,75,65,65,71,71,70,70,70,70,70,68,75,71,71,71,69,69,69,71,71,68,72,75,68,68,68,71,71,71,71,70,70,70
Pike Satellite Facility,75,75,75,74,74,74,73,72,72,72,74,75,74,74,74,74,74,74,74,73,73,71,75,69,69,69,74,74,74,74,74,74,74
Quitman Satellite Facility,75,55,55,56,56,56,56,53,53,53,55,75,65,71,71,71,71,69,70,70,67,66,75,62,62,62,66,65,65,65,65,65,65
Rankin Satellite Facility,128,126,126,126,125,121,119,113,113,113,123,128,123,123,123,123,123,123,123,123,125,125,128,125,125,124,126,126,125,128,128,128,128
Simpson Satellite Facility,75,72,72,74,73,74,72,71,71,71,71,75,71,71,71,66,66,66,72,72,75,75,75,73,73,73,75,73,75,75,75,75,75
Washington Satellite Facility,75,68,68,74,74,74,73,65,65,65,71,75,71,71,73,65,65,65,72,71,74,74,75,73,73,72,73,72,73,73,73,73,73
Wilikinson Satellite Facility,75,69,69,71,71,71,70,68,68,68,69,75,74,74,74,73,73,73,71,71,70,70,75,66,66,66,69,69,74,74,72,72,72
Yazoo Satellite Facility,75,68,68,75,74,74,74,65,65,65,72,75,73,73,75,72,72,72,72,75,70,69,75,68,68,68,69,69,69,70,68,68,68
REGIONAL CORRECTIONAL FACILITIES,"2,750","2,033","2,033","2,030","2,028","2,040","2,037","2,039","2,038","2,038","2,037","2,750","2,034","2,034","2,038","2,044","2,043","2,042","2,041","2,038","2,037","2,040","2,750","2,046","2,046","2,045","2,047","2,048","2,049","2,045","2,048","2,048","2,047"
Bolivar County,250,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0
Carroll County,250,198,198,197,197,200,201,201,201,201,201,250,201,201,201,201,201,201,201,201,200,200,250,200,200,200,199,201,201,201,201,201,201
George County (opened on May 10th),250,200,200,200,200,200,200,200,200,200,199,250,199,199,199,201,200,200,199,199,200,200,250,201,201,200,200,200,200,199,200,200,200
Holmes County,250,200,200,200,199,200,200,200,200,200,200,250,200,199,200,200,200,200,200,200,199,200,250,200,200,200,201,201,201,201,201,201,201
Issaquena County,250,199,199,198,197,200,200,200,199,199,199,250,199,198,198,200,200,200,199,199,200,199,250,201,201,201,202,201,201,200,200,200,200
Jefferson County,250,212,212,212,212,212,211,211,211,211,211,250,211,211,213,213,213,213,213,213,213,213,250,213,213,213,213,213,214,214,214,214,214
Kemper County,250,225,225,224,224,225,224,226,226,226,226,250,226,227,227,226,226,226,228,226,225,227,250,227,227,227,227,227,227,225,227,227,227
Leake County,250,200,200,200,200,200,200,200,200,200,200,250,200,200,201,203,203,202,200,200,199,198,250,200,200,200,200,200,200,200,200,200,199
Marion County,250,198,198,198,198,201,200,199,199,199,198,250,197,198,198,202,202,202,202,202,202,202,250,203,203,203,203,203,203,203,203,203,203
Stone County,250,200,200,200,200,200,200,201,201,201,203,250,201,201,201,198,198,198,198,197,200,200,250,200,200,200,200,200,200,200,200,200,200
Winston County,250,201,201,201,201,202,201,201,201,201,200,250,200,200,200,200,200,200,201,201,199,201,250,201,201,201,202,202,202,202,202,202,202
PRIVATE PRISONS,"4,750","3,586","3,585","3,585","3,589","3,593","3,587","3,598","3,598","3,597","3,607","4,750","3,609","3,606","3,605","3,602","3,600","3,600","3,604","3,600","3,600","3,602","4,750","3,598","3,596","3,596","3,611","3,608","3,604","3,604","3,614","3,613","3,613"
Delta,"1,000",842,842,842,840,846,844,844,844,844,844,"1,000",846,844,843,843,843,843,843,843,841,843,"1,000",843,842,842,845,845,844,844,844,843,843
East MS,"1,000",500,500,500,499,500,499,499,499,499,499,"1,000",499,500,500,500,500,500,500,500,500,499,"1,000",499,499,499,503,502,501,500,501,501,501
Marshall County,"1,000",867,866,866,874,871,870,869,869,868,874,"1,000",874,872,872,871,871,871,871,869,871,870,"1,000",869,869,869,873,873,872,874,873,873,873
Walnut Grove,750,508,508,508,508,507,505,518,518,518,517,750,517,517,517,515,513,513,513,512,512,509,750,508,508,508,507,505,505,503,500,500,500
Wilkinson County,"1,000",869,869,869,868,869,869,868,868,868,873,"1,000",873,873,873,873,873,873,877,876,876,881,"1,000",879,878,878,883,883,882,883,896,896,896
RESITITUTION CENTERS,24,16,16,16,16,16,16,14,14,14,16,24,16,17,17,17,17,17,17,17,17,16,24,16,16,16,16,16,16,16,16,16,16
Greenwood,6,6,6,6,6,6,6,4,4,4,6,6,6,6,6,6,6,6,6,6,6,5,6,5,5,5,5,5,5,5,5,5,5
Hinds,12,8,8,8,8,8,8,8,8,8,8,12,8,9,9,9,9,9,9,9,9,9,12,9,9,9,9,9,9,9,9,9,9
Pascagoula,6,2,2,2,2,2,2,2,2,2,2,6,2,2,2,2,2,2,2,2,2,2,6,2,2,2,2,2,2,2,2,2,2
GOVERNOR'S MANSION,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
TOTALS,"21,807","18,948","18,943","19,024","19,022","19,051","18,992","19,029","19,024","19,015","19,092","21,807","19,128","19,148","19,186","19,142","19,137","19,135","19,186","19,218","19,233","19,228","21,807","19,171","19,171","19,167","19,222","19,229","19,227","19,221","19,210","19,205","19,206"
