Location,Capacity_x_x,1-Nov-09,2-Nov-09,3-Nov-09,4-Nov-09,5-Nov-09,6-Nov-09,7-Nov-09,8-Nov-09,9-Nov-09,Capacity_y_x,10-Nov-09,11-Nov-09,12-Nov-09,13-Nov-09,14-Nov-09,15-Nov-09,16-Nov-09,17-Nov-09,18-Nov-09,Capacity_x_y,19-Nov-09,20-Nov-09,21-Nov-09,22-Nov-09,23-Nov-09,24-Nov-09,25-Nov-09,26-Nov-09,27-Nov-09,Capacity_y_y,28-Nov-09,29-Nov-09,30-Nov-09,Unnamed: 5,Avg Population
Pike Satellite Facility,93,70,71,71,70,71,69,69,69,69,93,67,68,67,64,64,64,68,69,79,93,79,85,85,85,85,86,86,85,84,93,84,84,83,,75
Quitman Satellite Facility,93,75,79,83,83,82,84,84,84,84,93,86,86,84,82,82,82,89,90,90,93,90,89,89,89,92,91,87,87,87,93,87,87,87,,86
Rankin Satellite Facility,260,245,252,252,252,251,248,248,248,248,260,248,248,241,244,244,244,249,249,249,260,253,253,253,253,247,243,253,253,253,260,253,253,252,,249
Simpson Satellite Facility,102,99,102,102,101,100,101,101,101,102,102,102,101,102,98,98,98,102,102,102,102,102,102,102,102,102,99,102,101,101,102,101,101,99,,101
Washington Satellite Facility,102,68,76,76,75,75,82,82,82,83,102,83,83,80,77,77,77,82,97,96,102,101,101,100,100,100,100,100,100,100,102,99,99,101,,88
Wilkinson Satellite Facility,102,102,102,102,102,102,102,102,102,102,102,102,102,97,99,99,99,100,101,100,102,97,97,97,96,95,95,99,99,99,102,99,99,99,,100
Yazoo Satellite Facility,102,91,98,98,96,96,100,100,100,102,102,98,98,96,99,99,99,100,100,100,102,100,102,102,101,101,96,99,99,99,102,98,98,97,,99
REGIONAL CORRECTIONAL FACILITIES,"3,163","2,998","2,998","2,999","3,002","2,998","2,992","2,989","2,988","2,982","3,163","2,967","2,964","2,940","2,911","2,910","2,909","2,883","2,867","2,851","3,163","2,834","2,818","2,816","2,814","2,810","2,797","2,790","2,790","2,789","3,163","2,787","2,783","2,751",,"2,891"
Bolivar County,294,280,279,279,280,280,279,279,279,278,294,276,276,275,271,271,271,266,265,265,294,256,254,254,254,253,249,248,248,247,294,247,245,238,,265
Carroll County,280,263,266,266,266,266,266,266,266,266,280,265,263,262,256,256,256,255,255,255,280,253,248,248,248,248,243,243,243,243,280,243,243,236,,255
George County,280,264,263,264,264,264,264,264,264,263,280,263,263,259,259,259,259,259,256,250,280,250,249,248,247,247,247,246,246,246,280,246,245,244,,255
Holmes County,280,265,266,265,264,264,262,262,262,262,280,262,262,262,260,260,260,260,259,257,280,257,256,256,256,256,256,256,256,256,280,256,256,241,,259
Issaquena County,274,259,259,258,259,258,258,257,257,257,274,257,256,251,247,247,246,246,246,243,274,240,238,238,237,237,236,236,236,236,274,236,236,236,,247
Jefferson County,280,266,266,266,265,265,264,264,264,264,280,259,259,250,250,250,250,249,242,242,280,242,242,242,242,242,242,242,242,242,280,242,242,242,,251
Kemper County,355,341,340,340,342,342,341,341,340,340,355,337,337,338,338,338,338,334,334,329,355,327,326,326,326,324,322,320,320,320,355,319,319,318,,332
Leake County,280,265,265,266,267,266,266,266,266,266,280,265,265,265,258,258,258,253,253,253,280,253,252,252,252,252,252,252,252,252,280,252,251,250,,258
Marion County,280,266,265,265,265,265,265,265,265,265,280,264,264,263,262,262,262,262,262,262,280,261,261,260,260,260,260,259,259,259,280,259,259,259,,262
Stone County,280,263,264,265,265,265,264,263,263,260,280,260,260,256,252,252,252,252,248,248,280,248,245,245,245,244,243,241,241,241,280,241,241,241,,252
Winston County,280,266,265,265,265,263,263,262,262,261,280,259,259,259,258,257,257,247,247,247,280,247,247,247,247,247,247,247,247,247,280,246,246,246,,254
PRIVATE PRISONS,"5,972","5,524","5,497","5,491","5,542","5,523","5,505","5,501","5,500","5,485","5,972","5,478","5,477","5,460","5,417","5,415","5,413","5,397","5,379","5,373","5,972","5,355","5,354","5,352","5,351","5,340","5,332","5,333","5,332","5,328","5,972","5,326","5,324","5,319",,"5,414"
Delta,972,953,952,952,954,951,949,949,949,947,972,948,948,947,933,933,933,931,928,925,972,919,918,918,918,916,914,910,910,908,972,908,908,906,,931
East Mississippi,"1,500","1,358","1,358","1,358","1,360","1,358","1,356","1,356","1,356","1,354","1,500","1,353","1,353","1,350","1,349","1,348","1,347","1,341","1,340","1,340","1,500","1,340","1,340","1,340","1,339","1,336","1,330","1,329","1,329","1,329","1,500","1,327","1,327","1,327",,"1,344"
Marshall County,"1,000",983,983,983,0,982,981,980,979,969,"1,000",968,968,966,962,962,961,961,951,949,"1,000",948,947,946,946,946,938,938,937,936,"1,000",936,936,934,,926
Walnut Grove,"1,500","1,258","1,229","1,224","1,274","1,267","1,256","1,255","1,255","1,255","1,500","1,250","1,250","1,239","1,216","1,216","1,216","1,210","1,206","1,205","1,500","1,199","1,200","1,199","1,199","1,193","1,200","1,208","1,208","1,207","1,500","1,207","1,205","1,202",,"1,224"
Wilkinson County,"1,000",972,975,974,971,965,963,961,961,960,"1,000",959,958,958,957,956,956,954,954,954,"1,000",949,949,949,949,949,950,948,948,948,"1,000",948,948,950,,956
RESTITUTION CENTERS,16,9,9,9,9,9,9,9,9,9,16,9,9,9,9,9,9,9,9,9,16,9,9,9,9,9,9,10,10,10,16,10,10,10,,9
Greenwood,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,6,6,6,6,6,6,6,,5
Hinds,6,2,2,2,2,2,2,2,2,2,6,2,2,2,2,2,2,2,2,2,6,2,2,2,2,2,2,2,2,2,6,2,2,2,,2
Pascagoula,4,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,4,2,2,2,,2
GOVERNOR'S MANSION,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,5
E-CODE,0,47,8,7,9,10,28,25,25,7,0,6,6,8,61,64,64,12,10,12,0,15,10,9,9,11,8,8,9,8,0,8,9,10,,17
TOTALS,"23,807","21,493","21,487","21,492","21,489","21,499","21,531","21,519","21,514","21,516","23,807","21,540","21,528","21,437","21,419","21,416","21,411","21,418","21,439","21,482","23,807","21,493","21,470","21,462","21,455","21,502","21,483","21,492","21,442","21,433","23,807","21,424","21,414","21,459",,"21,472"
