Location,Capacity_x,1-Aug-05,2-Aug-05,3-Aug-05,4-Aug-05,5-Aug-05,6-Aug-05,7-Aug-05,8-Aug-05,9-Aug-05,10-Aug-05,11-Aug-05,12-Aug-05,13-Aug-05,Capacity_y,14-Aug-05,15-Aug-05,16-Aug-05,17-Aug-05,18-Aug-05,19-Aug-05,20-Aug-05,21-Aug-05,22-Aug-05,23-Aug-05,24-Aug-05,25-Aug-05,26-Aug-05,Capacity,27-Aug-05,28-Aug-05,29-Aug-05,30-Aug-05,31-Aug-05
Jackson Satellite Facility,102,92,91,90,90,86,86,86,87,85,87,88,90,90,102,90,95,95,97,99,100,100,100,99,98,98,99,99,102,99,99,99,99,99
Jefferson Satellite Facility,102,90,90,90,88,87,86,86,87,87,87,87,86,86,102,85,86,92,92,91,85,85,85,89,94,95,95,92,102,92,92,94,95,95
Leflore Satellite Facility,102,99,100,100,99,98,98,98,101,101,101,101,99,99,102,99,102,102,102,101,100,100,100,101,100,98,97,92,102,92,91,95,95,95
Madison Satellite Facility,102,102,102,101,102,100,100,99,100,102,102,102,102,102,102,102,101,102,101,102,99,99,99,102,102,102,101,99,102,99,99,100,101,101
Noxubee Satellite Facility,92,89,89,89,90,87,87,87,90,91,91,90,89,88,92,89,90,90,89,89,87,87,87,92,92,92,92,92,92,92,92,92,92,92
Pike Satellite Facility,93,75,73,78,78,78,77,76,75,74,74,74,73,72,93,72,73,72,76,76,75,75,74,72,71,71,74,73,93,71,70,70,70,70
Quitman Satellite Facility,93,72,72,72,72,70,70,70,72,72,72,71,71,71,93,71,71,71,71,71,70,70,70,70,69,78,77,76,93,76,76,77,77,77
Rankin Satellite Facility,228,213,213,224,224,217,217,217,223,223,223,222,215,215,228,215,219,219,222,221,219,219,219,222,222,222,225,223,228,223,224,224,224,224
Simpson Satellite Facility,102,99,100,100,99,95,95,95,95,94,94,93,90,90,102,90,97,96,91,90,88,88,88,89,100,99,99,97,102,97,97,97,90,89
Washington Satellite Facility,102,99,99,98,98,96,96,96,102,101,101,101,100,99,102,99,100,100,98,96,97,97,97,97,98,97,97,94,102,94,94,101,101,101
Wilkinson Satellite Facility,102,93,93,93,95,92,92,92,95,98,98,97,95,95,102,95,97,97,97,97,94,94,94,99,98,97,97,94,102,94,97,97,97,97
Yazoo Satellite Facility,102,97,101,101,102,101,101,101,101,101,99,99,97,96,102,96,101,101,101,102,95,95,95,98,96,93,93,91,102,91,91,92,89,89
REGIONAL CORRECTIONAL FACILITIES,"2,968","2,819","2,823","2,822","2,836","2,856","2,855","2,854","2,854","2,854","2,857","2,856","2,854","2,852","2,968","2,844","2,854","2,857","2,879","2,896","2,901","2,901","2,897","2,900","2,899","2,913","2,943","2,957","2,968","2,953","2,951","2,954","2,951","2,948"
Bolivar County,294,247,248,247,249,249,249,249,248,245,249,249,250,249,294,248,249,250,271,294,294,294,293,292,294,292,292,292,294,291,290,293,293,291
Carroll County,250,249,249,250,250,250,250,250,250,250,250,250,248,247,250,247,245,249,249,248,249,249,249,250,250,250,250,250,250,250,250,250,250,250
George County,250,249,249,249,249,250,250,250,248,249,249,249,249,249,250,247,251,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,249,249
Holmes County,280,250,249,249,249,249,249,249,249,248,248,248,250,250,280,249,250,249,248,246,247,247,247,249,249,265,280,279,280,279,279,279,278,278
Issaquena County,274,268,273,272,270,272,272,271,272,272,272,272,271,271,274,269,270,270,273,273,274,274,274,274,274,274,274,274,274,272,272,272,272,271
Jefferson County,250,250,250,248,247,246,245,245,247,250,250,250,249,249,250,249,250,250,250,249,249,249,249,249,249,250,250,249,250,249,249,249,248,248
Kemper County,280,249,246,248,262,280,280,280,280,280,279,278,279,279,280,279,279,280,279,278,279,279,279,279,280,277,277,280,280,279,278,278,278,278
Leake County,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,278,281,280,280,280,280,280,279,280,280,280,280,280,280,280,280,280,280,280
Marion County,280,250,250,250,250,250,250,250,250,250,250,250,250,250,280,250,250,249,249,249,250,250,250,249,245,245,260,275,280,275,275,275,275,275
Stone County,280,278,279,279,280,280,280,280,280,280,280,280,278,278,280,278,280,280,280,280,280,280,279,280,280,280,280,278,280,278,278,278,278,278
Winston County,250,249,250,250,250,250,250,250,250,250,250,250,250,250,250,250,249,250,250,249,249,249,248,248,248,250,250,250,250,250,250,250,250,250
PRIVATE PRISONS,"5,100","4,872","4,872","4,869","4,850","4,856","4,855","4,853","4,854","4,851","4,857","4,855","4,865","4,864","5,100","4,860","4,867","4,868","4,865","4,848","4,870","4,869","4,864","4,863","4,869","4,869","4,869","4,867","5,100","4,865","4,863","4,862","4,861","4,855"
Delta,972,968,966,967,967,967,967,967,966,965,967,967,968,968,972,968,969,968,969,968,969,969,968,969,971,970,969,970,972,970,969,969,969,968
East Mississippi,"1,000",875,875,875,874,874,874,872,873,873,873,869,871,871,"1,000",871,869,868,868,868,872,872,872,873,873,873,873,874,"1,000",874,874,873,873,871
Marshall County,"1,000",995,995,995,993,994,993,993,993,991,990,992,994,993,"1,000",992,992,994,994,993,995,994,993,992,995,995,995,995,"1,000",995,995,992,992,992
Tallahatchie County,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,127,127,127,127,127,128,128,128,127,128,127,127,127,127,127
Walnut Grove,"1,000",922,920,918,919,915,915,915,916,915,914,914,920,920,"1,000",920,922,925,923,910,921,921,920,919,920,924,924,922,"1,000",921,920,924,924,923
Wilkinson County,"1,000",984,988,986,969,978,978,978,978,979,985,985,984,984,"1,000",981,987,985,983,982,986,986,984,983,982,979,980,979,"1,000",978,978,977,976,974
RESTITUTION CENTERS,16,10,9,9,9,9,9,9,11,11,11,11,13,13,16,13,13,12,12,12,11,11,11,11,11,12,12,12,16,12,12,12,12,12
Greenwood,6,3,2,2,2,2,2,2,4,4,4,4,4,4,6,4,4,4,4,4,3,3,3,4,4,4,4,4,6,4,4,4,4,4
Hinds,6,3,3,3,3,3,3,3,3,3,3,3,5,5,6,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6
Pascagoula,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,4,2,2,2,2,2
GOVERNOR'S MANSION,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5
E-CODE,,7,6,5,4,45,45,44,7,8,8,8,41,43,,42,8,6,0,0,38,38,38,4,6,7,6,28,,30,25,5,5,3
TOTALS,"22,301","20,839","20,844","20,844","20,827","20,823","20,806","20,796","20,782","20,749","20,762","20,791","20,808","20,799","22,301","20,777","20,801","20,804","20,820","20,808","20,808","20,795","20,773","20,802","20,833","20,848","20,898","20,905","22,301","20,891","20,880","20,838","20,831","20,809"
