Location,Capacity_x,1-Apr-03,2-Apr-03,3-Apr-03,4-Apr-03,5-Apr-03,6-Apr-03,7-Apr-03,8-Apr-03,9-Apr-03,10-Apr-03,11-Apr-03,12-Apr-03,Capacity_y,13-Apr-03,14-Apr-03,15-Apr-03,16-Apr-03,17-Apr-03,18-Apr-03,19-Apr-03,20-Apr-03,21-Apr-03,22-Apr-03,23-Apr-03,Capacity,24-Apr-03,25-Apr-03,26-Apr-03,27-Apr-03,28-Apr-03,29-Apr-03,30-Apr-03
Marion County,250,226,226,226,226,226,226,226,226,226,226,232,232,250,232,235,234,234,234,234,234,234,234,235,235,250,235,235,235,235,235,235,235
Stone County,250,225,225,226,226,226,226,226,227,227,227,235,235,250,235,235,235,231,230,230,230,230,235,235,234,250,232,235,234,234,234,235,235
Winston County,250,226,226,226,231,231,231,230,229,229,229,232,232,250,232,232,231,231,234,234,234,234,234,234,235,250,235,235,235,235,235,235,235
PRIVATE PRISONS,"3,750","3,369","3,375","3,370","3,364","3,361","3,361","3,358","3,356","3,351","3,351","3,336","3,336","3,750","3,334","3,328","3,329","3,347","3,363","3,374","3,373","3,373","3,373","3,376","3,376","3,750","3,374","3,384","3,383","3,383","3,383","3,378","3,379"
East MS,"1,000",681,681,680,679,676,676,676,673,671,671,670,670,"1,000",668,667,668,674,683,682,681,681,683,683,682,"1,000",681,683,683,683,683,682,682
Marshall County,"1,000",983,987,985,986,986,986,984,980,979,979,985,985,"1,000",985,980,979,979,977,989,989,989,987,986,986,"1,000",984,995,995,995,995,993,991
Walnut Grove,750,716,717,716,711,711,711,711,716,715,715,714,714,750,714,714,715,717,716,716,716,716,717,716,717,750,718,716,716,716,716,714,715
Wilkinson County,"1,000",989,990,989,988,988,988,987,987,986,986,967,967,"1,000",967,967,967,977,987,987,987,987,986,991,991,"1,000",991,990,989,989,989,989,991
RESITITUTION CENTERS,24,13,13,13,13,13,13,13,13,13,13,11,11,24,11,12,12,12,12,12,12,12,12,12,12,24,12,12,12,12,12,12,12
Greenwood,6,6,6,6,6,6,6,6,6,6,6,4,4,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Hinds,12,5,5,5,5,5,5,5,5,5,5,5,5,12,5,4,4,4,4,4,4,4,4,4,4,12,4,4,4,4,4,4,4
Pascagoula,6,2,2,2,2,2,2,2,2,2,2,2,2,6,2,2,2,2,2,2,2,2,2,2,2,6,2,2,2,2,2,2,2
GOVERNOR'S MANSION,6,6,6,6,6,6,6,6,6,6,6,5,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,6,6,6
TOTALS,"21,211","20,172","20,182","20,177","20,157","20,147","20,143","20,177","20,172","20,172","20,190","20,172","20,169","21,211","20,162","20,183","20,214","20,240","20,260","20,276","20,274","20,272","20,279","20,282","20,305","21,211","20,325","20,301","20,296","20,289","20,303","20,293","20,289"
