Location,Capacity_x_x,1-Dec-08,2-Dec-08,3-Dec-08,4-Dec-08,5-Dec-08,6-Dec-08,7-Dec-08,8-Dec-08,9-Dec-08,Capacity_y_x,10-Dec-08,11-Dec-08,12-Dec-08,13-Dec-08,14-Dec-08,15-Dec-08,16-Dec-08,17-Dec-08,18-Dec-08,Capacity_x_y,19-Dec-08,20-Dec-08,21-Dec-08,22-Dec-08,23-Dec-08,24-Dec-08,25-Dec-08,26-Dec-08,27-Dec-08,Capacity_y_y,28-Dec-08,29-Dec-08,30-Dec-08,31-Dec-08,Unnamed: 6,Avg Population
Winston County,280,280,280,280,279,279,279,279,280,280,280,280,280,280,280,280,279,280,280,280,280,280,279,279,280,279,279,279,279,279,280,279,279,279,279,,279
PRIVATE PRISONS,"5,972","5,548","5,548","5,572","5,564","5,544","5,538","5,538","5,515","5,505","5,972","5,504","5,502","5,495","5,490","5,490","5,499","5,498","5,499","5,495","5,972","5,501","5,496","5,495","5,497","5,498","5,501","5,497","5,497","5,491","5,972","5,490","5,480","5,500","5,502",,"5,509"
Delta,972,969,971,971,970,967,966,966,964,962,972,961,961,959,958,958,957,956,955,955,972,956,956,956,955,954,956,955,955,955,972,955,955,957,955,,960
East Mississippi,"1,500","1,362","1,366","1,371","1,372","1,369","1,369","1,369","1,367","1,362","1,500","1,358","1,357","1,357","1,354","1,354","1,361","1,361","1,361","1,358","1,500","1,360","1,359","1,359","1,360","1,362","1,360","1,358","1,358","1,357","1,500","1,356","1,358","1,360","1,360",,"1,361"
Marshall County,"1,000",996,994,"1,000",999,996,994,994,982,979,"1,000",982,982,983,983,983,982,982,982,982,"1,000",982,980,980,979,983,982,981,981,979,"1,000",979,981,979,983,,985
Walnut Grove,"1,500","1,234","1,228","1,242","1,236","1,227","1,226","1,226","1,223","1,224","1,500","1,225","1,227","1,224","1,223","1,223","1,223","1,223","1,225","1,225","1,500","1,228","1,226","1,226","1,226","1,224","1,226","1,226","1,226","1,224","1,500","1,224","1,211","1,228","1,227",,"1,226"
Wilkinson County,"1,000",987,989,988,987,985,983,983,979,978,"1,000",978,975,972,972,972,976,976,976,975,"1,000",975,975,974,977,975,977,977,977,976,"1,000",976,975,976,977,,978
RESTITUTION CENTERS,16,12,12,13,13,12,12,12,12,12,16,12,12,13,13,13,12,12,12,12,16,12,12,12,12,12,12,12,12,12,16,12,11,11,11,,12
Greenwood,6,4,4,4,4,4,4,4,4,4,6,4,4,5,5,5,4,4,4,4,6,4,4,4,4,4,4,4,4,4,6,4,4,4,4,,4
Hinds,6,4,4,5,5,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,6,4,4,4,4,,4
Pascagoula,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,,4
GOVERNOR'S MANSION,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,6
E-CODE,0,4,7,11,9,10,8,8,8,9,0,7,6,5,5,5,6,10,14,14,0,13,8,8,9,13,0,10,7,6,0,5,7,7,5,,8
TOTALS,"24,019","22,922","22,943","22,946","22,975","22,959","22,939","22,930","22,948","22,925","24,019","22,932","22,943","22,937","22,924","22,915","22,924","22,959","22,946","22,929","24,019","22,919","22,906","22,902","22,888","22,892","22,856","22,851","22,843","22,832","24,019","22,824","22,818","22,813","22,811",,"22,905"
