Location,Capacity_x_x,1-Jul-08,2-Jul-08,3-Jul-08,4-Jul-08,5-Jul-08,6-Jul-08,7-Jul-08,8-Jul-08,9-Jul-08,Capacity_y_x,10-Jul-08,11-Jul-08,12-Jul-08,13-Jul-08,14-Jul-08,15-Jul-08,16-Jul-08,17-Jul-08,18-Jul-08,Capacity_x_y,19-Jul-08,20-Jul-08,21-Jul-08,22-Jul-08,23-Jul-08,24-Jul-08,25-Jul-08,26-Jul-08,27-Jul-08,Capacity_y_y,28-Jul-08,29-Jul-08,30-Jul-08,31-Jul-08,Avg Population
Jackson Satellite Facility,102,102,102,101,101,100,100,100,101,100,102,102,98,98,98,101,102,102,101,98,102,97,97,98,98,98,97,95,95,94,102,94,97,97,99,99
Jefferson Satellite Facility,102,102,101,101,101,101,101,101,100,98,102,95,92,92,92,95,95,101,100,97,102,97,97,100,99,99,98,102,102,102,102,101,99,99,95,99
Leflore Satellite Facility,102,100,98,102,102,101,101,101,101,99,102,102,94,94,94,96,96,96,95,96,102,96,96,97,96,99,99,94,94,94,102,100,100,99,99,98
Madison Satellite Facility,102,101,101,101,101,101,101,101,102,101,102,101,100,100,100,101,101,99,99,98,102,98,98,96,101,101,99,99,99,99,102,102,102,102,100,100
Noxubee Satellite Facility,92,89,89,89,89,90,90,89,92,92,92,92,87,87,87,92,92,90,92,91,92,91,91,91,91,91,90,89,89,89,92,89,91,90,90,90
Pike Satellite Facility,93,88,87,87,86,86,86,84,88,88,93,92,88,88,88,91,90,90,89,89,93,89,89,88,88,88,85,84,84,84,93,84,83,81,86,87
Quitman Satellite Facility,93,90,90,90,90,90,90,90,91,93,93,93,85,85,85,93,92,91,91,89,93,89,89,92,91,91,91,86,86,86,93,91,92,92,92,90
Rankin Satellite Facility,260,249,248,250,247,246,245,243,249,249,260,250,246,246,246,249,248,248,248,245,260,245,245,247,250,250,250,243,243,243,260,250,250,244,207,246
Simpson Satellite Facility,102,99,99,99,98,97,97,98,100,99,102,99,93,93,93,97,98,101,100,97,102,98,98,100,100,100,99,97,96,97,102,101,101,100,99,98
Washington Satellite Facility,102,100,100,102,102,102,102,99,98,96,102,96,95,95,95,99,99,99,98,92,102,91,91,94,94,94,94,94,94,93,102,93,94,93,93,96
Wilkinson Satellite Facility,102,102,102,99,99,99,99,98,98,101,102,100,95,95,94,99,99,98,98,94,102,94,94,95,92,92,100,99,99,99,102,97,94,94,94,97
Yazoo Satellite Facility,102,100,100,98,98,98,98,98,101,100,102,100,97,97,97,101,100,99,99,96,102,96,95,95,94,95,102,101,101,101,102,99,96,96,96,98
REGIONAL CORRECTIONAL FACILITIES,"3,088","3,081","3,073","3,083","3,081","3,081","3,079","3,078","3,079","3,070","3,088","3,070","3,081","3,080","3,078","3,078","3,079","3,069","3,077","3,079","3,088","3,077","3,077","3,076","3,081","3,087","3,085","3,080","3,080","3,076","3,088","3,078","3,083","3,087","3,086","3,079"
Bolivar County,294,293,295,294,294,294,294,294,292,292,294,294,294,294,294,294,293,292,291,293,294,293,293,293,294,294,293,291,291,291,294,291,292,294,292,293
Carroll County,280,279,275,279,279,279,279,279,280,280,280,280,278,278,278,278,280,280,280,280,280,280,280,280,280,280,280,279,279,279,280,280,281,281,280,279
George County,280,278,276,280,279,279,279,278,278,278,280,277,277,276,274,278,278,277,279,279,280,278,278,277,279,278,278,280,280,279,280,278,280,280,280,278
Holmes County,280,280,278,280,280,280,280,280,280,280,280,280,280,280,280,280,279,276,280,280,280,280,280,280,279,280,280,280,280,279,280,280,280,279,279,280
Issaquena County,274,275,274,274,273,273,273,273,274,272,274,268,272,272,272,270,272,271,272,272,274,272,272,271,273,275,275,273,273,273,274,273,273,273,274,273
Jefferson County,280,280,280,280,280,280,279,277,277,275,280,278,282,282,282,282,281,281,280,280,280,280,280,279,279,281,281,281,281,281,280,281,281,281,281,280
Kemper County,280,280,280,280,280,280,279,280,280,279,280,278,280,280,280,280,280,279,280,280,280,280,280,279,280,280,280,280,280,280,280,280,280,280,280,280
Leake County,280,280,280,280,280,280,280,280,280,277,280,277,280,280,280,279,280,277,277,278,280,278,278,280,280,280,280,278,278,278,280,281,281,279,279,279
Marion County,280,280,280,278,278,278,278,278,279,277,280,279,279,279,279,278,277,277,279,278,280,278,278,279,279,279,279,279,279,279,280,277,277,281,282,279
Stone County,280,276,276,279,279,279,279,279,279,280,280,279,279,279,279,279,279,279,280,280,280,279,279,280,280,280,279,279,279,279,280,279,279,279,280,279
Winston County,280,280,279,279,279,279,279,280,280,280,280,280,280,280,280,280,280,280,279,279,280,279,279,278,278,280,280,280,280,278,280,278,279,280,279,279
PRIVATE PRISONS,"4,972","4,807","4,796","4,797","4,795","4,792","4,790","4,786","4,796","4,797","4,972","4,801","4,803","4,799","4,795","4,799","4,802","4,800","4,802","4,797","4,972","4,797","4,797","4,794","4,795","4,794","4,793","4,796","4,794","4,791","4,972","4,787","4,792","4,790","4,801","4,796"
Delta,972,973,966,968,968,968,967,969,970,971,972,970,970,968,967,970,969,969,970,970,972,970,970,970,970,970,970,972,972,972,972,969,966,965,967,969
East Mississippi,"1,000",898,897,896,895,893,893,892,891,892,"1,000",892,892,891,890,891,892,892,888,885,"1,000",885,885,883,883,884,883,883,882,882,"1,000",882,882,887,889,889
Marshall County,"1,000",999,998,"1,000","1,000",999,999,999,999,998,"1,000","1,001","1,000","1,000","1,000",999,998,"1,000","1,000","1,000","1,000","1,000","1,000","1,000",998,999,999,"1,001","1,000",998,"1,000","1,000","1,000",999,999,999
Walnut Grove,"1,000",953,953,951,950,950,949,944,949,950,"1,000",949,952,951,950,949,953,950,953,951,"1,000",951,951,951,953,949,949,947,947,946,"1,000",944,952,947,954,950
Wilkinson County,"1,000",984,982,982,982,982,982,982,987,986,"1,000",989,989,989,988,990,990,989,991,991,"1,000",991,991,990,991,992,992,993,993,993,"1,000",992,992,992,992,989
RESTITUTION CENTERS,16,12,12,12,12,12,12,12,12,13,16,13,12,12,12,13,13,12,12,13,16,12,10,10,10,10,10,10,11,10,16,10,13,12,12,12
Greenwood,6,5,5,5,5,5,5,5,5,5,6,5,4,4,4,5,5,5,5,5,6,5,3,3,3,3,3,3,3,3,6,3,5,4,5,4
Hinds,6,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4
Pascagoula,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,4,4,3,3,3,3,3,3,3,4,3,4,3,4,4,3,3
GOVERNOR'S MANSION,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,6,5,5,4,4,6
E-CODE,0,8,10,0,10,6,6,4,3,2,0,3,78,78,78,4,2,3,5,47,0,45,45,3,4,5,7,40,41,42,0,5,5,0,9,19
TOTALS,"23,037","22,822","22,828","22,836","22,829","22,817","22,806","22,802","22,806","22,818","23,037","22,832","22,797","22,784","22,767","22,754","22,774","22,768","22,788","22,792","23,037","22,782","22,774","22,757","22,765","22,792","22,832","22,811","22,801","22,790","23,037","22,810","22,817","22,818","22,829","22,800"
