Location,Capacity_x,1-Feb-03,2-Feb-03,3-Feb-03,4-Feb-03,5-Feb-03,6-Feb-03,7-Feb-03,8-Feb-03,9-Feb-03,10-Feb-03 11-Feb-03,12-Feb-03,Unnamed: 13,Capacity_y,13-Feb-03,14-Feb-03,15-Feb-03,16-Feb-03,17-Feb-03,18-Feb-03,19-Feb-03,20-Feb-03,21-Feb-03,22-Feb-03,23-Feb-03,Capacity,24-Feb-03,25-Feb-03,26-Feb-03,27-Feb-03,28-Feb-03
PRIVATE PRISONS,"3,750","3,408","3,406","3,400","3,407","3,409","3,409","3,413","3,413","3,412","3,413","3,404","3,395","3,750","3,386","3,390","3,389","3,386","3,386","3,383","3,383","3,382","3,413","3,413","3,412","3,750","3,400","3,365","3,382","3,380","3,373"
Delta (Closed),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East MS,"1,000",729,728,726,726,727,732,732,732,732,731,731,731,"1,000",729,725,725,723,723,723,724,724,724,724,723,"1,000",719,689,689,689,688
Marshall County,"1,000",984,983,981,981,980,979,986,986,985,983,982,977,"1,000",977,975,975,974,974,973,973,974,984,984,984,"1,000",981,981,985,984,984
Walnut Grove,750,718,718,717,724,724,723,721,721,721,719,714,710,750,704,714,713,713,713,712,711,710,719,719,719,750,720,720,720,720,715
Wilkinson County,"1,000",977,977,976,976,978,975,974,974,974,980,977,977,"1,000",976,976,976,976,976,975,975,974,986,986,986,"1,000",980,975,988,987,986
RESITITUTION CENTERS,24,13,13,12,13,13,13,12,12,12,13,13,13,24,13,12,12,12,13,13,13,13,13,13,13,24,13,13,13,13,13
Greenwood,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6
Hinds,12,5,5,4,4,4,4,3,3,3,4,4,4,12,4,4,4,4,4,4,4,4,4,4,4,12,4,4,4,4,4
Pascagoula,6,2,2,2,3,3,3,3,3,3,3,3,3,6,3,3,3,3,3,3,3,3,3,3,3,6,3,3,3,3,3
GOVERNOR'S MANSION,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
TOTALS,"21,157","19,821","19,815","19,846","19,861","19,879","19,896","19,832","19,831","19,827","19,935","19,942","19,965","21,157","19,984","19,908","19,903","19,893","19,962","19,967","20,013","20,030","19,982","19,976","19,970","21,157","20,031","20,011","20,043","20,062","20,038"
