Location,Capacity_x_x,1-Mar-07,2-Mar-07,3-Mar-07,4-Mar-07,5-Mar-07,6-Mar-07,7-Mar-07,8-Mar-07,9-Mar-07,Capacity_y_x,10-Mar-07,11-Mar-07,12-Mar-07,13-Mar-07,14-Mar-07,15-Mar-07,16-Mar-07,17-Mar-07,18-Mar-07,Capacity_x_y,19-Mar-07,20-Mar-07,21-Mar-07,22-Mar-07,23-Mar-07,24-Mar-07,25-Mar-07,26-Mar-07,27-Mar-07,Capacity_y_y,28-Mar-07,29-Mar-07,30-Mar-07,31-Mar-07,Unnamed: 6,Avg Population
Leflore Satellite Facility,102,102,102,102,102,101,100,100,102,100,102,100,100,101,101,101,101,96,96,96,102,102,102,102,101,100,100,100,101,102,102,101,101,100,100,,100
Madison Satellite Facility,102,100,98,98,98,99,99,99,102,102,102,101,101,100,99,99,99,99,98,98,102,98,101,101,101,100,100,100,102,102,102,101,102,100,100,,100
Noxubee Satellite Facility,92,90,87,86,87,91,92,92,89,87,92,86,87,89,89,87,87,79,77,78,92,86,92,92,92,87,87,87,91,91,92,91,91,89,89,,88
Pike Satellite Facility,93,87,83,83,83,84,83,83,84,83,93,83,83,83,84,84,84,79,79,79,93,83,83,83,83,81,81,81,80,80,93,80,91,88,88,,83
Quitman Satellite Facility,93,85,88,89,89,90,90,90,92,90,93,90,90,91,91,91,90,81,81,81,93,90,87,86,86,81,80,80,81,81,93,81,83,82,81,,86
Rankin Satellite Facility,228,215,209,208,208,213,218,217,219,216,228,216,216,222,222,218,218,212,210,209,228,212,212,212,212,213,213,212,217,217,228,218,219,216,216,,215
Simpson Satellite Facility,102,100,99,99,99,100,99,99,98,100,102,100,100,102,102,102,101,95,95,95,102,99,101,101,99,94,94,94,98,102,102,102,99,96,96,,99
Washington Satellite Facility,102,102,98,98,98,102,101,101,101,100,102,100,100,101,100,100,99,95,95,95,102,101,100,100,99,97,96,95,100,99,102,102,102,102,102,,99
Wilkinson Satellite Facility,102,98,92,92,92,100,100,100,100,97,102,97,97,100,100,100,100,97,97,97,102,101,101,101,100,101,101,101,101,101,102,99,98,90,90,,98
Yazoo Satellite Facility,102,100,93,93,93,98,98,98,102,98,102,98,98,102,101,101,100,94,94,94,102,98,102,102,102,102,102,102,101,100,102,100,100,98,98,,99
REGIONAL CORRECTIONAL FACILITIES,"3,082","3,066","3,063","3,060","3,059","3,064","3,070","3,074","3,073","3,075","3,082","3,075","3,075","3,071","3,067","3,062","3,067","3,069","3,066","3,065","3,082","3,066","3,076","3,069","3,062","3,071","3,069","3,069","3,072","3,071","3,082","3,066","3,069","3,071","3,063",,"3,068"
Bolivar County,294,293,291,290,290,289,294,294,294,291,294,291,291,290,294,293,293,291,290,290,294,289,295,294,292,293,293,293,293,293,294,293,294,293,291,,292
Carroll County,280,280,279,279,279,279,280,280,280,280,280,280,280,280,279,280,280,279,278,277,280,278,279,279,278,279,279,279,281,278,280,277,279,278,278,,279
George County,280,277,275,275,275,275,271,276,278,277,280,277,277,279,276,277,277,279,279,279,280,280,279,278,275,276,276,276,276,278,280,275,272,274,272,,276
Holmes County,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,278,278,277,277,280,280,280,279,280,280,280,280,280,280,,280
Issaquena County,274,270,270,270,270,274,275,274,272,275,274,275,275,271,268,274,274,273,273,273,274,272,271,269,268,274,274,274,274,271,274,273,277,274,274,,273
Jefferson County,274,270,269,268,267,271,271,274,274,274,274,274,274,274,274,267,270,273,273,273,274,273,274,273,273,274,274,274,276,276,274,275,273,273,273,,273
Kemper County,280,277,280,280,280,280,280,279,280,280,280,280,280,279,279,275,278,280,280,280,280,279,280,280,280,280,280,280,280,275,280,280,280,280,279,,279
Leake County,280,279,280,279,279,278,279,279,279,280,280,280,280,279,278,278,278,279,279,279,280,280,280,280,280,278,277,277,277,280,280,278,279,280,280,,279
Marion County,280,281,281,281,281,280,280,280,280,280,280,280,280,279,279,279,278,278,277,277,280,278,280,280,280,279,279,279,279,280,280,279,279,280,279,,279
Stone County,280,279,280,280,280,280,280,279,278,279,280,279,279,280,280,280,280,280,280,280,280,280,280,280,280,280,279,279,279,280,280,279,279,280,280,,280
Winston County,280,280,278,278,278,278,280,279,278,279,280,279,279,280,280,279,279,277,277,277,280,279,280,279,279,278,278,278,278,280,280,277,277,279,277,,279
PRIVATE PRISONS,"5,100","4,896","4,902","4,902","4,900","4,906","4,902","4,906","4,910","4,906","5,100","4,904","4,899","4,908","4,921","4,921","4,914","4,913","4,910","4,907","5,100","4,909","4,917","4,909","4,901","4,908","4,908","4,907","4,891","4,888","5,100","4,883","4,885","4,892","4,890",,"4,904"
Delta,972,970,972,972,971,972,967,971,971,970,972,970,970,969,969,969,968,969,967,967,972,970,972,970,968,968,968,968,969,965,972,966,968,968,968,,969
East Mississippi,"1,000",889,889,889,889,891,891,886,891,892,"1,000",892,890,889,890,887,885,885,885,884,"1,000",883,884,883,882,881,881,881,881,882,"1,000",882,880,884,883,,886
Marshall County,"1,000",993,994,994,994,992,991,991,994,994,"1,000",993,992,994,995,993,992,992,992,992,"1,000",994,995,995,995,992,992,991,986,991,"1,000",991,991,996,995,,993
Tallahatchie County,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,127,126,126,126,128,128,128,128,128,128,128,128,128,128,,128
Walnut Grove,"1,000",947,950,950,949,952,954,952,951,954,"1,000",953,951,955,955,955,953,951,951,951,"1,000",950,954,951,947,954,954,954,953,953,"1,000",951,950,949,949,,952
Wilkinson County,"1,000",969,969,969,969,971,971,978,975,968,"1,000",968,968,973,984,989,988,988,987,985,"1,000",985,986,984,983,985,985,985,974,969,"1,000",965,968,967,967,,977
RESTITUTION CENTERS,16,12,12,12,12,12,12,12,12,10,16,10,10,12,12,12,12,12,12,12,16,12,12,12,12,13,13,13,13,13,16,12,12,12,12,,12
Greenwood,6,3,3,3,3,3,3,3,3,3,6,3,3,3,3,3,3,3,3,3,6,3,3,3,3,4,4,4,4,4,6,4,4,4,4,,3
Hinds,6,6,6,6,6,6,6,6,6,4,6,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,,6
Pascagoula,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,,3
GOVERNOR'S MANSION,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,,5
E-CODE,,8,62,60,60,4,7,8,4,57,,60,59,2,6,5,5,72,72,72,,3,1,2,4,29,28,27,4,7,,8,6,44,44,,27
TOTALS,"22,160","21,791","21,805","21,795","21,788","21,799","21,838","21,872","21,903","21,916","22,160","21,908","21,896","21,895","21,901","21,957","21,969","21,958","21,936","21,926","22,160","21,973","21,987","21,988","22,002","22,006","21,988","21,980","21,960","22,025","22,160","22,040","22,047","22,036","22,011",,"21,932"
