Location,Capacity_x_x,1-Feb-09,2-Feb-09,3-Feb-09,4-Feb-09,5-Feb-09,6-Feb-09,7-Feb-09,8-Feb-09,9-Feb-09,Capacity_y_x,10-Feb-09,11-Feb-09,12-Feb-09,13-Feb-09,14-Feb-09,15-Feb-09,16-Feb-09,17-Feb-09,18-Feb-09,Capacity_x_y,19-Feb-09,20-Feb-09,21-Feb-09,22-Feb-09,23-Feb-09,24-Feb-09,25-Feb-09,26-Feb-09,27-Feb-09,Capacity_y_y,28-Feb-09,Unnamed: 3,Avg Population
Jackson Satellite Facility,102,100,99,99,98,98,97,97,96,95,102,95,102,101,92,92,92,100,95,98,102,97,100,100,100,102,102,102,102,99,102,98,,98
Jefferson Satellite Facility,102,89,96,94,89,88,87,85,85,87,102,85,94,93,93,93,92,92,91,93,102,88,84,84,84,93,95,94,93,95,102,95,,90
Leflore Satellite Facility,102,96,92,92,90,91,86,86,86,91,102,90,97,95,98,98,98,100,100,97,102,97,94,94,94,102,102,101,100,96,102,96,,95
Madison Satellite Facility,102,100,100,99,98,102,100,100,100,102,102,101,100,100,99,99,99,102,100,101,102,101,98,98,98,99,101,96,95,95,102,95,,99
Noxubee Satellite Facility,92,90,92,91,90,90,84,84,85,89,92,89,92,88,84,84,84,87,87,87,92,86,88,88,88,92,92,92,92,88,92,88,,88
Pike Satellite Facility,93,85,87,87,88,88,87,86,86,87,93,89,89,86,83,81,80,83,85,86,93,86,86,86,85,86,86,85,86,82,93,83,,86
Quitman Satellite Facility,93,83,85,84,83,82,79,78,79,82,93,82,82,80,73,73,73,79,81,82,93,82,83,83,83,86,86,87,87,80,93,80,,81
Rankin Satellite Facility,260,244,251,252,251,248,244,244,244,248,260,248,250,244,242,242,242,245,245,245,260,245,237,237,237,247,246,244,247,240,260,240,,245
Simpson Satellite Facility,102,87,100,101,101,100,97,97,97,100,102,100,102,100,96,96,96,99,98,98,102,97,98,98,98,100,99,99,100,94,102,94,,98
Washington Satellite Facility,102,93,96,96,94,93,89,89,89,94,102,99,99,96,93,93,93,97,96,93,102,91,87,87,87,92,92,92,92,88,102,88,,92
Wilkinson Satellite Facility,102,92,93,93,99,99,96,96,96,99,102,99,98,97,99,99,99,102,101,99,102,99,96,96,95,97,96,96,96,94,102,94,,97
Yazoo Satellite Facility,102,93,95,99,97,97,97,97,96,96,102,97,95,98,93,93,93,98,97,96,102,95,93,93,93,100,100,100,98,100,102,100,,96
REGIONAL CORRECTIONAL FACILITIES,"3,088","2,940","2,938","2,940","2,939","2,935","2,935","2,935","2,934","2,927","3,088","2,928","2,927","2,929","2,932","2,932","2,931","2,927","2,925","2,922","3,088","2,924","2,927","2,926","2,925","2,928","2,929","2,933","2,924","2,914","3,088","2,913",,"2,929"
Bolivar County,294,279,280,280,279,279,276,276,276,279,294,279,278,276,280,280,280,279,279,277,294,277,278,278,278,278,280,280,280,280,294,279,,279
Carroll County,280,268,268,268,268,266,266,266,265,264,280,265,266,266,266,266,266,266,266,266,280,266,266,266,266,266,266,266,266,266,280,266,,266
George County,280,266,266,266,266,266,266,266,266,266,280,266,265,266,265,265,265,264,265,266,280,265,266,266,266,264,264,266,263,262,280,262,,265
Holmes County,280,272,272,272,272,270,272,272,272,266,280,265,266,266,266,266,266,266,266,265,280,266,266,266,266,266,266,266,266,265,280,265,,268
Issaquena County,274,259,259,259,259,259,260,260,260,259,274,259,257,260,259,259,259,258,260,260,274,259,259,258,258,260,259,260,261,258,274,258,,259
Jefferson County,280,266,265,265,266,266,266,266,266,264,280,264,266,266,265,265,265,265,264,264,280,265,265,265,265,265,266,266,265,265,280,265,,265
Kemper County,280,266,265,266,265,266,266,266,266,266,280,266,266,266,266,266,266,266,266,266,280,266,266,266,266,266,266,266,266,265,280,265,,266
Leake County,280,266,266,266,266,264,265,265,265,265,280,266,266,265,266,266,265,265,265,265,280,266,265,265,264,266,266,266,265,264,280,264,,265
Marion County,280,267,267,267,267,267,266,266,266,266,280,266,266,267,267,267,267,267,266,266,280,266,266,266,266,266,266,266,261,260,280,260,,266
Stone County,280,264,264,265,265,266,266,266,266,266,280,266,265,265,266,266,266,266,263,261,280,262,264,264,264,265,264,265,266,266,280,266,,265
Winston County,280,267,266,266,266,266,266,266,266,266,280,266,266,266,266,266,266,265,265,266,280,266,266,266,266,266,266,266,265,263,280,263,,266
PRIVATE PRISONS,"5,972","5,489","5,494","5,498","5,499","5,478","5,452","5,450","5,449","5,469","5,972","5,476","5,479","5,493","5,481","5,481","5,479","5,476","5,471","5,466","5,972","5,461","5,461","5,457","5,457","5,462","5,462","5,461","5,460","5,457","5,972","5,446",,"5,470"
Delta,972,952,956,956,958,957,955,955,954,955,972,955,957,957,957,957,956,956,956,954,972,955,955,954,954,955,955,955,956,957,972,956,,956
East Mississippi,"1,500","1,359","1,361","1,361","1,360","1,364","1,363","1,363","1,363","1,362","1,500","1,360","1,361","1,360","1,360","1,360","1,360","1,360","1,359","1,359","1,500","1,362","1,361","1,361","1,361","1,361","1,360","1,358","1,360","1,359","1,500","1,355",,"1,360"
Marshall County,"1,000",982,982,981,982,981,983,983,983,983,"1,000",983,983,983,983,983,983,983,983,983,"1,000",983,983,982,982,983,983,983,983,983,"1,000",981,,983
Walnut Grove,"1,500","1,221","1,220","1,223","1,222","1,201","1,178","1,177","1,177","1,196","1,500","1,200","1,201","1,216","1,205","1,205","1,204","1,202","1,199","1,197","1,500","1,187","1,189","1,188","1,188","1,187","1,190","1,191","1,187","1,185","1,500","1,181",,"1,197"
Wilkinson County,"1,000",975,975,977,977,975,973,972,972,973,"1,000",978,977,977,976,976,976,975,974,973,"1,000",974,973,972,972,976,974,974,974,973,"1,000",973,,975
RESTITUTION CENTERS,16,13,13,13,12,12,11,11,11,12,16,12,12,12,12,12,12,12,12,12,16,12,12,12,12,11,11,11,11,11,16,11,,12
Greenwood,6,4,4,4,3,3,2,2,2,3,6,3,3,3,3,3,3,3,3,3,6,3,3,3,3,3,3,3,3,3,6,3,,3
Hinds,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,6,5,,6
Pascagoula,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,,3
GOVERNOR'S MANSION,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,6
E-CODE,0,47,9,7,7,7,59,61,58,12,0,7,9,4,67,68,67,9,9,8,0,6,54,52,54,8,8,8,7,64,0,65,,30
TOTALS,"24,324","22,652","22,671","22,710","22,670","22,643","22,629","22,620","22,614","22,634","24,324","22,669","22,711","22,666","22,676","22,669","22,659","22,649","22,630","22,669","24,324","22,671","22,678","22,669","22,661","22,649","22,688","22,690","22,709","22,703","24,324","22,684",,"22,666"
