yfips,year,fips,state,us_state_or_territory,county_name,total_pop,total_pop_15to64,female_pop_15to64,male_pop_15to64,asian_pop_15to64,black_pop_15to64,latino_pop_15to64,native_pop_15to64,other_pop_15to64,white_pop_15to64,urbanicity,region,division,commuting_zone,metro_area,land_area,total_jail_adm,total_jail_adm_dcrp,female_jail_adm_dcrp,male_jail_adm_dcrp,total_jail_pop,female_jail_pop,male_jail_pop,asian_jail_pop,black_jail_pop,latino_jail_pop,native_jail_pop,white_jail_pop,total_jail_pretrial,female_jail_pretrial,male_jail_pretrial,jail_from_state_prison,jail_from_other_state_prison,jail_from_state_jail,jail_from_other_state_jail,jail_from_fed,jail_from_ice,total_jail_pop_dcrp,female_jail_pop_dcrp,male_jail_pop_dcrp,total_prison_pop,female_prison_pop,male_prison_pop,asian_prison_pop,black_prison_pop,latino_prison_pop,native_prison_pop,other_prison_pop,white_prison_pop,total_prison_adm,female_prison_adm,male_prison_adm,asian_prison_adm,black_prison_adm,latino_prison_adm,native_prison_adm,other_prison_adm,white_prison_adm,num_facilites,num_employees,confined_pop,capacity,ucr_population,index_crime,violent_crime,property_crime,murder_crime,rape_crime,robbery_crime,agr_assault_crime,burglary_crime,larceny_crime,mv_theft_crime,arson_crime
199428001,1994,28001,MS,Mississippi,Adams County,35151,21696,11703,9993,45,10699,101,22,,10829,rural,South,East South Central,289,35020,462.344,2685.065,,,,88.33334,5.666667,81.5,0,78.66666,0,0,3.166667,56.66667,5.333333,51.33333,6.666667,0,14.75,0,0,0,,,,122,9,113,0,116,0,0,0,6,51,,,0,45,0,0,0,6,0,0,0,0,35465,2616,405,2211,12,33,41,319,552,1605,54,0
199528001,1995,28001,MS,Mississippi,Adams County,34976,21645,11657,9988,46,10805,86,20,,10688,rural,South,East South Central,289,35020,462.344,2752.909,,,,91.66666,6.333333,83,0,67.33334,0,0,3.333333,48.33333,4.666667,43.66667,10.33333,0,13.5,0,0,0,,,,113,7,106,0,104,0,0,0,9,44,,,0,38,0,0,0,6,0,0,0,0,35098,2660,658,2002,2,29,22,605,417,1521,57,7
199628001,1996,28001,MS,Mississippi,Adams County,35105,21847,11745,10102,51,10997,111,28,,10660,rural,South,East South Central,289,35020,462.344,2820.753,,,,95,7,84.5,0,56,0,0,3.5,40,4,36,14,0,12.25,0,0,0,,,,145,10,135,0,134,0,0,0,11,67,6,61,0,59,,0,1,7,0,0,0,0,35344,2666,555,2111,5,13,35,502,376,1667,61,7
199728001,1997,28001,MS,Mississippi,Adams County,35242,21958,11783,10175,52,11173,118,27,,10588,rural,South,East South Central,289,35020,462.344,2888.597,,,,98.33334,7.666667,86,0,44.66667,0,0,3.666667,31.66667,3.333333,28.33333,17.66667,0,11,0,0,0,,,,180,13,167,0,157,0,0,0,23,107,11,96,0,89,0,0,0,18,0,0,0,0,35538,2801,602,2199,7,24,42,529,418,1727,41,13
199828001,1998,28001,MS,Mississippi,Adams County,34969,21882,11752,10130,56,11251,108,22,,10445,rural,South,East South Central,289,35020,462.344,2956.441,,,,101.6667,8.333333,87.5,0,33.33333,0,0,3.833333,23.33333,2.666667,20.66667,21.33333,0,9.75,0,0,0,,,,180,17,163,0,158,0,0,0,22,89,9,80,0,73,0,0,0,16,0,0,0,0,34796,2373,328,2045,1,6,36,285,467,1524,43,11
199928001,1999,28001,MS,Mississippi,Adams County,34591,21656,11582,10074,62,11231,147,25,,10191,rural,South,East South Central,289,35020,462.344,3024.286,,,,105,9,89,0,22,0,0,4,15,2,13,25,0,8.5,0,1,0,,,,170,15,155,0,150,0,0,0,20,119,11,108,0,92,0,0,0,27,0,0,0,0,34431,2154,138,2016,6,17,29,86,444,1509,47,16
200028001,2000,28001,MS,Mississippi,Adams County,34246,21462,11459,10003,69,11173,230,36,,9954,rural,South,East South Central,289,35020,462.344,3024.286,4196,901,3295,100.8333,9.333333,88.5,0,31.33333,0,0,6.5,16.83333,2.5,14.33333,23.83333,0,7.25,0,1,0,138,16,122,175.083333333,14.8333333333,160.25,0,153.583333333,0,,0.0833333333333,21.4166666667,111,11,100,0,85,0,0,0,26,0,0,0,0,34340,2154,107,2047,2,4,26,75,446,1536,54,11
200128001,2001,28001,MS,Mississippi,Adams County,33945,21395,11358,10037,70,11193,403,36,,9693,rural,South,East South Central,289,35020,462.344,3024.286,4196,901,3295,96.66666,9.666667,88,0,40.66667,0,0,9,18.66667,3,15.66667,22.66667,0,6,0,1,0,113,14,107,180.166666667,14.6666666667,165.5,0,157.166666667,0,,0.166666666667,22.8333333333,132,17,115,0,105,0,0,0,27,0,0,0,0,34501,1859,98,1761,2,9,32,55,423,1289,42,7
200228001,2002,28001,MS,Mississippi,Adams County,33730,21313,11125,10188,70,11171,582,37,,9453,rural,South,East South Central,289,35020,462.344,3024.286,4196,901,3295,92.5,10,87.5,0,50,0,0,11.5,20.5,3.5,17,21.5,0,4.75,0,1,0,114,12,102,185.25,14.5,170.75,0,160.75,0,,0.25,24.25,170,26,144,0,131,0,0,0,39,0,0,0,0,34667,1797,89,1708,6,18,25,40,356,1287,54,11
200328001,2003,28001,MS,Mississippi,Adams County,33482,21283,10982,10301,79,11114,772,40,,9278,rural,South,East South Central,289,35020,462.344,3024.286,4227,889,3338,88.33334,10.33333,87,0,59.33333,0,0,14,22.33333,4,18.33333,20.33333,0,3.5,0,1,0,93,11,82,190.333333333,14.3333333333,176,0,164.333333333,0,,0.333333333333,25.6666666667,116,15,101,0,89,0,0,0,27,0,0,0,0,33684,1769,101,1668,6,20,24,51,342,1277,42,7
200428001,2004,28001,MS,Mississippi,Adams County,32785,21008,10724,10284,74,11045,945,43,,8901,rural,South,East South Central,289,35020,462.344,3024.286,3515,886,3104,84.16666,10.66667,86.5,0,68.66666,0,0,16.5,24.16667,4.5,19.66667,19.16667,0,2.25,0,1,0,78,12,73,195.416666667,14.1666666667,181.25,0,167.916666667,0,,0.416666666667,27.0833333333,110.875,13.875,97.25,0,85.625,0,0,0,25.5,0,0,0,0,33483,1948,78,1870,1,16,23,38,380,1429,43,18
200528001,2005,28001,MS,Mississippi,Adams County,32674,21060,10560,10500,93,11044,1132,51,,8740,rural,South,East South Central,289,35020,462.344,3024.286,3157,634,2839,80,11,86,0,78,0,0,19,26,5,21,18,0,1,0,1,0,53,10,50,200.5,14,186.5,0,171.5,0,,0.5,28.5,105.75,12.75,93.5,0,82.25,0,0,0,24,0,0,0,0,32794,1754,72,1682,2,7,20,43,349,1270,53,10
200628001,2006,28001,MS,Mississippi,Adams County,33220,21433,10722,10711,96,11383,1307,53,,8594,rural,South,East South Central,289,35020,462.344,3012.875,3023,482,2700,80.875,10.25,84.625,0,76.75,0,0,18,31.375,5,21,16.125,0,8.125,0,1,0,125,18,107,205.583333333,13.8333333333,191.75,0,175.083333333,0,,0.583333333333,29.9166666667,100.625,11.625,89.75,0,78.875,0,0,0,22.5,0,0,0,0,31983,1510,82,1428,4,13,15,50,322,1060,45,1
200728001,2007,28001,MS,Mississippi,Adams County,32889,21315,10546,10769,102,11302,1502,54,,8355,rural,South,East South Central,289,35020,462.344,3001.464,2890,330,2560,81.75,9.5,83.25,0,75.5,0,0,17,36.75,5,21,14.25,0,15.25,0,1,0,97,14,83,210.666666667,13.6666666667,197,0,178.666666667,0,,0.666666666667,31.3333333333,95.5,10.5,86,0,75.5,0,0,0,21,0,0,0,0,32230,1616,98,1518,5,14,27,52,362,1074,64,18
200828001,2008,28001,MS,Mississippi,Adams County,32629,21315,10440,10875,105,11249,1710,54,,8197,rural,South,East South Central,289,35020,462.344,2990.053,3090,430,2660,82.625,8.75,81.875,0,74.25,0,0,16,42.125,5,21,12.375,0,22.375,0,1,0,102,16,86,215.75,13.5,202.25,0,182.25,0,,0.75,32.75,90.375,9.375,82.25,0,72.125,0,0,0,19.5,0,0,0,0,31503,1480,103,1377,3,8,19,73,387,911,72,7
200928001,2009,28001,MS,Mississippi,Adams County,32305,21199,10284,10915,111,11160,1875,56,,7997,rural,South,East South Central,289,35020,462.344,2978.643,2790,530,2260,83.5,8,80.5,0,73,0,0,15,47.5,5,21,10.5,0,29.5,0,1,0,115,14,101,220.833333333,13.3333333333,207.5,0,185.833333333,0,,0.833333333333,34.1666666667,85.25,8.25,78.5,0,68.75,0,0,0,18,0,0,0,0,31008,1324,92,1232,3,18,26,45,432,723,66,11
201028001,2010,28001,MS,Mississippi,Adams County,32297,21303,10276,11027,109,11209,2023,57,,7905,rural,South,East South Central,289,35020,462.344,2967.232,3090,630,2460,84.375,7.25,79.125,0,71.75,0,0,14,52.875,5,21,8.625,0,36.625,0,1,0,145,20,125,225.916666667,13.1666666667,212.75,0,189.416666667,0,,0.916666666667,35.5833333333,80.125,7.125,74.75,0,65.375,0,0,0,16.5,0,0,0,0,32297,1703,116,1587,2,12,43,59,535,994,45,13
201128001,2011,28001,MS,Mississippi,Adams County,32566,21594,10275,11319,113,11225,2304,55,,7897,rural,South,East South Central,289,35020,462.344,2955.821,3790,930,2860,85.25,6.5,77.75,0,70.5,0,0,13,58.25,5,21,6.75,0,43.75,0,1,0,139,18,121,231,13,218,0,193,0,,1,37,75,6,71,0,62,0,0,0,15,0,0,0,0,32419,1742,132,1610,6,16,41,69,531,1033,29,17
201228001,2012,28001,MS,Mississippi,Adams County,32413,21463,10221,11242,115,11209,2330,62,,7747,rural,South,East South Central,289,35020,462.344,2944.411,3080,349,2731,86.125,5.75,76.375,0,69.25,0,0,12,63.625,5,21,4.875,0,50.875,0,1,0,126,18,108,250,13,237,0,204,0,,1,45,106,10,96,0,81,0,0,0,25,0,0,0,0,32136,1308,79,1229,4,11,30,34,328,879,10,12
201328001,2013,28001,MS,Mississippi,Adams County,32175,21220,10124,11096,131,11134,2266,70,,7619,rural,South,East South Central,289,35020,462.344,2933,2764,844,1920,87,5,75,0,68,1,0,11,69,5,21,3,0,58,0,1,0,124,17,107,239,12,227,0,196,0,,1,42,88,8,80,0,71,0,0,0,17,0,0,0,0,31990,1553,75,1478,1,8,23,43,364,1037,27,50
201428001,2014,28001,MS,Mississippi,Adams County,32111,21221,10016,11205,151,11116,2433,64,,7457,rural,South,East South Central,289,35020,462.344,2933,,,,87,5,75,0,68,1,0,11,69,5,21,3,0,58,0,1,0,,,,217,9,208,0,178,0,,1,38,75,6,69,0,61,0,0,0,14,0,0,0,0,31937,1511,97,1414,5,4,23,65,242,1123,34,15
201528001,2015,28001,MS,Mississippi,Adams County,31962,21028,9820,11208,148,11022,2519,70,,7269,rural,South,East South Central,289,35020,462.344,2933,,,,87,5,75,0,68,1,0,11,69,5,21,3,0,58,0,1,0,,,,204,7,197,0,166,0,,1,37,41,,,0,30,0,0,0,11,0,0,0,0,,,,,,,,,,,,
201628001,2016,28001,MS,Mississippi,Adams County,31400,20463,9577,10886,145,10774,2407,67,,7070,rural,South,East South Central,289,35020,462.344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197028003,1970,28003,MS,Mississippi,Alcorn County,27322,16759,8788,7971,,1728,,,14,15017,rural,South,East South Central,494,18420,400.041,0,,,,12,0,12,,,,,,8,0,8,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,15,92,92,,,,,,,,,,,,
197128003,1971,28003,MS,Mississippi,Alcorn County,27932,17131,8951,8180,,1746,,,16,15369,rural,South,East South Central,494,18420,400.041,0,,,,12.5,0,12.5,,,,,,8,0,8,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,15,92,92,,,,,,,,,,,,
197228003,1972,28003,MS,Mississippi,Alcorn County,28256,17352,9036,8316,,1739,,,22,15591,rural,South,East South Central,494,18420,400.041,0,,,,13,0,13,,,,,,8,0,8,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,15,92,92,,,,,,,,,,,,
197328003,1973,28003,MS,Mississippi,Alcorn County,28820,17752,9227,8525,,1760,,,26,15966,rural,South,East South Central,494,18420,400.041,0,,,,13.5,0,13.5,,,,,,8,0,8,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,15,92,92,,,,,,,,,,,,
197428003,1974,28003,MS,Mississippi,Alcorn County,29171,17991,9339,8652,,1750,,,33,16208,rural,South,East South Central,494,18420,400.041,0,,,,14,0,14,,,,,,8,0,8,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,15,92,92,,,,,,,,,,,,
197528003,1975,28003,MS,Mississippi,Alcorn County,29544,18244,9461,8783,,1764,,,35,16445,rural,South,East South Central,494,18420,400.041,0,,,,14.5,0,14.5,,,,,,8,0,8,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,15,92,92,,,,,,,,,,,,
197628003,1976,28003,MS,Mississippi,Alcorn County,29647,18344,9485,8859,,1750,,,40,16554,rural,South,East South Central,494,18420,400.041,0,,,,15,0,15,,,,,,8,0,8,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,15,92,92,,,,,,,,,,,,
197728003,1977,28003,MS,Mississippi,Alcorn County,30635,19067,9839,9228,,1796,,,44,17227,rural,South,East South Central,494,18420,400.041,0,,,,15.5,0,15.5,,,,,,8,0,8,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,15,92,92,28538,518,40,478,2,1,10,27,156,291,31,0
197828003,1978,28003,MS,Mississippi,Alcorn County,31708,19818,10201,9617,,1851,,,51,17916,rural,South,East South Central,494,18420,400.041,782.1429,,,,16,0,16,,,,,,8,0,8,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,15,92,92,11167,273,7,266,0,0,6,1,75,167,24,0
197928003,1979,28003,MS,Mississippi,Alcorn County,32424,20308,10431,9877,,1872,,,60,18376,rural,South,East South Central,494,18420,400.041,781.7143,,,,17.2,0,17.2,,,,,,7.4,0,7.9,7.4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,15,92,92,,,,,,,,,,,,
198028003,1980,28003,MS,Mississippi,Alcorn County,33049,20756,10643,10113,,1931,,,64,18761,rural,South,East South Central,494,18420,400.041,781.2857,,,,18.4,0,18.4,,,,,,6.8,0,7.8,9.8,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,15,92,92,11844,669,9,660,2,0,5,2,177,426,57,0
198128003,1981,28003,MS,Mississippi,Alcorn County,33002,20759,10648,10111,,1961,,,61,18737,rural,South,East South Central,494,18420,400.041,780.8572,,,,19.6,0,19.6,,,,,,6.2,0,7.7,12.2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,15,92,92,11931,638,14,624,0,0,8,6,194,404,26,0
198228003,1982,28003,MS,Mississippi,Alcorn County,32666,20578,10558,10020,,1976,,,60,18542,rural,South,East South Central,494,18420,400.041,780.4286,,,,20.8,0,20.8,,,,,,5.6,0,7.6,14.6,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,15,92,92,12030,789,10,779,0,2,4,4,244,480,55,0
198328003,1983,28003,MS,Mississippi,Alcorn County,32628,20552,10548,10004,,1985,,,58,18509,rural,South,East South Central,494,18420,400.041,780,,,,22,0,22,,,,,,5,0,7.5,17,0,0,0,0,0,,,,30,0,30,0,15,0,0,0,15,8,0,8,0,,0,0,2,6,1,15,92,92,,,,,,,,,,,,
198428003,1984,28003,MS,Mississippi,Alcorn County,32778,20669,10604,10065,,2027,,,57,18585,rural,South,East South Central,494,18420,400.041,759.4,,,,21.2,0,20.8,,,,,,5.4,0,7.4,14.8,0,0,0,0,0,,,,32,0,32,0,16,0,0,0,16,28,,,0,11,0,0,0,17,1,15,92,92,12953,469,13,456,1,1,7,4,176,208,57,15
198528003,1985,28003,MS,Mississippi,Alcorn County,32409,20449,10496,9953,,2021,,,53,18375,rural,South,East South Central,494,18420,400.041,738.8,,,,20.4,0,19.6,,,,,,5.8,0,7.3,12.6,0,0,0,0,0,,,,32,0,32,0,19,0,0,0,13,22,0,22,0,14,0,0,0,8,1,15,92,92,13028,608,24,584,3,0,14,7,281,231,68,4
198628003,1986,28003,MS,Mississippi,Alcorn County,32553,20614,10571,10043,,2068,,,51,18495,rural,South,East South Central,494,18420,400.041,718.2,,,,19.6,0,18.4,,,,,,6.2,0,7.2,10.4,0,0,0,0,0,,,,40,0,40,0,22,0,0,0,18,14,0,14,0,,0,0,3,11,1,15,92,92,12691,603,16,587,0,2,6,8,284,259,38,6
198728003,1987,28003,MS,Mississippi,Alcorn County,32154,20424,10469,9955,,2072,,,49,18303,rural,South,East South Central,494,18420,400.041,697.6,,,,18.8,0,17.2,,,,,,6.6,0,7.1,8.2,0,0,0,0,0,,,,41,0,41,0,26,0,0,0,15,27,,,0,13,0,0,1,13,1,15,92,92,12490,473,7,466,2,0,3,2,184,237,44,1
198828003,1988,28003,MS,Mississippi,Alcorn County,32047,20389,10456,9933,,2103,,,48,18238,rural,South,East South Central,494,18420,400.041,677,,,,18,0,16,,,,,,7,0,7,6,0,0,0,0,0,,,,39,,,0,20,0,0,0,19,19,,,0,5,0,0,0,14,1,15,92,92,12539,376,9,367,3,0,5,1,130,202,34,1
198928003,1989,28003,MS,Mississippi,Alcorn County,31724,20210,10366,9844,,2119,,,46,18045,rural,South,East South Central,494,18420,400.041,824.0259,,,,18.2,0,16.4,,,,,,8.4,0,8,5.727273,0,0,0,0,0,,,,32,,,0,18,0,0,0,14,23,,,0,14,0,0,0,9,1,15,92,92,12306,412,11,401,1,0,10,0,134,230,36,1
199028003,1990,28003,MS,Mississippi,Alcorn County,31791,20452,10492,9960,31,2163,70,13,,18175,rural,South,East South Central,494,18420,400.041,971.0519,,,,18.4,0,16.8,0,10.8,0,0,10,9.8,0,9,5.454545,0,0,0,0,0,,,,42,,,0,23,0,0,0,19,35,3.5,31.5,0,20,0,0,0,15,1,15,92,92,11820,416,7,409,2,0,5,0,115,243,51,0
199128003,1991,28003,MS,Mississippi,Alcorn County,32369,20819,10647,10172,31,2224,92,12,,18460,rural,South,East South Central,494,18420,400.041,1118.078,,,,18.6,0,17.2,0,13.2,0,0,10,11.2,0,10,5.181818,0,0,0,0,0,,,,46,0,46,0,30,0,0,0,16,47,5,42,0,26,0,0,0,21,1,15,92,92,11906,392,26,366,2,0,12,12,160,173,33,0
