index,yfips,year,county_name,total_pop,total_pop_15to64,female_pop_15to64,male_pop_15to64,asian_pop_15to64,black_pop_15to64,latino_pop_15to64,native_pop_15to64,other_pop_15to64,white_pop_15to64,total_jail_adm,total_jail_adm_dcrp,female_jail_adm_dcrp,male_jail_adm_dcrp,total_jail_pop,female_jail_pop,male_jail_pop,asian_jail_pop,black_jail_pop,latino_jail_pop,native_jail_pop,white_jail_pop,total_jail_pretrial,female_jail_pretrial,male_jail_pretrial,jail_from_state_prison,jail_from_other_state_prison,jail_from_state_jail,jail_from_other_state_jail,jail_from_fed,jail_from_ice,total_jail_pop_dcrp,female_jail_pop_dcrp,male_jail_pop_dcrp,total_prison_pop,female_prison_pop,male_prison_pop,asian_prison_pop,black_prison_pop,latino_prison_pop,native_prison_pop,other_prison_pop,white_prison_pop,total_prison_adm,female_prison_adm,male_prison_adm,asian_prison_adm,black_prison_adm,latino_prison_adm,native_prison_adm,other_prison_adm,white_prison_adm,num_facilites,num_employees,confined_pop,capacity,ucr_population,index_crime,violent_crime,property_crime,murder_crime,rape_crime,robbery_crime,agr_assault_crime,burglary_crime,larceny_crime,mv_theft_crime,arson_crime,asian_jail_pop_rate,female_jail_pop_rate,female_jail_adm_dcrp_rate,female_jail_pretrial_rate,female_jail_pop_dcrp_rate,female_prison_pop_rate,female_prison_adm_rate,male_jail_adm_dcrp_rate,male_jail_pop_rate,male_jail_pretrial_rate,male_jail_pop_dcrp_rate,male_prison_pop_rate,male_prison_adm_rate,asian_prison_pop_rate,asian_prison_adm_rate,other_prison_pop_rate,other_prison_adm_rate,white_jail_pop_rate,white_prison_pop_rate,white_prison_adm_rate,black_jail_pop_rate,black_prison_pop_rate,black_prison_adm_rate,latino_jail_pop_rate,latino_prison_pop_rate,latino_prison_adm_rate,native_jail_pop_rate,native_prison_pop_rate,native_prison_adm_rate,total_jail_adm_rate,total_jail_adm_dcrp_rate,total_jail_pop_rate,total_jail_pop_dcrp_rate,total_jail_pretrial_rate,total_prison_pop_rate,total_prison_adm_rate,total_jail_pop_v2,total_jail_pop_v2_rate
10,198028001,1980,Adams,38180,24126,12955,11171,,10891,,,36,13199,1576.543,,,,42.6,0,44.2,,,,,,14.4,0,8.8,19,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,22182,2031,81,1950,2,10,26,43,460,1452,36,2,,0,,0,,,,,395.667353,78.77540059,,,,,,,,,,,,,,,,,,,,6534.622399,,176.5729918,,59.68664511,,,42.6,176.5729918
11,198128001,1981,Adams,38697,24399,13119,11280,,11055,,,38,13306,1713.029,,,,47.4,0,47.8,,,,,,17.6,0,9.2,22,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,22345,2028,81,1947,3,12,34,32,365,1552,29,1,,0,,0,,,,,423.7588652,81.56028369,,,,,,,,,,,,,,,,,,,,7020.898397,,194.270257,,72.13410386,,,47.4,194.270257
12,198228001,1982,Adams,39175,24621,13249,11372,,11191,,,44,13386,1849.514,,,,52.2,0,51.4,,,,,,20.8,0,9.6,25,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,0,,0,,,,,451.9873373,84.41786845,,,,,,,,,,,,,,,,,,,,7511.936964,,212.0141343,,84.48072783,,,52.2,212.0141343
13,198328001,1983,Adams,38843,24300,13088,11212,,11071,,,45,13184,1986,,,,57,2,55,,,,,,24,0,10,28,0,1,0,0,0,,,,79,,,0,68,0,0,0,11,32,,,0,27,0,0,0,5,0,0,0,0,22848,2000,554,1446,4,17,27,506,567,836,39,4,,15.28117359,,0,,,,,490.5458437,89.19015341,,,,,,0,0,,83.43446602,37.92475728,,614.2173245,243.8804083,,,,,,,8172.839506,,234.5679012,,98.7654321,325.1028807,131.6872428,57,234.5679012
14,198428001,1984,Adams,39009,24315,13109,11206,,11109,,,46,13160,2044.4,,,,53.2,2.2,50.6,,,,,,22,0,10.4,25.6,0,1,0,0,0,,,,84,,,0,71,0,0,0,13,66,5,61,0,48,0,0,4,14,0,0,0,0,23113,2182,485,1697,7,24,21,433,528,1098,68,3,,16.78236326,,0,,,38.14173469,,451.5438158,92.80742459,,,544.3512404,,,0,8695.652174,,98.78419453,106.3829787,,639.1214331,432.0820956,,,,,,,8407.978614,,218.7949825,,90.47912811,345.4657619,271.4373843,53.2,218.7949825
15,198528001,1985,Adams,38823,24107,13019,11088,,11037,,,60,13010,2102.8,,,,49.4,2.4,46.2,,,,,,20,0,10.8,23.2,0,1,0,0,0,,,,123,6,117,0,99,0,0,1,23,85,5,80,0,65,0,0,2,18,0,0,0,0,23247,1879,143,1736,2,9,22,110,407,1233,90,6,,18.43459559,,0,,46.08648898,38.40540748,,416.6666667,97.4025974,,1055.194805,721.5007215,,,1666.666667,3333.333333,,176.7870869,138.3551115,,896.9828758,588.9281508,,,,,,,8722.777616,,204.9197329,,82.9634546,510.2252458,352.594682,49.4,204.9197329
16,198628001,1986,Adams,37693,23381,12624,10757,,10743,,,61,12577,2161.2,,,,45.6,2.6,41.8,,,,,,18,0,11.2,20.8,0,1,0,0,0,,,,109,5,104,0,89,0,0,0,20,98,,,0,62,0,0,3,33,0,0,0,0,22672,1769,75,1694,3,9,28,35,314,1306,67,7,,20.59569075,,0,,39.60709759,,,388.5841777,104.1182486,,966.8123083,,,,0,4918.032787,,159.0204341,262.3837163,,828.4464302,577.1199851,,,,,,,9243.402763,,195.0301527,,76.98558659,466.1904966,419.1437492,45.6,195.0301527
17,198728001,1987,Adams,36540,22638,12236,10402,,10453,,,62,12123,2219.6,,,,41.8,2.8,37.4,,,,,,16,0,11.6,18.4,0,1,0,0,0,,,,108,7,101,0,82,0,0,0,26,69,6,63,0,45,0,0,0,24,0,0,0,0,22179,1820,106,1714,2,21,36,47,342,1332,37,3,,22.88329519,,0,,57.20823799,49.03563256,,359.5462411,111.517016,,970.9671217,605.6527591,,,0,0,,214.4683659,197.9707993,,784.4637903,430.4984215,,,,,,,9804.75307,,184.6452867,,70.6776217,477.0739465,304.7972436,41.8,184.6452867
18,198828001,1988,Adams,35795,22114,11977,10137,,10271,,,62,11781,2278,,,,38,3,33,,,,,,14,2,12,16,0,1,0,0,0,,,,117,6,111,0,100,0,0,0,17,61,5,56,0,50,0,0,0,11,0,0,0,0,21402,1928,160,1768,2,14,26,118,483,1218,59,8,,25.04800868,,16.69867246,,50.09601737,41.74668114,,325.5401006,118.3782184,,1094.99852,552.4316859,,,0,0,,144.3001443,93.37068161,,973.6150326,486.8075163,,,,,,,10301.16668,,171.8368454,,63.30831148,529.0766031,275.8433571,38,171.8368454
19,198928001,1989,Adams,35768,22022,11946,10076,,10272,,,70,11680,2345.844,,,,47.4,3.4,42.4,,,,,,24.2,2.8,21.4,13.4,0,4,0,0,0,,,,89,5,84,0,76,0,0,0,13,48,7,41,0,32,0,0,0,16,0,0,0,0,20860,1880,110,1770,3,10,24,73,547,1147,74,2,,28.46140968,,23.43880797,,41.85501423,58.59701992,,420.8019055,212.3858674,,833.6641524,406.907503,,,0,0,,111.3013699,136.9863014,,739.8753894,311.5264798,,,,,,,10652.275,,215.2393061,,109.8901099,404.1413132,217.9638543,47.4,215.2393061
20,199028001,1990,Adams,35294,21891,11879,10012,40,10231,88,22,,11510,2413.688,,,,56.8,3.8,51.8,0,52.8,0,0,6,34.4,3.6,30.8,10.8,0,7,0,0,0,,,,89,5,84,0,75,0,0,0,14,50,7,43,0,37.5,0,0,0,12.5,0,0,0,0,19460,1854,173,1681,3,22,47,101,394,1219,62,6,0,31.98922468,,30.30558128,,42.09108511,58.92751915,,517.379145,307.630843,,838.9932082,429.4846185,0,0,,,52.12858384,121.6333623,108.6012163,516.0785847,733.0661714,366.5330857,0,0,0,0,0,0,11025.9376,,259.467361,,157.1422046,406.5597734,228.4043671,56.8,259.467361
21,199128001,1991,Adams,35390,21869,11872,9997,42,10360,88,19,,11360,2481.532,,,,66.2,4.2,61.2,0,65.2,0,0,5,44.6,4.4,40.2,8.2,0,10,0,0,0,,,,104,13,91,0,89,0,0,0,15,52,7,45,0,43,0,0,0,9,0,0,0,0,19602,2069,215,1854,4,11,55,145,504,1296,50,4,0,35.37735849,,37.06199461,,109.5013477,58.96226415,,612.1836551,402.1206362,,910.2730819,450.1350405,0,0,,,44.01408451,132.0422535,79.22535211,629.3436293,859.0733591,415.0579151,0,0,0,0,0,0,11347.25868,,302.7116009,,203.9416526,475.5590105,237.7795052,66.2,302.7116009
22,199228001,1992,Adams,34899,21465,11650,9815,44,10310,87,18,,11006,2549.377,,,,75.6,4.6,70.6,0,77.6,0,0,4,54.8,5.2,49.6,5.6,0,13,0,0,0,,,,111,10,101,0,102,0,0,0,9,90,11,79,0,85,0,0,0,5,0,0,0,0,19768,1740,152,1588,2,9,60,81,426,1130,32,0,0,39.48497854,,44.63519313,,85.83690987,94.42060086,,719.3071829,505.3489557,,1029.037188,804.8904738,0,0,,,36.34381247,81.77357805,45.42976558,752.6673133,989.3307468,824.442289,0,0,0,0,0,0,11876.90193,,352.2012579,,255.2993245,517.1208945,419.2872117,75.6,352.2012579
23,199328001,1993,Adams,35013,21565,11660,9905,45,10503,86,20,,10911,2617.221,,,,85,5,80,0,90,0,0,3,65,6,59,3,0,16,0,0,0,,,,125,8,117,0,114,0,0,0,11,73,,,0,69,0,0,0,4,0,0,0,0,,,,,,,,,,,,,0,42.88164666,,51.45797599,,68.61063465,,,807.6728925,595.6587582,,1181.221605,,0,0,,,27.49518834,100.8156906,36.66025112,856.8980291,1085.40417,656.9551557,0,0,0,0,0,0,12136.4294,,394.1571992,,301.4143288,579.6429399,338.5114769,85,394.1571992
24,199428001,1994,Adams,35151,21696,11703,9993,45,10699,101,22,,10829,2685.065,,,,88.33334,5.666667,81.5,0,78.66666,0,0,3.166667,56.66667,5.333333,51.33333,6.666667,0,14.75,0,0,0,,,,122,9,113,0,116,0,0,0,6,51,,,0,45,0,0,0,6,0,0,0,0,35465,2616,405,2211,12,33,41,319,552,1605,54,0,0,48.42063573,,45.57235752,,76.90335811,,,815.5708996,513.692885,,1130.791554,,0,0,,,29.2424693,55.4067781,55.4067781,735.2711468,1084.213478,420.6000561,0,0,0,0,0,0,12375.85269,,407.141132,,261.1848728,562.3156342,235.0663717,88.33334,407.141132
25,199528001,1995,Adams,34976,21645,11657,9988,46,10805,86,20,,10688,2752.909,,,,91.66666,6.333333,83,0,67.33334,0,0,3.333333,48.33333,4.666667,43.66667,10.33333,0,13.5,0,0,0,,,,113,7,106,0,104,0,0,0,9,44,,,0,38,0,0,0,6,0,0,0,0,35098,2660,658,2002,2,29,22,605,417,1521,57,7,0,54.33072832,,40.0331732,,60.04975551,,,830.9971966,437.1913296,,1061.273528,,0,0,,,31.18762163,84.20658683,56.13772455,623.168348,962.5173531,351.6890329,0,0,0,0,0,0,12718.4523,,423.5003927,,223.3002079,522.0605221,203.2802033,91.66666,423.5003927
26,199628001,1996,Adams,35105,21847,11745,10102,51,10997,111,28,,10660,2820.753,,,,95,7,84.5,0,56,0,0,3.5,40,4,36,14,0,12.25,0,0,0,,,,145,10,135,0,134,0,0,0,11,67,6,61,0,59,,0,1,7,0,0,0,0,35344,2666,555,2111,5,13,35,502,376,1667,61,7,0,59.59982971,,34.05704555,,85.14261388,51.08556833,,836.4680261,356.3650762,,1336.369036,603.8408236,0,0,,,32.83302064,103.1894934,65.66604128,509.2297899,1218.51414,536.5099573,0,0,,0,0,0,12911.39745,,434.8423124,,183.0915,663.7066874,306.6782625,95,434.8423124
27,199728001,1997,Adams,35242,21958,11783,10175,52,11173,118,27,,10588,2888.597,,,,98.33334,7.666667,86,0,44.66667,0,0,3.666667,31.66667,3.333333,28.33333,17.66667,0,11,0,0,0,,,,180,13,167,0,157,0,0,0,23,107,11,96,0,89,0,0,0,18,0,0,0,0,35538,2801,602,2199,7,24,42,529,418,1727,41,13,0,65.06549266,,28.28934058,,110.3284393,93.35483323,,845.2088452,278.4602457,,1641.277641,943.4889435,0,0,,,34.63040234,217.2270495,170.0037779,399.7732928,1405.173185,796.5631433,0,0,0,0,0,0,13155.10065,,447.8246653,,144.2147281,819.7467893,487.2939248,98.33334,447.8246653
28,199828001,1998,Adams,34969,21882,11752,10130,56,11251,108,22,,10445,2956.441,,,,101.6667,8.333333,87.5,0,33.33333,0,0,3.833333,23.33333,2.666667,20.66667,21.33333,0,9.75,0,0,0,,,,180,17,163,0,158,0,0,0,22,89,9,80,0,73,0,0,0,16,0,0,0,0,34796,2373,328,2045,1,6,36,285,467,1524,43,11,0,70.90991321,,22.69117597,,144.6562287,76.58270933,,863.7709773,204.0145114,,1609.081935,789.733465,0,0,,,36.70017233,210.6270943,153.1833413,296.2699316,1404.319616,648.831215,0,0,0,0,0,0,13510.83539,,464.6133809,,106.632529,822.5939128,406.7269902,101.6667,464.6133809
29,199928001,1999,Adams,34591,21656,11582,10074,62,11231,147,25,,10191,3024.286,,,,105,9,89,0,22,0,0,4,15,2,13,25,0,8.5,0,1,0,,,,170,15,155,0,150,0,0,0,20,119,11,108,0,92,0,0,0,27,0,0,0,0,34431,2154,138,2016,6,17,29,86,444,1509,47,16,0,77.70678639,,17.26817475,,129.5113107,94.97496115,,883.4623784,129.0450665,,1538.614255,1072.066706,0,0,,,39.25031891,196.2515945,264.9396526,195.8863859,1335.588995,819.1612501,0,0,0,0,0,0,13965.11821,,484.854082,,69.26486886,785.0018471,549.5012929,104,480.2364241
30,200028001,2000,Adams,34246,21462,11459,10003,69,11173,230,36,,9954,3024.286,4196,901,3295,100.8333,9.333333,88.5,0,31.33333,0,0,6.5,16.83333,2.5,14.33333,23.83333,0,7.25,0,1,0,138,16,122,175.0833333,14.83333333,160.25,0,153.5833333,0,,0.083333333,21.41666667,111,11,100,0,85,0,0,0,26,0,0,0,0,34340,2154,107,2047,2,4,26,75,446,1536,54,11,0,81.44980365,7862.815254,21.81691247,139.6282398,129.447014,95.99441487,32940.11796,884.7345796,143.2903129,1219.63411,1602.019394,999.70009,0,0,,,65.30038176,215.1563861,261.201527,280.4379307,1374.593514,760.7625526,0,0,0,0,,0,14091.35216,19550.83403,469.8224769,642.9969248,78.43318423,815.782934,517.1931786,99.8333,465.1630789
31,200128001,2001,Adams,33945,21395,11358,10037,70,11193,403,36,,9693,3024.286,4196,901,3295,96.66666,9.666667,88,0,40.66667,0,0,9,18.66667,3,15.66667,22.66667,0,6,0,1,0,113,14,107,180.1666667,14.66666667,165.5,0,157.1666667,0,,0.166666667,22.83333333,132,17,115,0,105,0,0,0,27,0,0,0,0,34501,1859,98,1761,2,9,32,55,423,1289,42,7,0,85.10888361,7932.734636,26.4131009,123.2611375,129.1307155,149.6742384,32828.53442,876.7560028,156.0891701,1066.055594,1648.899073,1145.760685,0,0,,,92.85051068,235.5651845,278.551532,363.3223443,1404.151404,938.0863039,0,0,0,0,,0,14135.48025,19612.05889,451.8189297,528.1607852,87.24781491,842.0970633,616.966581,95.66666,447.1449404
32,200228001,2002,Adams,33730,21313,11125,10188,70,11171,582,37,,9453,3024.286,4196,901,3295,92.5,10,87.5,0,50,0,0,11.5,20.5,3.5,17,21.5,0,4.75,0,1,0,114,12,102,185.25,14.5,170.75,0,160.75,0,,0.25,24.25,170,26,144,0,131,0,0,0,39,0,0,0,0,34667,1797,89,1708,6,18,25,40,356,1287,54,11,0,89.88764045,8098.876404,31.46067416,107.8651685,130.3370787,233.7078652,32341.97095,858.8535532,166.8629761,1001.177856,1675.991362,1413.427562,0,0,,,121.6545012,256.5323178,412.5674389,447.5875034,1438.993823,1172.679259,0,0,0,0,,0,14189.86534,19687.51466,434.0074133,534.8848121,96.18542673,869.1878196,797.6352461,91.5,429.3154413
33,200328001,2003,Adams,33482,21283,10982,10301,79,11114,772,40,,9278,3024.286,4227,889,3338,88.33334,10.33333,87,0,59.33333,0,0,14,22.33333,4,18.33333,20.33333,0,3.5,0,1,0,93,11,82,190.3333333,14.33333333,176,0,164.3333333,0,,0.333333333,25.66666667,116,15,101,0,89,0,0,0,27,0,0,0,0,33684,1769,101,1668,6,20,24,51,342,1277,42,7,0,94.09333455,8095.064651,36.42323803,100.1639046,130.5166029,136.5871426,32404.62091,844.5781963,177.9762159,796.0392195,1708.571983,980.4873313,0,0,,,150.8945894,276.6400805,291.0109937,533.8611661,1478.61556,800.7917941,0,0,0,0,,0,14209.86703,19860.92186,415.0417704,436.9684725,104.9350655,894.297483,545.0359442,87.33334,410.3431847
34,200428001,2004,Adams,32785,21008,10724,10284,74,11045,945,43,,8901,3024.286,3515,886,3104,84.16666,10.66667,86.5,0,68.66666,0,0,16.5,24.16667,4.5,19.66667,19.16667,0,2.25,0,1,0,78,12,73,195.4166667,14.16666667,181.25,0,167.9166667,0,,0.416666667,27.08333333,110.875,13.875,97.25,0,85.625,0,0,0,25.5,0,0,0,0,33483,1948,78,1870,1,16,23,38,380,1429,43,18,0,99.4654047,8261.842596,41.96195449,111.8985453,132.1024494,129.382693,30182.80825,841.1124076,191.2356087,709.840529,1762.446519,945.6437184,0,0,,,185.3724301,304.2729281,286.4846646,621.6990493,1520.29576,775.2376641,0,0,0,0,,0,14395.87776,16731.72125,400.6409939,371.2871287,115.0355579,930.2011934,527.7751333,83.16666,395.8809025
35,200528001,2005,Adams,32674,21060,10560,10500,93,11044,1132,51,,8740,3024.286,3157,634,2839,80,11,86,0,78,0,0,19,26,5,21,18,0,1,0,1,0,53,10,50,200.5,14,186.5,0,171.5,0,,0.5,28.5,105.75,12.75,93.5,0,82.25,0,0,0,24,0,0,0,0,32794,1754,72,1682,2,7,20,43,349,1270,53,10,0,104.1666667,6003.787879,47.34848485,94.6969697,132.5757576,120.7386364,27038.09524,819.047619,200,476.1904762,1776.190476,890.4761905,0,0,,,217.3913043,326.0869565,274.5995423,706.2658457,1552.879392,744.7482796,0,0,0,0,,0,14360.33238,14990.50332,379.8670465,251.6619183,123.4567901,952.0417854,502.1367521,79,375.1187085
36,200628001,2006,Adams,33220,21433,10722,10711,96,11383,1307,53,,8594,3012.875,3023,482,2700,80.875,10.25,84.625,0,76.75,0,0,18,31.375,5,21,16.125,0,8.125,0,1,0,125,18,107,205.5833333,13.83333333,191.75,0,175.0833333,0,,0.583333333,29.91666667,100.625,11.625,89.75,0,78.875,0,0,0,22.5,0,0,0,0,31983,1510,82,1428,4,13,15,50,322,1060,45,1,0,95.59783622,4495.429957,46.63309084,167.879127,129.018218,108.4219362,25207.73037,790.0756232,196.0601251,998.9730184,1790.215666,837.9236299,0,0,,,209.4484524,348.1110853,261.8105655,674.2510762,1538.11239,692.9192656,0,0,0,0,,0,14057.17818,14104.41842,377.3386833,583.2128027,146.3864135,959.190656,469.4863062,79.875,372.6729809
37,200728001,2007,Adams,32889,21315,10546,10769,102,11302,1502,54,,8355,3001.464,2890,330,2560,81.75,9.5,83.25,0,75.5,0,0,17,36.75,5,21,14.25,0,15.25,0,1,0,97,14,83,210.6666667,13.66666667,197,0,178.6666667,0,,0.666666667,31.33333333,95.5,10.5,86,0,75.5,0,0,0,21,0,0,0,0,32230,1616,98,1518,5,14,27,52,362,1074,64,18,0,90.08154751,3129.148492,47.41134079,132.7517542,129.5909982,99.56381566,23771.93797,773.0522797,195.0041787,770.7308014,1829.324914,798.5885412,0,0,,,203.4709755,375.0249351,251.3464991,668.0233587,1580.841149,668.0233587,0,0,0,0,,0,14081.46376,13558.52686,383.5327234,455.0785832,172.4137931,988.3493629,448.0412855,80.75,378.8411916
38,200828001,2008,Adams,32629,21315,10440,10875,105,11249,1710,54,,8197,2990.053,3090,430,2660,82.625,8.75,81.875,0,74.25,0,0,16,42.125,5,21,12.375,0,22.375,0,1,0,102,16,86,215.75,13.5,202.25,0,182.25,0,,0.75,32.75,90.375,9.375,82.25,0,72.125,0,0,0,19.5,0,0,0,0,31503,1480,103,1377,3,8,19,73,387,911,72,7,0,83.81226054,4118.773946,47.89272031,153.256705,129.3103448,89.79885057,24459.77011,752.8735632,193.1034483,790.8045977,1859.770115,756.3218391,0,0,,,195.1933634,399.5364158,237.8919117,660.0586719,1620.144013,641.1681038,0,0,0,0,,0,14027.92869,14496.83322,387.6378137,478.5362421,197.6307764,1012.197983,423.9971851,81.625,382.946282
39,200928001,2009,Adams,32305,21199,10284,10915,111,11160,1875,56,,7997,2978.643,2790,530,2260,83.5,8,80.5,0,73,0,0,15,47.5,5,21,10.5,0,29.5,0,1,0,115,14,101,220.8333333,13.33333333,207.5,0,185.8333333,0,,0.833333333,34.16666667,85.25,8.25,78.5,0,68.75,0,0,0,18,0,0,0,0,31008,1324,92,1232,3,18,26,45,432,723,66,11,0,77.7907429,5153.636717,48.61921431,136.1338001,129.6512381,80.22170362,20705.45121,737.5171782,192.3957856,925.3321118,1901.053596,719.19377,0,0,,,187.5703389,427.2435497,225.0844067,654.1218638,1665.173237,616.0394265,0,0,0,0,,0,14050.86561,13160.99816,393.8865041,542.4784188,224.067173,1041.715804,402.1416105,82.5,389.1693004
40,201028001,2010,Adams,32297,21303,10276,11027,109,11209,2023,57,,7905,2967.232,3090,630,2460,84.375,7.25,79.125,0,71.75,0,0,14,52.875,5,21,8.625,0,36.625,0,1,0,145,20,125,225.9166667,13.16666667,212.75,0,189.4166667,0,,0.916666667,35.58333333,80.125,7.125,74.75,0,65.375,0,0,0,16.5,0,0,0,0,32297,1703,116,1587,2,12,43,59,535,994,45,13,0,70.55274426,6130.790191,48.65706501,194.62826,128.1302712,69.33631763,22308.87821,717.5569058,190.4416432,1133.58121,1929.355219,677.8815634,0,0,,,177.1030993,450.137044,208.7286528,640.1106254,1689.862313,583.2366848,0,0,0,0,,0,13928.70488,14504.9993,396.0709759,680.6553068,248.2044782,1060.492263,376.1207342,83.375,391.3768014
