yfips,year,fips,state,county_name,total_pop,total_pop_15to64,female_pop_15to64,male_pop_15to64,asian_pop_15to64,black_pop_15to64,latino_pop_15to64,native_pop_15to64,other_pop_15to64,white_pop_15to64,urbanicity,region,division,commuting_zone,metro_area,land_area,total_jail_adm,total_jail_adm_dcrp,female_jail_adm_dcrp,male_jail_adm_dcrp,total_jail_pop,female_jail_pop,male_jail_pop,asian_jail_pop,black_jail_pop,latino_jail_pop,native_jail_pop,white_jail_pop,total_jail_pretrial,female_jail_pretrial,male_jail_pretrial,jail_from_state_prison,jail_from_other_state_prison,jail_from_state_jail,jail_from_other_state_jail,jail_from_fed,jail_from_ice,total_jail_pop_dcrp,female_jail_pop_dcrp,male_jail_pop_dcrp,total_prison_pop,female_prison_pop,male_prison_pop,asian_prison_pop,black_prison_pop,latino_prison_pop,native_prison_pop,other_prison_pop,white_prison_pop,total_prison_adm,female_prison_adm,male_prison_adm,asian_prison_adm,black_prison_adm,latino_prison_adm,native_prison_adm,other_prison_adm,white_prison_adm,num_facilites,num_employees,confined_pop,capacity,ucr_population,index_crime,violent_crime,property_crime,murder_crime,rape_crime,robbery_crime,agr_assault_crime,burglary_crime,larceny_crime,mv_theft_crime,arson_crime
198028001,1980,28001,MS,Adams County,38180,24126,12955,11171,,10891,,,36,13199,rural,South,East South Central,289,35020,462.344,1576.543,,,,42.6,0,44.2,,,,,,14.4,0,8.8,19,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,22182,2031,81,1950,2,10,26,43,460,1452,36,2
198128001,1981,28001,MS,Adams County,38697,24399,13119,11280,,11055,,,38,13306,rural,South,East South Central,289,35020,462.344,1713.029,,,,47.4,0,47.8,,,,,,17.6,0,9.2,22,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,22345,2028,81,1947,3,12,34,32,365,1552,29,1
198228001,1982,28001,MS,Adams County,39175,24621,13249,11372,,11191,,,44,13386,rural,South,East South Central,289,35020,462.344,1849.514,,,,52.2,0,51.4,,,,,,20.8,0,9.6,25,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
198328001,1983,28001,MS,Adams County,38843,24300,13088,11212,,11071,,,45,13184,rural,South,East South Central,289,35020,462.344,1986,,,,57,2,55,,,,,,24,0,10,28,0,1,0,0,0,,,,79,,,0,68,0,0,0,11,32,,,0,27,0,0,0,5,0,0,0,0,22848,2000,554,1446,4,17,27,506,567,836,39,4
198428001,1984,28001,MS,Adams County,39009,24315,13109,11206,,11109,,,46,13160,rural,South,East South Central,289,35020,462.344,2044.4,,,,53.2,2.2,50.6,,,,,,22,0,10.4,25.6,0,1,0,0,0,,,,84,,,0,71,0,0,0,13,66,5,61,0,48,0,0,4,14,0,0,0,0,23113,2182,485,1697,7,24,21,433,528,1098,68,3
198528001,1985,28001,MS,Adams County,38823,24107,13019,11088,,11037,,,60,13010,rural,South,East South Central,289,35020,462.344,2102.8,,,,49.4,2.4,46.2,,,,,,20,0,10.8,23.2,0,1,0,0,0,,,,123,6,117,0,99,0,0,1,23,85,5,80,0,65,0,0,2,18,0,0,0,0,23247,1879,143,1736,2,9,22,110,407,1233,90,6
198628001,1986,28001,MS,Adams County,37693,23381,12624,10757,,10743,,,61,12577,rural,South,East South Central,289,35020,462.344,2161.2,,,,45.6,2.6,41.8,,,,,,18,0,11.2,20.8,0,1,0,0,0,,,,109,5,104,0,89,0,0,0,20,98,,,0,62,0,0,3,33,0,0,0,0,22672,1769,75,1694,3,9,28,35,314,1306,67,7
198728001,1987,28001,MS,Adams County,36540,22638,12236,10402,,10453,,,62,12123,rural,South,East South Central,289,35020,462.344,2219.6,,,,41.8,2.8,37.4,,,,,,16,0,11.6,18.4,0,1,0,0,0,,,,108,7,101,0,82,0,0,0,26,69,6,63,0,45,0,0,0,24,0,0,0,0,22179,1820,106,1714,2,21,36,47,342,1332,37,3
198828001,1988,28001,MS,Adams County,35795,22114,11977,10137,,10271,,,62,11781,rural,South,East South Central,289,35020,462.344,2278,,,,38,3,33,,,,,,14,2,12,16,0,1,0,0,0,,,,117,6,111,0,100,0,0,0,17,61,5,56,0,50,0,0,0,11,0,0,0,0,21402,1928,160,1768,2,14,26,118,483,1218,59,8
198928001,1989,28001,MS,Adams County,35768,22022,11946,10076,,10272,,,70,11680,rural,South,East South Central,289,35020,462.344,2345.844,,,,47.4,3.4,42.4,,,,,,24.2,2.8,21.4,13.4,0,4,0,0,0,,,,89,5,84,0,76,0,0,0,13,48,7,41,0,32,0,0,0,16,0,0,0,0,20860,1880,110,1770,3,10,24,73,547,1147,74,2
199028001,1990,28001,MS,Adams County,35294,21891,11879,10012,40,10231,88,22,,11510,rural,South,East South Central,289,35020,462.344,2413.688,,,,56.8,3.8,51.8,0,52.8,0,0,6,34.4,3.6,30.8,10.8,0,7,0,0,0,,,,89,5,84,0,75,0,0,0,14,50,7,43,0,37.5,0,0,0,12.5,0,0,0,0,19460,1854,173,1681,3,22,47,101,394,1219,62,6
199128001,1991,28001,MS,Adams County,35390,21869,11872,9997,42,10360,88,19,,11360,rural,South,East South Central,289,35020,462.344,2481.532,,,,66.2,4.2,61.2,0,65.2,0,0,5,44.6,4.4,40.2,8.2,0,10,0,0,0,,,,104,13,91,0,89,0,0,0,15,52,7,45,0,43,0,0,0,9,0,0,0,0,19602,2069,215,1854,4,11,55,145,504,1296,50,4
199228001,1992,28001,MS,Adams County,34899,21465,11650,9815,44,10310,87,18,,11006,rural,South,East South Central,289,35020,462.344,2549.377,,,,75.6,4.6,70.6,0,77.6,0,0,4,54.8,5.2,49.6,5.6,0,13,0,0,0,,,,111,10,101,0,102,0,0,0,9,90,11,79,0,85,0,0,0,5,0,0,0,0,19768,1740,152,1588,2,9,60,81,426,1130,32,0
199328001,1993,28001,MS,Adams County,35013,21565,11660,9905,45,10503,86,20,,10911,rural,South,East South Central,289,35020,462.344,2617.221,,,,85,5,80,0,90,0,0,3,65,6,59,3,0,16,0,0,0,,,,125,8,117,0,114,0,0,0,11,73,,,0,69,0,0,0,4,0,0,0,0,,,,,,,,,,,,
199428001,1994,28001,MS,Adams County,35151,21696,11703,9993,45,10699,101,22,,10829,rural,South,East South Central,289,35020,462.344,2685.065,,,,88.33334,5.666667,81.5,0,78.66666,0,0,3.166667,56.66667,5.333333,51.33333,6.666667,0,14.75,0,0,0,,,,122,9,113,0,116,0,0,0,6,51,,,0,45,0,0,0,6,0,0,0,0,35465,2616,405,2211,12,33,41,319,552,1605,54,0
199528001,1995,28001,MS,Adams County,34976,21645,11657,9988,46,10805,86,20,,10688,rural,South,East South Central,289,35020,462.344,2752.909,,,,91.66666,6.333333,83,0,67.33334,0,0,3.333333,48.33333,4.666667,43.66667,10.33333,0,13.5,0,0,0,,,,113,7,106,0,104,0,0,0,9,44,,,0,38,0,0,0,6,0,0,0,0,35098,2660,658,2002,2,29,22,605,417,1521,57,7
199628001,1996,28001,MS,Adams County,35105,21847,11745,10102,51,10997,111,28,,10660,rural,South,East South Central,289,35020,462.344,2820.753,,,,95,7,84.5,0,56,0,0,3.5,40,4,36,14,0,12.25,0,0,0,,,,145,10,135,0,134,0,0,0,11,67,6,61,0,59,,0,1,7,0,0,0,0,35344,2666,555,2111,5,13,35,502,376,1667,61,7
199728001,1997,28001,MS,Adams County,35242,21958,11783,10175,52,11173,118,27,,10588,rural,South,East South Central,289,35020,462.344,2888.597,,,,98.33334,7.666667,86,0,44.66667,0,0,3.666667,31.66667,3.333333,28.33333,17.66667,0,11,0,0,0,,,,180,13,167,0,157,0,0,0,23,107,11,96,0,89,0,0,0,18,0,0,0,0,35538,2801,602,2199,7,24,42,529,418,1727,41,13
199828001,1998,28001,MS,Adams County,34969,21882,11752,10130,56,11251,108,22,,10445,rural,South,East South Central,289,35020,462.344,2956.441,,,,101.6667,8.333333,87.5,0,33.33333,0,0,3.833333,23.33333,2.666667,20.66667,21.33333,0,9.75,0,0,0,,,,180,17,163,0,158,0,0,0,22,89,9,80,0,73,0,0,0,16,0,0,0,0,34796,2373,328,2045,1,6,36,285,467,1524,43,11
199928001,1999,28001,MS,Adams County,34591,21656,11582,10074,62,11231,147,25,,10191,rural,South,East South Central,289,35020,462.344,3024.286,,,,105,9,89,0,22,0,0,4,15,2,13,25,0,8.5,0,1,0,,,,170,15,155,0,150,0,0,0,20,119,11,108,0,92,0,0,0,27,0,0,0,0,34431,2154,138,2016,6,17,29,86,444,1509,47,16
200028001,2000,28001,MS,Adams County,34246,21462,11459,10003,69,11173,230,36,,9954,rural,South,East South Central,289,35020,462.344,3024.286,4196,901,3295,100.8333,9.333333,88.5,0,31.33333,0,0,6.5,16.83333,2.5,14.33333,23.83333,0,7.25,0,1,0,138,16,122,175.083333333,14.8333333333,160.25,0,153.583333333,0,,0.0833333333333,21.4166666667,111,11,100,0,85,0,0,0,26,0,0,0,0,34340,2154,107,2047,2,4,26,75,446,1536,54,11
200128001,2001,28001,MS,Adams County,33945,21395,11358,10037,70,11193,403,36,,9693,rural,South,East South Central,289,35020,462.344,3024.286,4196,901,3295,96.66666,9.666667,88,0,40.66667,0,0,9,18.66667,3,15.66667,22.66667,0,6,0,1,0,113,14,107,180.166666667,14.6666666667,165.5,0,157.166666667,0,,0.166666666667,22.8333333333,132,17,115,0,105,0,0,0,27,0,0,0,0,34501,1859,98,1761,2,9,32,55,423,1289,42,7
200228001,2002,28001,MS,Adams County,33730,21313,11125,10188,70,11171,582,37,,9453,rural,South,East South Central,289,35020,462.344,3024.286,4196,901,3295,92.5,10,87.5,0,50,0,0,11.5,20.5,3.5,17,21.5,0,4.75,0,1,0,114,12,102,185.25,14.5,170.75,0,160.75,0,,0.25,24.25,170,26,144,0,131,0,0,0,39,0,0,0,0,34667,1797,89,1708,6,18,25,40,356,1287,54,11
200328001,2003,28001,MS,Adams County,33482,21283,10982,10301,79,11114,772,40,,9278,rural,South,East South Central,289,35020,462.344,3024.286,4227,889,3338,88.33334,10.33333,87,0,59.33333,0,0,14,22.33333,4,18.33333,20.33333,0,3.5,0,1,0,93,11,82,190.333333333,14.3333333333,176,0,164.333333333,0,,0.333333333333,25.6666666667,116,15,101,0,89,0,0,0,27,0,0,0,0,33684,1769,101,1668,6,20,24,51,342,1277,42,7
200428001,2004,28001,MS,Adams County,32785,21008,10724,10284,74,11045,945,43,,8901,rural,South,East South Central,289,35020,462.344,3024.286,3515,886,3104,84.16666,10.66667,86.5,0,68.66666,0,0,16.5,24.16667,4.5,19.66667,19.16667,0,2.25,0,1,0,78,12,73,195.416666667,14.1666666667,181.25,0,167.916666667,0,,0.416666666667,27.0833333333,110.875,13.875,97.25,0,85.625,0,0,0,25.5,0,0,0,0,33483,1948,78,1870,1,16,23,38,380,1429,43,18
200528001,2005,28001,MS,Adams County,32674,21060,10560,10500,93,11044,1132,51,,8740,rural,South,East South Central,289,35020,462.344,3024.286,3157,634,2839,80,11,86,0,78,0,0,19,26,5,21,18,0,1,0,1,0,53,10,50,200.5,14,186.5,0,171.5,0,,0.5,28.5,105.75,12.75,93.5,0,82.25,0,0,0,24,0,0,0,0,32794,1754,72,1682,2,7,20,43,349,1270,53,10
200628001,2006,28001,MS,Adams County,33220,21433,10722,10711,96,11383,1307,53,,8594,rural,South,East South Central,289,35020,462.344,3012.875,3023,482,2700,80.875,10.25,84.625,0,76.75,0,0,18,31.375,5,21,16.125,0,8.125,0,1,0,125,18,107,205.583333333,13.8333333333,191.75,0,175.083333333,0,,0.583333333333,29.9166666667,100.625,11.625,89.75,0,78.875,0,0,0,22.5,0,0,0,0,31983,1510,82,1428,4,13,15,50,322,1060,45,1
200728001,2007,28001,MS,Adams County,32889,21315,10546,10769,102,11302,1502,54,,8355,rural,South,East South Central,289,35020,462.344,3001.464,2890,330,2560,81.75,9.5,83.25,0,75.5,0,0,17,36.75,5,21,14.25,0,15.25,0,1,0,97,14,83,210.666666667,13.6666666667,197,0,178.666666667,0,,0.666666666667,31.3333333333,95.5,10.5,86,0,75.5,0,0,0,21,0,0,0,0,32230,1616,98,1518,5,14,27,52,362,1074,64,18
200828001,2008,28001,MS,Adams County,32629,21315,10440,10875,105,11249,1710,54,,8197,rural,South,East South Central,289,35020,462.344,2990.053,3090,430,2660,82.625,8.75,81.875,0,74.25,0,0,16,42.125,5,21,12.375,0,22.375,0,1,0,102,16,86,215.75,13.5,202.25,0,182.25,0,,0.75,32.75,90.375,9.375,82.25,0,72.125,0,0,0,19.5,0,0,0,0,31503,1480,103,1377,3,8,19,73,387,911,72,7
200928001,2009,28001,MS,Adams County,32305,21199,10284,10915,111,11160,1875,56,,7997,rural,South,East South Central,289,35020,462.344,2978.643,2790,530,2260,83.5,8,80.5,0,73,0,0,15,47.5,5,21,10.5,0,29.5,0,1,0,115,14,101,220.833333333,13.3333333333,207.5,0,185.833333333,0,,0.833333333333,34.1666666667,85.25,8.25,78.5,0,68.75,0,0,0,18,0,0,0,0,31008,1324,92,1232,3,18,26,45,432,723,66,11
201028001,2010,28001,MS,Adams County,32297,21303,10276,11027,109,11209,2023,57,,7905,rural,South,East South Central,289,35020,462.344,2967.232,3090,630,2460,84.375,7.25,79.125,0,71.75,0,0,14,52.875,5,21,8.625,0,36.625,0,1,0,145,20,125,225.916666667,13.1666666667,212.75,0,189.416666667,0,,0.916666666667,35.5833333333,80.125,7.125,74.75,0,65.375,0,0,0,16.5,0,0,0,0,32297,1703,116,1587,2,12,43,59,535,994,45,13
201128001,2011,28001,MS,Adams County,32566,21594,10275,11319,113,11225,2304,55,,7897,rural,South,East South Central,289,35020,462.344,2955.821,3790,930,2860,85.25,6.5,77.75,0,70.5,0,0,13,58.25,5,21,6.75,0,43.75,0,1,0,139,18,121,231,13,218,0,193,0,,1,37,75,6,71,0,62,0,0,0,15,0,0,0,0,32419,1742,132,1610,6,16,41,69,531,1033,29,17
201228001,2012,28001,MS,Adams County,32413,21463,10221,11242,115,11209,2330,62,,7747,rural,South,East South Central,289,35020,462.344,2944.411,3080,349,2731,86.125,5.75,76.375,0,69.25,0,0,12,63.625,5,21,4.875,0,50.875,0,1,0,126,18,108,250,13,237,0,204,0,,1,45,106,10,96,0,81,0,0,0,25,0,0,0,0,32136,1308,79,1229,4,11,30,34,328,879,10,12
201328001,2013,28001,MS,Adams County,32175,21220,10124,11096,131,11134,2266,70,,7619,rural,South,East South Central,289,35020,462.344,2933,2764,844,1920,87,5,75,0,68,1,0,11,69,5,21,3,0,58,0,1,0,124,17,107,239,12,227,0,196,0,,1,42,88,8,80,0,71,0,0,0,17,0,0,0,0,31990,1553,75,1478,1,8,23,43,364,1037,27,50
201428001,2014,28001,MS,Adams County,32111,21221,10016,11205,151,11116,2433,64,,7457,rural,South,East South Central,289,35020,462.344,2933,,,,87,5,75,0,68,1,0,11,69,5,21,3,0,58,0,1,0,,,,217,9,208,0,178,0,,1,38,75,6,69,0,61,0,0,0,14,0,0,0,0,31937,1511,97,1414,5,4,23,65,242,1123,34,15
201528001,2015,28001,MS,Adams County,31962,21028,9820,11208,148,11022,2519,70,,7269,rural,South,East South Central,289,35020,462.344,2933,,,,87,5,75,0,68,1,0,11,69,5,21,3,0,58,0,1,0,,,,204,7,197,0,166,0,,1,37,41,,,0,30,0,0,0,11,0,0,0,0,,,,,,,,,,,,
201628001,2016,28001,MS,Adams County,31400,20463,9577,10886,145,10774,2407,67,,7070,rural,South,East South Central,289,35020,462.344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197028025,1970,28025,MS,Clay County,18971,11047,5851,5196,,5026,,,11,6010,rural,South,East South Central,446,,410.066,0,,,,3,0,3,,,,,,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197128025,1971,28025,MS,Clay County,19546,11465,6061,5404,,5225,,,12,6228,rural,South,East South Central,446,,410.066,0,,,,3.25,0,3.25,,,,,,1.538462,0,1.833333,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197228025,1972,28025,MS,Clay County,19612,11583,6116,5467,,5292,,,15,6276,rural,South,East South Central,446,,410.066,0,,,,3.5,0,3.5,,,,,,2.076923,0,2.666667,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197328025,1973,28025,MS,Clay County,19581,11627,6138,5489,,5323,,,17,6287,rural,South,East South Central,446,,410.066,0,,,,3.75,0,3.75,,,,,,2.615385,0,3.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197428025,1974,28025,MS,Clay County,19794,11848,6256,5592,,5445,,,17,6386,rural,South,East South Central,446,,410.066,0,,,,4,0,4,,,,,,3.153846,0,4.333333,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197528025,1975,28025,MS,Clay County,19944,12030,6351,5679,,5549,,,19,6462,rural,South,East South Central,446,,410.066,0,,,,4.25,0,4.25,,,,,,3.692308,0,5.166667,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197628025,1976,28025,MS,Clay County,20246,12273,6467,5806,,5675,,,22,6576,rural,South,East South Central,446,,410.066,0,,,,4.5,0,4.5,,,,,,4.230769,0,6,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197728025,1977,28025,MS,Clay County,20547,12494,6572,5922,,5793,,,23,6678,rural,South,East South Central,446,,410.066,0,,,,4.75,0,4.75,,,,,,4.769231,0,6.833333,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,9062,388,51,337,1,2,5,43,62,266,9,0
197828025,1978,28025,MS,Clay County,20845,12712,6678,6034,,5904,,,26,6782,rural,South,East South Central,446,,410.066,625.7143,,,,5,0,5,,,,,,5.307693,0,7.666667,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,8263,356,52,304,3,0,8,41,71,226,7,0
197928025,1979,28025,MS,Clay County,20990,12786,6708,6078,,5950,,,31,6805,rural,South,East South Central,446,,410.066,625.3715,,,,8.6,0,8.6,,,,,,5.846154,0,8.5,4.8,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
198028025,1980,28025,MS,Clay County,21094,12841,6727,6114,,6050,,,31,6760,rural,South,East South Central,446,,410.066,625.0286,,,,12.2,0,12.2,,,,,,6.384615,0,9.333333,6.6,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,8759,387,24,363,0,1,1,22,136,216,11,0
198128025,1981,28025,MS,Clay County,21243,12943,6789,6154,,6163,,,33,6747,rural,South,East South Central,446,,410.066,624.6857,,,,15.8,0,15.8,,,,,,6.923077,0,10.16667,8.4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,21193,546,54,492,6,1,2,45,190,292,2,8
198228025,1982,28025,MS,Clay County,21578,13145,6899,6246,,6322,,,32,6791,rural,South,East South Central,446,,410.066,624.3428,,,,19.4,0,19.4,,,,,,7.461538,0,11,10.2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,12472,158,14,144,5,0,0,9,84,54,6,0
198328025,1983,28025,MS,Clay County,21588,13130,6892,6238,,6372,,,31,6727,rural,South,East South Central,446,,410.066,624,,,,23,0,23,,,,,,8,0,11.83333,12,0,0,0,0,0,,,,33,,,0,25,0,0,0,8,6,0,6,0,5,0,0,1,,0,0,0,0,12648,105,17,88,0,0,2,15,52,33,3,0
198428025,1984,28025,MS,Clay County,21599,13135,6897,6238,,6433,,,33,6669,rural,South,East South Central,446,,410.066,723.4,,,,24.8,0,25.2,,,,,,9.6,0,12.66667,13.6,0,0,0,0,0,,,,41,,,0,31,0,0,0,10,29,,,0,24,0,0,0,5,0,0,0,0,12791,147,20,127,0,0,3,17,50,74,3,0
198528025,1985,28025,MS,Clay County,21396,12992,6836,6156,,6417,,,32,6543,rural,South,East South Central,446,,410.066,822.8,,,,26.6,0,27.4,,,,,,11.2,0,13.5,15.2,0,0,0,0,0,,,,62,,,0,47,0,0,0,15,44,0,44,0,34,0,0,0,10,0,0,0,0,12846,161,18,143,1,6,3,8,52,82,7,2
198628025,1986,28025,MS,Clay County,21353,12997,6826,6171,,6481,,,34,6482,rural,South,East South Central,446,,410.066,922.2,,,,28.4,0,29.6,,,,,,12.8,0,14.33333,16.8,0,0,0,0,0,,,,60,,,0,50,0,0,0,10,28,0,28,0,20,0,0,0,8,0,0,0,0,12975,155,30,125,3,2,4,21,77,39,8,1
198728025,1987,28025,MS,Clay County,21201,12935,6801,6134,,6518,,,34,6383,rural,South,East South Central,446,,410.066,1021.6,,,,30.2,0,31.8,,,,,,14.4,0,15.16667,18.4,0,0,0,0,0,,,,66,,,0,49,0,0,0,17,32,0,32,0,22,0,0,0,10,0,0,0,0,12879,116,10,106,4,1,0,5,69,31,5,1
198828025,1988,28025,MS,Clay County,21165,12918,6801,6117,,6570,,,33,6315,rural,South,East South Central,446,,410.066,1121,,,,32,0,34,,,,,,16,0,16,20,0,4,0,0,0,,,,62,0,62,0,52,0,0,0,10,36,,,0,32,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198928025,1989,28025,MS,Clay County,21128,12883,6790,6093,,6624,,,34,6225,rural,South,East South Central,446,,410.066,1087.114,,,,37.6,0,38.4,,,,,,14.6,0,14.6,21.6,0,4.454545,0,0,0,,,,58,0,58,0,47,0,0,0,11,49,0,49,0,40,0,0,0,9,0,0,0,0,12797,142,14,128,0,4,1,9,83,39,3,3
199028025,1990,28025,MS,Clay County,21151,13026,6863,6163,16,6751,41,2,,6216,rural,South,East South Central,446,,410.066,1053.229,,,,43.2,0,42.8,0,35.2,0,0,4.8,13.2,0,13.2,23.2,0,4.909091,0,0,0,,,,69,,,0,56,0,0,0,13,42,,,0,36,0,0,0,6,0,0,0,0,12631,177,40,137,1,3,3,33,66,63,7,1
199128025,1991,28025,MS,Clay County,21361,13167,6932,6235,15,6888,47,2,,6215,rural,South,East South Central,446,,410.066,1019.343,,,,48.8,0,47.2,0,38.8,0,0,4.2,11.8,0,11.8,24.8,0,5.363636,0,0,0,,,,61,,,0,55,0,0,0,6,35,,,0,32,0,0,3,,0,0,0,0,12723,166,28,138,5,0,6,17,71,60,5,2
199228025,1992,28025,MS,Clay County,21453,13188,6940,6248,14,6965,43,2,,6164,rural,South,East South Central,446,,410.066,985.4572,,,,54.4,0,51.6,0,42.4,0,0,3.6,10.4,0,10.4,26.4,0,5.818182,0,0,0,,,,63,,,0,51,0,0,0,12,46,,,0,35,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199328025,1993,28025,MS,Clay County,21588,13311,6982,6329,14,7096,51,3,,6147,rural,South,East South Central,446,,410.066,951.5714,,,,60,4,56,0,46,0,0,3,9,0,9,28,0,6.272727,0,0,0,,,,72,,,0,58,0,0,0,14,39,,,0,31,0,0,0,8,0,0,0,0,,,,,,,,,,,,
199428025,1994,28025,MS,Clay County,21600,13363,7003,6360,12,7188,45,2,,6116,rural,South,East South Central,446,,410.066,917.6857,,,,70,4,63,0,56,0,0,11,14.5,0,13.25,29.6,0,6.727273,0,0,0,,,,97,6,91,0,80,0,0,0,17,73,4,69,0,62,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
