full job title,Field 16,address,alt address,phone,alt phone,fax,alt fax,email
George County Sheriff,Keith Havard," 355 Cox St,Ste B, Lucedale 39452 ",,(601) 947-4811,,(601) 947-0233,,
Greene County Sheriff,Stanley McLeod  ,"PO Box 637, Leakesville 39451",,(601) 394-2341,,(601) 394-5939,,
Grenada County Sheriff,Alton Strider," 35 Doak St, Grenada 38901",,(662) 227-2877,,(662) 227-2872,,
Hancock County Sheriff,Ricky Adam,"8450 Hwy. 90, Bay St. Louis 39520",,(228)466-6900,,(228) 586-1636,,
Harrison County Sheriff,,,,,,,,
Hinds County Sheriff,,,,,,,,
Holmes County Sheriff,Willie E March," PO Box 1 20, Lexington 39095",,(662) 834-1511,,(662) 834-3362,,
Humphreys County Sheriff,"J.D. (""Bubba"") Roseman","106 Castleman St, Belzoni 39038",,(662) 247-2551,,(662) 247-3902,,
Issaquena County Sheriff,Richard Jones,"PO Box 147, Mayersville 39113",,(662) 873-2781,,(662) 873-4500,,
Itawamba County Sheriff,Chris Dickinson," 201 S Cummings St, Fulton 38843 ",,(662) 862-3401,,(662) 862-3175,,
Jackson County Sheriff,Mike Ezell," PO Box 998, Pascagoula 39568-0998",,(228) 769-3024,,(228) 762-6168,,
Jasper County Sheriff,Randy Johnson," PO Box 464, Bay Springs 39422",,(601) 764-2588,,(601) 764-4016,,
Jefferson County Sheriff,Peter E Walker," PO Box 218, Fayette 39069(601) 786-3403",,(601) 786-3403,,(601) 786-6000,,
Jefferson Davis County Sheriff,Ron Strickland,"PO Box 339, Prentiss 39474",,(601) 792-5169,,(601) 792-5980,,
Jones County Sheriff,,,,,,,,
Kemper County Sheriff,James Moore Sr.," PO Box 188, DeKalb 39328 ",,(601) 743-2255,,(601) 743-2266,,
Lafayette County Sheriff,"F.D. (""Buddy"") East","711 Jackson Ave, Oxford 38655",,(662) 234-6421,,(662) 236-0203,,
Lamar County Sheriff,Danny Rigel ,"PO Box 352, Purvis 39475",,(601) 794-8504,,(601) 794-1002,,
Lauderdale County Sheriff,"William D. (""Billy"") Sollie","410 Constitution Ave, Meridian 39302",,(601) 482-9806,,(601) 486-4976,,
Lawrence County Sheriff,Lessie Butler," PO Box 816, Monticello 39654",,(601) 587-2961,,(601) 587-4740,,
Leake County Sheriff,Greg Waggoner,"316 C.O. Brooks St, Carthage 39051",,(601) 267-7361,,(601) 267-4658,,
Lee County Sheriff,Jim Howell Johnson," 510 N Commerce, Tupelo 38804",,(662) 841-9040,,(662) 841-9044,,
Leflore County Sheriff,"Fredrick L. (""Ricky"") Banks"," PO Box 905, Greenwood 38935",,(662) 453-5141,,(662) 453-2221,,
Lincoln County Sheriff,Steve Henry Rushing ,"PO Box 587, Brookhaven 39602",,(601) 833-5231,,(601) 833-4492,,
Lowndes County Sheriff,Mike Arledge," PO Box 2341, Columbus 39704 ",,(662) 329-5826,,(662) 244-0769,,
Madison County Sheriff,Randall Tucker,"2941 S Liberty St, Canton 39046-8665",,(601) 859-2345,,(601) 859-5805,,
Marion County Sheriff,Berkley Hall,"219 Broad St, Columbia 39429",,(601) 736-5051,,(601) 731-3780,,
Marshall County Sheriff,Kenny Dickerson," PO Box 5100, Holly Springs 38635",,(662) 252-1311,,(662) 252-0006,,
Monroe County Sheriff,Cecil Cantrell,"PO Box 683, Aberdeen 39730",,(662) 369-2468,,(662) 369-2470,,
Montgomery County Sheriff,"Jerry C. (""Bubba"") Nix Jr.","PO Box 346, Winona 38967",,(662) 283-3343,,(662) 283-4000,,
Neshoba County Sheriff,Tommy G. Waddell," 401 E Beacon St,Ste 108, Philadelphia 39350",,(601) 656-1414,,(601) 650-3281,,
Newton County Sheriff,Jackie Knight,"PO Box 395, Decatur 39327",,(601) 635-4401,,(601) 635-5768,,
Noxubee County Sheriff,Terry M. Grassaree," 2832 Jefferson, Macon 39341",,(662) 726-5133,,(662) 726-4166,,
Oktibbeha County Sheriff,Steve Gladney,"111 Dr. D.L. Conner Dr, Starkville 39760",,(662) 323-2421,,(662) 324-5680,,
Panola County Sheriff,Dennis L. Darby ," PO Box 273, Batesville 38606",,(662) 563-6230,,,,
Pearl River County Sheriff,David Allison," 200 S Main, Poplarville 39470",,(601) 403-2340,,(601) 403-2344,,
Perry County Sheriff,Mitch Nobles," PO Box 228, New Augusta 39462",,(601) 964-8461,,(601) 964-8463,,
Pike County Sheriff,Kenny Cotton," 2109 Jessie Hall Rd, Magnolia 39652",,(601) 783-2327,,(601) 783-6586,,
Pontotoc County Sheriff,Leo Mask," PO Box 240, Pontotoc 38863",,(662) 489-3915,,(662) 489-3312,,
Prentiss County Sheriff,Randy Tolar,"1901-B E Chambers Dr, Booneville 38829",,(662) 728-6232,,(662) 728-2003,,
Quitman County Sheriff,Oliver Parker Jr.,"PO Box 365, Marks 38646",,(662) 326-3131,,(662) 326-8004,,
Rankin County Sheriff,Bryan Bailey,"221 N Timber, Brandon 39042",,(601) 825-1480,,(601) 824-0268,,
Scott County Sheriff,Mike Lee," 531 Airport Rd, Forest 39074",,(601) 469-1511,,(601) 469-5224,,
Sharkey County Sheriff,Lindsey Adams Jr.," 120 Locust St, Rolling Fork 39159",,(662) 873-4321,,(662) 873-6135,,
Simpson County Sheriff,Donald O’Cain,"1496 Simpson Hwy. 149, Mendenhall 39114",,(601) 847-2155,,(601) 847-2156,,
Smith County Sheriff,Charlie Crumpton,"PO Box 307, Raleigh 39153",,(601) 782-4531,,(601) 782-4003,,
Stone County Sheriff,Mike Farmer,"1420 Industrial Park Rd, Wiggins 39577",,(601) 928-7251,,(601) 928-6455,,
Sunflower County Sheriff,James Haywood,"1300 Allen Rd, Indianola 38751",,(662) 887-2121,,(662) 887-4614,,
Tallahatchie County Sheriff,,,,,,,,
Tate County Sheriff,Brad Lance," 1 Justice Dr, Senatobia 38668",,(662) 562-4434,,(662) 562-9236,,
Tippah County Sheriff,Karl Gaillard,"205 W Spring St, Ripley 38663",,(662) 837-9336,,(662) 837-1191,,
Tishomingo County Sheriff,John Dennis Daugherty  ,"1111 Maria Ln, Iuka 38852 ",,(662) 423-7000,,(662) 423-9712,,
Tunica County Sheriff,K.C. Hamp  ,"PO Box 25, Tunica 38676 ",,(662) 363-1411,,(662) 363-2593,,
Union County Sheriff,Jimmy Edwards ,"300 Carter Ave, New Albany 38652",,(662) 534-1941,,(662) 534-1993,,
Walthall County Sheriff,Kyle Breland,"807 Magnolia Ave, Tylertown 39667",,(601) 876-3481,,(601) 876-6688,,
Warren County Sheriff,W Martin Pace Jr.," 1000 Grove St, Vicksburg 39183",,(601) 636-1761,,(601) 634-4803,,
Washington County Sheriff,Milton M. Gaston Sr.," PO Box 786, Greenville 38702",,(662) 334-4523,,(662) 334-2764,,
Wayne County Sheriff,Jody Ashley,"613 Court St, Waynesboro 39367",,(601) 735-3801,,(601) 735-6262,,
Webster County Sheriff,Tim Mitchell,"87 Government Ave, Eupora 39744",,(662) 258-7701,,(662) 258-6069,,
Wilkinson County Sheriff,Reginald Jackson,"PO Box 980, Woodville 39669",,(601) 888-3511,,(601) 888-1832,,
Winston County Sheriff,Jason Pugh,"PO Box 927, Louisville 39339",,(662) 773-5881,,(662) 773-8831,,
Yalobusha County Sheriff,,,,,,,,
Yazoo County Sheriff,Jake Sheriff,"PO Box 108, Yazoo City 39194",,(662) 746-5611,,(662) 746-3890,,
